Y_dimension(mm),Button,True_depth(m),meas
36.314,0.0,10.13685,5.16472e-08
36.314,0.0,10.1366,5.17232e-08
36.314,0.0,10.13635,5.176955e-08
36.314,0.0,10.1361,5.16387e-08
36.314,0.0,10.13585,5.17496e-08
36.314,0.0,10.1356,5.160205e-08
36.314,0.0,10.13535,5.11929e-08
36.314,0.0,10.1351,5.115875e-08
36.314,0.0,10.13485,5.11293e-08
36.314,0.0,10.1346,5.09931e-08
36.314,0.0,10.13435,5.06661e-08
36.314,0.0,10.1341,5.0704650000000004e-08
36.314,0.0,10.13385,5.0742e-08
36.314,0.0,10.1336,5.08095e-08
36.314,0.0,10.13335,5.0727e-08
36.314,0.0,10.1331,5.048695e-08
36.314,0.0,10.13285,5.05554e-08
36.314,0.0,10.1326,4.96159e-08
36.314,0.0,10.13235,4.95798e-08
36.314,0.0,10.1321,4.93625e-08
36.314,0.0,10.13185,4.948545e-08
36.314,0.0,10.1316,4.89372e-08
36.314,0.0,10.13135,4.92759e-08
36.314,0.0,10.1311,4.890295e-08
36.314,0.0,10.13085,4.9336e-08
36.314,0.0,10.1306,4.94119e-08
36.314,0.0,10.13035,4.90949e-08
36.314,0.0,10.1301,4.896775e-08
36.314,0.0,10.12985,4.88717e-08
36.314,0.0,10.1296,4.8623100000000003e-08
36.314,0.0,10.12935,4.90229e-08
36.314,0.0,10.1291,4.85861e-08
36.314,0.0,10.12885,4.85058e-08
36.314,0.0,10.1286,4.82848e-08
36.314,0.0,10.12835,4.81453e-08
36.314,0.0,10.1281,4.80791e-08
36.314,0.0,10.12785,4.804395e-08
36.314,0.0,10.1276,4.78133e-08
36.314,0.0,10.12735,4.781245e-08
36.314,0.0,10.1271,4.74411e-08
36.314,0.0,10.126850000000001,4.74032e-08
36.314,0.0,10.1266,4.71825e-08
36.314,0.0,10.12635,4.6872e-08
36.314,0.0,10.126100000000001,4.674095e-08
36.314,0.0,10.12585,4.65407e-08
36.314,0.0,10.1256,4.65526e-08
36.314,0.0,10.125350000000001,4.672375e-08
36.314,0.0,10.1251,4.671415000000001e-08
36.314,0.0,10.12485,4.65443e-08
36.314,0.0,10.124600000000001,4.62666e-08
36.314,0.0,10.12435,4.6118500000000004e-08
36.314,0.0,10.1241,4.617195e-08
36.314,0.0,10.123850000000001,4.60974e-08
36.314,0.0,10.1236,4.5624950000000004e-08
36.314,0.0,10.12335,4.56875e-08
36.314,0.0,10.1231,4.56209e-08
36.314,0.0,10.12285,4.545825e-08
36.314,0.0,10.1226,4.49441e-08
36.314,0.0,10.12235,4.537615e-08
36.314,0.0,10.1221,4.47406e-08
36.314,0.0,10.12185,4.512445e-08
36.314,0.0,10.1216,4.52662e-08
36.314,0.0,10.12135,4.5204450000000003e-08
36.314,0.0,10.1211,4.47613e-08
36.314,0.0,10.12085,4.454495e-08
36.314,0.0,10.1206,4.4505e-08
36.314,0.0,10.12035,4.44879e-08
36.314,0.0,10.1201,4.454185e-08
36.314,0.0,10.11985,4.45094e-08
36.314,0.0,10.1196,4.409275e-08
36.314,0.0,10.11935,4.428475e-08
36.314,0.0,10.1191,4.41718e-08
36.314,0.0,10.11885,4.39757e-08
36.314,0.0,10.1186,4.39424e-08
36.314,0.0,10.11835,4.390425e-08
36.314,0.0,10.1181,4.3573150000000004e-08
36.314,0.0,10.11785,4.34695e-08
36.314,0.0,10.1176,4.311445e-08
36.314,0.0,10.11735,4.36433e-08
36.314,0.0,10.1171,4.32716e-08
36.314,0.0,10.11685,4.29156e-08
36.314,0.0,10.1166,4.297675e-08
36.314,0.0,10.11635,4.27322e-08
36.314,0.0,10.1161,4.2939750000000006e-08
36.314,0.0,10.11585,4.27699e-08
36.314,0.0,10.1156,4.268e-08
36.314,0.0,10.11535,4.23715e-08
36.314,0.0,10.1151,4.247315e-08
36.314,0.0,10.11485,4.19521e-08
36.314,0.0,10.1146,4.191335e-08
36.314,0.0,10.11435,4.20837e-08
36.314,0.0,10.1141,4.1888e-08
36.314,0.0,10.11385,4.16154e-08
36.314,0.0,10.1136,4.1388800000000003e-08
36.314,0.0,10.11335,4.158285e-08
