Y_dimension(mm),Button,True_depth(m),meas
88.147,0.0,18.444040625,4.0503e-08
88.147,0.0,18.443790625,4.01908e-08
88.147,0.0,18.443540624999997,4.03222e-08
88.147,0.0,18.443290625,4.02064e-08
88.147,0.0,18.443040625,4.02141e-08
88.147,0.0,18.442790624999997,4.023915e-08
88.147,0.0,18.442540625,4.00875e-08
88.147,0.0,18.442290625,4.023175e-08
88.147,0.0,18.442040624999997,3.99702e-08
88.147,0.0,18.441790625,3.99775e-08
88.147,0.0,18.441540625,3.99233e-08
88.147,0.0,18.441290624999997,3.959865e-08
88.147,0.0,18.441040625,3.93941e-08
88.147,0.0,18.440790624999998,3.949715e-08
88.147,0.0,18.440540624999997,3.97248e-08
88.147,0.0,18.440290625,3.93869e-08
88.147,0.0,18.440040624999998,3.90263e-08
88.147,0.0,18.439790624999997,3.82989e-08
88.147,0.0,18.439540625,3.85669e-08
88.147,0.0,18.439290624999998,3.851145e-08
88.147,0.0,18.439040624999997,3.84227e-08
88.147,0.0,18.438790625,3.808345e-08
88.147,0.0,18.438540624999998,3.83527e-08
88.147,0.0,18.438290625,3.82958e-08
88.147,0.0,18.438040625,3.83312e-08
88.147,0.0,18.437790624999998,3.82134e-08
88.147,0.0,18.437540624999997,3.820735000000001e-08
88.147,0.0,18.437290625,3.81959e-08
88.147,0.0,18.437040624999998,3.79714e-08
88.147,0.0,18.436790625,3.744435e-08
88.147,0.0,18.436540625,3.729835e-08
88.147,0.0,18.436290624999998,3.73855e-08
88.147,0.0,18.436040624999997,3.76906e-08
88.147,0.0,18.435790625,3.7657350000000003e-08
88.147,0.0,18.435540624999998,3.74726e-08
88.147,0.0,18.435290625,3.72867e-08
88.147,0.0,18.435040625,3.72635e-08
88.147,0.0,18.434790624999998,3.712275e-08
88.147,0.0,18.434540625,3.733435e-08
88.147,0.0,18.434290625,3.72598e-08
88.147,0.0,18.434040624999998,3.74586e-08
88.147,0.0,18.433790625,3.7053900000000003e-08
88.147,0.0,18.433540625,3.690695000000001e-08
88.147,0.0,18.433290624999998,3.66936e-08
88.147,0.0,18.433040625,3.6640300000000006e-08
88.147,0.0,18.432790625,3.57688e-08
88.147,0.0,18.432540624999998,3.68938e-08
88.147,0.0,18.432290625,3.63573e-08
88.147,0.0,18.432040625,3.658145e-08
88.147,0.0,18.431790624999998,3.64003e-08
88.147,0.0,18.431540625,3.60096e-08
88.147,0.0,18.431290625,3.6529e-08
88.147,0.0,18.431040624999998,3.62109e-08
88.147,0.0,18.430790625,3.603075e-08
88.147,0.0,18.430540625,3.6246e-08
88.147,0.0,18.430290624999998,3.59114e-08
88.147,0.0,18.430040625,3.5777000000000003e-08
88.147,0.0,18.429790625,3.5921e-08
88.147,0.0,18.429540624999998,3.57604e-08
88.147,0.0,18.429290625,3.5920350000000006e-08
88.147,0.0,18.429040625,3.57215e-08
88.147,0.0,18.428790624999998,3.54472e-08
88.147,0.0,18.428540625,3.57518e-08
88.147,0.0,18.428290625,3.5258250000000004e-08
88.147,0.0,18.428040624999998,3.47208e-08
88.147,0.0,18.427790625,3.50219e-08
88.147,0.0,18.427540625,3.496905e-08
88.147,0.0,18.427290624999998,3.51365e-08
88.147,0.0,18.427040625,3.52344e-08
88.147,0.0,18.426790625,3.492525e-08
88.147,0.0,18.426540624999998,3.503025e-08
88.147,0.0,18.426290625,3.49702e-08
88.147,0.0,18.426040625,3.48241e-08
88.147,0.0,18.425790624999998,3.4908750000000005e-08
88.147,0.0,18.425540625,3.51352e-08
88.147,0.0,18.425290625,3.49605e-08
88.147,0.0,18.425040624999998,3.44981e-08
88.147,0.0,18.424790625,3.50182e-08
88.147,0.0,18.424540625,3.4696400000000004e-08
88.147,0.0,18.424290624999998,3.4791e-08
88.147,0.0,18.424040625,3.45838e-08
88.147,0.0,18.423790625,3.47765e-08
88.147,0.0,18.423540624999998,3.44149e-08
88.147,0.0,18.423290625,3.501e-08
88.147,0.0,18.423040625,3.4735899999999995e-08
88.147,0.0,18.422790624999998,3.50054e-08
88.147,0.0,18.422540625,3.47854e-08
88.147,0.0,18.422290625,3.47812e-08
88.147,0.0,18.422040624999998,3.471035e-08
88.147,0.0,18.421790625,3.455865e-08
88.147,0.0,18.421540625,3.47477e-08
88.147,0.0,18.421290624999997,3.499175e-08
88.147,0.0,18.421040625,3.47879e-08
88.147,0.0,18.420790625,3.49116e-08
88.147,0.0,18.420540624999997,3.47058e-08
88.147,0.0,18.420290625,3.48044e-08
88.147,0.0,18.420040625,3.469395e-08
88.147,0.0,18.419790624999997,3.44571e-08
88.147,0.0,18.419540625,3.49576e-08
88.147,0.0,18.419290625,3.46718e-08
88.147,0.0,18.419040624999997,3.48708e-08
88.147,0.0,18.418790625,3.48654e-08
88.147,0.0,18.418540625,3.45147e-08
88.147,0.0,18.418290624999997,3.46726e-08
88.147,0.0,18.418040625,3.44364e-08
88.147,0.0,18.417790625,3.46685e-08
88.147,0.0,18.417540624999997,3.50839e-08
88.147,0.0,18.417290625,3.48231e-08
88.147,0.0,18.417040625,3.455765e-08
88.147,0.0,18.416790624999997,3.42606e-08
88.147,0.0,18.416540625,3.44909e-08
88.147,0.0,18.416290625,3.461485e-08
88.147,0.0,18.416040624999997,3.48309e-08
88.147,0.0,18.415790625,3.46857e-08
88.147,0.0,18.415540625,3.49554e-08
88.147,0.0,18.415290624999997,3.50162e-08
88.147,0.0,18.415040625,3.48089e-08
88.147,0.0,18.414790625,3.48543e-08
88.147,0.0,18.414540624999997,3.4032e-08
88.147,0.0,18.414290625,3.501505e-08
88.147,0.0,18.414040625,3.54466e-08
88.147,0.0,18.413790624999997,3.482615e-08
88.147,0.0,18.413540625,3.48128e-08
88.147,0.0,18.413290625,3.543755e-08
88.147,0.0,18.413040624999997,3.49661e-08
88.147,0.0,18.412790625,3.499715e-08
88.147,0.0,18.412540625,3.51719e-08
88.147,0.0,18.412290624999997,3.501135e-08
88.147,0.0,18.412040625,3.519075e-08
88.147,0.0,18.411790625,3.48847e-08
88.147,0.0,18.411540624999997,3.50819e-08
88.147,0.0,18.411290625,3.50902e-08
88.147,0.0,18.411040625,3.510025e-08
88.147,0.0,18.410790624999997,3.50453e-08
88.147,0.0,18.410540625,3.50122e-08
88.147,0.0,18.410290625,3.50041e-08
88.147,0.0,18.410040624999997,3.47639e-08
88.147,0.0,18.409790625,3.5064300000000005e-08
88.147,0.0,18.409540624999998,3.47864e-08
88.147,0.0,18.409290624999997,3.522685e-08
88.147,0.0,18.409040625,3.4933e-08
88.147,0.0,18.408790624999998,3.454655e-08
88.147,0.0,18.408540624999997,3.45915e-08
88.147,0.0,18.408290625,3.47759e-08
88.147,0.0,18.408040624999998,3.48812e-08
88.147,0.0,18.407790624999997,3.467775e-08
88.147,0.0,18.407540625,3.47197e-08
88.147,0.0,18.407290624999998,3.48486e-08
88.147,0.0,18.407040625,3.49649e-08
88.147,0.0,18.406790625,3.4494350000000003e-08
88.147,0.0,18.406540624999998,3.44675e-08
88.147,0.0,18.406290624999997,3.45252e-08
88.147,0.0,18.406040625,3.44332e-08
88.147,0.0,18.405790624999998,3.456645e-08
88.147,0.0,18.405540625,3.45675e-08
88.147,0.0,18.405290625,3.45651e-08
88.147,0.0,18.405040624999998,3.4544e-08
88.147,0.0,18.404790624999997,3.43578e-08
88.147,0.0,18.404540625,3.43351e-08
88.147,0.0,18.404290624999998,3.44642e-08
88.147,0.0,18.404040625,3.450265e-08
88.147,0.0,18.403790625,3.4475750000000003e-08
88.147,0.0,18.403540624999998,3.43174e-08
88.147,0.0,18.403290625,3.412535e-08
88.147,0.0,18.403040625,3.41555e-08
88.147,0.0,18.402790624999998,3.4407100000000004e-08
88.147,0.0,18.402540625,3.49074e-08
88.147,0.0,18.402290625,3.4389500000000005e-08
88.147,0.0,18.402040624999998,3.42581e-08
88.147,0.0,18.401790625,3.442185e-08
88.147,0.0,18.401540625,3.46216e-08
88.147,0.0,18.401290624999998,3.42633e-08
88.147,0.0,18.401040625,3.440485e-08
88.147,0.0,18.400790625,3.43267e-08
88.147,0.0,18.400540624999998,3.41777e-08
88.147,0.0,18.400290625,3.40827e-08
88.147,0.0,18.400040625,3.422645e-08
88.147,0.0,18.399790624999998,3.4398e-08
88.147,0.0,18.399540625,3.42101e-08
88.147,0.0,18.399290625,3.40399e-08
88.147,0.0,18.399040624999998,3.39481e-08
88.147,0.0,18.398790625,3.41725e-08
88.147,0.0,18.398540625,3.39651e-08
88.147,0.0,18.398290624999998,3.39255e-08
88.147,0.0,18.398040625,3.387815e-08
88.147,0.0,18.397790625,3.37021e-08
88.147,0.0,18.397540624999998,3.40315e-08
88.147,0.0,18.397290625,3.387775e-08
88.147,0.0,18.397040625,3.382755e-08
88.147,0.0,18.396790624999998,3.39199e-08
88.147,0.0,18.396540625,3.37663e-08
88.147,0.0,18.396290625,3.36675e-08
88.147,0.0,18.396040624999998,3.3396500000000004e-08
88.147,0.0,18.395790625,3.34409e-08
88.147,0.0,18.395540625,3.368485e-08
88.147,0.0,18.395290624999998,3.327235e-08
88.147,0.0,18.395040625,3.30418e-08
88.147,0.0,18.394790625,3.30032e-08
88.147,0.0,18.394540624999998,3.2894099999999995e-08
88.147,0.0,18.394290625,3.289095e-08
88.147,0.0,18.394040625,3.30191e-08
88.147,0.0,18.393790624999998,3.23692e-08
88.147,0.0,18.393540625,3.280965e-08
88.147,0.0,18.393290625,3.2547499999999994e-08
88.147,0.0,18.393040624999998,3.221265e-08
88.147,0.0,18.392790625,3.23247e-08
88.147,0.0,18.392540625,3.23282e-08
88.147,0.0,18.392290624999998,3.23896e-08
88.147,0.0,18.392040625,3.251075e-08
88.147,0.0,18.391790625,3.2515e-08
88.147,0.0,18.391540624999998,3.22857e-08
88.147,0.0,18.391290625,3.25101e-08
88.147,0.0,18.391040625,3.2228650000000005e-08
88.147,0.0,18.390790624999998,3.22444e-08
88.147,0.0,18.390540625,3.2104550000000004e-08
88.147,0.0,18.390290625,3.19076e-08
88.147,0.0,18.390040624999997,3.19991e-08
88.147,0.0,18.389790625,3.17308e-08
88.147,0.0,18.389540625,3.1758600000000005e-08
88.147,0.0,18.389290624999997,3.1887100000000005e-08
88.147,0.0,18.389040625,3.16098e-08
88.147,0.0,18.388790625,3.14073e-08
88.147,0.0,18.388540624999997,3.144735e-08
88.147,0.0,18.388290625,3.1539e-08
88.147,0.0,18.388040625,3.15531e-08
88.147,0.0,18.387790624999997,3.206315e-08
88.147,0.0,18.387540625,3.16023e-08
88.147,0.0,18.387290625,3.173125e-08
88.147,0.0,18.387040624999997,3.1573450000000005e-08
88.147,0.0,18.386790625,3.14755e-08
88.147,0.0,18.386540625,3.16291e-08
88.147,0.0,18.386290624999997,3.19542e-08
88.147,0.0,18.386040625,3.14985e-08
88.147,0.0,18.385790625,3.1664e-08
88.147,0.0,18.385540624999997,3.14155e-08
88.147,0.0,18.385290625,3.14031e-08
88.147,0.0,18.385040625,3.1125050000000005e-08
88.147,0.0,18.384790624999997,3.09715e-08
88.147,0.0,18.384540625,3.10723e-08
88.147,0.0,18.384290625,3.06287e-08
88.147,0.0,18.384040624999997,3.0533450000000004e-08
88.147,0.0,18.383790625,3.03274e-08
88.147,0.0,18.383540625,3.031285e-08
88.147,0.0,18.383290624999997,3.05482e-08
88.147,0.0,18.383040625,2.97673e-08
88.147,0.0,18.382790625,2.94764e-08
88.147,0.0,18.382540624999997,2.984245e-08
88.147,0.0,18.382290625,2.943405e-08
88.147,0.0,18.382040625,2.95558e-08
88.147,0.0,18.381790624999997,2.94685e-08
88.147,0.0,18.381540625,2.95651e-08
88.147,0.0,18.381290625,2.931495e-08
88.147,0.0,18.381040624999997,2.88089e-08
88.147,0.0,18.380790625,2.90706e-08
88.147,0.0,18.380540625,2.93954e-08
88.147,0.0,18.380290624999997,2.86028e-08
88.147,0.0,18.380040625,2.86281e-08
88.147,0.0,18.379790625,2.86535e-08
88.147,0.0,18.379540624999997,2.83907e-08
88.147,0.0,18.379290625,2.84984e-08
88.147,0.0,18.379040625,2.84837e-08
88.147,0.0,18.378790624999997,2.818375e-08
88.147,0.0,18.378540625,2.81332e-08
88.147,0.0,18.378290624999998,2.8081800000000002e-08
88.147,0.0,18.378040624999997,2.79777e-08
88.147,0.0,18.377790625,2.75001e-08
88.147,0.0,18.377540624999998,2.81755e-08
88.147,0.0,18.377290624999997,2.78353e-08
88.147,0.0,18.377040625,2.80029e-08
88.147,0.0,18.376790624999998,2.8216900000000002e-08
88.147,0.0,18.376540624999997,2.79622e-08
88.147,0.0,18.376290625,2.779715e-08
88.147,0.0,18.376040624999998,2.80432e-08
88.147,0.0,18.375790625,2.76373e-08
88.147,0.0,18.375540625,2.76573e-08
88.147,0.0,18.375290624999998,2.744175e-08
88.147,0.0,18.375040624999997,2.73902e-08
88.147,0.0,18.374790625,2.728365e-08
88.147,0.0,18.374540624999998,2.72061e-08
88.147,0.0,18.374290625,2.723125e-08
88.147,0.0,18.374040625,2.66208e-08
88.147,0.0,18.373790624999998,2.692035e-08
88.147,0.0,18.373540624999997,2.67251e-08
88.147,0.0,18.373290625,2.66629e-08
88.147,0.0,18.373040624999998,2.67068e-08
88.147,0.0,18.372790625,2.6579600000000002e-08
88.147,0.0,18.372540625,2.67233e-08
88.147,0.0,18.372290624999998,2.68602e-08
88.147,0.0,18.372040625,2.67677e-08
88.147,0.0,18.371790625,2.61912e-08
88.147,0.0,18.371540624999998,2.64155e-08
88.147,0.0,18.371290625,2.64524e-08
88.147,0.0,18.371040625,2.62944e-08
88.147,0.0,18.370790624999998,2.637295e-08
88.147,0.0,18.370540625,2.63137e-08
88.147,0.0,18.370290625,2.61062e-08
88.147,0.0,18.370040624999998,2.61841e-08
88.147,0.0,18.369790625,2.6300700000000002e-08
88.147,0.0,18.369540625,2.64648e-08
88.147,0.0,18.369290624999998,2.64124e-08
88.147,0.0,18.369040625,2.63743e-08
88.147,0.0,18.368790625,2.64557e-08
88.147,0.0,18.368540624999998,2.653785e-08
88.147,0.0,18.368290625,2.667055e-08
88.147,0.0,18.368040625,2.63768e-08
88.147,0.0,18.367790624999998,2.65614e-08
88.147,0.0,18.367540625,2.66641e-08
88.147,0.0,18.367290625,2.628845e-08
88.147,0.0,18.367040624999998,2.64636e-08
88.147,0.0,18.366790625,2.6693e-08
88.147,0.0,18.366540625,2.550165e-08
88.147,0.0,18.366290624999998,2.643615e-08
88.147,0.0,18.366040625,2.63305e-08
88.147,0.0,18.365790625,2.608285e-08
88.147,0.0,18.365540624999998,2.63813e-08
88.147,0.0,18.365290625,2.62395e-08
88.147,0.0,18.365040625,2.60589e-08
88.147,0.0,18.364790624999998,2.6318700000000006e-08
88.147,0.0,18.364540625,2.595005e-08
88.147,0.0,18.364290625,2.62703e-08
88.147,0.0,18.364040624999998,2.67423e-08
88.147,0.0,18.363790625,2.59064e-08
88.147,0.0,18.363540625,2.593385e-08
88.147,0.0,18.363290624999998,2.6051550000000006e-08
88.147,0.0,18.363040625,2.59632e-08
88.147,0.0,18.362790625,2.559805e-08
88.147,0.0,18.362540624999998,2.586495e-08
88.147,0.0,18.362290625,2.54634e-08
88.147,0.0,18.362040625,2.566695e-08
88.147,0.0,18.361790624999998,2.54522e-08
88.147,0.0,18.361540625,2.55586e-08
88.147,0.0,18.361290625,2.5447e-08
88.147,0.0,18.361040624999998,2.55258e-08
88.147,0.0,18.360790625,2.5581600000000002e-08
88.147,0.0,18.360540625,2.52533e-08
88.147,0.0,18.360290624999998,2.52822e-08
88.147,0.0,18.360040625,2.53265e-08
88.147,0.0,18.359790625,2.515535e-08
88.147,0.0,18.359540624999998,2.5132100000000002e-08
88.147,0.0,18.359290625,2.51368e-08
88.147,0.0,18.359040625,2.51186e-08
88.147,0.0,18.358790624999997,2.481935e-08
88.147,0.0,18.358540625,2.48735e-08
88.147,0.0,18.358290625,2.4838e-08
88.147,0.0,18.358040624999997,2.43926e-08
88.147,0.0,18.357790625,2.4724700000000002e-08
88.147,0.0,18.357540625,2.443645e-08
88.147,0.0,18.357290624999997,2.42282e-08
88.147,0.0,18.357040625,2.43549e-08
88.147,0.0,18.356790625,2.415135e-08
88.147,0.0,18.356540624999997,2.4301900000000006e-08
88.147,0.0,18.356290625,2.38277e-08
88.147,0.0,18.356040625,2.34216e-08
88.147,0.0,18.355790624999997,2.349635e-08
88.147,0.0,18.355540625,2.336105e-08
88.147,0.0,18.355290625,2.29192e-08
88.147,0.0,18.355040624999997,2.30009e-08
88.147,0.0,18.354790625,2.30294e-08
88.147,0.0,18.354540625,2.267125e-08
88.147,0.0,18.354290624999997,2.26565e-08
88.147,0.0,18.354040625,2.26319e-08
88.147,0.0,18.353790625,2.2092e-08
88.147,0.0,18.353540624999997,2.20689e-08
88.147,0.0,18.353290625,2.23286e-08
88.147,0.0,18.353040625,2.179785e-08
88.147,0.0,18.352790624999997,2.13843e-08
88.147,0.0,18.352540625,2.06796e-08
88.147,0.0,18.352290625,2.130185e-08
88.147,0.0,18.352040624999997,2.11597e-08
88.147,0.0,18.351790625,2.081455e-08
88.147,0.0,18.351540625,2.07796e-08
88.147,0.0,18.351290624999997,2.06388e-08
88.147,0.0,18.351040625,2.042965e-08
88.147,0.0,18.350790625,2.021985e-08
88.147,0.0,18.350540624999997,2.0066e-08
88.147,0.0,18.350290625,2.00715e-08
88.147,0.0,18.350040625,1.99851e-08
88.147,0.0,18.349790624999997,1.97949e-08
88.147,0.0,18.349540625,1.951505e-08
88.147,0.0,18.349290625,1.94497e-08
88.147,0.0,18.349040624999997,1.932575e-08
88.147,0.0,18.348790625,1.94734e-08
88.147,0.0,18.348540625,1.92388e-08
88.147,0.0,18.348290624999997,1.9385e-08
88.147,0.0,18.348040625,1.88866e-08
88.147,0.0,18.347790625,1.92084e-08
88.147,0.0,18.347540624999997,1.87015e-08
88.147,0.0,18.347290625,1.89046e-08
88.147,0.0,18.347040624999998,1.85733e-08
88.147,0.0,18.346790624999997,1.868545e-08
88.147,0.0,18.346540625,1.82487e-08
88.147,0.0,18.346290624999998,1.82675e-08
88.147,0.0,18.346040624999997,1.80289e-08
88.147,0.0,18.345790625,1.805715e-08
88.147,0.0,18.345540624999998,1.80188e-08
88.147,0.0,18.345290624999997,1.81203e-08
88.147,0.0,18.345040625,1.81296e-08
88.147,0.0,18.344790624999998,1.82316e-08
88.147,0.0,18.344540625,1.83759e-08
88.147,0.0,18.344290625,1.83557e-08
88.147,0.0,18.344040624999998,1.803555e-08
88.147,0.0,18.343790624999997,1.811765e-08
88.147,0.0,18.343540625,1.90487e-08
88.147,0.0,18.343290624999998,1.795865e-08
88.147,0.0,18.343040625,1.79954e-08
88.147,0.0,18.342790625,1.75813e-08
88.147,0.0,18.342540624999998,1.80121e-08
88.147,0.0,18.342290624999997,1.77124e-08
88.147,0.0,18.342040625,1.8092400000000006e-08
88.147,0.0,18.341790624999998,1.78362e-08
88.147,0.0,18.341540625,1.78973e-08
88.147,0.0,18.341290625,1.766985e-08
88.147,0.0,18.341040624999998,1.7746800000000002e-08
88.147,0.0,18.340790625,1.766525e-08
88.147,0.0,18.340540625,1.76164e-08
88.147,0.0,18.340290624999998,1.77378e-08
88.147,0.0,18.340040625,1.7817e-08
88.147,0.0,18.339790625,1.7814149999999998e-08
88.147,0.0,18.339540624999998,1.7869e-08
88.147,0.0,18.339290625,1.7560949999999998e-08
88.147,0.0,18.339040625,1.766585e-08
88.147,0.0,18.338790624999998,1.752605e-08
88.147,0.0,18.338540625,1.79898e-08
88.147,0.0,18.338290625,1.79198e-08
88.147,0.0,18.338040624999998,1.7989499999999997e-08
88.147,0.0,18.337790625,1.789005e-08
88.147,0.0,18.337540625,1.79721e-08
88.147,0.0,18.337290624999998,1.82442e-08
88.147,0.0,18.337040625,1.82938e-08
88.147,0.0,18.336790625,1.82849e-08
88.147,0.0,18.336540624999998,1.86637e-08
88.147,0.0,18.336290625,1.87247e-08
88.147,0.0,18.336040625,1.87424e-08
88.147,0.0,18.335790624999998,1.864665e-08
88.147,0.0,18.335540625,1.88334e-08
88.147,0.0,18.335290625,1.901265e-08
88.147,0.0,18.335040624999998,1.884255e-08
88.147,0.0,18.334790625,1.877385e-08
88.147,0.0,18.334540625,2.01958e-08
88.147,0.0,18.334290624999998,1.90185e-08
88.147,0.0,18.334040625,1.92963e-08
88.147,0.0,18.333790625,1.91475e-08
88.147,0.0,18.333540624999998,1.92852e-08
88.147,0.0,18.333290625,1.881605e-08
88.147,0.0,18.333040625,1.9262450000000002e-08
88.147,0.0,18.332790624999998,1.921665e-08
88.147,0.0,18.332540625,1.92928e-08
88.147,0.0,18.332290625,1.948705e-08
88.147,0.0,18.332040624999998,1.901125e-08
88.147,0.0,18.331790625,1.98252e-08
88.147,0.0,18.331540625,1.96839e-08
88.147,0.0,18.331290624999998,1.9530350000000006e-08
88.147,0.0,18.331040625,1.98164e-08
88.147,0.0,18.330790625,1.994415e-08
88.147,0.0,18.330540624999998,2.00433e-08
88.147,0.0,18.330290625,1.97805e-08
88.147,0.0,18.330040625,2.012055e-08
88.147,0.0,18.329790624999998,1.99466e-08
88.147,0.0,18.329540625,2.02295e-08
88.147,0.0,18.329290625,2.015325e-08
88.147,0.0,18.329040624999998,2.04879e-08
88.147,0.0,18.328790625,2.04177e-08
88.147,0.0,18.328540625,1.9918e-08
88.147,0.0,18.328290624999998,2.052015e-08
88.147,0.0,18.328040625,2.053885e-08
88.147,0.0,18.327790625,2.03288e-08
88.147,0.0,18.327540624999997,2.08658e-08
88.147,0.0,18.327290625,2.057875e-08
88.147,0.0,18.327040625,2.06961e-08
88.147,0.0,18.326790624999997,2.06706e-08
88.147,0.0,18.326540625,2.087e-08
88.147,0.0,18.326290625,2.0775e-08
88.147,0.0,18.326040624999997,2.075425e-08
88.147,0.0,18.325790625,2.04996e-08
88.147,0.0,18.325540625,2.092805e-08
88.147,0.0,18.325290624999997,2.0373650000000002e-08
88.147,0.0,18.325040625,2.09586e-08
88.147,0.0,18.324790625,2.08795e-08
88.147,0.0,18.324540624999997,2.09495e-08
88.147,0.0,18.324290625,2.08826e-08
88.147,0.0,18.324040625,2.127745e-08
88.147,0.0,18.323790624999997,2.12666e-08
88.147,0.0,18.323540625,2.126805e-08
88.147,0.0,18.323290625,2.14101e-08
88.147,0.0,18.323040624999997,2.13591e-08
88.147,0.0,18.322790625,2.158695e-08
88.147,0.0,18.322540625,2.23704e-08
88.147,0.0,18.322290624999997,2.18371e-08
88.147,0.0,18.322040625,2.203085e-08
88.147,0.0,18.321790625,2.21178e-08
88.147,0.0,18.321540624999997,2.20608e-08
88.147,0.0,18.321290625,2.2532800000000003e-08
88.147,0.0,18.321040625,2.27291e-08
88.147,0.0,18.320790624999997,2.26111e-08
