Y_dimension(mm),Button,True_depth(m),meas
31.298,0.0,22.087809375000003,2.480681e-05
31.298,0.0,22.087770943909277,-2.409404e-06
31.298,0.0,22.08765122688917,-1.524968e-06
31.298,0.0,22.087517449547526,-9.404903e-07
31.298,0.0,22.0873369399167,-5.007896e-07
31.298,0.0,22.087105263860604,-1.6595e-07
31.298,0.0,22.086832924230055,7.179915e-08
31.298,0.0,22.086552357308996,1.417066e-07
31.298,0.0,22.08619812886188,4.133472e-07
31.298,0.0,22.0858418457858,6.675546e-07
31.298,0.0,22.085412753652253,8.545176e-07
31.298,0.0,22.084977643913955,9.284413e-07
31.298,0.0,22.084585906255455,1.058434e-06
31.298,0.0,22.084168241897938,1.160777e-06
31.298,0.0,22.083753536926537,1.044376e-06
31.298,0.0,22.08335660883928,1.076696e-06
31.298,0.0,22.082925044356404,1.047461e-06
31.298,0.0,22.082487816162303,1.118882e-06
31.298,0.0,22.08205919805958,1.196662e-06
31.298,0.0,22.08166407319706,1.242661e-06
31.298,0.0,22.081257911420984,1.312961e-06
31.298,0.0,22.080843109663686,1.293098e-06
31.298,0.0,22.080405739442757,1.274952e-06
31.298,0.0,22.079969218996183,1.124034e-06
31.298,0.0,22.079531606971546,1.14119e-06
31.298,0.0,22.079103975605502,1.360779e-06
31.298,0.0,22.07872847966139,1.352106e-06
31.298,0.0,22.078292882053617,1.292894e-06
31.298,0.0,22.07784941545964,1.159162e-06
31.298,0.0,22.077440192537896,1.071516e-06
31.298,0.0,22.077026999476182,1.3276e-06
31.298,0.0,22.07659983604075,1.340421e-06
31.298,0.0,22.07617236565448,1.286928e-06
31.298,0.0,22.075782422588635,1.272667e-06
31.298,0.0,22.075354541963012,1.327702e-06
31.298,0.0,22.074941657578833,1.304405e-06
31.298,0.0,22.0745151474857,1.521927e-06
31.298,0.0,22.07412039733661,1.426088e-06
31.298,0.0,22.07369376977763,1.541062e-06
31.298,0.0,22.073302377515297,1.511682e-06
31.298,0.0,22.072881667308184,1.514243e-06
31.298,0.0,22.072454669301084,1.446402e-06
31.298,0.0,22.072035242370887,1.411434e-06
31.298,0.0,22.07160987312553,1.414606e-06
31.298,0.0,22.071204788265632,1.409659e-06
31.298,0.0,22.070795869020877,1.48156e-06
31.298,0.0,22.07036949464393,1.560693e-06
31.298,0.0,22.069937867501217,1.526729e-06
31.298,0.0,22.069518990651886,1.515204e-06
31.298,0.0,22.06907498538923,1.500361e-06
31.298,0.0,22.06866739017017,1.488355e-06
31.298,0.0,22.06823994523604,1.43233e-06
31.298,0.0,22.06784836116059,1.378197e-06
31.298,0.0,22.06741073325743,1.356078e-06
31.298,0.0,22.067002386893403,1.364591e-06
31.298,0.0,22.06657464084411,1.426582e-06
31.298,0.0,22.066147608459968,1.439766e-06
31.298,0.0,22.065757696029376,1.499691e-06
31.298,0.0,22.065324648619285,1.544002e-06
31.298,0.0,22.064919966557312,1.52897e-06
31.298,0.0,22.06451091147386,1.541106e-06
31.298,0.0,22.064082014270554,1.514869e-06
31.298,0.0,22.063690324070617,1.61973e-06
31.298,0.0,22.063249024994803,1.570501e-06
31.298,0.0,22.06286156971675,1.52686e-06
31.298,0.0,22.06242609423247,1.617227e-06
31.298,0.0,22.061992921798016,1.536668e-06
31.298,0.0,22.06159755422255,1.549226e-06
31.298,0.0,22.061169348257565,1.629043e-06
31.298,0.0,22.060741432964775,1.52101e-06
31.298,0.0,22.06034833359793,1.460008e-06
31.298,0.0,22.059913827581664,1.243476e-06
31.298,0.0,22.059478507665357,1.380962e-06
31.298,0.0,22.05904174455128,1.461856e-06
31.298,0.0,22.05862903076306,1.547902e-06
31.298,0.0,22.05822726978066,1.484761e-06
31.298,0.0,22.057803461080407,1.596767e-06
31.298,0.0,22.057367857785756,1.510023e-06
31.298,0.0,22.0569633765629,1.510736e-06
31.298,0.0,22.056536863195316,1.528242e-06
31.298,0.0,22.056112911964682,1.541484e-06
31.298,0.0,22.055719818240465,1.582288e-06
31.298,0.0,22.05530094188824,1.645123e-06
31.298,0.0,22.054878637178092,1.602006e-06
31.298,0.0,22.054467993196354,1.641223e-06
31.298,0.0,22.054068598530822,1.582521e-06
31.298,0.0,22.053641057145118,1.471955e-06
31.298,0.0,22.053244741237833,1.557113e-06
31.298,0.0,22.052827239304456,1.451815e-06
31.298,0.0,22.052399030489518,1.477456e-06
31.298,0.0,22.051985511353884,1.521214e-06
31.298,0.0,22.05156214950931,1.554188e-06
31.298,0.0,22.051146615729763,1.584383e-06
31.298,0.0,22.050715248793015,1.671375e-06
31.298,0.0,22.05029675832062,1.619133e-06
31.298,0.0,22.04988033839116,1.705179e-06
31.298,0.0,22.04945667836606,1.618566e-06
31.298,0.0,22.04903400231957,1.554567e-06
31.298,0.0,22.048605963513698,1.64019e-06
31.298,0.0,22.04820169755386,1.582594e-06
31.298,0.0,22.047795318006205,1.557491e-06
31.298,0.0,22.04736541352974,1.321387e-06
31.298,0.0,22.04694659278985,1.015156e-06
31.298,0.0,22.046517695201032,8.544303e-07
31.298,0.0,22.046089764034658,1.060194e-06
31.298,0.0,22.045688749395772,1.248904e-06
31.298,0.0,22.045280003097915,1.451583e-06
31.298,0.0,22.044853157175694,1.421053e-06
31.298,0.0,22.04444453245282,1.528024e-06
31.298,0.0,22.044010029442447,1.358247e-06
31.298,0.0,22.043611640057613,1.43933e-06
31.298,0.0,22.04320280687743,1.472494e-06
31.298,0.0,22.042804124881624,1.483233e-06
31.298,0.0,22.042366042676758,1.451044e-06
31.298,0.0,22.041949126425997,1.330714e-06
31.298,0.0,22.04152610612753,9.886426e-07
31.298,0.0,22.041101410134562,1.228691e-06
31.298,0.0,22.040678317521184,1.063701e-06
31.298,0.0,22.04025630191039,1.068052e-06
31.298,0.0,22.039860703346488,1.187596e-06
31.298,0.0,22.03942295820022,1.434644e-06
31.298,0.0,22.03898582859412,1.443826e-06
31.298,0.0,22.03858415527395,1.442313e-06
31.298,0.0,22.038163904299218,1.306544e-06
31.298,0.0,22.037739686138703,1.274006e-06
31.298,0.0,22.037317237067118,1.345281e-06
31.298,0.0,22.036892831492267,1.095352e-06
31.298,0.0,22.036469154130025,8.596107e-07
31.298,0.0,22.03604697888279,1.073029e-06
31.298,0.0,22.03563830521763,7.276976e-07
31.298,0.0,22.035237336778287,9.205542e-07
31.298,0.0,22.034812203327512,1.182401e-06
31.298,0.0,22.034407727426593,1.212014e-06
31.298,0.0,22.033995551239766,1.124135e-06
31.298,0.0,22.03357587882254,1.109554e-06
31.298,0.0,22.03316780972591,1.149136e-06
31.298,0.0,22.032756227663583,1.142442e-06
31.298,0.0,22.0323356728472,1.221269e-06
31.298,0.0,22.03191527569595,1.230088e-06
31.298,0.0,22.0314973341316,1.080713e-06
31.298,0.0,22.031061443613993,1.063163e-06
31.298,0.0,22.030650247404424,1.022156e-06
31.298,0.0,22.03024891327609,9.510259e-07
31.298,0.0,22.029824985970034,9.809155e-07
