Y_dimension(mm),Button,True_depth(m),meas
65.79,0.0,37.317520312499994,7.04449e-09
65.79,0.0,37.3172703125,6.95787e-09
65.79,0.0,37.3170203125,7.09403e-09
65.79,0.0,37.3167703125,7.25089e-09
65.79,0.0,37.316520312499996,7.423590000000001e-09
65.79,0.0,37.316270312499995,7.7371e-09
65.79,0.0,37.316020312499994,7.776785e-09
65.79,0.0,37.3157703125,8.29738e-09
65.79,0.0,37.3155203125,8.57968e-09
65.79,0.0,37.3152703125,9.45546e-09
65.79,0.0,37.315020312499996,9.427245000000001e-09
65.79,0.0,37.314770312499995,1.03789e-08
65.79,0.0,37.314520312499994,1.10386e-08
65.79,0.0,37.3142703125,1.13442e-08
65.79,0.0,37.3140203125,1.21472e-08
65.79,0.0,37.3137703125,1.251205e-08
65.79,0.0,37.313520312499996,1.26347e-08
65.79,0.0,37.313270312499995,1.281285e-08
65.79,0.0,37.313020312499994,1.338915e-08
65.79,0.0,37.3127703125,1.32469e-08
65.79,0.0,37.3125203125,1.348075e-08
65.79,0.0,37.3122703125,1.3806300000000001e-08
65.79,0.0,37.312020312499996,1.398325e-08
65.79,0.0,37.311770312499995,1.401e-08
65.79,0.0,37.311520312499994,1.501685e-08
65.79,0.0,37.3112703125,1.509485e-08
65.79,0.0,37.3110203125,1.5793e-08
65.79,0.0,37.3107703125,1.59719e-08
65.79,0.0,37.310520312499996,1.68043e-08
65.79,0.0,37.310270312499995,1.59917e-08
65.79,0.0,37.310020312499994,1.508835e-08
65.79,0.0,37.3097703125,1.63302e-08
65.79,0.0,37.3095203125,1.725785e-08
65.79,0.0,37.3092703125,1.6101900000000002e-08
65.79,0.0,37.309020312499996,1.66903e-08
65.79,0.0,37.308770312499995,1.67794e-08
65.79,0.0,37.308520312499994,1.68487e-08
65.79,0.0,37.3082703125,1.67855e-08
65.79,0.0,37.3080203125,1.68227e-08
65.79,0.0,37.3077703125,1.72373e-08
65.79,0.0,37.307520312499996,1.7233099999999998e-08
65.79,0.0,37.307270312499995,1.71261e-08
65.79,0.0,37.30702031249999,1.7482e-08
65.79,0.0,37.3067703125,1.76824e-08
65.79,0.0,37.3065203125,1.77555e-08
65.79,0.0,37.3062703125,1.7729900000000002e-08
65.79,0.0,37.306020312499996,1.67535e-08
65.79,0.0,37.305770312499995,1.68727e-08
65.79,0.0,37.30552031249999,1.61563e-08
65.79,0.0,37.3052703125,1.77968e-08
65.79,0.0,37.3050203125,1.79911e-08
65.79,0.0,37.3047703125,1.776585e-08
65.79,0.0,37.304520312499996,1.79691e-08
65.79,0.0,37.304270312499995,1.78454e-08
65.79,0.0,37.30402031249999,1.80687e-08
65.79,0.0,37.3037703125,1.81572e-08
65.79,0.0,37.3035203125,1.81527e-08
65.79,0.0,37.3032703125,1.7605249999999998e-08
65.79,0.0,37.303020312499996,1.82183e-08
65.79,0.0,37.302770312499995,1.8012149999999998e-08
65.79,0.0,37.30252031249999,1.839875e-08
65.79,0.0,37.3022703125,1.82081e-08
65.79,0.0,37.3020203125,1.82972e-08
65.79,0.0,37.3017703125,1.844595e-08
65.79,0.0,37.301520312499996,1.83105e-08
65.79,0.0,37.301270312499994,1.875245e-08
65.79,0.0,37.30102031249999,1.85319e-08
65.79,0.0,37.3007703125,1.89878e-08
65.79,0.0,37.3005203125,1.87392e-08
65.79,0.0,37.3002703125,1.869055e-08
65.79,0.0,37.300020312499996,1.891e-08
65.79,0.0,37.299770312499994,1.87697e-08
65.79,0.0,37.29952031249999,1.87446e-08
65.79,0.0,37.2992703125,1.878775e-08
65.79,0.0,37.2990203125,1.93013e-08
65.79,0.0,37.2987703125,1.9067e-08
65.79,0.0,37.298520312499996,1.89749e-08
65.79,0.0,37.298270312499994,1.90075e-08
65.79,0.0,37.29802031249999,1.89971e-08
65.79,0.0,37.2977703125,1.90987e-08
65.79,0.0,37.2975203125,1.905835e-08
65.79,0.0,37.2972703125,1.922225e-08
65.79,0.0,37.297020312499995,1.99674e-08
65.79,0.0,37.296770312499994,1.92172e-08
65.79,0.0,37.29652031249999,1.89924e-08
65.79,0.0,37.2962703125,1.935155e-08
65.79,0.0,37.2960203125,1.9641e-08
65.79,0.0,37.2957703125,1.9468900000000002e-08
65.79,0.0,37.295520312499995,1.965805e-08
65.79,0.0,37.295270312499994,1.961225e-08
65.79,0.0,37.2950203125,1.94446e-08
65.79,0.0,37.2947703125,1.992e-08
65.79,0.0,37.2945203125,1.99837e-08
65.79,0.0,37.2942703125,2.006965e-08
65.79,0.0,37.294020312499995,2.01879e-08
65.79,0.0,37.293770312499994,2.0168e-08
65.79,0.0,37.2935203125,2.027595e-08
65.79,0.0,37.2932703125,2.0396e-08
65.79,0.0,37.2930203125,2.07499e-08
65.79,0.0,37.2927703125,2.04744e-08
65.79,0.0,37.292520312499995,2.035595e-08
65.79,0.0,37.292270312499994,2.040725e-08
65.79,0.0,37.2920203125,2.06128e-08
65.79,0.0,37.2917703125,2.051785e-08
65.79,0.0,37.2915203125,2.046385e-08
65.79,0.0,37.2912703125,2.040735e-08
65.79,0.0,37.291020312499995,2.03382e-08
65.79,0.0,37.290770312499994,2.03797e-08
65.79,0.0,37.2905203125,2.03124e-08
65.79,0.0,37.2902703125,2.031865e-08
65.79,0.0,37.2900203125,2.06361e-08
65.79,0.0,37.289770312499996,2.0317600000000002e-08
65.79,0.0,37.289520312499995,2.010575e-08
65.79,0.0,37.289270312499994,2.02738e-08
65.79,0.0,37.2890203125,2.016395e-08
65.79,0.0,37.2887703125,1.99069e-08
65.79,0.0,37.2885203125,1.99113e-08
65.79,0.0,37.288270312499996,1.979165e-08
65.79,0.0,37.288020312499995,1.95429e-08
65.79,0.0,37.287770312499994,1.99581e-08
65.79,0.0,37.2875203125,1.95046e-08
65.79,0.0,37.2872703125,1.92323e-08
65.79,0.0,37.2870203125,1.95115e-08
65.79,0.0,37.286770312499996,1.95164e-08
65.79,0.0,37.286520312499995,1.95519e-08
65.79,0.0,37.286270312499994,1.96674e-08
65.79,0.0,37.2860203125,1.95855e-08
65.79,0.0,37.2857703125,1.926085e-08
65.79,0.0,37.2855203125,1.92197e-08
65.79,0.0,37.285270312499996,1.89541e-08
65.79,0.0,37.285020312499995,1.9209e-08
65.79,0.0,37.284770312499994,1.901385e-08
65.79,0.0,37.2845203125,1.881515e-08
65.79,0.0,37.2842703125,1.92414e-08
65.79,0.0,37.2840203125,1.88071e-08
65.79,0.0,37.283770312499996,1.879375e-08
65.79,0.0,37.283520312499995,1.85835e-08
65.79,0.0,37.283270312499994,1.86357e-08
65.79,0.0,37.2830203125,1.836195e-08
65.79,0.0,37.2827703125,1.85397e-08
65.79,0.0,37.2825203125,1.86789e-08
65.79,0.0,37.282270312499996,1.84539e-08
65.79,0.0,37.282020312499995,1.832475e-08
65.79,0.0,37.281770312499994,1.81768e-08
65.79,0.0,37.2815203125,1.83722e-08
65.79,0.0,37.2812703125,1.83455e-08
65.79,0.0,37.2810203125,1.869115e-08
65.79,0.0,37.280770312499996,1.816025e-08
65.79,0.0,37.280520312499995,1.82608e-08
65.79,0.0,37.280270312499994,1.81689e-08
65.79,0.0,37.2800203125,1.80169e-08
65.79,0.0,37.2797703125,1.8393e-08
65.79,0.0,37.2795203125,1.81201e-08
65.79,0.0,37.279270312499996,1.80024e-08
65.79,0.0,37.279020312499995,1.82482e-08
65.79,0.0,37.278770312499994,1.822505e-08
65.79,0.0,37.2785203125,1.84208e-08
65.79,0.0,37.2782703125,1.8227e-08
65.79,0.0,37.2780203125,1.812845e-08
65.79,0.0,37.277770312499996,1.82121e-08
65.79,0.0,37.277520312499995,1.7936350000000002e-08
65.79,0.0,37.277270312499994,1.80015e-08
65.79,0.0,37.2770203125,1.790465e-08
65.79,0.0,37.2767703125,1.800315e-08
65.79,0.0,37.2765203125,1.80977e-08
65.79,0.0,37.276270312499996,1.82383e-08
65.79,0.0,37.276020312499995,1.791795e-08
65.79,0.0,37.27577031249999,1.76525e-08
65.79,0.0,37.2755203125,1.76937e-08
65.79,0.0,37.2752703125,1.76739e-08
65.79,0.0,37.2750203125,1.752195e-08
65.79,0.0,37.274770312499996,1.76918e-08
65.79,0.0,37.274520312499995,1.76452e-08
65.79,0.0,37.27427031249999,1.74584e-08
65.79,0.0,37.2740203125,1.7328500000000002e-08
65.79,0.0,37.2737703125,1.74074e-08
65.79,0.0,37.2735203125,1.77777e-08
65.79,0.0,37.273270312499996,1.74092e-08
65.79,0.0,37.273020312499995,1.745045e-08
65.79,0.0,37.27277031249999,1.7314e-08
65.79,0.0,37.2725203125,1.72454e-08
65.79,0.0,37.2722703125,1.74407e-08
65.79,0.0,37.2720203125,1.72115e-08
