Y_dimension(mm),Button,True_depth(m),meas
61.79,0.0,37.317520312499994,2.360747e-05
61.79,0.0,37.317520312499994,-3.556532e-06
61.79,0.0,37.317520312499994,-2.599787e-06
61.79,0.0,37.317447025239716,-1.999695e-06
61.79,0.0,37.317262276584025,-1.546607e-06
61.79,0.0,37.31703257760688,-1.19445e-06
61.79,0.0,37.31676219461503,-9.204814e-07
61.79,0.0,37.31647393779636,-7.071794e-07
61.79,0.0,37.31612478680662,-5.337788e-07
61.79,0.0,37.315743587750354,-3.898167e-07
61.79,0.0,37.3153381823371,-2.897723e-07
61.79,0.0,37.31489192116738,-2.165616e-07
61.79,0.0,37.31447879343122,-1.601147e-07
61.79,0.0,37.314078219941386,-1.193985e-07
61.79,0.0,37.313642397762294,-8.745701e-08
61.79,0.0,37.31324507673792,-5.903712e-08
61.79,0.0,37.31283722607109,-3.514288e-08
61.79,0.0,37.312410808053954,-1.894659e-08
61.79,0.0,37.311977445020325,-2.866727e-09
61.79,0.0,37.311572447724856,8.65839e-09
61.79,0.0,37.31113297964639,1.32859e-08
61.79,0.0,37.31073794168857,2.025627e-08
61.79,0.0,37.31030810374302,2.290471e-08
61.79,0.0,37.309878635769884,2.485467e-08
61.79,0.0,37.309452822468934,2.852175e-08
61.79,0.0,37.30904765687748,2.609158e-08
61.79,0.0,37.30861665694323,3.284367e-08
61.79,0.0,37.30818800328799,2.815796e-08
61.79,0.0,37.307792027561135,3.361492e-08
61.79,0.0,37.30736324147024,3.428431e-08
61.79,0.0,37.30693321492117,3.394962e-08
61.79,0.0,37.30649873140515,3.320747e-08
61.79,0.0,37.30609759970867,3.412424e-08
61.79,0.0,37.30570365152305,3.501191e-08
61.79,0.0,37.305271784669884,3.266905e-08
61.79,0.0,37.30486707792497,3.335299e-08
61.79,0.0,37.304460706219864,3.53175e-08
61.79,0.0,37.3040174067601,3.271271e-08
61.79,0.0,37.3036169637551,3.141758e-08
61.79,0.0,37.303206031680965,2.692104e-08
61.79,0.0,37.30278719406327,3.582682e-08
61.79,0.0,37.30237534167028,2.703746e-08
61.79,0.0,37.301962822920295,3.154855e-08
61.79,0.0,37.3015556022538,3.640889e-08
61.79,0.0,37.301119862920686,3.387686e-08
61.79,0.0,37.30068538851501,3.409514e-08
61.79,0.0,37.30028534860751,3.345485e-08
61.79,0.0,37.29985395089984,2.940942e-08
61.79,0.0,37.29943441385623,2.952584e-08
61.79,0.0,37.29902353773133,3.191235e-08
61.79,0.0,37.298588626558285,2.96277e-08
61.79,0.0,37.29817993281019,2.990419e-08
61.79,0.0,37.29775719890882,2.916204e-08
61.79,0.0,37.297349264263566,2.951128e-08
61.79,0.0,37.2969303444587,3.11702e-08
61.79,0.0,37.296499411739376,3.199966e-08
61.79,0.0,37.296093553813876,2.751767e-08
61.79,0.0,37.29565972345744,3.130117e-08
61.79,0.0,37.29527126208041,2.924935e-08
61.79,0.0,37.29484020998696,3.050081e-08
61.79,0.0,37.294423870718155,3.293098e-08
61.79,0.0,37.29401170756978,3.119931e-08
61.79,0.0,37.29358271880497,2.981687e-08
61.79,0.0,37.29318674021557,3.050081e-08
61.79,0.0,37.292781979438196,3.167952e-08
61.79,0.0,37.29234676899373,2.99915e-08
61.79,0.0,37.29192515522892,3.086461e-08
61.79,0.0,37.29149350816651,3.191235e-08
61.79,0.0,37.291091379049604,3.147579e-08
61.79,0.0,37.29068440992759,2.958404e-08
61.79,0.0,37.290265213379556,2.645538e-08
61.79,0.0,37.289826478886795,3.047171e-08
61.79,0.0,37.28940998188703,3.03844e-08
61.79,0.0,37.28896623146506,2.776505e-08
61.79,0.0,37.28856405823801,2.859451e-08
61.79,0.0,37.2881274057526,2.520392e-08
61.79,0.0,37.28773629320831,2.306479e-08
61.79,0.0,37.28729938208583,2.938032e-08
61.79,0.0,37.28688407780869,3.445894e-08
61.79,0.0,37.28646856367727,2.81143e-08
61.79,0.0,37.28603397128724,3.166497e-08
61.79,0.0,37.285636323666,3.045716e-08
61.79,0.0,37.28523851843318,2.642628e-08
61.79,0.0,37.284807524876356,2.961315e-08
61.79,0.0,37.28439213616927,2.871093e-08
61.79,0.0,37.28397533970865,2.757588e-08
61.79,0.0,37.283541776762306,2.745946e-08
61.79,0.0,37.283144421041236,2.481102e-08
61.79,0.0,37.28275284312843,2.630986e-08
61.79,0.0,37.28232250308807,2.828892e-08
61.79,0.0,37.281909943967946,2.910383e-08
61.79,0.0,37.28146667676567,3.07773e-08
61.79,1.0,37.28106304652681,2.834713e-08
61.79,1.0,37.2806245667108,2.313755e-08
61.79,1.0,37.28022347360471,2.50875e-08
61.79,1.0,37.27979349859891,3.090827e-08
61.79,1.0,37.279384120669626,2.970046e-08
61.79,1.0,37.27894306005559,2.991874e-08
61.79,1.0,37.278539314961115,2.92348e-08
61.79,1.0,37.27811689658562,2.571323e-08
61.79,1.0,37.27770510901234,2.938032e-08
61.79,1.0,37.277304626287766,2.913293e-08
61.79,1.0,37.27686105502809,2.58151e-08
61.79,1.0,37.27644963591391,2.824527e-08
61.79,1.0,37.276004826291,2.843444e-08
61.79,1.0,37.275604613426246,2.645538e-08
61.79,1.0,37.27519236090028,2.96568e-08
61.79,0.0,37.274804755317774,2.828892e-08
61.79,0.0,37.274361619217615,2.865272e-08
61.79,0.0,37.27395292524148,2.882734e-08
61.79,0.0,37.273548477940714,2.895831e-08
61.79,0.0,37.273112562560314,2.871093e-08
61.79,0.0,37.272718185649744,2.756133e-08
61.79,0.0,37.272287653190496,2.801244e-08
61.79,0.0,37.27187755175957,2.639717e-08
61.79,0.0,37.271460273000756,2.807064e-08
61.79,0.0,37.271021541080735,2.50584e-08
61.79,0.0,37.270594140245095,2.50875e-08
61.79,0.0,37.27019919978777,2.54804e-08
61.79,0.0,37.269767620861344,2.924935e-08
61.79,0.0,37.26935794246478,2.96277e-08
61.79,0.0,37.26891762789288,2.770685e-08
61.79,0.0,37.26850479963101,2.792513e-08
61.79,0.0,37.26807545142631,2.727029e-08
61.79,0.0,37.26766621133333,3.093737e-08
61.79,0.0,37.267247109900815,2.731394e-08
61.79,0.0,37.266811042868504,2.628076e-08
61.79,0.0,37.266394731377815,2.692104e-08
61.79,0.0,37.26597964496688,2.597517e-08
61.79,0.0,37.26555292836737,2.753222e-08
61.79,0.0,37.26515611925311,2.594606e-08
61.79,0.0,37.264730125298364,2.607703e-08
61.79,0.0,37.26435175705771,2.80852e-08
61.79,0.0,37.26390701021984,2.635352e-08
61.79,0.0,37.26349816834775,3.118475e-08
61.79,0.0,37.26306691799189,2.761954e-08
61.79,0.0,37.262664319722255,2.743036e-08
61.79,0.0,37.26226890570849,2.955494e-08
61.79,0.0,37.261833730315445,2.96277e-08
61.79,0.0,37.261413763871914,3.092282e-08
61.79,0.0,37.260998650119674,2.625166e-08
61.79,0.0,37.26056575206547,2.828892e-08
61.79,0.0,37.26015334496714,2.817251e-08
61.79,0.0,37.25973867925523,2.828892e-08
61.79,0.0,37.25932962874999,2.759043e-08
61.79,0.0,37.2588855171113,2.316665e-08
61.79,0.0,37.25847763388736,2.591696e-08
61.79,0.0,37.25803999276062,2.604793e-08
61.79,0.0,37.25764625171959,2.718298e-08
61.79,0.0,37.25724974352712,2.638262e-08
61.79,0.0,37.25681366599718,2.47237e-08
61.79,0.0,37.25638511106079,2.43017e-08
61.79,0.0,37.25595822232192,2.485467e-08
61.79,0.0,37.255553852840265,2.622255e-08
61.79,0.0,37.255152735486845,2.852175e-08
61.79,0.0,37.25471402827751,3.060268e-08
61.79,0.0,37.25431220245673,2.713932e-08
61.79,0.0,37.25389113514808,2.817251e-08
61.79,0.0,37.253463987758536,3.144669e-08
61.79,0.0,37.25305515184496,2.636807e-08
61.79,0.0,37.25266152489449,2.92639e-08
61.79,0.0,37.25222048068721,2.793968e-08
61.79,0.0,37.25182870098516,2.661545e-08
61.79,0.0,37.25138693549814,2.818706e-08
61.79,0.0,37.25097161342929,2.788147e-08
61.79,0.0,37.250536356756754,3.105379e-08
61.79,0.0,37.25013847710758,3.18978e-08
61.79,0.0,37.24970066221584,2.721208e-08
61.79,0.0,37.24929906723428,2.952584e-08
61.79,0.0,37.2488669794432,2.913293e-08
61.79,0.0,37.248442722925,2.54222e-08
61.79,0.0,37.248007394693346,2.910383e-08
61.79,0.0,37.24758553651838,2.879824e-08
61.79,0.0,37.247187308918264,2.761954e-08
61.79,0.0,37.24675783732162,2.863817e-08
61.79,0.0,37.246355252205845,2.882734e-08
61.79,0.0,37.24591347301119,2.844899e-08
61.79,0.0,37.24550344106703,3.11702e-08
61.79,0.0,37.245106490712196,2.788147e-08
61.79,0.0,37.24467214720521,2.96568e-08
61.79,0.0,37.244274223434275,2.686284e-08
61.79,0.0,37.24386600741727,2.679008e-08
61.79,0.0,37.243423307761844,2.913293e-08
61.79,0.0,37.24301252481948,3.010791e-08
61.79,0.0,37.24261354712632,3.112655e-08
61.79,0.0,37.242208981238115,2.841989e-08
61.79,0.0,37.241784397185434,2.96568e-08
61.79,0.0,37.24135206751369,2.913293e-08
61.79,0.0,37.240935670833736,2.904562e-08
61.79,0.0,37.240489472507626,3.009336e-08
61.79,0.0,37.24009535227965,2.408342e-08
61.79,0.0,37.23965940059918,2.501474e-08
61.79,0.0,37.23925086739462,2.804154e-08
61.79,0.0,37.23882681220025,2.825982e-08
61.79,0.0,37.23840802313791,3.198511e-08
61.79,0.0,37.237997013099736,2.871093e-08
61.79,0.0,37.23756387836583,2.852175e-08
61.79,0.0,37.237159346136536,3.03553e-08
61.79,0.0,37.23676354561632,3.261084e-08
61.79,0.0,37.23632346917624,2.594606e-08
61.79,0.0,37.23590107685236,2.69647e-08
61.79,0.0,37.235478320099915,2.500019e-08
61.79,0.0,37.235079303674794,2.120214e-08
61.79,0.0,37.23464510770158,4.135654e-08
61.79,0.0,37.234249967621025,2.115848e-08
61.79,0.0,37.23384382125092,2.126035e-08
61.79,0.0,37.233422034269424,2.756133e-08
61.79,0.0,37.23299157202398,3.197056e-08
61.79,0.0,37.232587025020344,3.243622e-08
61.79,0.0,37.23214975305502,3.034074e-08
61.79,0.0,37.23175769960432,2.980232e-08
61.79,0.0,37.23133746393437,3.016612e-08
61.79,0.0,37.23090598112921,3.393507e-08
61.79,0.0,37.23048905450105,3.147579e-08
61.79,0.0,37.2300557236245,2.956949e-08
61.79,0.0,37.22964028316581,2.879824e-08
61.79,0.0,37.22922270354023,2.92348e-08
61.79,0.0,37.22881788763934,2.913293e-08
61.79,0.0,37.22837127020769,3.127207e-08
61.79,0.0,37.22796232725045,3.015157e-08
61.79,0.0,37.227527002981844,2.759043e-08
61.79,0.0,37.227102042143024,2.843444e-08
61.79,0.0,37.22669547180185,2.859451e-08
61.79,0.0,37.22629244890627,2.920569e-08
61.79,0.0,37.22585829903591,2.809975e-08
61.79,0.0,37.22543870986948,2.661545e-08
61.79,0.0,37.225030311836775,2.987508e-08
61.79,0.0,37.22461641573076,3.169407e-08
61.79,0.0,37.22421185971741,2.99915e-08
61.79,0.0,37.223811624666325,2.922025e-08
61.79,0.0,37.22336463490436,2.798333e-08
61.79,0.0,37.22296347837435,2.777961e-08
61.79,0.0,37.22252613651716,2.954039e-08
61.79,0.0,37.222130890013425,2.818706e-08
61.79,0.0,37.221728681682144,2.874003e-08
61.79,0.0,37.221296225542865,2.596062e-08
61.79,0.0,37.220886066745635,2.652814e-08
61.79,0.0,37.22044400634832,2.818706e-08
61.79,0.0,37.22004061011951,2.712477e-08
61.79,0.0,37.21961282840958,2.676097e-08
61.79,0.0,37.21920865728257,2.705201e-08
61.79,0.0,37.21878048576973,2.913293e-08
61.79,0.0,37.21837294451613,3.160676e-08
61.79,0.0,37.217936288239564,2.901652e-08
61.79,0.0,37.21750942333675,2.968591e-08
61.79,0.0,37.21709265151167,2.588786e-08
61.79,0.0,37.21668439000776,2.719753e-08
61.79,0.0,37.216265362243384,2.709567e-08
61.79,0.0,37.21585502643443,2.552406e-08
61.79,0.0,37.215440695054816,2.863817e-08
61.79,0.0,37.21499704383024,2.895831e-08
61.79,0.0,37.21459864663323,3.130117e-08
61.79,0.0,37.21420004532809,2.879824e-08
61.79,0.0,37.213763588593075,2.824527e-08
61.79,0.0,37.21335602693856,3.096648e-08
61.79,0.0,37.21294409037935,2.910383e-08
61.79,0.0,37.21250501726703,2.898742e-08
61.79,0.0,37.21210500688729,2.54804e-08
61.79,0.0,37.21169931956977,2.686284e-08
61.79,0.0,37.21127433797746,2.767774e-08
61.79,0.0,37.21084418392771,2.744491e-08
61.79,0.0,37.21042774314881,2.240995e-08
61.79,0.0,37.2099872121725,2.852175e-08
61.79,0.0,37.20956163547153,2.162415e-08
61.79,0.0,37.209162886346476,2.569868e-08
61.79,0.0,37.20873006826023,2.916204e-08
61.79,0.0,37.208323829726,2.648449e-08
61.79,0.0,37.20790222807704,2.612069e-08
61.79,0.0,37.20747478790083,3.105379e-08
61.79,0.0,37.20703599671265,3.044261e-08
61.79,0.0,37.20663782090033,2.92639e-08
61.79,0.0,37.20620481432297,2.661545e-08
61.79,0.0,37.20580566540765,2.655725e-08
61.79,0.0,37.20539660734056,2.654269e-08
61.79,0.0,37.20497777138414,3.047171e-08
61.79,0.0,37.20454373008915,2.92639e-08
61.79,0.0,37.20414948505542,2.600427e-08
61.79,0.0,37.20375398575086,2.888555e-08
61.79,0.0,37.20332231609423,2.903107e-08
61.79,0.0,37.20290293104452,3.07482e-08
61.79,0.0,37.202492044107565,2.793968e-08
61.79,0.0,37.20205378260994,2.580055e-08
61.79,0.0,37.20164662281701,3.052992e-08
61.79,0.0,37.201233663508106,3.178138e-08
61.79,0.0,37.200814688904934,3.178138e-08
61.79,0.0,37.20038814543874,3.010791e-08
61.79,0.0,37.199961844679535,2.855086e-08
61.79,0.0,37.19955670371143,2.728484e-08
61.79,0.0,37.19912074722965,2.868182e-08
61.79,0.0,37.198718800376334,3.057357e-08
61.79,0.0,37.19829292654482,2.974411e-08
61.79,0.0,37.19788819426158,3.007881e-08
61.79,0.0,37.197445535322814,3.160676e-08
61.79,0.0,37.19703569911554,2.872548e-08
61.79,0.0,37.196602969723564,2.862362e-08
61.79,0.0,37.19620694060308,2.815796e-08
61.79,0.0,37.19577546534031,3.297464e-08
61.79,0.0,37.19536437495234,3.360037e-08
61.79,0.0,37.194954011057895,3.111199e-08
61.79,0.0,37.19451200722474,3.096648e-08
61.79,0.0,37.194119304777765,2.916204e-08
61.79,0.0,37.193715663735674,3.186869e-08
61.79,0.0,37.19328980863783,3.119931e-08
61.79,0.0,37.19287939844887,3.124296e-08
61.79,0.0,37.1924598835694,3.18978e-08
61.79,0.0,37.1920246702314,3.11702e-08
61.79,0.0,37.191633145621225,3.287278e-08
61.79,0.0,37.191202032953875,2.868182e-08
61.79,0.0,37.19079948719847,3.015157e-08
61.79,0.0,37.190354846750516,3.172318e-08
61.79,0.0,37.18994303407817,3.351306e-08
61.79,0.0,37.189499040968954,3.328023e-08
61.79,0.0,37.18909480946468,3.141758e-08
61.79,0.0,37.18867670649972,3.253808e-08
61.79,0.0,37.18826262117427,3.057357e-08
61.79,0.0,37.187829064585586,3.172318e-08
61.79,0.0,37.18740927488657,3.272726e-08
61.79,0.0,37.186993849561944,3.047171e-08
61.79,0.0,37.18656099463578,2.792513e-08
61.79,0.0,37.18616674231839,2.664456e-08
61.79,0.0,37.185735059856306,3.111199e-08
61.79,0.0,37.18532932492669,3.181049e-08
61.79,0.0,37.184919438744764,3.015157e-08
61.79,0.0,37.18451038885548,3.029709e-08
61.79,0.0,37.18407046233303,2.862362e-08
61.79,0.0,37.18367302064773,3.08064e-08
61.79,0.0,37.18327323216916,3.086461e-08
61.79,0.0,37.182831832559636,3.108289e-08
61.79,0.0,37.18242481880572,2.942397e-08
61.79,0.0,37.18201614825495,2.990419e-08
61.79,0.0,37.18158050320678,2.95986e-08
61.79,0.0,37.18118231958268,2.904562e-08
61.79,0.0,37.1807526668193,2.703746e-08
61.79,0.0,37.18034356036315,3.079185e-08
61.79,0.0,37.17990449682371,3.242167e-08
61.79,0.0,37.17949014912661,2.939487e-08
61.79,0.0,37.17905361760182,2.718298e-08
61.79,0.0,37.17865820781726,2.817251e-08
61.79,0.0,37.17822526080358,3.04135e-08
61.79,0.0,37.17782217411138,3.373134e-08
61.79,0.0,37.177380874503534,3.205787e-08
61.79,0.0,37.17697182147245,2.831803e-08
61.79,0.0,37.17652783010379,2.788147e-08
61.79,0.0,37.17613262262673,2.743036e-08
61.79,0.0,37.17573544937345,3.130117e-08
61.79,0.0,37.175300048568225,3.04135e-08
61.79,0.0,37.174889878725786,2.725574e-08
61.79,0.0,37.174480578447124,2.823072e-08
61.79,0.0,37.17404176243199,2.988963e-08
61.79,0.0,37.17364432816646,3.186869e-08
61.79,0.0,37.173249956410494,2.569868e-08
61.79,0.0,37.17281371349521,2.518937e-08
61.79,0.0,37.17239319772659,2.849265e-08
61.79,0.0,37.17198633594816,2.524757e-08
61.79,0.0,37.17155324076409,2.590241e-08
61.79,0.0,37.17113778602448,2.712477e-08
61.79,0.0,37.17072326286768,2.828892e-08
61.79,0.0,37.170318162879084,2.667366e-08
61.79,0.0,37.16987945186649,2.855086e-08
61.79,0.0,37.16943855595476,2.929301e-08
61.79,0.0,37.16901952355842,2.782326e-08
61.79,0.0,37.16859852209351,2.798333e-08
61.79,0.0,37.1681888159226,2.871093e-08
61.79,0.0,37.16776555974494,2.843444e-08
61.79,0.0,37.16735411596873,2.539309e-08
61.79,0.0,37.166935058979064,2.387969e-08
61.79,0.0,37.16650568363821,2.679008e-08
61.79,0.0,37.166105788265675,2.821616e-08
61.79,0.0,37.1656681625082,2.740126e-08
61.79,0.0,37.16527479732352,2.482557e-08
61.79,0.0,37.16484067681724,2.232264e-08
61.79,0.0,37.164420911894986,2.121669e-08
61.79,0.0,37.16401527058627,2.268644e-08
61.79,0.0,37.16359069150689,2.153683e-08
61.79,0.0,37.163170993485785,2.271554e-08
61.79,0.0,37.162781991223895,2.676097e-08
61.79,0.0,37.16236785850102,3.03553e-08
61.79,0.0,37.1619459362108,2.815796e-08
61.79,0.0,37.1615141262391,2.347224e-08
61.79,0.0,37.161089402865855,2.484012e-08
61.79,0.0,37.1606872664204,2.868182e-08
61.79,0.0,37.16025384454301,2.878369e-08
61.79,0.0,37.15984640336997,2.712477e-08
61.79,0.0,37.159421459811284,2.492743e-08
61.79,0.0,37.15899402359849,2.50584e-08
61.79,0.0,37.15856786752671,2.58151e-08
61.79,0.0,37.15817030073262,2.603338e-08
61.79,0.0,37.157737526656064,2.628076e-08
61.79,0.0,37.15733630980873,2.344314e-08
61.79,0.0,37.156914985620965,2.347224e-08
61.79,0.0,37.15648905497334,2.741581e-08
61.79,0.0,37.15605632349753,2.658635e-08
61.79,0.0,37.15565776865259,2.6208e-08
61.79,0.0,37.155259535330394,2.364686e-08
61.79,0.0,37.154822208947415,2.456363e-08
61.79,0.0,37.15440640445058,2.550951e-08
61.79,0.0,37.15399802436377,2.809975e-08
61.79,0.0,37.15356461574578,2.798333e-08
61.79,0.0,37.15316218171978,2.558227e-08
61.79,0.0,37.152770873972926,2.556772e-08
61.79,0.0,37.1523358014876,2.564047e-08
61.79,0.0,37.15191730399821,2.777961e-08
61.79,0.0,37.151474421037435,2.760498e-08
61.79,0.0,37.15106937712676,2.580055e-08
61.79,0.0,37.15065600556657,2.745946e-08
61.79,0.0,37.15024343961352,2.257002e-08
61.79,0.0,37.149810606806135,2.376328e-08
61.79,0.0,37.14938564508252,2.350134e-08
61.79,0.0,37.148976306269624,2.619345e-08
61.79,0.0,37.148542933594086,2.754678e-08
61.79,0.0,37.1481303951266,2.539309e-08
61.79,0.0,37.147709956172186,2.612069e-08
61.79,0.0,37.1472827807714,2.240995e-08
61.79,0.0,37.14687639425866,2.414163e-08
61.79,0.0,37.14645811302416,2.32103e-08
61.79,0.0,37.14602921452994,2.316665e-08
61.79,0.0,37.145607521959526,2.229353e-08
61.79,0.0,37.14519669144278,2.232264e-08
61.79,0.0,37.14480235206778,2.332672e-08
