Y_dimension(mm),Button,True_depth(m),meas,button_raw
59.579,0.0,11.342015625,3.569145e-08,0.0
59.579,0.0,11.341765625,3.55392e-08,0.0
59.579,0.0,11.341515625,3.564335e-08,0.0
59.579,0.0,11.341265625,3.5305e-08,0.0
59.579,0.0,11.341015625,3.5791e-08,0.0
59.579,0.0,11.340765625,3.584795e-08,0.0
59.579,0.0,11.340515625,3.591975e-08,0.0
59.579,0.0,11.340265625,3.558275e-08,0.0
59.579,0.0,11.340015625,3.58933e-08,0.0
59.579,0.0,11.339765625,3.5745e-08,0.0
59.579,0.0,11.339515625,3.555445e-08,0.0
59.579,0.0,11.339265625,3.58538e-08,0.0
59.579,0.0,11.339015625,3.59863e-08,0.0
59.579,0.0,11.338765625,3.59019e-08,0.0
59.579,0.0,11.338515625,3.5987e-08,0.0
59.579,0.0,11.338265625,3.569845e-08,0.0
59.579,0.0,11.338015625,3.58618e-08,0.0
59.579,0.0,11.337765625,3.591725e-08,0.0
59.579,0.0,11.337515625,3.5753150000000004e-08,0.0
59.579,0.0,11.337265625,3.62185e-08,0.0
59.579,0.0,11.337015625,3.58783e-08,0.0
59.579,0.0,11.336765625,3.57571e-08,0.0
59.579,0.0,11.336515625,3.564025e-08,0.0
59.579,0.0,11.336265625,3.57201e-08,0.0
59.579,0.0,11.336015625,3.5783e-08,0.0
59.579,0.0,11.335765625,3.56301e-08,0.0
59.579,0.0,11.335515625,3.56878e-08,0.0
59.579,0.0,11.335265625,3.55704e-08,0.0
59.579,0.0,11.335015625,3.56152e-08,0.0
59.579,0.0,11.334765625,3.569045e-08,0.0
59.579,0.0,11.334515625,3.539965e-08,0.0
59.579,0.0,11.334265625,3.57241e-08,0.0
59.579,0.0,11.334015625,3.58537e-08,0.0
59.579,0.0,11.333765625,3.572825e-08,0.0
59.579,0.0,11.333515625,3.5831100000000004e-08,0.0
59.579,0.0,11.333265625,3.57551e-08,0.0
59.579,0.0,11.333015625,3.57558e-08,0.0
59.579,0.0,11.332765625,3.55173e-08,0.0
59.579,0.0,11.332515625,3.55769e-08,0.0
59.579,0.0,11.332265625,3.57239e-08,0.0
59.579,0.0,11.332015625,3.56038e-08,0.0
59.579,0.0,11.331765625,3.55728e-08,0.0
59.579,0.0,11.331515625,3.550355e-08,0.0
59.579,0.0,11.331265625,3.54649e-08,0.0
59.579,0.0,11.331015625,3.549745e-08,0.0
59.579,0.0,11.330765625,3.53889e-08,0.0
59.579,0.0,11.330515625,3.552055e-08,0.0
59.579,0.0,11.330265625,3.53303e-08,0.0
59.579,0.0,11.330015625,3.550935e-08,0.0
59.579,0.0,11.329765625,3.55177e-08,0.0
59.579,0.0,11.329515625,3.56839e-08,0.0
59.579,0.0,11.329265625,3.56954e-08,0.0
59.579,0.0,11.329015625,3.52788e-08,0.0
59.579,0.0,11.328765625,3.53167e-08,0.0
59.579,0.0,11.328515625,3.55638e-08,0.0
59.579,0.0,11.328265625,3.5139050000000004e-08,0.0
59.579,0.0,11.328015625,3.50449e-08,0.0
59.579,0.0,11.327765625,3.525985e-08,0.0
59.579,0.0,11.327515625,3.53377e-08,0.0
59.579,0.0,11.327265625,3.51555e-08,0.0
59.579,0.0,11.327015625,3.509675e-08,0.0
59.579,0.0,11.326765625,3.49492e-08,0.0
59.579,0.0,11.326515625,3.52553e-08,0.0
59.579,0.0,11.326265625,3.522995e-08,0.0
59.579,0.0,11.326015625,3.50253e-08,0.0
59.579,0.0,11.325765625,3.50865e-08,0.0
59.579,0.0,11.325515625,3.511505e-08,0.0
59.579,0.0,11.325265625,3.47827e-08,0.0
59.579,0.0,11.325015625,3.477245e-08,0.0
59.579,0.0,11.324765625,3.47647e-08,0.0
59.579,0.0,11.324515625,3.4939e-08,0.0
59.579,0.0,11.324265625,3.49298e-08,0.0
59.579,0.0,11.324015625,3.5174900000000004e-08,0.0
59.579,0.0,11.323765625,3.494405e-08,0.0
59.579,0.0,11.323515625,3.49701e-08,0.0
59.579,0.0,11.323265625,3.46514e-08,0.0
59.579,0.0,11.323015625,3.4674e-08,0.0
59.579,0.0,11.322765625,3.47906e-08,0.0
59.579,0.0,11.322515625,3.473205e-08,0.0
59.579,0.0,11.322265625,3.47838e-08,0.0
59.579,0.0,11.322015625,3.464285e-08,0.0
59.579,0.0,11.321765625,3.474445e-08,0.0
59.579,0.0,11.321515625,3.4825e-08,0.0
59.579,0.0,11.321265625,3.45768e-08,0.0
59.579,0.0,11.321015625,3.45561e-08,0.0
59.579,0.0,11.320765625,3.445295e-08,0.0
59.579,0.0,11.320515625,3.44606e-08,0.0
59.579,0.0,11.320265625,3.44092e-08,0.0
59.579,0.0,11.320015625,3.435275e-08,0.0
59.579,0.0,11.319765625,3.428305e-08,0.0
59.579,0.0,11.319515625,3.41889e-08,0.0
59.579,0.0,11.319265625,3.41611e-08,0.0
59.579,0.0,11.319015625,3.38845e-08,0.0
59.579,0.0,11.318765625,3.3926050000000005e-08,0.0
59.579,0.0,11.318515625,3.3977300000000003e-08,0.0
59.579,0.0,11.318265625,3.36192e-08,0.0
59.579,0.0,11.318015625,3.40268e-08,0.0
59.579,0.0,11.317765625,3.4091e-08,0.0
59.579,0.0,11.317515625,3.385815e-08,0.0
59.579,0.0,11.317265625,3.37406e-08,0.0
59.579,0.0,11.317015625,3.38375e-08,0.0
59.579,0.0,11.316765625,3.358385e-08,0.0
59.579,0.0,11.316515625,3.3640300000000005e-08,0.0
59.579,0.0,11.316265625,3.36638e-08,0.0
59.579,0.0,11.316015625,3.4131150000000005e-08,0.0
59.579,0.0,11.315765625,3.36871e-08,0.0
59.579,0.0,11.315515625,3.356885e-08,0.0
59.579,0.0,11.315265625,3.35946e-08,0.0
59.579,0.0,11.315015625,3.363005e-08,0.0
59.579,0.0,11.314765625,3.343635e-08,0.0
59.579,0.0,11.314515625,3.35076e-08,0.0
59.579,0.0,11.314265625,3.34626e-08,0.0
59.579,0.0,11.314015625,3.374205e-08,0.0
59.579,0.0,11.313765625,3.33445e-08,0.0
59.579,0.0,11.313515625,3.33615e-08,0.0
59.579,0.0,11.313265625,3.332945e-08,0.0
59.579,0.0,11.313015625,3.33563e-08,0.0
59.579,0.0,11.312765625,3.339255e-08,0.0
59.579,0.0,11.312515625,3.367705e-08,0.0
59.579,0.0,11.312265625,3.35047e-08,0.0
59.579,0.0,11.312015625,3.357715e-08,0.0
59.579,0.0,11.311765625,3.31211e-08,0.0
59.579,0.0,11.311515625,3.31543e-08,0.0
59.579,0.0,11.311265625,3.30571e-08,0.0
59.579,0.0,11.311015625,3.32628e-08,0.0
59.579,0.0,11.310765625,3.3273e-08,0.0
59.579,0.0,11.310515625,3.35524e-08,0.0
59.579,0.0,11.310265625,3.34402e-08,0.0
59.579,0.0,11.310015625,3.341675e-08,0.0
59.579,0.0,11.309765625,3.33123e-08,0.0
59.579,0.0,11.309515625,3.32871e-08,0.0
59.579,0.0,11.309265625,3.345025e-08,0.0
59.579,0.0,11.309015625,3.3213200000000005e-08,0.0
59.579,0.0,11.308765625,3.37169e-08,0.0
59.579,0.0,11.308515625,3.3183450000000005e-08,0.0
59.579,0.0,11.308265625,3.35763e-08,0.0
59.579,0.0,11.308015625,3.349995e-08,0.0
59.579,0.0,11.307765625,3.3616450000000006e-08,0.0
59.579,0.0,11.307515625,3.36666e-08,0.0
59.579,0.0,11.307265625,3.38271e-08,0.0
59.579,0.0,11.307015625,3.406175e-08,0.0
59.579,0.0,11.306765625,3.38338e-08,0.0
59.579,0.0,11.306515625,3.3799e-08,0.0
59.579,0.0,11.306265625,3.36612e-08,0.0
59.579,0.0,11.306015625,3.39941e-08,0.0
59.579,0.0,11.305765625,3.381285e-08,0.0
59.579,0.0,11.305515625,3.38173e-08,0.0
59.579,0.0,11.305265625,3.469835e-08,0.0
59.579,0.0,11.305015625,3.403095e-08,0.0
59.579,0.0,11.304765625,3.37373e-08,0.0
59.579,0.0,11.304515625,3.35546e-08,0.0
59.579,0.0,11.304265625,3.38286e-08,0.0
59.579,0.0,11.304015625,3.373945e-08,0.0
59.579,0.0,11.303765625,3.378685e-08,0.0
59.579,0.0,11.303515625,3.39417e-08,0.0
59.579,0.0,11.303265625,3.37295e-08,0.0
59.579,0.0,11.303015625,3.37892e-08,0.0
59.579,0.0,11.302765625,3.3740900000000005e-08,0.0
59.579,0.0,11.302515625,3.37272e-08,0.0
59.579,0.0,11.302265625,3.332505e-08,0.0
59.579,0.0,11.302015625,3.343145e-08,0.0
59.579,0.0,11.301765625,3.3383e-08,0.0
59.579,0.0,11.301515625,3.34138e-08,0.0
59.579,0.0,11.301265625,3.3558249999999995e-08,0.0
59.579,0.0,11.301015625,3.33789e-08,0.0
59.579,0.0,11.300765625,3.36091e-08,0.0
59.579,0.0,11.300515625,3.32809e-08,0.0
59.579,0.0,11.300265625,3.2865750000000004e-08,0.0
59.579,0.0,11.300015625,3.29358e-08,0.0
59.579,0.0,11.299765625,3.286865e-08,0.0
59.579,0.0,11.299515625,3.29696e-08,0.0
59.579,0.0,11.299265625,3.296745e-08,0.0
59.579,0.0,11.299015625,3.300275e-08,0.0
59.579,0.0,11.298765625,3.297985e-08,0.0
59.579,0.0,11.298515625,3.29302e-08,0.0
59.579,0.0,11.298265625,3.30146e-08,0.0
59.579,0.0,11.298015625,3.2749e-08,0.0
59.579,0.0,11.297765625,3.3649049999999995e-08,0.0
59.579,0.0,11.297515625,3.2931e-08,0.0
59.579,0.0,11.297265625,3.279725e-08,0.0
59.579,0.0,11.297015625,3.2940599999999995e-08,0.0
59.579,0.0,11.296765625,3.28132e-08,0.0
59.579,0.0,11.296515625,3.32986e-08,0.0
59.579,0.0,11.296265625,3.310545e-08,0.0
59.579,0.0,11.296015625,3.28873e-08,0.0
59.579,0.0,11.295765625,3.27756e-08,0.0
59.579,0.0,11.295515625,3.254405e-08,0.0
59.579,0.0,11.295265625,3.27898e-08,0.0
59.579,0.0,11.295015625,3.263435e-08,0.0
59.579,0.0,11.294765625,3.23615e-08,0.0
59.579,0.0,11.294515625,3.26135e-08,0.0
59.579,0.0,11.294265625,3.296965e-08,0.0
59.579,0.0,11.294015625,3.297675e-08,0.0
59.579,0.0,11.293765625,3.28214e-08,0.0
59.579,0.0,11.293515625,3.291015e-08,0.0
59.579,0.0,11.293265625,3.30348e-08,0.0
59.579,0.0,11.293015625,3.283215e-08,0.0
59.579,0.0,11.292765625,3.31103e-08,0.0
59.579,0.0,11.292515625,3.28883e-08,0.0
59.579,0.0,11.292265625,3.288915e-08,0.0
59.579,0.0,11.292015625,3.283055e-08,0.0
59.579,0.0,11.291765625,3.29289e-08,0.0
59.579,0.0,11.291515625,3.28031e-08,0.0
59.579,0.0,11.291265625,3.30474e-08,0.0
59.579,0.0,11.291015625,3.297225e-08,0.0
59.579,0.0,11.290765625,3.25479e-08,0.0
59.579,0.0,11.290515625,3.27609e-08,0.0
59.579,0.0,11.290265625,3.27126e-08,0.0
59.579,0.0,11.290015625,3.264435e-08,0.0
59.579,0.0,11.289765625,3.22073e-08,0.0
59.579,0.0,11.289515625,3.2537400000000004e-08,0.0
59.579,0.0,11.289265625,3.26073e-08,0.0
59.579,0.0,11.289015625,3.280135e-08,0.0
59.579,0.0,11.288765625,3.24222e-08,0.0
59.579,0.0,11.288515625,3.25652e-08,0.0
59.579,0.0,11.288265625,3.253915e-08,0.0
