Y_dimension(mm),Button,True_depth(m),meas
57.768,0.0,14.453470313,3.10751e-08
57.768,0.0,14.453220313000001,3.12424e-08
57.768,0.0,14.452970313,3.14495e-08
57.768,0.0,14.452720313,3.15046e-08
57.768,0.0,14.452470313000001,3.14843e-08
57.768,0.0,14.452220313,3.153675e-08
57.768,0.0,14.451970313,3.135115e-08
57.768,0.0,14.451720313000001,3.131125e-08
57.768,0.0,14.451470313,3.12886e-08
57.768,0.0,14.451220313,3.12607e-08
57.768,0.0,14.450970313000001,3.13378e-08
57.768,0.0,14.450720313,3.13264e-08
57.768,0.0,14.450470313,3.09782e-08
57.768,0.0,14.450220313,3.079555e-08
57.768,0.0,14.449970313,3.07141e-08
57.768,1.0,14.449720313,3.052505e-08
57.768,1.0,14.449470313,3.06021e-08
57.768,1.0,14.449220313,3.031915e-08
57.768,1.0,14.448970313,3.01022e-08
57.768,1.0,14.448720313,3.0094500000000005e-08
57.768,1.0,14.448470313,2.96961e-08
57.768,1.0,14.448220313,2.96758e-08
57.768,1.0,14.447970313,2.9367e-08
57.768,1.0,14.447720313000001,2.943285e-08
57.768,1.0,14.447470313,2.94418e-08
57.768,1.0,14.447220313,2.8963900000000002e-08
57.768,1.0,14.446970313000001,2.87674e-08
57.768,1.0,14.446720313,2.89336e-08
57.768,1.0,14.446470313,2.84289e-08
57.768,1.0,14.446220313000001,2.8251900000000002e-08
57.768,1.0,14.445970313,2.80928e-08
57.768,1.0,14.445720313,2.776345e-08
57.768,1.0,14.445470313000001,2.75478e-08
57.768,1.0,14.445220313,2.74436e-08
57.768,1.0,14.444970313,2.70744e-08
57.768,1.0,14.444720313000001,2.68873e-08
57.768,1.0,14.444470313,2.6611e-08
57.768,1.0,14.444220313,2.65133e-08
57.768,1.0,14.443970313000001,2.6426e-08
57.768,1.0,14.443720313,2.60533e-08
57.768,1.0,14.443470313,2.593465e-08
57.768,1.0,14.443220313000001,2.54674e-08
57.768,1.0,14.442970313,2.546555e-08
57.768,1.0,14.442720313,2.523595e-08
57.768,1.0,14.442470313000001,2.49088e-08
57.768,1.0,14.442220313,2.482855e-08
57.768,1.0,14.441970313,2.44462e-08
57.768,1.0,14.441720313000001,2.43628e-08
57.768,1.0,14.441470313,2.439725e-08
57.768,1.0,14.441220313,2.4111e-08
57.768,1.0,14.440970313000001,2.38238e-08
57.768,1.0,14.440720313,2.37004e-08
57.768,1.0,14.440470313,2.346035e-08
57.768,1.0,14.440220313000001,2.354225e-08
57.768,1.0,14.439970313,2.322215e-08
57.768,1.0,14.439720313,2.29649e-08
57.768,1.0,14.439470313000001,2.29224e-08
57.768,1.0,14.439220313,2.29882e-08
57.768,1.0,14.438970313,2.29833e-08
57.768,1.0,14.438720313000001,2.305795e-08
57.768,1.0,14.438470313,2.2819e-08
57.768,1.0,14.438220313,2.30789e-08
57.768,1.0,14.437970313000001,2.30448e-08
57.768,1.0,14.437720313,2.30067e-08
57.768,1.0,14.437470313,2.3350650000000006e-08
57.768,1.0,14.437220313000001,2.314495e-08
57.768,1.0,14.436970313,2.32438e-08
57.768,1.0,14.436720313,2.34185e-08
57.768,1.0,14.436470313000001,2.34612e-08
57.768,1.0,14.436220313,2.363065e-08
57.768,1.0,14.435970313,2.374965e-08
57.768,1.0,14.435720313000001,2.41659e-08
57.768,1.0,14.435470313,2.430155e-08
57.768,1.0,14.435220313,2.433435e-08
57.768,1.0,14.434970313,2.44527e-08
57.768,1.0,14.434720313,2.47227e-08
57.768,1.0,14.434470313,2.4954e-08
57.768,1.0,14.434220313,2.50744e-08
57.768,1.0,14.433970313,2.523325e-08
57.768,1.0,14.433720313,2.53944e-08
57.768,1.0,14.433470313,2.575885e-08
57.768,1.0,14.433220313,2.58121e-08
57.768,1.0,14.432970313,2.59058e-08
57.768,1.0,14.432720313,2.59737e-08
57.768,1.0,14.432470313,2.61297e-08
57.768,1.0,14.432220313,2.63258e-08
57.768,1.0,14.431970313,2.65725e-08
57.768,1.0,14.431720313,2.646015e-08
57.768,1.0,14.431470313,2.6551e-08
57.768,1.0,14.431220313,2.64638e-08
57.768,1.0,14.430970313,2.668505e-08
57.768,1.0,14.430720313,2.69226e-08
57.768,1.0,14.430470313,2.68447e-08
57.768,1.0,14.430220313,2.675605e-08
57.768,1.0,14.429970313,2.683135e-08
57.768,1.0,14.429720313,2.70171e-08
57.768,1.0,14.429470313,2.69898e-08
57.768,1.0,14.429220313,2.68405e-08
57.768,1.0,14.428970313,2.69786e-08
57.768,1.0,14.428720313,2.70363e-08
57.768,1.0,14.428470313,2.69063e-08
57.768,1.0,14.428220313,2.6989e-08
57.768,1.0,14.427970313,2.67693e-08
57.768,1.0,14.427720313,2.67662e-08
57.768,1.0,14.427470313,2.6794250000000002e-08
57.768,1.0,14.427220313,2.669505e-08
57.768,1.0,14.426970313,2.6808e-08
57.768,1.0,14.426720313,2.6668200000000002e-08
57.768,1.0,14.426470313000001,2.66924e-08
57.768,1.0,14.426220313,2.6515000000000003e-08
57.768,1.0,14.425970313,2.6775e-08
57.768,1.0,14.425720313000001,2.65318e-08
57.768,1.0,14.425470313,2.66238e-08
57.768,1.0,14.425220313,2.674255e-08
57.768,1.0,14.424970313000001,2.66402e-08
57.768,1.0,14.424720313,2.67796e-08
57.768,1.0,14.424470313,2.643795e-08
57.768,1.0,14.424220313000001,2.66343e-08
57.768,1.0,14.423970313,2.625635e-08
57.768,1.0,14.423720313,2.66755e-08
57.768,1.0,14.423470313000001,2.636265e-08
57.768,1.0,14.423220313,2.6319050000000002e-08
57.768,1.0,14.422970313,2.61858e-08
57.768,1.0,14.422720313000001,2.62418e-08
57.768,1.0,14.422470313,2.62042e-08
57.768,1.0,14.422220313,2.636215e-08
57.768,1.0,14.421970313000001,2.62612e-08
57.768,1.0,14.421720313,2.61232e-08
57.768,1.0,14.421470313,2.614365e-08
57.768,1.0,14.421220313000001,2.626125e-08
57.768,1.0,14.420970313,2.63498e-08
57.768,1.0,14.420720313,2.62031e-08
57.768,1.0,14.420470313000001,2.59723e-08
57.768,1.0,14.420220313,2.597055e-08
57.768,1.0,14.419970313,2.58457e-08
57.768,1.0,14.419720313000001,2.593735e-08
57.768,1.0,14.419470313,2.599725e-08
57.768,1.0,14.419220313,2.568e-08
57.768,1.0,14.418970313,2.57865e-08
57.768,1.0,14.418720313,2.59159e-08
57.768,1.0,14.418470313,2.59574e-08
57.768,1.0,14.418220313,2.564335e-08
57.768,1.0,14.417970313,2.5829e-08
57.768,1.0,14.417720313,2.559025e-08
57.768,1.0,14.417470313,2.55049e-08
57.768,1.0,14.417220313,2.5234900000000002e-08
57.768,1.0,14.416970313,2.52392e-08
57.768,1.0,14.416720313,2.54001e-08
57.768,1.0,14.416470313000001,2.545995e-08
57.768,1.0,14.416220313,2.517435e-08
57.768,1.0,14.415970313,2.53667e-08
57.768,1.0,14.415720313000001,2.530215e-08
57.768,1.0,14.415470313,2.55638e-08
57.768,1.0,14.415220313,2.536425e-08
57.768,1.0,14.414970313000001,2.53469e-08
57.768,1.0,14.414720313,2.52575e-08
57.768,1.0,14.414470313,2.525095e-08
57.768,1.0,14.414220313000001,2.55022e-08
57.768,1.0,14.413970313,2.56681e-08
57.768,1.0,14.413720313,2.52503e-08
