Y_dimension(mm),Button,True_depth(m),meas,button_raw
36.444,0.0,126.9375796875,1.782371e-05,0.0
36.444,0.0,126.9375796875,-2.95334e-06,0.0
36.444,0.0,126.93746756293254,-2.088753e-06,0.0
36.444,0.0,126.93733605303684,-1.521999e-06,0.0
36.444,0.0,126.93713172819436,-1.084394e-06,0.0
36.444,0.0,126.93689557399304,-7.480412e-07,0.0
36.444,0.0,126.93663450392566,-5.816401e-07,0.0
36.444,0.0,126.93631787875022,-4.329631e-07,0.0
36.444,0.0,126.93599621330644,-2.366432e-07,0.0
36.444,0.0,126.93560077807906,-9.30886e-08,0.0
36.444,0.0,126.93518100176176,5.082984e-08,0.0
36.444,0.0,126.9347729359298,1.076696e-07,0.0
36.444,0.0,126.93434268257612,1.236331e-07,0.0
36.444,0.0,126.93394821519024,1.77577e-07,0.0
36.444,0.0,126.93351345182002,2.467568e-07,0.0
36.444,0.0,126.9331158595693,2.82962e-07,0.0
36.444,0.0,126.93268938514142,3.108144e-07,0.0
36.444,0.0,126.93227406293413,3.291934e-07,0.0
36.444,0.0,126.93183484500676,3.055466e-07,0.0
36.444,0.0,126.9314545047304,3.187306e-07,0.0
36.444,0.0,126.93104510162476,3.36513e-07,0.0
36.444,0.0,126.9306355273726,3.601162e-07,0.0
36.444,0.0,126.9302078282862,3.727182e-07,0.0
36.444,0.0,126.92977954366388,3.693131e-07,0.0
36.444,0.0,126.92937679029286,3.72529e-07,0.0
36.444,0.0,126.92894067997966,3.663299e-07,0.0
36.444,0.0,126.92854178047254,3.880996e-07,0.0
36.444,0.0,126.92811691105425,4.056201e-07,0.0
36.444,0.0,126.92767808038091,4.01109e-07,0.0
36.444,0.0,126.92726303355674,3.795722e-07,0.0
36.444,0.0,126.92683583797204,3.853056e-07,0.0
36.444,0.0,126.9264146478908,3.813475e-07,0.0
36.444,0.0,126.92600480367992,3.720197e-07,0.0
36.444,0.0,126.92560534760848,3.755995e-07,0.0
36.444,0.0,126.92516206647004,3.616005e-07,0.0
36.444,0.0,126.92474169077998,3.601453e-07,0.0
36.444,0.0,126.92429830637766,3.795576e-07,0.0
36.444,0.0,126.92391498147992,3.710447e-07,0.0
36.444,0.0,126.92351961387276,3.480818e-07,0.0
36.444,0.0,126.92308844673929,3.433379e-07,0.0
36.444,0.0,126.92268134670095,3.639871e-07,0.0
36.444,0.0,126.9222397905784,3.687455e-07,0.0
36.444,0.0,126.92183100046655,3.416353e-07,0.0
36.444,0.0,126.92143620074845,3.677997e-07,0.0
36.444,0.0,126.92100474996433,4.044123e-07,0.0
36.444,0.0,126.92060438603085,4.078756e-07,0.0
36.444,0.0,126.92016602205044,3.945752e-07,0.0
36.444,0.0,126.9197556630861,4.152971e-07,0.0
36.444,0.0,126.91934945729864,4.246103e-07,0.0
36.444,0.0,126.91891774177428,4.3826e-07,0.0
36.444,0.0,126.91846790681596,4.44561e-07,0.0
36.444,0.0,126.9180938673535,4.472677e-07,0.0
36.444,0.0,126.91765084964172,4.141621e-07,0.0
36.444,0.0,126.91723341315664,3.806781e-07,0.0
36.444,0.0,126.91679499698752,3.660534e-07,0.0
36.444,0.0,126.91639518878593,3.854075e-07,0.0
