Y_dimension(mm),Button,True_depth(m),meas,button_raw
43.331,0.0,127.59615,2.60872e-10,0.0
43.331,0.0,127.5959,3.0820000000000003e-10,0.0
43.331,0.0,127.59565,4.20748e-10,0.0
43.331,0.0,127.5954,3.5645199999999996e-10,0.0
43.331,1.0,127.59515,3.26132e-10,0.0
43.331,1.0,127.5949,3.5271150000000003e-10,0.0
43.331,1.0,127.59465,1.8410767499999998e-10,0.0
43.331,1.0,127.5944,3.24255e-10,0.0
43.331,1.0,127.59415,4.66e-10,0.0
43.331,1.0,127.5939,3.0354635e-10,0.0
43.331,1.0,127.59365,3.739205e-10,0.0
43.331,1.0,127.5934,3.71624e-10,0.0
43.331,1.0,127.59315,5.94724e-10,0.0
43.331,1.0,127.5929,4.293305e-10,0.0
43.331,1.0,127.59265,3.634695e-10,0.0
43.331,1.0,127.5924,5.27725e-10,0.0
43.331,1.0,127.59215,3.27084e-10,0.0
43.331,1.0,127.5919,3.43052e-10,0.0
43.331,1.0,127.59165,8.58179e-10,0.0
43.331,1.0,127.5914,7.16875e-10,0.0
43.331,1.0,127.59115,3.44354e-10,0.0
43.331,1.0,127.5909,3.21864e-10,0.0
43.331,1.0,127.59065,2.98802e-10,0.0
43.331,1.0,127.5904,-2.84605e-10,0.0
43.331,1.0,127.59015,5.806585e-10,0.0
43.331,1.0,127.5899,5.49748e-10,0.0
43.331,1.0,127.58965,1.9839e-10,0.0
43.331,1.0,127.5894,3.44309e-10,0.0
43.331,1.0,127.58915,2.6352984999999997e-10,0.0
43.331,1.0,127.5889,3.970195e-10,0.0
43.331,1.0,127.58865,3.68472e-10,0.0
43.331,1.0,127.5884,4.89977e-10,0.0
43.331,1.0,127.58815,2.1752685e-10,0.0
43.331,1.0,127.5879,4.4488950000000005e-10,0.0
43.331,1.0,127.58765,3.44195e-10,0.0
43.331,1.0,127.5874,2.479675e-10,0.0
43.331,1.0,127.58715,5.44508e-10,0.0
43.331,1.0,127.5869,6.327655000000001e-10,0.0
43.331,1.0,127.58665,8.50722e-10,0.0
43.331,1.0,127.5864,2.9936999999999997e-10,0.0
43.331,1.0,127.58615,2.88584e-10,0.0
43.331,1.0,127.5859,4.92157e-10,0.0
43.331,1.0,127.58565,3.40918e-10,0.0
43.331,1.0,127.5854,3.141375e-10,0.0
43.331,1.0,127.58515,1.22262e-10,0.0
43.331,1.0,127.5849,4.60231e-10,0.0
43.331,1.0,127.58465,3.53325e-10,0.0
43.331,1.0,127.5844,2.2129885e-10,0.0
43.331,1.0,127.58415,2.72465e-10,0.0
43.331,1.0,127.5839,3.361315e-10,0.0
43.331,1.0,127.58365,3.29335e-10,0.0
43.331,1.0,127.5834,3.952555e-10,0.0
43.331,1.0,127.58315,-2.38711e-11,0.0
43.331,1.0,127.5829,3.078285e-10,0.0
43.331,1.0,127.58265,1.26093e-10,0.0
43.331,1.0,127.5824,1.5887350000000002e-10,0.0
43.331,1.0,127.58215,5.00894e-10,0.0
43.331,1.0,127.5819,4.560255e-11,0.0
43.331,1.0,127.58165,9.5458e-11,0.0
43.331,1.0,127.5814,3.49299e-10,0.0
43.331,1.0,127.58115,2.713965e-10,0.0
43.331,1.0,127.5809,3.036e-10,0.0
43.331,1.0,127.58065,3.5412399999999994e-10,0.0
43.331,1.0,127.5804,-1.83188e-10,0.0
43.331,1.0,127.58015,2.9904399999999997e-10,0.0
43.331,1.0,127.5799,3.31752e-10,0.0
43.331,1.0,127.57965,-1.20285e-11,0.0
43.331,1.0,127.5794,2.495715e-10,0.0
43.331,1.0,127.57915,7.24131e-10,0.0
43.331,1.0,127.5789,3.023485e-10,0.0
43.331,1.0,127.57865,2.87016e-10,0.0
43.331,1.0,127.5784,4.5741415e-11,0.0
43.331,1.0,127.57815,3.76248e-10,0.0
43.331,1.0,127.5779,3.76693e-10,0.0
43.331,1.0,127.57765,-5.59661e-11,0.0
43.331,1.0,127.5774,1.176342e-10,0.0
43.331,1.0,127.57715,4.09855e-10,0.0
43.331,1.0,127.5769,6.97262e-11,0.0
43.331,1.0,127.57665,2.66573e-10,0.0
43.331,1.0,127.5764,1.2535014999999998e-10,0.0
43.331,1.0,127.57615,2.10863e-10,0.0
43.331,1.0,127.5759,2.783115e-10,0.0
43.331,1.0,127.57565,8.66519e-10,0.0
43.331,1.0,127.5754,2.40449e-10,0.0
43.331,1.0,127.57515,1.138207e-10,0.0
43.331,1.0,127.5749,2.48297e-10,0.0
43.331,1.0,127.57465,3.33702e-10,0.0
43.331,1.0,127.5744,3.420705e-10,0.0
43.331,1.0,127.57415,3.91064e-11,0.0
43.331,1.0,127.5739,-1.4753e-11,0.0
43.331,1.0,127.57365,1.76846e-10,0.0
43.331,1.0,127.5734,9.556665e-11,0.0
43.331,1.0,127.57315,-5.97684e-11,0.0
43.331,1.0,127.5729,9.6272e-11,0.0
43.331,1.0,127.57265,-6.63787e-11,0.0
43.331,1.0,127.5724,1.55142e-10,0.0
43.331,1.0,127.57215,1.54424e-10,0.0
43.331,1.0,127.5719,8.84851e-11,0.0
43.331,1.0,127.57165,3.69188e-11,0.0
43.331,1.0,127.5714,3.51828e-10,0.0
43.331,1.0,127.57115,-8.481100000000001e-11,0.0
43.331,1.0,127.5709,2.187455e-10,0.0
43.331,1.0,127.57065,-3.45422e-11,0.0
43.331,1.0,127.5704,1.916565e-10,0.0
43.331,1.0,127.57015,1.7074854999999998e-10,0.0
43.331,1.0,127.5699,2.85334e-10,0.0
43.331,1.0,127.56965,-2.04467e-10,0.0
43.331,1.0,127.5694,1.93402e-10,0.0
43.331,1.0,127.56915,1.26496e-10,0.0
43.331,1.0,127.5689,3.17448e-10,0.0
43.331,1.0,127.56865,1.081148e-10,0.0
43.331,1.0,127.5684,2.43289e-10,0.0
43.331,1.0,127.56815,1.60771e-10,0.0
43.331,1.0,127.5679,2.184755e-10,0.0
43.331,1.0,127.56765,2.494e-10,0.0
43.331,1.0,127.5674,1.1150895e-10,0.0
43.331,1.0,127.56715,-8.357299999999999e-11,0.0
43.331,1.0,127.5669,1.01457e-09,0.0
43.331,1.0,127.56665,7.16641e-11,0.0
43.331,1.0,127.5664,2.957225e-10,0.0
43.331,1.0,127.56615,1.11533e-10,0.0
43.331,1.0,127.5659,-1.69694e-10,0.0
43.331,1.0,127.56565,2.59184e-10,0.0
43.331,1.0,127.5654,1.08350525e-10,0.0
43.331,1.0,127.56515,4.01331e-10,0.0
43.331,1.0,127.5649,5.36564e-10,0.0
43.331,1.0,127.56465,1.315323e-10,0.0
43.331,1.0,127.5644,1.950945e-10,0.0
43.331,1.0,127.56415,3.65339e-10,0.0
43.331,1.0,127.5639,5.51232e-11,0.0
43.331,1.0,127.56365,-3.9709655e-10,0.0
43.331,1.0,127.5634,1.96663e-10,0.0
43.331,1.0,127.56315,-6.82004e-11,0.0
43.331,1.0,127.5629,2.26955e-10,0.0
43.331,1.0,127.56265,1.61559e-10,0.0
43.331,1.0,127.5624,1.956495e-10,0.0
43.331,1.0,127.56215,1.6848e-10,0.0
43.331,1.0,127.5619,-1.98423e-10,0.0
43.331,1.0,127.56165,-1.225148e-10,0.0
43.331,1.0,127.5614,2.83385e-10,0.0
43.331,1.0,127.56115,1.606057e-10,0.0
43.331,1.0,127.5609,-4.56992e-10,0.0
43.331,1.0,127.56065,2.83519e-10,0.0
43.331,1.0,127.5604,-3.771945e-10,0.0
43.331,1.0,127.56015,1.1349755e-10,0.0
43.331,1.0,127.5599,2.22439e-11,0.0
43.331,1.0,127.55965,-6.535425e-11,0.0
43.331,1.0,127.5594,1.94041e-10,0.0
43.331,1.0,127.55915,5.036315e-10,0.0
43.331,1.0,127.5589,2.84669e-10,0.0
43.331,1.0,127.55865,-1.1061699999999999e-10,0.0
43.331,1.0,127.5584,-5.341625e-11,0.0
43.331,1.0,127.55815,3.0672235e-10,0.0
43.331,1.0,127.5579,-6.06297e-11,0.0
43.331,1.0,127.55765,7.683845e-11,0.0
43.331,1.0,127.5574,6.14725e-11,0.0
43.331,1.0,127.55715,3.024e-10,0.0
43.331,1.0,127.5569,1.163476e-10,0.0
43.331,1.0,127.55665,3.33986e-10,0.0
43.331,1.0,127.5564,1.8980295e-10,0.0
43.331,1.0,127.55615,1.65329e-10,0.0
43.331,1.0,127.5559,1.94227e-10,0.0
43.331,1.0,127.55565,-1.58213e-10,0.0
43.331,1.0,127.5554,3.88997e-11,0.0
43.331,1.0,127.55515,2.2722e-11,0.0
43.331,1.0,127.5549,-3.04514e-10,0.0
43.331,1.0,127.55465,1.634405e-10,0.0
43.331,1.0,127.5544,-1.15911e-10,0.0
43.331,1.0,127.55415,-3.657999999999999e-12,0.0
43.331,1.0,127.5539,1.91636e-10,0.0
43.331,1.0,127.55365,1.8239074e-10,0.0
43.331,1.0,127.5534,-6.03417e-11,0.0
43.331,1.0,127.55315,-3.56146e-11,0.0
43.331,1.0,127.5529,7.25342e-11,0.0
43.331,1.0,127.55265,5.40129e-11,0.0
43.331,1.0,127.5524,-1.0049999999999621e-13,0.0
43.331,1.0,127.55215,4.07875e-11,0.0
43.331,1.0,127.5519,1.13223e-10,0.0
43.331,1.0,127.55165,1.3104999999999993e-13,0.0
43.331,1.0,127.5514,9.44754e-11,0.0
43.331,1.0,127.55115,3.48836e-10,0.0
43.331,1.0,127.5509,-3.13946e-12,0.0
43.331,1.0,127.55065,2.876555e-11,0.0
43.331,1.0,127.5504,1.79862e-10,0.0
43.331,1.0,127.55015,2.54609e-11,0.0
43.331,1.0,127.5499,3.228915e-10,0.0
43.331,1.0,127.54965,1.65155e-10,0.0
43.331,1.0,127.5494,1.557643e-10,0.0
43.331,1.0,127.54915,1.33962e-10,0.0
43.331,1.0,127.5489,9.09519e-11,0.0
43.331,1.0,127.54865,-2.467435e-10,0.0
43.331,1.0,127.5484,1.137565e-10,0.0
43.331,1.0,127.54815,1.49566e-10,0.0
43.331,1.0,127.5479,-4.938465e-11,0.0
43.331,1.0,127.54765,1.27961e-10,0.0
43.331,1.0,127.5474,2.405829e-10,0.0
43.331,1.0,127.54715,-4.38153e-10,0.0
43.331,1.0,127.5469,5.5478e-11,0.0
43.331,1.0,127.54665,-7.906e-11,0.0
43.331,1.0,127.5464,3.6709000000000006e-11,0.0
43.331,1.0,127.54615,4.91207e-11,0.0
43.331,1.0,127.5459,-4.629350000000001e-12,0.0
43.331,1.0,127.54565,-2.0206e-10,0.0
43.331,1.0,127.5454,1.6768299999999998e-11,0.0
43.331,1.0,127.54515,-7.40486e-10,0.0
43.331,1.0,127.5449,2.738399999999999e-12,0.0
43.331,1.0,127.54465,7.43137e-11,0.0
43.331,1.0,127.5444,-4.5994500000000014e-11,0.0
43.331,1.0,127.54415,1.01771e-10,0.0
43.331,1.0,127.5439,1.780445e-10,0.0
43.331,1.0,127.54365,3.45576e-10,0.0
43.331,1.0,127.5434,9.493395e-11,0.0
43.331,1.0,127.54315,-3.41652e-10,0.0
43.331,1.0,127.5429,-9.552e-11,0.0
43.331,1.0,127.54265,-2.449935e-11,0.0
43.331,1.0,127.5424,2.432702e-10,0.0
43.331,1.0,127.54215,3.35495e-10,0.0
43.331,1.0,127.5419,2.37651e-10,0.0
43.331,1.0,127.54165,7.09467e-11,0.0
43.331,1.0,127.5414,8.07907e-11,0.0
43.331,1.0,127.54115,4.78013e-10,0.0
43.331,1.0,127.5409,4.2670265e-11,0.0
43.331,1.0,127.54065,1.419344e-10,0.0
43.331,1.0,127.5404,3.122965e-10,0.0
43.331,1.0,127.54015,9.89781e-12,0.0
43.331,1.0,127.5399,1.3120875e-10,0.0
43.331,1.0,127.53965,4.21606e-10,0.0
43.331,1.0,127.5394,3.302735e-10,0.0
43.331,1.0,127.53915,4.10502e-12,0.0
43.331,1.0,127.5389,2.64438285e-10,0.0
43.331,1.0,127.53865,2.00827e-10,0.0
43.331,1.0,127.5384,1.068854e-10,0.0
43.331,1.0,127.53815,-1.81538e-11,0.0
43.331,1.0,127.5379,7.95816e-10,0.0
43.331,1.0,127.53765,4.67895e-10,0.0
43.331,1.0,127.5374,1.43571e-10,0.0
43.331,1.0,127.53715,3.79158e-11,0.0
43.331,1.0,127.5369,6.8739999999999935e-12,0.0
43.331,1.0,127.53665,3.76822e-10,0.0
43.331,1.0,127.5364,1.6339505e-10,0.0
43.331,1.0,127.53615,-4.72368e-11,0.0
43.331,1.0,127.5359,8.597838e-11,0.0
43.331,1.0,127.53565,-5.9904e-11,0.0
43.331,1.0,127.5354,2.833182e-10,0.0
43.331,1.0,127.53515,-2.22831e-10,0.0
43.331,1.0,127.5349,3.1586600000000003e-10,0.0
43.331,1.0,127.53465,2.566265e-11,0.0
43.331,1.0,127.5344,-7.01226e-12,0.0
43.331,1.0,127.53415,1.89243e-10,0.0
43.331,1.0,127.5339,-7.142845e-11,0.0
43.331,1.0,127.53365,-9.267235e-11,0.0
43.331,1.0,127.5334,-1.20001e-10,0.0
43.331,1.0,127.53315,-2.04422e-11,0.0
43.331,1.0,127.5329,1.36601e-10,0.0
43.331,1.0,127.53265,-5.182795e-11,0.0
43.331,1.0,127.5324,4.43099e-11,0.0
43.331,1.0,127.53215,1.50272e-12,0.0
43.331,1.0,127.5319,-5.5200999999999996e-11,0.0
43.331,1.0,127.53165,3.28034e-11,0.0
43.331,1.0,127.5314,2.12142e-10,0.0
43.331,1.0,127.53115,1.60248e-10,0.0
43.331,1.0,127.5309,1.869004e-10,0.0
43.331,1.0,127.53065,2.15507e-10,0.0
43.331,1.0,127.5304,1.41671e-10,0.0
43.331,1.0,127.53015,-8.76863e-12,0.0
43.331,1.0,127.5299,-2.6929295e-10,0.0
43.331,1.0,127.52965,1.343815e-10,0.0
43.331,1.0,127.5294,-8.87736e-11,0.0
43.331,1.0,127.52915,-1.28045e-10,0.0
43.331,1.0,127.5289,1.5077525e-10,0.0
43.331,1.0,127.52865,3.14261e-11,0.0
43.331,1.0,127.5284,2.5152e-10,0.0
43.331,1.0,127.52815,-2.19178e-11,0.0
43.331,1.0,127.5279,-1.11333e-10,0.0
43.331,1.0,127.52765,-2.13747e-11,0.0
43.331,1.0,127.5274,3.26466e-11,0.0
43.331,1.0,127.52715,2.7217715e-10,0.0
43.331,1.0,127.5269,-9.8291e-11,0.0
43.331,1.0,127.52665,-9.02042e-12,0.0
43.331,1.0,127.5264,3.12032e-11,0.0
43.331,1.0,127.52615,4.244999999999994e-12,0.0
43.331,1.0,127.5259,4.5919935e-11,0.0
43.331,1.0,127.52565,-2.65754e-10,0.0
43.331,1.0,127.5254,1.44352e-10,0.0
43.331,1.0,127.52515,-2.34261e-10,0.0
43.331,1.0,127.5249,1.430145e-10,0.0
43.331,1.0,127.52465,8.56013e-11,0.0
43.331,1.0,127.5244,-1.41837e-10,0.0
43.331,1.0,127.52415,3.20738e-10,0.0
43.331,1.0,127.5239,2.593145e-10,0.0
43.331,1.0,127.52365,2.0136184999999999e-10,0.0
43.331,1.0,127.5234,1.7812e-10,0.0
43.331,1.0,127.52315,-1.96776e-10,0.0
43.331,1.0,127.5229,1.256425e-10,0.0
43.331,1.0,127.52265,2.95103e-10,0.0
43.331,1.0,127.5224,1.12185e-11,0.0
43.331,1.0,127.52215,1.04198e-10,0.0
43.331,1.0,127.5219,1.2004565e-10,0.0
43.331,1.0,127.52165,1.270245e-11,0.0
43.331,1.0,127.5214,4.83343e-11,0.0
43.331,1.0,127.52115,-1.28411e-10,0.0
43.331,1.0,127.5209,5.5206950000000006e-11,0.0
43.331,1.0,127.52065,-1.6122725000000002e-10,0.0
43.331,1.0,127.5204,-4.60484e-10,0.0
43.331,1.0,127.52015,1.77093e-10,0.0
