Y_dimension(mm),Button,True_depth(m),meas,button_raw
47.153,0.0,127.5878078125,1.68116e-08,0.0
47.153,0.0,127.5875578125,1.70717e-08,0.0
47.153,0.0,127.5873078125,1.70484e-08,0.0
47.153,0.0,127.5870578125,1.67505e-08,0.0
47.153,0.0,127.5868078125,1.690895e-08,0.0
47.153,0.0,127.5865578125,1.71084e-08,0.0
47.153,0.0,127.5863078125,1.682625e-08,0.0
47.153,0.0,127.5860578125,1.686495e-08,0.0
47.153,0.0,127.5858078125,1.694385e-08,0.0
47.153,0.0,127.5855578125,1.67179e-08,0.0
47.153,0.0,127.5853078125,1.6701550000000002e-08,0.0
47.153,0.0,127.5850578125,1.63993e-08,0.0
47.153,0.0,127.5848078125,1.678315e-08,0.0
47.153,0.0,127.5845578125,1.6568e-08,0.0
47.153,0.0,127.5843078125,1.66087e-08,0.0
47.153,0.0,127.5840578125,1.6581899999999997e-08,0.0
47.153,0.0,127.5838078125,1.66738e-08,0.0
47.153,0.0,127.5835578125,1.64821e-08,0.0
47.153,0.0,127.5833078125,1.659035e-08,0.0
47.153,0.0,127.5830578125,1.637115e-08,0.0
47.153,0.0,127.5828078125,1.6139e-08,0.0
47.153,0.0,127.5825578125,1.6379950000000002e-08,0.0
47.153,0.0,127.5823078125,1.6375449999999997e-08,0.0
47.153,0.0,127.5820578125,1.64114e-08,0.0
47.153,0.0,127.5818078125,1.630095e-08,0.0
47.153,0.0,127.5815578125,1.63215e-08,0.0
47.153,0.0,127.5813078125,1.63209e-08,0.0
47.153,0.0,127.5810578125,1.6364650000000002e-08,0.0
47.153,0.0,127.5808078125,1.64527e-08,0.0
47.153,0.0,127.5805578125,1.66581e-08,0.0
47.153,0.0,127.5803078125,1.6236e-08,0.0
47.153,0.0,127.5800578125,1.63031e-08,0.0
47.153,0.0,127.5798078125,1.62137e-08,0.0
47.153,0.0,127.5795578125,1.62537e-08,0.0
47.153,0.0,127.5793078125,1.597555e-08,0.0
47.153,0.0,127.5790578125,1.626915e-08,0.0
47.153,0.0,127.5788078125,1.61593e-08,0.0
47.153,0.0,127.5785578125,1.636055e-08,0.0
47.153,0.0,127.5783078125,1.623465e-08,0.0
47.153,0.0,127.5780578125,1.61578e-08,0.0
47.153,0.0,127.5778078125,1.62785e-08,0.0
47.153,0.0,127.5775578125,1.61736e-08,0.0
47.153,0.0,127.5773078125,1.61806e-08,0.0
47.153,0.0,127.5770578125,1.596325e-08,0.0
47.153,0.0,127.5768078125,1.606415e-08,0.0
47.153,0.0,127.5765578125,1.57068e-08,0.0
47.153,0.0,127.5763078125,1.5967033333333336e-08,0.0
47.153,0.0,127.5760578125,1.61213e-08,0.0
47.153,0.0,127.5758078125,1.5933299999999997e-08,0.0
47.153,0.0,127.5755578125,1.58618e-08,0.0
47.153,0.0,127.5753078125,1.593895e-08,0.0
47.153,0.0,127.5750578125,1.590575e-08,0.0
47.153,0.0,127.5748078125,1.56738e-08,0.0
47.153,0.0,127.5745578125,1.5874549999999997e-08,0.0
47.153,0.0,127.5743078125,1.62056e-08,0.0
47.153,0.0,127.5740578125,1.59371e-08,0.0
47.153,0.0,127.5738078125,1.607725e-08,0.0
47.153,0.0,127.5735578125,1.56958e-08,0.0
47.153,0.0,127.5733078125,1.597985e-08,0.0
47.153,0.0,127.5730578125,1.598045e-08,0.0
47.153,0.0,127.5728078125,1.5858e-08,0.0
47.153,0.0,127.5725578125,1.572345e-08,0.0
47.153,0.0,127.5723078125,1.5424650000000002e-08,0.0
47.153,0.0,127.5720578125,1.57673e-08,0.0
47.153,0.0,127.5718078125,1.55641e-08,0.0
47.153,0.0,127.5715578125,1.570475e-08,0.0
47.153,0.0,127.5713078125,1.58544e-08,0.0
47.153,0.0,127.5710578125,1.58707e-08,0.0
