Y_dimension(mm),Button,True_depth(m),meas,button_raw
39.153,0.0,127.5878078125,1.799921e-05,0.0
39.153,0.0,127.58779930880584,-2.707733e-06,0.0
39.153,0.0,127.58767330736,-1.841603e-06,0.0
39.153,0.0,127.58754169358949,-1.277323e-06,0.0
39.153,0.0,127.58734899583192,-8.429197e-07,0.0
39.153,0.0,127.58711325259344,-5.074544e-07,0.0
39.153,0.0,127.58684679482892,-3.15893e-07,0.0
39.153,0.0,127.58654420911868,-1.34256e-07,0.0
39.153,0.0,127.58621390853122,-2.575689e-08,0.0
39.153,0.0,127.5858441712134,1.798471e-07,0.0
39.153,0.0,127.5854132940375,2.315937e-07,0.0
39.153,0.0,127.58497780291825,3.438909e-07,0.0
39.153,0.0,127.58454907353548,4.316971e-07,0.0
39.153,0.0,127.58416652455256,4.588219e-07,0.0
39.153,0.0,127.58373603018164,4.768954e-07,0.0
39.153,0.0,127.58331070767406,5.317997e-07,0.0
39.153,0.0,127.58292033485765,5.68165e-07,0.0
39.153,0.0,127.58248336384104,5.773618e-07,0.0
39.153,0.0,127.58206590420342,5.977199e-07,0.0
39.153,0.0,127.5816640546938,6.05447e-07,0.0
39.153,0.0,127.5812445220736,5.701149e-07,0.0
39.153,0.0,127.58082314365429,5.609909e-07,0.0
39.153,0.0,127.58041609808916,5.766051e-07,0.0
39.153,0.0,127.57999614683052,5.817419e-07,0.0
39.153,0.0,127.57956318859138,5.506736e-07,0.0
39.153,0.0,127.57918146645612,6.25063e-07,0.0
39.153,0.0,127.57875894375712,5.849142e-07,0.0
39.153,0.0,127.57832542782826,5.981419e-07,0.0
39.153,0.0,127.577923546045,5.500769e-07,0.0
39.153,0.0,127.57748511764788,5.80505e-07,0.0
39.153,0.0,127.57704223021268,6.121845e-07,0.0
39.153,0.0,127.5766495084883,5.614274e-07,0.0
39.153,0.0,127.5762424529307,6.266346e-07,0.0
39.153,0.0,127.57581531863708,5.657639e-07,0.0
39.153,0.0,127.575375220605,6.4903e-07,0.0
39.153,0.0,127.57494282387528,6.000337e-07,0.0
39.153,0.0,127.57451597725296,6.259361e-07,0.0
39.153,0.0,127.57409973106068,5.953043e-07,0.0
39.153,0.0,127.57368874062234,6.194896e-07,0.0
39.153,0.0,127.57328252231,6.207993e-07,0.0
39.153,0.0,127.5728726672889,6.228656e-07,0.0
39.153,0.0,127.57246040771064,5.346665e-07,0.0
39.153,0.0,127.57202248939564,6.09376e-07,0.0
39.153,0.0,127.57162730861856,4.883914e-07,0.0
39.153,0.0,127.57121036038244,5.66477e-07,0.0
39.153,0.0,127.5708263655234,5.461334e-07,0.0
39.153,0.0,127.57038980601776,5.999609e-07,0.0
39.153,0.0,127.56995288718424,6.053742e-07,0.0
39.153,0.0,127.5695547253234,5.744805e-07,0.0
39.153,0.0,127.56911802020784,6.073242e-07,0.0
39.153,0.0,127.56874230929574,6.174814e-07,0.0
39.153,0.0,127.5683191422112,6.418122e-07,0.0
39.153,0.0,127.56788208994028,5.815673e-07,0.0
39.153,0.0,127.56745211312978,5.855109e-07,0.0
39.153,0.0,127.56701523754614,5.582988e-07,0.0
39.153,0.0,127.56658861575264,5.619513e-07,0.0
39.153,0.0,127.56618886221467,5.816255e-07,0.0
39.153,0.0,127.56577925279612,5.697511e-07,0.0
39.153,0.0,127.5653470876524,4.739704e-07,0.0
39.153,0.0,127.56494693885128,4.991598e-07,0.0
39.153,0.0,127.56450708636976,5.398906e-07,0.0
39.153,0.0,127.56407107803908,5.587935e-07,0.0
39.153,0.0,127.56368115468293,5.025358e-07,0.0
39.153,0.0,127.56326179787844,5.55563e-07,0.0
39.153,0.0,127.56283957484288,5.830516e-07,0.0
39.153,0.0,127.56244277172216,5.722832e-07,0.0
39.153,0.0,127.56200664570416,5.780021e-07,0.0
39.153,0.0,127.56157602815362,5.41113e-07,0.0
39.153,0.0,127.56119716182432,5.505426e-07,0.0
39.153,0.0,127.56077054960424,5.56538e-07,0.0
39.153,0.0,127.56036078999422,4.698522e-07,0.0
39.153,0.0,127.55994985010835,5.780021e-07,0.0
39.153,0.0,127.55951115876672,5.743932e-07,0.0
39.153,0.0,127.55911105936514,5.480979e-07,0.0
39.153,0.0,127.55869095035244,6.464106e-07,0.0
39.153,0.0,127.55825891718897,5.614856e-07,0.0
39.153,0.0,127.5578346979372,5.407346e-07,0.0
39.153,0.0,127.55741339602896,6.010378e-07,0.0
39.153,0.0,127.55700412965936,5.695474e-07,0.0
39.153,0.0,127.55656730252277,6.190676e-07,0.0
39.153,0.0,127.5561306551954,5.978072e-07,0.0
39.153,0.0,127.55572372106022,4.878239e-07,0.0
39.153,0.0,127.55533216155268,5.078036e-07,0.0
39.153,0.0,127.55488204612163,4.106842e-07,0.0
39.153,0.0,127.55445818337782,5.730108e-07,0.0
39.153,0.0,127.5540549233728,5.115144e-07,0.0
39.153,0.0,127.5536331857743,4.737667e-07,0.0
39.153,0.0,127.55321280229376,5.576294e-07,0.0
39.153,0.0,127.55282371782673,5.366746e-07,0.0
39.153,0.0,127.55238886965242,5.881302e-07,0.0
39.153,0.0,127.55198686354132,6.190676e-07,0.0
39.153,0.0,127.5515554015396,5.447655e-07,0.0
39.153,0.0,127.55113336463134,6.010669e-07,0.0
39.153,0.0,127.55075298304898,5.355687e-07,0.0
39.153,0.0,127.55033216668748,3.545865e-07,0.0
39.153,0.0,127.54991259610983,5.094043e-07,0.0
39.153,0.0,127.5494902911284,5.167822e-07,0.0
39.153,0.0,127.54905447391712,5.540351e-07,0.0
39.153,0.0,127.5486565376324,5.951006e-07,0.0
39.153,0.0,127.54822864255996,5.649345e-07,0.0
39.153,0.0,127.54781523907644,6.027258e-07,0.0
39.153,0.0,127.54737880654626,5.583279e-07,0.0
39.153,0.0,127.54696926146129,6.189803e-07,0.0
39.153,0.0,127.54654023425624,6.002374e-07,0.0
39.153,0.0,127.5461054430564,5.928159e-07,0.0
39.153,0.0,127.54569687899874,6.207702e-07,0.0
39.153,0.0,127.54530621252935,6.022747e-07,0.0
39.153,0.0,127.54486578954956,6.463815e-07,0.0
39.153,0.0,127.54444206797233,6.495684e-07,0.0
39.153,0.0,127.54401973971244,6.503542e-07,0.0
39.153,0.0,127.54358877509377,6.190676e-07,0.0
39.153,0.0,127.5431826502478,5.672919e-07,0.0
39.153,0.0,127.54277593801793,6.292248e-07,0.0
39.153,0.0,127.54237327109983,6.10351e-07,0.0
39.153,0.0,127.54194466878846,6.404298e-07,0.0
39.153,0.0,127.54153108518648,6.066839e-07,0.0
39.153,0.0,127.5411253077067,6.020273e-07,0.0
39.153,0.0,127.54071510021296,6.418122e-07,0.0
39.153,0.0,127.54028789752952,5.892653e-07,0.0
39.153,0.0,127.53987565585504,6.149348e-07,0.0
39.153,0.0,127.53944441490285,5.817128e-07,0.0
39.153,0.0,127.53905284185268,6.080372e-07,0.0
39.153,0.0,127.53860805923968,5.756592e-07,0.0
39.153,0.0,127.53820330676616,5.991751e-07,0.0
39.153,0.0,127.53777420803436,5.636539e-07,0.0
39.153,0.0,127.53734402645406,6.002956e-07,0.0
39.153,0.0,127.5369461672056,5.714828e-07,0.0
39.153,0.0,127.53649230164244,5.315524e-07,0.0
39.153,0.0,127.5360730515612,5.445181e-07,0.0
39.153,0.0,127.53565998889856,5.693437e-07,0.0
39.153,0.0,127.53525335459732,5.747133e-07,0.0
39.153,0.0,127.5348062177804,5.812326e-07,0.0
39.153,0.0,127.53443211742608,6.159971e-07,0.0
39.153,0.0,127.53399744774204,6.337505e-07,0.0
39.153,0.0,127.5335538088409,6.269838e-07,0.0
39.153,0.0,127.53314780876843,6.376504e-07,0.0
39.153,0.0,127.53272443802838,6.427435e-07,0.0
39.153,0.0,127.53232132264874,6.647606e-07,0.0
39.153,0.0,127.5318998529721,6.772607e-07,0.0
39.153,0.0,127.53148745223668,6.256305e-07,0.0
39.153,0.0,127.53108627253307,6.471382e-07,0.0
39.153,0.0,127.53066540989414,6.546907e-07,0.0
39.153,0.0,127.53024977169736,6.393529e-07,0.0
39.153,0.0,127.52985012008943,6.287009e-07,0.0
39.153,0.0,127.52943365373098,6.129994e-07,0.0
39.153,0.0,127.52901288306938,6.387418e-07,0.0
