Y_dimension(mm),Button,True_depth(m),meas,button_raw
61.939,0.0,128.35419218750002,1.80677e-08,0.0
61.939,0.0,128.3539421875,1.78301e-08,0.0
61.939,0.0,128.3536921875,1.77278e-08,0.0
61.939,0.0,128.3534421875,1.79427e-08,0.0
61.939,0.0,128.3531921875,1.80154e-08,0.0
61.939,0.0,128.35294218750002,1.7781300000000002e-08,0.0
61.939,0.0,128.3526921875,1.77595e-08,0.0
61.939,0.0,128.3524421875,1.7700050000000002e-08,0.0
61.939,0.0,128.3521921875,1.76286e-08,0.0
61.939,0.0,128.3519421875,1.72416e-08,0.0
61.939,0.0,128.35169218750002,1.7149700000000002e-08,0.0
61.939,0.0,128.3514421875,1.73795e-08,0.0
61.939,0.0,128.3511921875,1.7177899999999998e-08,0.0
61.939,0.0,128.3509421875,1.7439500000000002e-08,0.0
61.939,0.0,128.35069218750002,1.73075e-08,0.0
61.939,0.0,128.3504421875,1.72263e-08,0.0
61.939,0.0,128.3501921875,1.73512e-08,0.0
61.939,0.0,128.3499421875,1.706255e-08,0.0
61.939,0.0,128.3496921875,1.707715e-08,0.0
61.939,0.0,128.34944218750002,1.68878e-08,0.0
61.939,0.0,128.3491921875,1.70202e-08,0.0
61.939,0.0,128.3489421875,1.7217549999999998e-08,0.0
61.939,0.0,128.3486921875,1.707935e-08,0.0
61.939,0.0,128.3484421875,1.70651e-08,0.0
61.939,0.0,128.34819218750002,1.70187e-08,0.0
61.939,0.0,128.3479421875,1.69663e-08,0.0
61.939,0.0,128.3476921875,1.68121e-08,0.0
61.939,0.0,128.3474421875,1.6898749999999998e-08,0.0
61.939,0.0,128.3471921875,1.68453e-08,0.0
61.939,0.0,128.34694218750002,1.6752749999999998e-08,0.0
61.939,0.0,128.3466921875,1.69719e-08,0.0
61.939,0.0,128.3464421875,1.67308e-08,0.0
61.939,0.0,128.3461921875,1.6877099999999998e-08,0.0
61.939,0.0,128.3459421875,1.65044e-08,0.0
61.939,0.0,128.34569218750002,1.67356e-08,0.0
61.939,0.0,128.3454421875,1.7226800000000002e-08,0.0
61.939,0.0,128.3451921875,1.66572e-08,0.0
61.939,0.0,128.3449421875,1.65529e-08,0.0
61.939,0.0,128.34469218750002,1.677855e-08,0.0
61.939,0.0,128.3444421875,1.66995e-08,0.0
61.939,0.0,128.3441921875,1.683325e-08,0.0
61.939,0.0,128.3439421875,1.70057e-08,0.0
61.939,0.0,128.3436921875,1.67219e-08,0.0
61.939,0.0,128.34344218750002,1.6687e-08,0.0
61.939,0.0,128.3431921875,1.655015e-08,0.0
61.939,0.0,128.3429421875,1.6695e-08,0.0
61.939,0.0,128.3426921875,1.68411e-08,0.0
61.939,0.0,128.3424421875,1.66792e-08,0.0
61.939,0.0,128.34219218750002,1.66805e-08,0.0
61.939,0.0,128.3419421875,1.65027e-08,0.0
61.939,0.0,128.3416921875,1.6453500000000002e-08,0.0
61.939,0.0,128.3414421875,1.61474e-08,0.0
61.939,0.0,128.3411921875,1.6129349999999997e-08,0.0
61.939,0.0,128.34094218750002,1.65931e-08,0.0
61.939,0.0,128.3406921875,1.6369e-08,0.0
61.939,0.0,128.3404421875,1.62979e-08,0.0
61.939,0.0,128.3401921875,1.66239e-08,0.0
61.939,0.0,128.3399421875,1.65218e-08,0.0
61.939,0.0,128.33969218750002,1.59653e-08,0.0
61.939,0.0,128.3394421875,1.60575e-08,0.0
61.939,0.0,128.3391921875,1.63426e-08,0.0
61.939,0.0,128.3389421875,1.625625e-08,0.0
61.939,0.0,128.33869218750002,1.65549e-08,0.0
61.939,0.0,128.3384421875,1.597885e-08,0.0
61.939,0.0,128.3381921875,1.6649e-08,0.0
61.939,0.0,128.3379421875,1.614305e-08,0.0
61.939,0.0,128.3376921875,1.55717e-08,0.0
61.939,0.0,128.33744218750002,1.6304700000000003e-08,0.0
61.939,0.0,128.3371921875,1.62936e-08,0.0
61.939,0.0,128.3369421875,1.604555e-08,0.0
61.939,0.0,128.3366921875,1.62755e-08,0.0
61.939,0.0,128.3364421875,1.631925e-08,0.0
61.939,0.0,128.33619218750002,1.59453e-08,0.0
61.939,0.0,128.3359421875,1.633955e-08,0.0
61.939,0.0,128.3356921875,1.62377e-08,0.0
61.939,0.0,128.3354421875,1.63368e-08,0.0
61.939,0.0,128.3351921875,1.636875e-08,0.0
61.939,0.0,128.33494218750002,1.68082e-08,0.0
61.939,0.0,128.3346921875,1.60879e-08,0.0
61.939,0.0,128.3344421875,1.643805e-08,0.0
61.939,0.0,128.3341921875,1.5844449999999997e-08,0.0
61.939,0.0,128.3339421875,1.56656e-08,0.0
61.939,0.0,128.33369218750002,1.59114e-08,0.0
61.939,0.0,128.3334421875,1.669245e-08,0.0
61.939,0.0,128.3331921875,1.60043e-08,0.0
61.939,0.0,128.3329421875,1.6325399999999997e-08,0.0
61.939,0.0,128.33269218750002,1.59472e-08,0.0
61.939,0.0,128.3324421875,1.60441e-08,0.0
61.939,0.0,128.3321921875,1.6273e-08,0.0
61.939,0.0,128.3319421875,1.551005e-08,0.0
61.939,0.0,128.3316921875,1.57937e-08,0.0
61.939,0.0,128.33144218750002,1.568655e-08,0.0
61.939,0.0,128.3311921875,1.606915e-08,0.0
61.939,0.0,128.3309421875,1.57657e-08,0.0
61.939,0.0,128.3306921875,1.57352e-08,0.0
61.939,0.0,128.3304421875,1.60119e-08,0.0
61.939,0.0,128.33019218750002,1.53192e-08,0.0
61.939,0.0,128.3299421875,1.56926e-08,0.0
61.939,0.0,128.3296921875,1.53401e-08,0.0
61.939,0.0,128.3294421875,1.525245e-08,0.0
61.939,0.0,128.3291921875,1.6114299999999998e-08,0.0
61.939,0.0,128.32894218750002,1.52315e-08,0.0
61.939,0.0,128.3286921875,1.53367e-08,0.0
61.939,0.0,128.3284421875,1.60112e-08,0.0
61.939,0.0,128.3281921875,1.48816e-08,0.0
61.939,0.0,128.3279421875,1.531515e-08,0.0
61.939,0.0,128.32769218750002,1.53697e-08,0.0
61.939,0.0,128.3274421875,1.56507e-08,0.0
61.939,0.0,128.3271921875,1.55888e-08,0.0
61.939,0.0,128.3269421875,1.5320799999999998e-08,0.0
61.939,0.0,128.32669218750002,1.55583e-08,0.0
61.939,0.0,128.32644218750002,1.5334950000000002e-08,0.0
61.939,0.0,128.3261921875,1.59842e-08,0.0
61.939,0.0,128.3259421875,1.51111e-08,0.0
61.939,0.0,128.3256921875,1.54216e-08,0.0
61.939,0.0,128.32544218750002,1.53011e-08,0.0
61.939,0.0,128.3251921875,1.50204e-08,0.0
61.939,0.0,128.3249421875,1.5468999999999998e-08,0.0
61.939,0.0,128.3246921875,1.56477e-08,0.0
61.939,0.0,128.3244421875,1.48799e-08,0.0
61.939,0.0,128.32419218750002,1.5589250000000002e-08,0.0
61.939,0.0,128.3239421875,1.5325699999999998e-08,0.0
61.939,0.0,128.3236921875,1.53961e-08,0.0
61.939,0.0,128.3234421875,1.50511e-08,0.0
61.939,0.0,128.3231921875,1.5745e-08,0.0
61.939,0.0,128.32294218750002,1.5435949999999997e-08,0.0
61.939,0.0,128.3226921875,1.52681e-08,0.0
61.939,0.0,128.3224421875,1.60654e-08,0.0
61.939,0.0,128.3221921875,1.533045e-08,0.0
61.939,0.0,128.3219421875,1.55061e-08,0.0
61.939,0.0,128.32169218750002,1.5311100000000003e-08,0.0
61.939,0.0,128.3214421875,1.53934e-08,0.0
61.939,0.0,128.3211921875,1.54316e-08,0.0
61.939,0.0,128.3209421875,1.569435e-08,0.0
61.939,0.0,128.3206921875,1.54148e-08,0.0
61.939,0.0,128.32044218750002,1.54453e-08,0.0
61.939,0.0,128.3201921875,1.5624899999999997e-08,0.0
61.939,0.0,128.3199421875,1.60119e-08,0.0
61.939,0.0,128.3196921875,1.5250750000000002e-08,0.0
61.939,0.0,128.31944218750002,1.53505e-08,0.0
61.939,0.0,128.3191921875,1.53442e-08,0.0
61.939,0.0,128.3189421875,1.46617e-08,0.0
61.939,0.0,128.3186921875,1.525255e-08,0.0
61.939,0.0,128.3184421875,1.537895e-08,0.0
61.939,0.0,128.31819218750002,1.53597e-08,0.0
61.939,0.0,128.3179421875,1.50054e-08,0.0
