Y_dimension(mm),Button,True_depth(m),meas,button_raw
74.4,0.0,0.68203125,8.183365e-09,0.0
74.4,0.0,0.68178125,8.194225e-09,0.0
74.4,0.0,0.68153125,8.133325e-09,0.0
74.4,0.0,0.68128125,7.99423e-09,0.0
74.4,0.0,0.68103125,8.22761e-09,0.0
74.4,0.0,0.68078125,7.957609999999999e-09,0.0
74.4,0.0,0.68053125,8.780265000000002e-09,0.0
74.4,0.0,0.68028125,8.79094e-09,0.0
74.4,0.0,0.68003125,8.97811e-09,0.0
74.4,0.0,0.67978125,9.20306e-09,0.0
74.4,0.0,0.67953125,9.28413e-09,0.0
74.4,0.0,0.67928125,9.01129e-09,0.0
74.4,0.0,0.67903125,8.59144e-09,0.0
74.4,0.0,0.67878125,9.383535e-09,0.0
74.4,0.0,0.67853125,9.717815e-09,0.0
74.4,0.0,0.67828125,9.555075e-09,0.0
74.4,0.0,0.67803125,9.78356e-09,0.0
74.4,0.0,0.67778125,9.426765e-09,0.0
74.4,0.0,0.67753125,1.000138e-08,0.0
74.4,0.0,0.67728125,9.92267e-09,0.0
74.4,0.0,0.67703125,1.038665e-08,0.0
74.4,0.0,0.67678125,1.038605e-08,0.0
74.4,0.0,0.67653125,1.00449e-08,0.0
74.4,0.0,0.67628125,1.02771e-08,0.0
74.4,0.0,0.67603125,1.06045e-08,0.0
74.4,0.0,0.67578125,1.03894e-08,0.0
74.4,0.0,0.67553125,1.040635e-08,0.0
74.4,0.0,0.67528125,1.04132e-08,0.0
74.4,0.0,0.67503125,1.03652e-08,0.0
74.4,0.0,0.67478125,1.066065e-08,0.0
74.4,0.0,0.67453125,1.05671e-08,0.0
74.4,0.0,0.67428125,1.10115e-08,0.0
74.4,0.0,0.67403125,1.068275e-08,0.0
74.4,0.0,0.67378125,1.072615e-08,0.0
74.4,0.0,0.67353125,1.06072e-08,0.0
74.4,0.0,0.67328125,1.048435e-08,0.0
74.4,0.0,0.67303125,1.05237e-08,0.0
74.4,0.0,0.67278125,1.0605e-08,0.0
74.4,0.0,0.67253125,1.08422e-08,0.0
74.4,0.0,0.67228125,1.05735e-08,0.0
74.4,0.0,0.67203125,1.0601e-08,0.0
74.4,0.0,0.67178125,1.053775e-08,0.0
74.4,0.0,0.67153125,1.07649e-08,0.0
74.4,0.0,0.67128125,1.056185e-08,0.0
74.4,0.0,0.67103125,1.05461e-08,0.0
