Y_dimension(mm),Button,True_depth(m),meas
49.747,0.0,129.24136875000002,1.884857e-05
49.747,0.0,129.2412793672206,-2.827015e-06
49.747,0.0,129.24117111632913,-1.991357e-06
49.747,0.0,129.24102592440943,-1.429449e-06
49.747,0.0,129.24084090335543,-9.835494e-07
49.747,0.0,129.2406212921409,-6.501505e-07
49.747,0.0,129.24033861138875,-4.325702e-07
49.747,0.0,129.24004735446545,-2.570159e-07
49.747,0.0,129.23969012790425,6.964547e-08
49.747,0.0,129.2393101472303,2.64874e-07
49.747,0.0,129.23886890705154,3.807218e-07
49.747,0.0,129.23847021188962,4.777685e-07
49.747,0.0,129.2380293803986,5.955953e-07
49.747,0.0,129.23762989794687,6.638584e-07
49.747,0.0,129.23719834012985,7.113122e-07
49.747,0.0,129.23677619309967,7.440976e-07
49.747,0.0,129.23636427399876,7.828348e-07
49.747,0.0,129.23592929525356,8.054049e-07
49.747,0.0,129.23553122044981,7.728813e-07
49.747,0.0,129.23509406478982,7.844501e-07
49.747,0.0,129.23468473930214,8.078641e-07
49.747,0.0,129.23427381844277,7.992639e-07
49.747,0.0,129.2338594380486,7.722701e-07
49.747,0.0,129.2334567838153,6.654736e-07
49.747,0.0,129.23301473762572,5.99146e-07
49.747,0.0,129.2326131601904,7.572089e-07
49.747,0.0,129.23220428900316,8.185016e-07
49.747,0.0,129.23178752789332,8.743518e-07
49.747,0.0,129.23138380988308,8.894276e-07
49.747,0.0,129.23094468383945,8.574425e-07
49.747,0.0,129.23054201474727,8.546922e-07
49.747,0.0,129.23014111926958,8.820061e-07
49.747,0.0,129.22969336900772,8.728384e-07
49.747,0.0,129.22928316392273,8.642382e-07
49.747,0.0,129.2288402292457,8.464558e-07
49.747,0.0,129.22843919986428,8.794595e-07
49.747,0.0,129.22802669772523,9.505457e-07
49.747,0.0,129.22760746374328,9.578944e-07
49.747,0.0,129.227171196543,9.046198e-07
49.747,0.0,129.22675312166785,9.228388e-07
49.747,0.0,129.22634009803332,9.098148e-07
49.747,0.0,129.22590015873442,9.220093e-07
49.747,0.0,129.22550032744016,9.022042e-07
49.747,0.0,129.2250941026495,8.51127e-07
49.747,0.0,129.22465438160228,7.466006e-07
49.747,0.0,129.22424563965052,7.929193e-07
49.747,0.0,129.22383384803405,9.560463e-07
49.747,0.0,129.2233957378939,9.848736e-07
49.747,0.0,129.2229975739853,9.936484e-07
49.747,0.0,129.2225971180667,9.575451e-07
49.747,0.0,129.22218799137815,9.562355e-07
49.747,0.0,129.22175994200407,9.778305e-07
49.747,0.0,129.2213293232181,9.84699e-07
49.747,0.0,129.22092156096443,9.890355e-07
49.747,0.0,129.2205204849374,1.002278e-06
