Y_dimension(mm),Button,True_depth(m),meas,button_raw
45.487,1.0,129.20256718750002,-1.01532e-09,0.0
45.487,1.0,129.2023171875,-1.184085e-09,0.0
45.487,1.0,129.2020671875,-1.1561700000000002e-09,0.0
45.487,1.0,129.2018171875,-1.127125e-09,1.0
45.487,1.0,129.20156718750002,-1.15688e-09,0.0
45.487,1.0,129.20131718750002,-1.08274e-09,0.0
45.487,1.0,129.2010671875,-1.147395e-09,0.0
45.487,1.0,129.2008171875,-1.33774e-09,1.0
45.487,1.0,129.2005671875,-1.19491e-09,1.0
45.487,1.0,129.20031718750002,-1.28218e-09,1.0
45.487,1.0,129.20006718750005,-1.2358299999999999e-09,1.0
45.487,1.0,129.1998171875,-8.594504999999997e-10,1.0
45.487,1.0,129.1995671875,-1.18237e-09,0.0
45.487,1.0,129.1993171875,-1.450335e-09,0.0
45.487,1.0,129.19906718750002,-1.2265195e-09,0.0
45.487,1.0,129.19881718750003,-1.395775e-09,1.0
45.487,1.0,129.1985671875,-1.41159e-09,0.0
45.487,1.0,129.1983171875,-1.34748e-09,0.0
45.487,1.0,129.19806718750002,-1.2053099999999994e-09,0.0
45.487,1.0,129.19781718750002,-1.300405e-09,1.0
45.487,1.0,129.19756718750003,-1.44102e-09,0.0
45.487,1.0,129.1973171875,-1.285585e-09,0.0
45.487,1.0,129.1970671875,-1.54236e-09,0.0
45.487,1.0,129.19681718750002,-1.54062e-09,1.0
45.487,1.0,129.19656718750002,-1.5221399999999999e-09,0.0
45.487,1.0,129.1963171875,-1.46842e-09,0.0
45.487,1.0,129.1960671875,-1.365195e-09,0.0
45.487,1.0,129.1958171875,-1.49731e-09,1.0
45.487,1.0,129.19556718750002,-1.58958e-09,0.0
45.487,1.0,129.19531718750002,-1.79343e-09,0.0
45.487,1.0,129.1950671875,-1.627315e-09,1.0
45.487,1.0,129.1948171875,-1.745605e-09,1.0
45.487,1.0,129.1945671875,-1.80526e-09,1.0
45.487,1.0,129.19431718750002,-1.63752e-09,1.0
45.487,1.0,129.19406718750002,-1.67014e-09,1.0
45.487,1.0,129.1938171875,-1.851385e-09,1.0
45.487,1.0,129.1935671875,-1.62063e-09,0.0
45.487,1.0,129.1933171875,-1.806465e-09,0.0
45.487,1.0,129.19306718750002,-1.576465e-09,0.0
45.487,1.0,129.19281718750003,-1.7584849999999994e-09,1.0
45.487,1.0,129.1925671875,-1.82282e-09,1.0
45.487,1.0,129.1923171875,-1.92876e-09,1.0
45.487,1.0,129.19206718750002,-1.874835e-09,1.0
45.487,1.0,129.19181718750002,-1.774675e-09,1.0
45.487,1.0,129.19156718750003,-1.8839e-09,1.0
45.487,1.0,129.1913171875,-1.90597e-09,1.0
45.487,1.0,129.1910671875,-2.07674e-09,1.0
45.487,1.0,129.19081718750002,-2.10333e-09,1.0
45.487,1.0,129.19056718750002,-2.11592e-09,1.0
45.487,1.0,129.1903171875,-1.78229e-09,1.0
45.487,1.0,129.1900671875,-2.14628e-09,1.0
45.487,1.0,129.1898171875,-1.973695e-09,1.0
45.487,1.0,129.18956718750002,-2.06362e-09,1.0
45.487,1.0,129.18931718750002,-1.94666e-09,1.0
45.487,1.0,129.1890671875,-1.927215e-09,1.0
45.487,1.0,129.1888171875,-1.76704e-09,1.0
45.487,1.0,129.1885671875,-1.7056e-09,1.0
45.487,1.0,129.18831718750002,-1.40733e-09,1.0
45.487,1.0,129.18806718750002,-1.096405e-09,1.0
45.487,1.0,129.1878171875,-1.0487705e-09,1.0
45.487,1.0,129.1875671875,-5.7331e-10,1.0
45.487,1.0,129.1873171875,-8.58788e-10,1.0
45.487,1.0,129.18706718750002,1.0529000000000006e-11,1.0
45.487,1.0,129.18681718750005,1.79596e-10,1.0
45.487,1.0,129.1865671875,3.85419e-11,1.0
45.487,1.0,129.1863171875,1.1287145e-09,1.0
45.487,1.0,129.18606718750002,2.04228e-09,1.0
45.487,1.0,129.18581718750002,3.2242649999999997e-09,1.0
45.487,1.0,129.18556718750003,3.78245e-09,1.0
45.487,1.0,129.1853171875,4.00678e-09,1.0
45.487,1.0,129.1850671875,5.03007e-09,1.0
45.487,1.0,129.18481718750002,4.1433e-09,1.0
45.487,1.0,129.18456718750002,3.46528e-09,1.0
45.487,1.0,129.1843171875,3.109525e-09,1.0
45.487,1.0,129.1840671875,3.463745e-09,1.0
45.487,1.0,129.1838171875,2.69001e-09,1.0
45.487,1.0,129.18356718750002,2.66735e-09,1.0
45.487,1.0,129.18331718750002,2.734505e-09,1.0
45.487,1.0,129.1830671875,2.6066e-09,1.0
45.487,1.0,129.1828171875,3.15639e-09,0.0
45.487,1.0,129.1825671875,2.4499e-09,0.0
45.487,1.0,129.18231718750002,2.8502e-09,1.0
45.487,1.0,129.18206718750002,3.2615149999999998e-09,1.0
45.487,1.0,129.1818171875,3.55032e-09,0.0
45.487,1.0,129.1815671875,4.1926650000000015e-09,0.0
45.487,1.0,129.1813171875,4.629445e-09,1.0
45.487,1.0,129.18106718750002,4.8772799999999995e-09,1.0
45.487,1.0,129.18081718750005,5.47487e-09,0.0
45.487,1.0,129.1805671875,5.70128e-09,0.0
45.487,1.0,129.1803171875,6.20404e-09,1.0
45.487,1.0,129.1800671875,6.635725000000001e-09,1.0
45.487,1.0,129.17981718750002,6.6958e-09,0.0
45.487,1.0,129.17956718750003,7.360814999999998e-09,1.0
45.487,1.0,129.1793171875,7.843585e-09,1.0
45.487,1.0,129.1790671875,8.044144999999999e-09,1.0
45.487,1.0,129.17881718750002,8.68164e-09,0.0
45.487,1.0,129.17856718750002,9.367005e-09,0.0
45.487,1.0,129.17831718750003,9.52302e-09,1.0
45.487,1.0,129.1780671875,1.052445e-08,1.0
45.487,1.0,129.1778171875,1.10677e-08,0.0
45.487,1.0,129.17756718750002,1.189195e-08,0.0
45.487,1.0,129.17731718750002,1.272905e-08,1.0
45.487,1.0,129.1770671875,1.323735e-08,1.0
45.487,1.0,129.1768171875,1.38416e-08,0.0
45.487,1.0,129.1765671875,1.40928e-08,1.0
45.487,1.0,129.17631718750002,1.43196e-08,1.0
45.487,1.0,129.17606718750002,1.41415e-08,1.0
45.487,1.0,129.1758171875,1.43263e-08,0.0
45.487,1.0,129.1755671875,1.416195e-08,1.0
45.487,1.0,129.1753171875,1.43314e-08,1.0
45.487,1.0,129.17506718750002,1.453005e-08,1.0
45.487,1.0,129.17481718750005,1.53463e-08,0.0
45.487,1.0,129.1745671875,1.4860100000000001e-08,0.0
45.487,1.0,129.1743171875,1.1345065000000001e-08,1.0
45.487,1.0,129.1740671875,8.606955000000001e-09,1.0
45.487,1.0,129.17381718750002,6.75727e-09,1.0
45.487,1.0,129.17356718750003,6.402015e-09,1.0
45.487,1.0,129.1733171875,5.94151e-09,1.0
45.487,1.0,129.1730671875,5.84639e-09,1.0
