Y_dimension(mm),Button,True_depth(m),meas
37.487,0.0,129.20256718750002,1.681759e-05
37.487,0.0,129.2024931392911,-3.57689e-06
37.487,1.0,129.20237763176848,-2.614659e-06
37.487,1.0,129.20223648010582,-2.007262e-06
37.487,1.0,129.202067207039,-1.549313e-06
37.487,1.0,129.201823810491,-1.197855e-06
37.487,1.0,129.2015789518729,-9.259675e-07
37.487,1.0,129.20125031025447,-7.156195e-07
37.487,1.0,129.20090208486144,-5.50921e-07
37.487,1.0,129.20052232526774,-4.269241e-07
37.487,1.0,129.20011930576504,-3.271416e-07
37.487,1.0,129.1997088433004,-2.524757e-07
37.487,1.0,129.19929452660162,-1.943408e-07
37.487,1.0,129.1988574699815,-1.478038e-07
37.487,1.0,129.19845882777938,-1.136505e-07
37.487,1.0,129.19806388381744,-8.543429e-08
37.487,1.0,129.19763134190106,-6.578921e-08
37.487,1.0,129.19721447693738,-4.841422e-08
37.487,1.0,129.19680086988865,-3.60742e-08
37.487,1.0,129.19636480396966,-2.759043e-08
37.487,1.0,129.1959685083901,-1.74914e-08
37.487,1.0,129.19553258111657,-1.398439e-08
37.487,1.0,129.1951275930254,-7.989001e-09
37.487,1.0,129.1946839797248,-5.47152e-09
37.487,1.0,129.19427199353785,-2.488378e-09
37.487,1.0,129.1938346518301,1.455192e-11
37.487,1.0,129.19343303577523,-1.164153e-10
37.487,1.0,129.19299770239672,2.139132e-09
37.487,1.0,129.19260136814776,2.663e-09
37.487,1.0,129.1921606632735,3.245077e-09
37.487,1.0,129.1917395578191,3.201421e-09
37.487,1.0,129.19130546598942,3.579771e-09
37.487,1.0,129.19090552404228,4.86034e-09
37.487,1.0,129.19049587138366,3.477908e-09
37.487,1.0,129.19007621113008,5.427864e-09
37.487,1.0,129.18966641807296,4.540198e-09
37.487,1.0,129.189246790724,5.311449e-09
37.487,1.0,129.1888109400894,5.558832e-09
37.487,1.0,129.18841229959128,3.827154e-09
37.487,1.0,129.18801460565865,5.922629e-09
37.487,1.0,129.18761417149068,4.336471e-09
37.487,1.0,129.18717577605975,5.122274e-09
37.487,1.0,129.18676717381197,4.962203e-09
37.487,1.0,129.1863264229078,4.642061e-09
37.487,1.0,129.1859271697255,5.427864e-09
37.487,1.0,129.18552847062614,3.4197e-09
37.487,1.0,129.18509496133413,5.398761e-09
37.487,1.0,129.18466744679276,4.525646e-09
37.487,1.0,129.18424528823405,4.48199e-09
37.487,1.0,129.18380689114036,5.224138e-09
37.487,1.0,129.18340631802457,4.030881e-09
37.487,1.0,129.18298504444695,4.918547e-09
37.487,1.0,129.18256951567645,3.696186e-09
37.487,1.0,129.1821461515825,4.918547e-09
37.487,1.0,129.181723739811,4.118192e-09
37.487,1.0,129.1812783948321,3.477908e-09
37.487,1.0,129.1808759450466,4.903995e-09
37.487,1.0,129.18045541410103,3.914465e-09
37.487,1.0,129.18007309039828,4.394678e-09
37.487,1.0,129.17966347438386,4.147296e-09
37.487,1.0,129.1792402681966,4.161848e-09
37.487,1.0,129.1788104722745,4.48199e-09
37.487,1.0,129.17838999301236,3.143214e-09
37.487,1.0,129.17799184956064,4.423782e-09
37.487,1.0,129.17756223381093,3.914465e-09
37.487,1.0,129.17713910027803,3.783498e-09
37.487,1.0,129.17674344782216,3.463356e-09
37.487,1.0,129.1763029562642,3.230525e-09
37.487,1.0,129.17590278882815,4.321919e-09
37.487,1.0,129.17546704311218,3.696186e-09
37.487,1.0,129.17506539697908,4.48199e-09
37.487,1.0,129.1746348614779,4.612957e-09
37.487,1.0,129.17421378670167,5.922629e-09
37.487,1.0,129.17378818122785,6.926712e-09
37.487,1.0,129.1733650678994,6.76082e-08
37.487,1.0,129.1729378081375,1.328197e-06
37.487,1.0,129.1725314808336,4.356989e-07
37.487,1.0,129.17210857805486,3.283785e-07
37.487,1.0,129.17167517598904,3.853493e-07
37.487,1.0,129.17126779372052,3.586174e-07
37.487,1.0,129.17085529412785,3.539462e-07
37.487,1.0,129.17043777872405,3.645546e-07
37.487,1.0,129.17001888434731,3.210444e-07
37.487,1.0,129.16962131724674,2.577581e-07
37.487,1.0,129.16918805970334,3.342138e-07
37.487,1.0,129.16876383357447,3.968162e-07
37.487,1.0,129.16836653896516,3.901223e-07
37.487,1.0,129.16795671303413,3.890018e-07
37.487,1.0,129.16753472873347,3.730529e-07
37.487,1.0,129.16711956459764,3.949244e-07
37.487,1.0,129.16670346812947,3.980967e-07
37.487,1.0,129.1662893405797,3.859168e-07
37.487,1.0,129.16586083041247,3.631139e-07
37.487,1.0,129.16542651078223,3.27098e-07
37.487,1.0,129.16502944798248,3.397727e-07
37.487,1.0,129.16460718053676,3.729947e-07
37.487,1.0,129.16417897438393,3.931636e-07
37.487,1.0,129.1637452431167,3.855384e-07
37.487,1.0,129.16334849573278,3.885943e-07
37.487,1.0,129.16293682706535,3.965688e-07
