Y_dimension(mm),Button,True_depth(m),meas
42.93,0.0,0.7203578125,1.82641e-08
42.93,0.0,0.7201078125,1.81998e-08
42.93,0.0,0.7198578125,1.803115e-08
42.93,0.0,0.7196078125,1.83835e-08
42.93,0.0,0.7193578125,1.792165e-08
42.93,0.0,0.7191078125,1.786175e-08
42.93,0.0,0.7188578125,1.84425e-08
42.93,0.0,0.7186078125,1.838115e-08
42.93,0.0,0.7183578125,1.82704e-08
42.93,0.0,0.7181078125,1.813995e-08
42.93,0.0,0.7178578125,1.82161e-08
42.93,0.0,0.7176078125,1.99373e-08
42.93,0.0,0.7173578125,1.65311e-08
42.93,0.0,0.7171078125,1.85472e-08
42.93,0.0,0.7168578125,1.79975e-08
42.93,0.0,0.7166078125,1.802995e-08
42.93,0.0,0.7163578125,1.79501e-08
42.93,0.0,0.7161078125,1.7626049999999998e-08
42.93,0.0,0.7158578125,1.6652399999999998e-08
42.93,0.0,0.7156078125,1.77871e-08
42.93,0.0,0.7153578125,1.82349e-08
42.93,0.0,0.7151078125,1.739225e-08
42.93,0.0,0.7148578125,1.78067e-08
42.93,0.0,0.7146078125,1.83307e-08
42.93,0.0,0.7143578125000001,1.7738100000000002e-08
42.93,0.0,0.7141078125,1.69989e-08
42.93,0.0,0.7138578125,1.788105e-08
42.93,0.0,0.7136078125,1.791815e-08
42.93,0.0,0.7133578125000001,1.69802e-08
42.93,0.0,0.7131078125,1.73313e-08
42.93,0.0,0.7128578125,1.73767e-08
42.93,0.0,0.7126078125,1.69623e-08
42.93,0.0,0.7123578125000001,1.740835e-08
42.93,0.0,0.7121078125,1.69822e-08
42.93,0.0,0.7118578125,1.56219e-08
42.93,0.0,0.7116078125,1.82637e-08
42.93,0.0,0.7113578125000001,1.747685e-08
42.93,0.0,0.7111078125,1.7464149999999998e-08
42.93,0.0,0.7108578125,1.78607e-08
42.93,0.0,0.7106078125,1.80919e-08
42.93,0.0,0.7103578125000001,1.74752e-08
42.93,0.0,0.7101078125,1.72619e-08
42.93,0.0,0.7098578125,1.76045e-08
42.93,0.0,0.7096078125,1.737975e-08
42.93,0.0,0.7093578125000001,1.7108e-08
42.93,0.0,0.7091078125,1.744045e-08
42.93,0.0,0.7088578125,1.68466e-08
42.93,0.0,0.7086078125,1.67045e-08
42.93,0.0,0.7083578125000001,1.723905e-08
42.93,0.0,0.7081078125,1.6868649999999998e-08
42.93,0.0,0.7078578125,1.75094e-08
42.93,0.0,0.7076078125,1.70267e-08
42.93,0.0,0.7073578125000001,1.7069e-08
42.93,0.0,0.7071078125,1.672705e-08
42.93,0.0,0.7068578125,1.7332e-08
42.93,0.0,0.7066078125,1.7522e-08
42.93,0.0,0.7063578125000001,1.683835e-08
42.93,0.0,0.7061078125,1.69059e-08
42.93,0.0,0.7058578125,1.702e-08
42.93,0.0,0.7056078125,1.713765e-08
42.93,0.0,0.7053578125000001,1.68629e-08
42.93,0.0,0.7051078125,1.6635e-08
42.93,0.0,0.7048578125,1.665805e-08
42.93,0.0,0.7046078125,1.69584e-08
42.93,0.0,0.7043578125000001,1.694785e-08
42.93,0.0,0.7041078125,1.65571e-08
42.93,0.0,0.7038578125,1.6739000000000002e-08
42.93,0.0,0.7036078125,1.66848e-08
42.93,0.0,0.7033578125000001,1.69589e-08
42.93,0.0,0.7031078125,1.6662549999999997e-08
42.93,0.0,0.7028578125,1.66391e-08
42.93,0.0,0.7026078125,1.69841e-08
42.93,0.0,0.7023578125000001,1.65516e-08
42.93,0.0,0.7021078125,1.7015450000000002e-08
42.93,0.0,0.7018578125,1.659805e-08
42.93,0.0,0.7016078125,1.68441e-08
42.93,0.0,0.7013578125000001,1.9125400000000006e-08
42.93,0.0,0.7011078125,1.712065e-08
42.93,0.0,0.7008578125,1.67467e-08
42.93,0.0,0.7006078125,1.67232e-08
42.93,0.0,0.7003578125000001,1.686345e-08
42.93,0.0,0.7001078125,1.6537599999999997e-08
42.93,0.0,0.6998578125,1.63272e-08
42.93,0.0,0.6996078125,1.6825e-08
42.93,0.0,0.6993578125000001,1.7135750000000002e-08
42.93,0.0,0.6991078125,1.65713e-08
42.93,0.0,0.6988578125,1.62166e-08
42.93,0.0,0.6986078125,1.66519e-08
42.93,0.0,0.6983578125000001,1.6982e-08
42.93,0.0,0.6981078125,1.6507749999999998e-08
42.93,0.0,0.6978578125,1.66863e-08
42.93,0.0,0.6976078125,1.66723e-08
42.93,0.0,0.6973578125000001,1.6160400000000002e-08
42.93,0.0,0.6971078125,1.643615e-08
42.93,0.0,0.6968578125,1.63698e-08
42.93,0.0,0.6966078125,1.65037e-08
42.93,0.0,0.6963578125000001,1.625315e-08
42.93,0.0,0.6961078125,1.63597e-08
42.93,0.0,0.6958578125,1.64418e-08
42.93,0.0,0.6956078125,1.6494899999999998e-08
42.93,0.0,0.6953578125000001,1.62624e-08
42.93,0.0,0.6951078125,1.69461e-08
42.93,0.0,0.6948578125,1.65164e-08
42.93,0.0,0.6946078125,1.69413e-08
42.93,0.0,0.6943578125000001,1.63492e-08
42.93,0.0,0.6941078125,1.65906e-08
42.93,0.0,0.6938578125,1.6273350000000002e-08
42.93,0.0,0.6936078125,1.59909e-08
42.93,0.0,0.6933578125000001,1.637005e-08
42.93,0.0,0.6931078125,1.680105e-08
42.93,0.0,0.6928578125,1.63033e-08
42.93,0.0,0.6926078125,1.6206e-08
42.93,0.0,0.6923578125000001,1.638785e-08
42.93,0.0,0.6921078125,1.6383500000000002e-08
42.93,0.0,0.6918578125,1.60135e-08
42.93,0.0,0.6916078125,1.6281849999999998e-08
42.93,0.0,0.6913578125000001,1.65368e-08
42.93,0.0,0.6911078125,1.6290750000000003e-08
42.93,0.0,0.6908578125,1.62618e-08
42.93,0.0,0.6906078125,1.634565e-08
42.93,0.0,0.6903578125000001,1.62821e-08
42.93,0.0,0.6901078125,1.60841e-08
42.93,0.0,0.6898578125,1.61917e-08
42.93,0.0,0.6896078125,1.624565e-08
42.93,0.0,0.6893578125000001,1.620845e-08
42.93,0.0,0.6891078125,1.632355e-08
42.93,0.0,0.6888578125,1.64225e-08
42.93,0.0,0.6886078125,1.601125e-08
42.93,0.0,0.6883578125,1.65056e-08
42.93,0.0,0.6881078125,1.61866e-08
42.93,0.0,0.6878578125,1.63018e-08
42.93,0.0,0.6876078125,1.6237e-08
42.93,0.0,0.6873578125,1.620405e-08
42.93,0.0,0.6871078125,1.61196e-08
42.93,0.0,0.6868578125,1.63661e-08
42.93,0.0,0.6866078125,1.610395e-08
42.93,0.0,0.6863578125,1.60893e-08
42.93,0.0,0.6861078125,1.618325e-08
42.93,0.0,0.6858578125,1.64817e-08
42.93,0.0,0.6856078125,1.5974799999999998e-08
42.93,0.0,0.6853578125,1.62169e-08
42.93,0.0,0.6851078125,1.58561e-08
42.93,0.0,0.6848578125,1.61088e-08
42.93,0.0,0.6846078125,1.6061e-08
42.93,0.0,0.6843578125,1.591e-08
42.93,0.0,0.6841078125,1.60863e-08
42.93,0.0,0.6838578125,1.58658e-08
42.93,0.0,0.6836078125,1.58879e-08
42.93,0.0,0.6833578125,1.606595e-08
42.93,0.0,0.6831078125000001,1.6013e-08
42.93,0.0,0.6828578125,1.61511e-08
42.93,0.0,0.6826078125,1.614125e-08
42.93,0.0,0.6823578125,1.60213e-08
42.93,0.0,0.6821078125000001,1.6034149999999998e-08
42.93,0.0,0.6818578125,1.5964e-08
42.93,0.0,0.6816078125,1.612685e-08
42.93,0.0,0.6813578125,1.628065e-08
42.93,0.0,0.6811078125000001,1.60055e-08
42.93,0.0,0.6808578125,1.579475e-08
42.93,0.0,0.6806078125,1.4681199999999998e-08
42.93,0.0,0.6803578125,1.5986e-08
42.93,0.0,0.6801078125000001,1.54851e-08
42.93,0.0,0.6798578125,1.56471e-08
42.93,0.0,0.6796078125,1.578265e-08
42.93,0.0,0.6793578125,1.5974049999999997e-08
42.93,0.0,0.6791078125000001,1.58571e-08
42.93,0.0,0.6788578125,1.574e-08
42.93,0.0,0.6786078125,1.55539e-08
42.93,0.0,0.6783578125,1.590645e-08
42.93,0.0,0.6781078125000001,1.58902e-08
42.93,0.0,0.6778578125,1.611865e-08
42.93,0.0,0.6776078125,1.579655e-08
42.93,0.0,0.6773578125,1.58111e-08
42.93,0.0,0.6771078125000001,1.59117e-08
42.93,0.0,0.6768578125,1.575845e-08
42.93,0.0,0.6766078125,1.610215e-08
42.93,0.0,0.6763578125,1.57289e-08
42.93,0.0,0.6761078125000001,1.63591e-08
42.93,0.0,0.6758578125,1.58592e-08
42.93,0.0,0.6756078125,1.5749499999999998e-08
42.93,0.0,0.6753578125,1.589975e-08
42.93,0.0,0.6751078125000001,1.59487e-08
42.93,0.0,0.6748578125,1.55804e-08
42.93,0.0,0.6746078125,1.5832e-08
42.93,0.0,0.6743578125,1.60485e-08
42.93,0.0,0.6741078125000001,1.58505e-08
42.93,0.0,0.6738578125,1.58871e-08
42.93,0.0,0.6736078125,1.594345e-08
42.93,0.0,0.6733578125,1.61814e-08
42.93,0.0,0.6731078125000001,1.56721e-08
42.93,0.0,0.6728578125,1.5944900000000003e-08
42.93,0.0,0.6726078125,1.602135e-08
42.93,0.0,0.6723578125,1.58278e-08
42.93,0.0,0.6721078125000001,1.550715e-08
42.93,0.0,0.6718578125,1.60741e-08
42.93,0.0,0.6716078125,1.591915e-08
42.93,0.0,0.6713578125,1.5563e-08
42.93,0.0,0.6711078125000001,1.63094e-08
42.93,0.0,0.6708578125,1.600695e-08
42.93,0.0,0.6706078125,1.56884e-08
42.93,0.0,0.6703578125,1.6288e-08
42.93,0.0,0.6701078125000001,1.550465e-08
42.93,0.0,0.6698578125,1.56433e-08
42.93,0.0,0.6696078125,1.598295e-08
42.93,0.0,0.6693578125,1.614345e-08
42.93,0.0,0.6691078125000001,1.59553e-08
42.93,0.0,0.6688578125,1.59927e-08
42.93,0.0,0.6686078125,1.60732e-08
42.93,0.0,0.6683578125,1.6025e-08
42.93,0.0,0.6681078125000001,1.59533e-08
42.93,0.0,0.6678578125,1.62072e-08
42.93,0.0,0.6676078125,1.61423e-08
42.93,0.0,0.6673578125,1.5888e-08
42.93,0.0,0.6671078125000001,1.5963399999999997e-08
42.93,0.0,0.6668578125,1.61052e-08
42.93,0.0,0.6666078125,1.6172650000000003e-08
42.93,0.0,0.6663578125,1.664155e-08
42.93,0.0,0.6661078125000001,1.624e-08
42.93,0.0,0.6658578125,1.63611e-08
42.93,0.0,0.6656078125,1.6191000000000006e-08
42.93,0.0,0.6653578125,1.58481e-08
42.93,0.0,0.6651078125000001,1.61771e-08
42.93,0.0,0.6648578125,1.63626e-08
42.93,0.0,0.6646078125,1.6449100000000003e-08
42.93,0.0,0.6643578125,1.632665e-08
42.93,0.0,0.6641078125000001,1.62435e-08
42.93,0.0,0.6638578125,1.62411e-08
42.93,0.0,0.6636078125,1.63121e-08
42.93,0.0,0.6633578125,1.64496e-08
42.93,0.0,0.6631078125000001,1.64916e-08
42.93,0.0,0.6628578125,1.63544e-08
42.93,0.0,0.6626078125,1.62941e-08
42.93,0.0,0.6623578125,1.64835e-08
42.93,0.0,0.6621078125000001,1.6294549999999997e-08
42.93,0.0,0.6618578125,1.6574650000000002e-08
42.93,0.0,0.6616078125,1.6434e-08
42.93,0.0,0.6613578125,1.628605e-08
42.93,0.0,0.6611078125000001,1.62617e-08
42.93,0.0,0.6608578125,1.58803e-08
42.93,0.0,0.6606078125,1.611015e-08
42.93,0.0,0.6603578125,1.62377e-08
42.93,0.0,0.6601078125000001,1.6298849999999998e-08
42.93,0.0,0.6598578125,1.61008e-08
42.93,0.0,0.6596078125,1.64718e-08
42.93,0.0,0.6593578125,1.58822e-08
42.93,0.0,0.6591078125000001,1.621735e-08
42.93,0.0,0.6588578125,1.59933e-08
42.93,0.0,0.6586078125,1.611535e-08
42.93,0.0,0.6583578125,1.60109e-08
42.93,0.0,0.6581078125000001,1.6209399999999998e-08
42.93,0.0,0.6578578125,1.605465e-08
42.93,0.0,0.6576078125,1.61005e-08
42.93,0.0,0.6573578125,1.59196e-08
42.93,0.0,0.6571078125,1.5904150000000003e-08
42.93,0.0,0.6568578125,1.6212e-08
42.93,0.0,0.6566078125,1.6187450000000002e-08
42.93,0.0,0.6563578125,1.61416e-08
42.93,0.0,0.6561078125,1.607945e-08
42.93,0.0,0.6558578125,1.6078650000000002e-08
42.93,0.0,0.6556078125,1.65678e-08
42.93,0.0,0.6553578125,1.5794500000000003e-08
42.93,0.0,0.6551078125,1.58992e-08
42.93,0.0,0.6548578125,1.5873699999999997e-08
42.93,0.0,0.6546078125,1.60021e-08
42.93,0.0,0.6543578125,1.59788e-08
42.93,0.0,0.6541078125,1.610045e-08
42.93,0.0,0.6538578125,1.5973400000000002e-08
42.93,0.0,0.6536078125,1.62981e-08
42.93,0.0,0.6533578125,1.56869e-08
