Y_dimension(mm),Button,True_depth(m),meas
43.337,0.0,133.75123125000002,1.54749e-08
43.337,0.0,133.75098125,1.5540533333333332e-08
43.337,1.0,133.75073125,1.55067e-08
43.337,0.0,133.75048125,1.55328e-08
43.337,0.0,133.75023125,1.56225e-08
43.337,1.0,133.74998125000002,1.567665e-08
43.337,1.0,133.74973125,1.5911600000000002e-08
43.337,0.0,133.74948125,1.58973e-08
43.337,0.0,133.74923125,1.6107449999999998e-08
43.337,1.0,133.74898125,1.633425e-08
43.337,1.0,133.74873125000002,1.63194e-08
43.337,1.0,133.74848125,1.62478e-08
43.337,1.0,133.74823125,1.6592199999999998e-08
43.337,1.0,133.74798125,1.63706e-08
43.337,1.0,133.74773125000002,1.624885e-08
43.337,0.0,133.74748125,1.63885e-08
43.337,0.0,133.74723125,1.63344e-08
43.337,1.0,133.74698125,1.6742849999999998e-08
43.337,1.0,133.74673125,1.661945e-08
43.337,0.0,133.74648125000002,1.66882e-08
43.337,0.0,133.74623125,1.6524399999999998e-08
43.337,1.0,133.74598125,1.67073e-08
43.337,1.0,133.74573125,1.672875e-08
43.337,1.0,133.74548125,1.65788e-08
43.337,1.0,133.74523125000002,1.666895e-08
43.337,1.0,133.74498125,1.64957e-08
43.337,1.0,133.74473125,1.66219e-08
43.337,0.0,133.74448125,1.64919e-08
43.337,0.0,133.74423125,1.6540049999999997e-08
43.337,1.0,133.74398125000002,1.67513e-08
43.337,1.0,133.74373125,1.6538099999999998e-08
43.337,1.0,133.74348125,1.64161e-08
43.337,1.0,133.74323125,1.66636e-08
43.337,1.0,133.74298125,1.67448e-08
43.337,1.0,133.74273125000002,1.65458e-08
43.337,1.0,133.74248125,1.66662e-08
43.337,1.0,133.74223125,1.66338e-08
43.337,1.0,133.74198125,1.64901e-08
43.337,1.0,133.74173125000002,1.668235e-08
43.337,1.0,133.74148125,1.6703e-08
43.337,1.0,133.74123125,1.66593e-08
43.337,1.0,133.74098125,1.648955e-08
43.337,1.0,133.74073125,1.65612e-08
43.337,1.0,133.74048125000002,1.63515e-08
43.337,1.0,133.74023125,1.661035e-08
43.337,1.0,133.73998125,1.63921e-08
43.337,1.0,133.73973125,1.652015e-08
43.337,1.0,133.73948125,1.64934e-08
43.337,1.0,133.73923125000002,1.6281e-08
43.337,1.0,133.73898125,1.61397e-08
43.337,1.0,133.73873125,1.613965e-08
43.337,1.0,133.73848125,1.62026e-08
43.337,1.0,133.73823125,1.60748e-08
43.337,1.0,133.73798125000002,1.615145e-08
43.337,0.0,133.73773125,1.60136e-08
43.337,0.0,133.73748125,1.627105e-08
43.337,1.0,133.73723125,1.61168e-08
43.337,1.0,133.73698125,1.60299e-08
43.337,1.0,133.73673125000002,1.604785e-08
43.337,1.0,133.73648125,1.61704e-08
43.337,1.0,133.73623125,1.578285e-08
43.337,1.0,133.73598125,1.59807e-08
43.337,0.0,133.73573125000001,1.57847e-08
43.337,0.0,133.73548125000002,1.57247e-08
43.337,1.0,133.73523125,1.57636e-08
43.337,1.0,133.73498125,1.56745e-08
43.337,1.0,133.73473125,1.58757e-08
43.337,1.0,133.73448125000002,1.56768e-08
43.337,1.0,133.73423125,1.56685e-08
43.337,1.0,133.73398125,1.57165e-08
43.337,0.0,133.73373125,1.59248e-08
43.337,0.0,133.73348125,1.532955e-08
43.337,1.0,133.73323125000002,1.569025e-08
43.337,1.0,133.73298125,1.567135e-08
43.337,0.0,133.73273125,1.5247e-08
43.337,0.0,133.73248125,1.55804e-08
43.337,1.0,133.73223125,1.54574e-08
43.337,1.0,133.73198125000002,1.553715e-08
43.337,0.0,133.73173125,1.5491399999999998e-08
43.337,0.0,133.73148125,1.54671e-08
43.337,1.0,133.73123125,1.5610599999999998e-08
43.337,1.0,133.73098125,1.51062e-08
43.337,0.0,133.73073125000002,1.57325e-08
43.337,0.0,133.73048125,1.5528550000000002e-08
43.337,1.0,133.73023125,1.55861e-08
43.337,1.0,133.72998125,1.54186e-08
43.337,0.0,133.72973125000001,1.53862e-08
43.337,0.0,133.72948125000002,1.56027e-08
43.337,1.0,133.72923125,1.5198e-08
43.337,1.0,133.72898125,1.52398e-08
43.337,0.0,133.72873125,1.55185e-08
43.337,0.0,133.72848125000002,1.52501e-08
43.337,1.0,133.72823125,1.5319699999999998e-08
43.337,1.0,133.72798125,1.532445e-08
43.337,0.0,133.72773125,1.52083e-08
43.337,0.0,133.72748125,1.49899e-08
43.337,1.0,133.72723125000002,1.514455e-08
43.337,1.0,133.72698125,1.5244400000000002e-08
43.337,1.0,133.72673125,1.48828e-08
43.337,1.0,133.72648125,1.519685e-08
43.337,1.0,133.72623125,1.51786e-08
43.337,1.0,133.72598125000002,1.517445e-08
43.337,0.0,133.72573125,1.48985e-08
43.337,0.0,133.72548125,1.51862e-08
43.337,1.0,133.72523125,1.508415e-08
43.337,1.0,133.72498125,1.47888e-08
43.337,1.0,133.72473125000002,1.5255e-08
43.337,1.0,133.72448125,1.486865e-08
43.337,1.0,133.72423125,1.51982e-08
43.337,1.0,133.72398125,1.50231e-08
43.337,0.0,133.72373125000001,1.5130499999999998e-08
43.337,0.0,133.72348125000002,1.52884e-08
43.337,1.0,133.72323125,1.484075e-08
43.337,1.0,133.72298125,1.48644e-08
43.337,1.0,133.72273125,1.49276e-08
