Y_dimension(mm),Button,True_depth(m),meas
45.586,0.0,0.39055,1.48627e-08
45.586,0.0,0.39030000000000004,1.53168e-08
45.586,0.0,0.39005,1.54986e-08
45.586,0.0,0.38980000000000004,1.658275e-08
45.586,0.0,0.38955,1.76792e-08
45.586,0.0,0.38930000000000003,1.76127e-08
45.586,0.0,0.38905,1.75635e-08
45.586,0.0,0.38880000000000003,1.755865e-08
45.586,0.0,0.38855,1.74672e-08
45.586,0.0,0.38830000000000003,1.72732e-08
45.586,0.0,0.38805,1.6994449999999998e-08
45.586,0.0,0.38780000000000003,1.6927e-08
45.586,0.0,0.38755,1.70656e-08
45.586,0.0,0.38730000000000003,1.719225e-08
45.586,0.0,0.38705,1.74753e-08
45.586,0.0,0.38680000000000003,1.736275e-08
45.586,0.0,0.38655,1.729e-08
45.586,0.0,0.38630000000000003,1.72226e-08
45.586,0.0,0.38605,1.7209e-08
45.586,0.0,0.38580000000000003,1.7207999999999998e-08
45.586,0.0,0.38555,1.7219e-08
45.586,0.0,0.38530000000000003,1.7207399999999998e-08
45.586,0.0,0.38505,1.74373e-08
45.586,0.0,0.38480000000000003,1.72051e-08
45.586,0.0,0.38455,1.74551e-08
45.586,0.0,0.38430000000000003,1.7491e-08
45.586,0.0,0.38405,1.75314e-08
45.586,0.0,0.38380000000000003,1.75495e-08
45.586,0.0,0.38355,1.742025e-08
45.586,0.0,0.38330000000000003,1.74913e-08
45.586,0.0,0.38305,1.77151e-08
45.586,0.0,0.38280000000000003,1.75191e-08
45.586,0.0,0.38255,1.73461e-08
45.586,0.0,0.38230000000000003,1.738955e-08
45.586,0.0,0.38205,1.78337e-08
45.586,0.0,0.38180000000000003,1.736115e-08
45.586,0.0,0.38155,1.745295e-08
45.586,0.0,0.38130000000000003,1.73605e-08
45.586,0.0,0.38105,1.73829e-08
45.586,0.0,0.3808,1.73226e-08
45.586,0.0,0.38055,1.74055e-08
45.586,0.0,0.3803,1.70612e-08
45.586,0.0,0.38005,1.71391e-08
45.586,0.0,0.3798,1.706705e-08
45.586,0.0,0.37955,1.7334750000000002e-08
45.586,0.0,0.3793,1.74224e-08
45.586,0.0,0.37905,1.71125e-08
45.586,0.0,0.3788,1.727905e-08
45.586,0.0,0.37855,1.716005e-08
45.586,0.0,0.3783,1.71464e-08
45.586,0.0,0.37805,1.71731e-08
45.586,0.0,0.3778,1.70884e-08
45.586,0.0,0.37755,1.70559e-08
45.586,0.0,0.3773,1.70734e-08
45.586,0.0,0.37705,1.70769e-08
45.586,0.0,0.3768,1.706545e-08
45.586,0.0,0.37655,1.68674e-08
45.586,0.0,0.3763,1.68582e-08
45.586,0.0,0.37605,1.68026e-08
45.586,0.0,0.3758,1.67643e-08
45.586,0.0,0.37555,1.6904999999999998e-08
45.586,0.0,0.3753,1.68324e-08
45.586,0.0,0.37505,1.67755e-08
45.586,0.0,0.3748,1.66936e-08
45.586,0.0,0.37455,1.67513e-08
45.586,0.0,0.3743,1.67539e-08
45.586,0.0,0.37405,1.692975e-08
45.586,0.0,0.3738,1.65772e-08
45.586,0.0,0.37355,1.66376e-08
45.586,0.0,0.3733,1.68548e-08
45.586,0.0,0.37305,1.6755449999999998e-08
45.586,0.0,0.3728,1.69218e-08
45.586,0.0,0.37255,1.647015e-08
45.586,0.0,0.3723,1.64945e-08
45.586,0.0,0.37205,1.67316e-08
45.586,0.0,0.3718,1.6608599999999998e-08
45.586,0.0,0.37155,1.66045e-08
45.586,0.0,0.3713,1.67727e-08
45.586,0.0,0.37105,1.65205e-08
45.586,0.0,0.3708,1.63089e-08
45.586,0.0,0.37055,1.645775e-08
45.586,0.0,0.3703,1.60692e-08
45.586,0.0,0.37005,1.6676850000000003e-08
45.586,0.0,0.3698,1.64408e-08
45.586,0.0,0.36955,1.66092e-08
45.586,0.0,0.3693,1.641615e-08
45.586,0.0,0.36905,1.64179e-08
45.586,0.0,0.3688,1.63081e-08
45.586,0.0,0.36855,1.626135e-08
45.586,0.0,0.3683,1.63005e-08
45.586,0.0,0.36805,1.63332e-08
45.586,0.0,0.3678,1.6232e-08
45.586,0.0,0.36755,1.618825e-08
45.586,0.0,0.3673,1.62231e-08
45.586,0.0,0.36705,1.6309499999999998e-08
45.586,0.0,0.3668,1.638e-08
45.586,0.0,0.36655,1.611765e-08
45.586,0.0,0.3663,1.59533e-08
45.586,0.0,0.36605,1.640645e-08
45.586,0.0,0.3658,1.624575e-08
45.586,0.0,0.36555,1.6097000000000002e-08
45.586,0.0,0.3653,1.63108e-08
45.586,0.0,0.36505,1.6198700000000002e-08
45.586,0.0,0.3648,1.616845e-08
45.586,0.0,0.36455,1.620765e-08
45.586,0.0,0.3643,1.60018e-08
45.586,0.0,0.36405,1.58539e-08
45.586,0.0,0.3638,1.60359e-08
45.586,0.0,0.36355,1.6179e-08
45.586,0.0,0.3633,1.61807e-08
45.586,0.0,0.36305,1.625955e-08
45.586,0.0,0.3628,1.609305e-08
45.586,0.0,0.36255000000000004,1.603e-08
45.586,0.0,0.3623,1.58862e-08
45.586,0.0,0.36205000000000004,1.62352e-08
45.586,0.0,0.3618,1.61699e-08
45.586,0.0,0.36155000000000004,1.6085549999999998e-08
45.586,0.0,0.3613,1.60373e-08
45.586,0.0,0.36105000000000004,1.61568e-08
45.586,0.0,0.3608,1.602495e-08
45.586,0.0,0.36055000000000004,1.59186e-08
45.586,0.0,0.3603,1.59198e-08
45.586,0.0,0.36005000000000004,1.60736e-08
45.586,0.0,0.3598,1.60757e-08
45.586,0.0,0.35955000000000004,1.60487e-08
45.586,0.0,0.3593,1.58891e-08
45.586,0.0,0.35905000000000004,1.60617e-08
45.586,0.0,0.3588,1.60688e-08
45.586,0.0,0.35855000000000004,1.63915e-08
45.586,0.0,0.3583,1.60823e-08
45.586,0.0,0.35805000000000003,1.59189e-08
45.586,0.0,0.3578,1.5806399999999998e-08
45.586,0.0,0.35755000000000003,1.59204e-08
45.586,0.0,0.3573,1.58718e-08
45.586,0.0,0.35705000000000003,1.5799899999999997e-08
45.586,0.0,0.3568,1.57152e-08
45.586,0.0,0.35655000000000003,1.580365e-08
45.586,0.0,0.3563,1.61079e-08
45.586,0.0,0.35605000000000003,1.590705e-08
45.586,0.0,0.3558,1.59695e-08
45.586,0.0,0.35555000000000003,1.59715e-08
45.586,0.0,0.3553,1.59451e-08
45.586,0.0,0.35505000000000003,1.5864850000000002e-08
45.586,0.0,0.3548,1.5995800000000002e-08
45.586,0.0,0.35455000000000003,1.56634e-08
45.586,0.0,0.3543,1.59276e-08
45.586,0.0,0.35405000000000003,1.59949e-08
45.586,0.0,0.3538,1.58954e-08
45.586,0.0,0.35355000000000003,1.58979e-08
45.586,0.0,0.3533,1.5959450000000002e-08
45.586,0.0,0.35305000000000003,1.60373e-08
45.586,0.0,0.3528,1.589465e-08
