Y_dimension(mm),Button,True_depth(m),meas
60.144,0.0,16.0445671875,3.144335e-08
60.144,0.0,16.0443171875,3.124545e-08
60.144,0.0,16.0440671875,3.1283650000000005e-08
60.144,0.0,16.0438171875,3.12416e-08
60.144,0.0,16.0435671875,3.132e-08
60.144,0.0,16.0433171875,3.1384e-08
60.144,0.0,16.0430671875,3.1231199999999994e-08
60.144,0.0,16.0428171875,3.11196e-08
60.144,0.0,16.0425671875,3.1122700000000004e-08
60.144,0.0,16.0423171875,3.1256e-08
60.144,0.0,16.0420671875,3.10059e-08
60.144,0.0,16.0418171875,3.11372e-08
60.144,0.0,16.0415671875,3.09549e-08
60.144,0.0,16.0413171875,3.113175e-08
60.144,0.0,16.0410671875,3.091145e-08
60.144,0.0,16.0408171875,3.09171e-08
60.144,0.0,16.0405671875,3.0744800000000004e-08
60.144,0.0,16.0403171875,3.09545e-08
60.144,0.0,16.0400671875,3.0818350000000004e-08
60.144,0.0,16.0398171875,3.06305e-08
60.144,0.0,16.0395671875,3.0773550000000004e-08
60.144,0.0,16.0393171875,3.07129e-08
60.144,0.0,16.0390671875,3.09589e-08
60.144,0.0,16.0388171875,3.09214e-08
60.144,0.0,16.0385671875,3.07494e-08
60.144,0.0,16.0383171875,3.061775e-08
60.144,0.0,16.0380671875,3.05022e-08
60.144,0.0,16.0378171875,3.05965e-08
60.144,0.0,16.0375671875,3.037795e-08
60.144,0.0,16.0373171875,3.03167e-08
60.144,0.0,16.0370671875,3.04222e-08
60.144,0.0,16.0368171875,3.02988e-08
60.144,0.0,16.0365671875,3.00456e-08
60.144,0.0,16.0363171875,3.03542e-08
60.144,0.0,16.0360671875,3.02983e-08
60.144,0.0,16.0358171875,3.0338e-08
60.144,0.0,16.0355671875,3.0144050000000004e-08
60.144,0.0,16.0353171875,3.01111e-08
60.144,0.0,16.0350671875,3.017385e-08
60.144,0.0,16.0348171875,3.0051e-08
60.144,0.0,16.0345671875,3.00914e-08
60.144,0.0,16.0343171875,3.01393e-08
60.144,0.0,16.0340671875,2.997235e-08
60.144,0.0,16.0338171875,3.01145e-08
60.144,0.0,16.0335671875,2.99455e-08
60.144,0.0,16.0333171875,3.01079e-08
60.144,0.0,16.033067187500002,2.98813e-08
60.144,0.0,16.0328171875,2.981075e-08
60.144,0.0,16.0325671875,2.974545e-08
60.144,0.0,16.0323171875,2.9823e-08
60.144,0.0,16.0320671875,2.9820100000000004e-08
60.144,0.0,16.0318171875,2.98176e-08
60.144,0.0,16.031567187500002,2.966005e-08
60.144,0.0,16.0313171875,2.95339e-08
60.144,0.0,16.0310671875,2.98967e-08
60.144,0.0,16.030817187500002,2.9694e-08
60.144,0.0,16.0305671875,2.96496e-08
60.144,0.0,16.0303171875,2.969155e-08
60.144,0.0,16.030067187500002,2.95687e-08
60.144,0.0,16.0298171875,2.969275e-08
60.144,0.0,16.0295671875,2.96498e-08
60.144,0.0,16.029317187500002,2.94172e-08
60.144,0.0,16.0290671875,2.941225e-08
60.144,0.0,16.0288171875,2.94075e-08
60.144,0.0,16.028567187500002,2.94168e-08
60.144,0.0,16.0283171875,2.935075e-08
60.144,0.0,16.0280671875,2.92206e-08
60.144,0.0,16.027817187500002,2.93622e-08
60.144,0.0,16.0275671875,2.919175e-08
60.144,0.0,16.0273171875,2.92203e-08
60.144,0.0,16.027067187500002,2.906795e-08
60.144,0.0,16.0268171875,2.90409e-08
60.144,0.0,16.0265671875,2.894215e-08
60.144,0.0,16.026317187500002,2.904415e-08
60.144,0.0,16.0260671875,2.92259e-08
60.144,0.0,16.0258171875,2.93942e-08
60.144,0.0,16.025567187500002,2.901725e-08
60.144,0.0,16.0253171875,2.91502e-08
60.144,0.0,16.0250671875,2.9049100000000003e-08
60.144,0.0,16.024817187500002,2.89713e-08
60.144,0.0,16.0245671875,2.9002450000000002e-08
60.144,0.0,16.0243171875,2.90242e-08
60.144,0.0,16.024067187500002,2.90336e-08
60.144,0.0,16.0238171875,2.895315e-08
60.144,0.0,16.0235671875,2.89665e-08
60.144,0.0,16.023317187500002,2.902415e-08
60.144,0.0,16.0230671875,2.89306e-08
60.144,0.0,16.0228171875,2.889755e-08
60.144,0.0,16.0225671875,2.87624e-08
60.144,0.0,16.0223171875,2.8788900000000002e-08
60.144,0.0,16.0220671875,2.88965e-08
60.144,0.0,16.0218171875,2.896805e-08
60.144,0.0,16.0215671875,2.88354e-08
60.144,0.0,16.0213171875,2.87155e-08
60.144,0.0,16.0210671875,2.89403e-08
60.144,0.0,16.0208171875,2.87995e-08
60.144,0.0,16.0205671875,2.880165e-08
60.144,0.0,16.0203171875,2.873425e-08
60.144,0.0,16.0200671875,2.87399e-08
60.144,0.0,16.0198171875,2.85006e-08
60.144,0.0,16.0195671875,2.8644150000000003e-08
60.144,0.0,16.0193171875,2.857685e-08
60.144,0.0,16.0190671875,2.86789e-08
60.144,0.0,16.0188171875,2.856525e-08
60.144,0.0,16.0185671875,2.85418e-08
60.144,0.0,16.0183171875,2.85724e-08
60.144,0.0,16.0180671875,2.852055e-08
60.144,0.0,16.0178171875,2.87195e-08
60.144,0.0,16.0175671875,2.838315e-08
60.144,0.0,16.0173171875,2.861365e-08
60.144,0.0,16.0170671875,2.852105e-08
60.144,0.0,16.0168171875,2.84204e-08
60.144,0.0,16.0165671875,2.860615e-08
60.144,0.0,16.0163171875,2.841445e-08
60.144,0.0,16.0160671875,2.84571e-08
60.144,0.0,16.0158171875,2.84563e-08
60.144,0.0,16.0155671875,2.844925e-08
60.144,0.0,16.0153171875,2.81517e-08
60.144,0.0,16.0150671875,2.8506700000000002e-08
60.144,0.0,16.0148171875,2.853295e-08
60.144,0.0,16.0145671875,2.83218e-08
60.144,0.0,16.0143171875,2.83918e-08
60.144,0.0,16.0140671875,2.83249e-08
60.144,0.0,16.0138171875,2.83387e-08
60.144,0.0,16.0135671875,2.827445e-08
60.144,0.0,16.0133171875,2.81909e-08
60.144,0.0,16.0130671875,2.82534e-08
60.144,0.0,16.0128171875,2.829925e-08
60.144,0.0,16.0125671875,2.82048e-08
60.144,0.0,16.0123171875,2.81952e-08
60.144,0.0,16.0120671875,2.82416e-08
60.144,0.0,16.0118171875,2.81016e-08
60.144,0.0,16.0115671875,2.8169e-08
60.144,0.0,16.0113171875,2.80739e-08
60.144,0.0,16.0110671875,2.818715e-08
60.144,0.0,16.0108171875,2.806885e-08
60.144,0.0,16.0105671875,2.82396e-08
60.144,0.0,16.0103171875,2.79613e-08
60.144,0.0,16.0100671875,2.811685e-08
60.144,0.0,16.0098171875,2.796135e-08
60.144,0.0,16.0095671875,2.79541e-08
60.144,0.0,16.0093171875,2.78385e-08
60.144,0.0,16.0090671875,2.8021100000000002e-08
60.144,0.0,16.0088171875,2.80066e-08
60.144,0.0,16.0085671875,2.8043000000000002e-08
60.144,0.0,16.0083171875,2.7875e-08
60.144,0.0,16.0080671875,2.78652e-08
60.144,0.0,16.0078171875,2.780615e-08
60.144,0.0,16.0075671875,2.778675e-08
60.144,0.0,16.0073171875,2.7774e-08
60.144,0.0,16.0070671875,2.810755e-08
60.144,0.0,16.0068171875,2.76507e-08
60.144,0.0,16.0065671875,2.787765e-08
60.144,0.0,16.0063171875,2.77378e-08
60.144,0.0,16.0060671875,2.77763e-08
60.144,0.0,16.0058171875,2.77361e-08
60.144,0.0,16.0055671875,2.7784e-08
60.144,0.0,16.0053171875,2.7696e-08
60.144,0.0,16.0050671875,2.77528e-08
60.144,0.0,16.0048171875,2.77505e-08
60.144,0.0,16.0045671875,2.78098e-08
60.144,0.0,16.0043171875,2.76659e-08
60.144,0.0,16.0040671875,2.76907e-08
60.144,0.0,16.0038171875,2.756e-08
60.144,0.0,16.0035671875,2.776405e-08
60.144,0.0,16.0033171875,2.769775e-08
60.144,0.0,16.0030671875,2.76295e-08
60.144,0.0,16.0028171875,2.75816e-08
60.144,0.0,16.0025671875,2.76201e-08
60.144,0.0,16.0023171875,2.74498e-08
60.144,0.0,16.0020671875,2.73714e-08
60.144,0.0,16.001817187500002,2.752055e-08
60.144,0.0,16.0015671875,2.75549e-08
60.144,0.0,16.0013171875,2.75358e-08
60.144,0.0,16.0010671875,2.7794450000000002e-08
60.144,0.0,16.0008171875,2.76779e-08
60.144,0.0,16.0005671875,2.771415e-08
60.144,0.0,16.000317187500002,2.78301e-08
60.144,0.0,16.0000671875,2.764755e-08
60.144,0.0,15.9998171875,2.7756150000000002e-08
60.144,0.0,15.9995671875,2.77016e-08
60.144,0.0,15.9993171875,2.786695e-08
60.144,0.0,15.9990671875,2.76173e-08
60.144,0.0,15.9988171875,2.76822e-08
60.144,0.0,15.9985671875,2.7373e-08
60.144,0.0,15.9983171875,2.782585e-08
60.144,0.0,15.9980671875,2.781e-08
60.144,0.0,15.9978171875,2.76837e-08
60.144,0.0,15.9975671875,2.789905e-08
60.144,0.0,15.9973171875,2.75275e-08
60.144,0.0,15.9970671875,2.773135e-08
60.144,0.0,15.9968171875,2.778415e-08
60.144,0.0,15.9965671875,2.77484e-08
60.144,0.0,15.9963171875,2.796e-08
60.144,0.0,15.9960671875,2.780325e-08
60.144,0.0,15.9958171875,2.7769e-08
60.144,0.0,15.9955671875,2.78555e-08
60.144,0.0,15.9953171875,2.803045e-08
60.144,0.0,15.9950671875,2.78032e-08
60.144,0.0,15.9948171875,2.78457e-08
60.144,0.0,15.9945671875,2.765295e-08
60.144,0.0,15.9943171875,2.78136e-08
60.144,0.0,15.9940671875,2.767595e-08
60.144,0.0,15.9938171875,2.75166e-08
60.144,0.0,15.9935671875,2.77283e-08
60.144,0.0,15.9933171875,2.794625e-08
60.144,0.0,15.9930671875,2.753845e-08
60.144,0.0,15.9928171875,2.75888e-08
60.144,0.0,15.9925671875,2.74679e-08
60.144,0.0,15.9923171875,2.74438e-08
60.144,0.0,15.9920671875,2.75808e-08
60.144,0.0,15.9918171875,2.74419e-08
60.144,0.0,15.991567187500001,2.7356e-08
60.144,0.0,15.9913171875,2.69219e-08
60.144,0.0,15.9910671875,2.70844e-08
60.144,0.0,15.990817187500001,2.7172e-08
60.144,0.0,15.9905671875,2.70014e-08
60.144,0.0,15.9903171875,2.714075e-08
60.144,0.0,15.990067187500001,2.70841e-08
60.144,0.0,15.9898171875,2.70918e-08
60.144,0.0,15.9895671875,2.721075e-08
60.144,0.0,15.989317187500001,2.70902e-08
60.144,0.0,15.9890671875,2.711315e-08
60.144,0.0,15.9888171875,2.70652e-08
60.144,0.0,15.988567187500001,2.72635e-08
60.144,0.0,15.9883171875,2.7203e-08
60.144,0.0,15.9880671875,2.718305e-08
60.144,0.0,15.987817187500001,2.70897e-08
60.144,0.0,15.9875671875,2.7252e-08
60.144,0.0,15.9873171875,2.724555e-08
60.144,0.0,15.987067187500001,2.7191000000000002e-08
60.144,0.0,15.9868171875,2.7097e-08
60.144,0.0,15.9865671875,2.7232000000000002e-08
60.144,0.0,15.986317187500001,2.72131e-08
60.144,0.0,15.9860671875,2.739615e-08
60.144,0.0,15.9858171875,2.68925e-08
60.144,0.0,15.985567187500001,2.71154e-08
60.144,0.0,15.9853171875,2.712485e-08
60.144,0.0,15.9850671875,2.706905e-08
60.144,0.0,15.984817187500001,2.71285e-08
60.144,0.0,15.9845671875,2.65648e-08
60.144,0.0,15.9843171875,2.694445e-08
60.144,0.0,15.9840671875,2.69809e-08
60.144,0.0,15.9838171875,2.70007e-08
60.144,0.0,15.9835671875,2.686415e-08
60.144,0.0,15.9833171875,2.73056e-08
60.144,0.0,15.9830671875,2.691275e-08
60.144,0.0,15.9828171875,2.72924e-08
60.144,0.0,15.9825671875,2.64925e-08
60.144,0.0,15.9823171875,2.70396e-08
60.144,0.0,15.9820671875,2.7064e-08
60.144,0.0,15.9818171875,2.7179e-08
60.144,0.0,15.9815671875,2.71089e-08
60.144,0.0,15.9813171875,2.705605e-08
60.144,0.0,15.9810671875,2.704045e-08
60.144,0.0,15.9808171875,2.696495e-08
60.144,0.0,15.9805671875,2.71366e-08
60.144,0.0,15.9803171875,2.69348e-08
60.144,0.0,15.9800671875,2.6811e-08
60.144,0.0,15.9798171875,2.6766e-08
60.144,0.0,15.9795671875,2.6802e-08
60.144,0.0,15.979317187500001,2.680455e-08
60.144,0.0,15.9790671875,2.67596e-08
60.144,0.0,15.9788171875,2.68546e-08
60.144,0.0,15.978567187500001,2.7029950000000002e-08
60.144,0.0,15.9783171875,2.67123e-08
60.144,0.0,15.9780671875,2.6615350000000003e-08
60.144,0.0,15.977817187500001,2.677965e-08
60.144,0.0,15.9775671875,2.67784e-08
60.144,0.0,15.9773171875,2.66814e-08
60.144,0.0,15.977067187500001,2.6712e-08
60.144,0.0,15.9768171875,2.68761e-08
60.144,0.0,15.9765671875,2.67201e-08
60.144,0.0,15.976317187500001,2.66703e-08
60.144,0.0,15.9760671875,2.646325e-08
60.144,0.0,15.9758171875,2.68613e-08
60.144,0.0,15.975567187500001,2.681185e-08
60.144,0.0,15.9753171875,2.67434e-08
60.144,0.0,15.9750671875,2.67987e-08
60.144,0.0,15.974817187500001,2.678895e-08
60.144,0.0,15.9745671875,2.67945e-08
60.144,0.0,15.9743171875,2.672705e-08
60.144,0.0,15.974067187500001,2.654235e-08
60.144,0.0,15.9738171875,2.68343e-08
60.144,0.0,15.9735671875,2.65208e-08
60.144,0.0,15.973317187500001,2.68441e-08
60.144,0.0,15.9730671875,2.66897e-08
60.144,0.0,15.9728171875,2.66524e-08
60.144,0.0,15.972567187500001,2.6508e-08
60.144,0.0,15.9723171875,2.664115e-08
60.144,0.0,15.9720671875,2.665015e-08
60.144,0.0,15.971817187500001,2.70838e-08
60.144,0.0,15.9715671875,2.6626100000000002e-08
60.144,0.0,15.9713171875,2.644345e-08
60.144,0.0,15.971067187500001,2.6623e-08
60.144,0.0,15.9708171875,2.67051e-08
60.144,0.0,15.9705671875,2.649545e-08
60.144,0.0,15.970317187500001,2.65276e-08
60.144,0.0,15.9700671875,2.661875e-08
60.144,0.0,15.9698171875,2.669185e-08
60.144,0.0,15.969567187500001,2.661545e-08
60.144,0.0,15.9693171875,2.6507e-08
60.144,0.0,15.9690671875,2.66236e-08
60.144,0.0,15.968817187500001,2.65699e-08
60.144,0.0,15.9685671875,2.64277e-08
60.144,0.0,15.9683171875,2.64772e-08
60.144,0.0,15.9680671875,2.631195e-08
60.144,0.0,15.9678171875,2.65342e-08
60.144,0.0,15.9675671875,2.639635e-08
60.144,0.0,15.9673171875,2.658315e-08
60.144,0.0,15.9670671875,2.624725e-08
60.144,0.0,15.9668171875,2.63573e-08
60.144,0.0,15.9665671875,2.62068e-08
60.144,0.0,15.9663171875,2.64501e-08
60.144,0.0,15.9660671875,2.646275e-08
60.144,0.0,15.9658171875,2.628655e-08
60.144,0.0,15.9655671875,2.64669e-08
60.144,0.0,15.9653171875,2.65412e-08
60.144,0.0,15.9650671875,2.6209400000000002e-08
60.144,0.0,15.9648171875,2.62109e-08
60.144,0.0,15.9645671875,2.63068e-08
60.144,0.0,15.9643171875,2.608845e-08
60.144,0.0,15.9640671875,2.62077e-08
60.144,0.0,15.9638171875,2.5973e-08
60.144,0.0,15.9635671875,2.606145e-08
60.144,0.0,15.9633171875,2.60998e-08
60.144,0.0,15.9630671875,2.5867000000000006e-08
60.144,0.0,15.9628171875,2.57197e-08
60.144,0.0,15.9625671875,2.58393e-08
60.144,0.0,15.9623171875,2.59038e-08
60.144,0.0,15.9620671875,2.58247e-08
60.144,0.0,15.9618171875,2.59401e-08
60.144,0.0,15.9615671875,2.5895500000000002e-08
60.144,0.0,15.9613171875,2.590155e-08
60.144,0.0,15.9610671875,2.598035e-08
60.144,0.0,15.9608171875,2.60718e-08
60.144,0.0,15.9605671875,2.610345e-08
60.144,0.0,15.960317187500001,2.62032e-08
60.144,0.0,15.9600671875,2.62612e-08
60.144,0.0,15.9598171875,2.63293e-08
60.144,0.0,15.959567187500001,2.640165e-08
60.144,0.0,15.9593171875,2.642165e-08
60.144,0.0,15.9590671875,2.62657e-08
60.144,0.0,15.958817187500001,2.652215e-08
60.144,0.0,15.9585671875,2.657905e-08
60.144,0.0,15.9583171875,2.64962e-08
60.144,0.0,15.958067187500001,2.66095e-08
60.144,0.0,15.9578171875,2.68481e-08
60.144,0.0,15.9575671875,2.66452e-08
60.144,0.0,15.957317187500001,2.691455e-08
60.144,0.0,15.9570671875,2.68366e-08
60.144,0.0,15.9568171875,2.69562e-08
60.144,0.0,15.956567187500001,2.697295e-08
60.144,0.0,15.9563171875,2.70475e-08
60.144,0.0,15.9560671875,2.72278e-08
60.144,0.0,15.955817187500001,2.734715e-08
60.144,0.0,15.9555671875,2.75643e-08
60.144,0.0,15.9553171875,2.73599e-08
60.144,0.0,15.955067187500001,2.72862e-08
60.144,0.0,15.9548171875,2.738695e-08
60.144,0.0,15.9545671875,2.747005e-08
60.144,0.0,15.954317187500001,2.751e-08
