Y_dimension(mm),Button,True_depth(m),meas
16.0,0.0,151.46400937500002,8.45085e-09
16.0,0.0,151.46375937500002,8.446209999999999e-09
16.0,0.0,151.46350937500003,8.35769e-09
16.0,0.0,151.463259375,8.30576e-09
16.0,0.0,151.463009375,8.65161e-09
16.0,0.0,151.46275937500002,8.656985e-09
16.0,0.0,151.46250937500002,8.697545e-09
16.0,0.0,151.46225937500003,8.88316e-09
16.0,0.0,151.462009375,8.91906e-09
16.0,0.0,151.461759375,9.265305e-09
16.0,0.0,151.46150937500002,9.42608e-09
16.0,0.0,151.46125937500003,9.98096e-09
16.0,0.0,151.46100937500003,1.076495e-08
16.0,0.0,151.460759375,1.265405e-08
16.0,0.0,151.46050937500002,1.34302e-08
16.0,0.0,151.46025937500002,1.43225e-08
16.0,0.0,151.46000937500003,1.47525e-08
16.0,0.0,151.45975937500003,1.49984e-08
16.0,0.0,151.459509375,1.52255e-08
16.0,0.0,151.45925937500002,1.60246e-08
16.0,0.0,151.45900937500002,1.626915e-08
16.0,0.0,151.45875937500003,1.63807e-08
16.0,0.0,151.45850937500003,1.6683700000000003e-08
16.0,0.0,151.458259375,1.69871e-08
16.0,0.0,151.45800937500002,1.72582e-08
16.0,0.0,151.45775937500002,1.7411399999999998e-08
16.0,0.0,151.45750937500003,1.76275e-08
16.0,0.0,151.457259375,1.75405e-08
16.0,0.0,151.457009375,1.77398e-08
16.0,0.0,151.45675937500002,1.77792e-08
16.0,0.0,151.45650937500002,1.80986e-08
16.0,0.0,151.45625937500003,1.7794e-08
16.0,0.0,151.456009375,1.816545e-08
16.0,0.0,151.455759375,1.819135e-08
16.0,0.0,151.45550937500002,1.83428e-08
16.0,0.0,151.45525937500003,1.84583e-08
16.0,0.0,151.45500937500003,1.82551e-08
16.0,0.0,151.454759375,1.8384150000000006e-08
16.0,0.0,151.45450937500001,1.81968e-08
16.0,0.0,151.45425937500002,1.85092e-08
16.0,0.0,151.45400937500003,1.8547e-08
16.0,0.0,151.45375937500003,1.85695e-08
16.0,0.0,151.453509375,1.85818e-08
16.0,0.0,151.45325937500002,1.863765e-08
16.0,0.0,151.45300937500002,1.8527e-08
16.0,0.0,151.45275937500003,1.85262e-08
16.0,0.0,151.45250937500003,1.84844e-08
16.0,0.0,151.452259375,1.842505e-08
16.0,0.0,151.45200937500002,1.83799e-08
16.0,0.0,151.45175937500002,1.844295e-08
16.0,0.0,151.45150937500003,1.85335e-08
16.0,0.0,151.451259375,1.84257e-08
16.0,0.0,151.451009375,1.8206e-08
16.0,0.0,151.45075937500002,1.85202e-08
16.0,0.0,151.45050937500002,1.81359e-08
16.0,0.0,151.45025937500003,1.85692e-08
16.0,0.0,151.450009375,1.83821e-08
16.0,0.0,151.449759375,1.835925e-08
16.0,0.0,151.44950937500002,1.83138e-08
16.0,0.0,151.44925937500003,1.827695e-08
16.0,0.0,151.44900937500003,1.813715e-08
16.0,0.0,151.448759375,1.83457e-08
16.0,0.0,151.44850937500001,1.81294e-08
16.0,0.0,151.44825937500002,1.818165e-08
16.0,0.0,151.44800937500003,1.81011e-08
16.0,0.0,151.44775937500003,1.8073e-08
16.0,0.0,151.447509375,1.80829e-08
16.0,0.0,151.44725937500002,1.78603e-08
16.0,0.0,151.44700937500002,1.81351e-08
16.0,0.0,151.44675937500003,1.7991e-08
16.0,0.0,151.44650937500003,1.81259e-08
16.0,0.0,151.446259375,1.8263000000000003e-08
16.0,0.0,151.44600937500002,1.80249e-08
16.0,0.0,151.44575937500002,1.80434e-08
16.0,0.0,151.44550937500003,1.80863e-08
16.0,0.0,151.44525937500003,1.797915e-08
16.0,0.0,151.445009375,1.78543e-08
16.0,0.0,151.44475937500002,1.804155e-08
16.0,0.0,151.44450937500002,1.79396e-08
16.0,0.0,151.44425937500003,1.787295e-08
16.0,0.0,151.444009375,1.79172e-08
16.0,0.0,151.443759375,1.81757e-08
16.0,0.0,151.44350937500002,1.76819e-08
16.0,0.0,151.44325937500003,1.78743e-08
16.0,0.0,151.44300937500003,1.77987e-08
16.0,0.0,151.442759375,1.80476e-08
16.0,0.0,151.44250937500001,1.77898e-08
16.0,0.0,151.44225937500002,1.77159e-08
16.0,0.0,151.44200937500003,1.802835e-08
16.0,0.0,151.44175937500003,1.808375e-08
16.0,0.0,151.441509375,1.77255e-08
16.0,0.0,151.44125937500002,1.77573e-08
16.0,0.0,151.44100937500002,1.76629e-08
16.0,0.0,151.44075937500003,1.758425e-08
16.0,0.0,151.44050937500003,1.76265e-08
16.0,0.0,151.440259375,1.76725e-08
16.0,0.0,151.44000937500002,1.77307e-08
16.0,0.0,151.43975937500002,1.7645749999999998e-08
16.0,0.0,151.43950937500003,1.76401e-08
16.0,0.0,151.43925937500003,1.76117e-08
16.0,0.0,151.439009375,1.75893e-08
16.0,0.0,151.43875937500002,1.755085e-08
16.0,0.0,151.43850937500002,1.75496e-08
16.0,0.0,151.43825937500003,1.738355e-08
16.0,0.0,151.438009375,1.75906e-08
16.0,0.0,151.437759375,1.74798e-08
16.0,0.0,151.43750937500002,1.76643e-08
16.0,0.0,151.43725937500002,1.740325e-08
16.0,0.0,151.43700937500003,1.734695e-08
16.0,0.0,151.436759375,1.72885e-08
16.0,0.0,151.436509375,1.71044e-08
16.0,0.0,151.43625937500002,1.730765e-08
16.0,0.0,151.43600937500003,1.736445e-08
16.0,0.0,151.43575937500003,1.7443e-08
16.0,0.0,151.435509375,1.74106e-08
16.0,0.0,151.43525937500002,1.73397e-08
16.0,0.0,151.43500937500002,1.72769e-08
16.0,0.0,151.43475937500003,1.7282899999999998e-08
16.0,0.0,151.43450937500003,1.71834e-08
16.0,0.0,151.434259375,1.6901400000000002e-08
16.0,0.0,151.43400937500002,1.70193e-08
16.0,0.0,151.43375937500002,1.712195e-08
16.0,0.0,151.43350937500003,1.69625e-08
16.0,0.0,151.43325937500003,1.71315e-08
16.0,0.0,151.433009375,1.67769e-08
16.0,0.0,151.43275937500002,1.7002850000000002e-08
16.0,0.0,151.43250937500002,1.70336e-08
16.0,0.0,151.43225937500003,1.70842e-08
16.0,0.0,151.432009375,1.71951e-08
16.0,0.0,151.431759375,1.716875e-08
16.0,0.0,151.43150937500002,1.69531e-08
16.0,0.0,151.43125937500002,1.715995e-08
