Y_dimension(mm),Button,True_depth(m),meas
12.0,0.0,151.46400937500002,2.35484e-05
12.0,0.0,151.4639490773354,-3.517067e-06
12.0,0.0,151.4638417146863,-2.540575e-06
12.0,0.0,151.46371631609873,-1.937166e-06
12.0,0.0,151.4635317466234,-1.482302e-06
12.0,0.0,151.46330428559372,-1.132226e-06
12.0,0.0,151.463025702715,-8.686475e-07
12.0,0.0,151.46275227695608,-6.692426e-07
12.0,0.0,151.46238925914315,-4.695758e-07
12.0,0.0,151.46199382698902,-3.257592e-07
12.0,0.0,151.4615960768377,-2.285087e-07
12.0,0.0,151.46118894943598,-1.629232e-07
12.0,0.0,151.4607606915175,-1.018343e-07
12.0,0.0,151.46034648194967,-5.075708e-08
12.0,0.0,151.45990214219836,-1.958688e-08
12.0,0.0,151.45948937032688,1.280569e-08
12.0,0.0,151.45903552558465,2.532033e-08
12.0,0.0,151.4586509394922,3.978494e-08
12.0,0.0,151.4582345763308,4.349567e-08
12.0,0.0,151.45781578501217,5.20231e-08
12.0,0.0,151.45739638448075,7.153722e-08
12.0,0.0,151.456983310473,7.831841e-08
12.0,0.0,151.4565446344291,8.106872e-08
12.0,0.0,151.45614454112143,8.665666e-08
12.0,0.0,151.45574583987195,8.614734e-08
12.0,0.0,151.45530845527165,9.310315e-08
12.0,0.0,151.45489153518767,1.000881e-07
12.0,0.0,151.4544759219777,9.61154e-08
12.0,0.0,151.45402902081355,9.551877e-08
12.0,0.0,151.45364350903193,1.010194e-07
12.0,0.0,151.453245593245,9.873474e-08
12.0,0.0,151.45280966781962,1.031585e-07
12.0,0.0,151.45238316199237,9.925861e-08
12.0,0.0,151.45198022065787,8.451752e-08
12.0,0.0,151.45157507060503,9.177893e-08
12.0,0.0,151.45113851992684,1.007575e-07
12.0,0.0,151.450737920882,1.087901e-07
12.0,0.0,151.4503060583008,9.599898e-08
12.0,0.0,151.44988602470653,9.842915e-08
12.0,0.0,151.44947244168532,1.040607e-07
12.0,0.0,151.44902765395727,1.083827e-07
12.0,0.0,151.44864026124176,1.030276e-07
12.0,0.0,151.44822876366052,1.038861e-07
12.0,0.0,151.4477960414891,9.786163e-08
12.0,0.0,151.44736155228725,9.883661e-08
12.0,0.0,151.44693010101912,9.447103e-08
12.0,0.0,151.44652401216885,8.939242e-08
12.0,0.0,151.44608503107068,8.984352e-08
12.0,0.0,151.44568690767372,8.732604e-08
12.0,0.0,151.44528516082443,8.768984e-08
12.0,0.0,151.44485208687394,8.457573e-08
12.0,0.0,151.4444287469098,8.796633e-08
12.0,0.0,151.44402320054823,8.550705e-08
12.0,0.0,151.44358459597345,8.738425e-08
12.0,0.0,151.44321960049442,8.806819e-08
12.0,0.0,151.44278586222939,8.665666e-08
12.0,0.0,151.44235508021248,7.469498e-08
12.0,0.0,151.44193048547996,7.328345e-08
12.0,0.0,151.44151866154488,7.323979e-08
12.0,0.0,151.4411252985416,6.957271e-08
12.0,0.0,151.440693879936,8.102506e-08
12.0,0.0,151.4402829618199,8.592906e-08
12.0,0.0,151.4398639854846,9.396172e-08
12.0,0.0,151.43942731005117,8.645293e-08
12.0,0.0,151.4389905595477,7.657218e-08
12.0,0.0,151.43859055727893,7.111521e-08
12.0,0.0,151.43819413407542,7.565541e-08
12.0,0.0,151.43775687902104,8.35571e-08
12.0,0.0,151.43733173911863,8.175266e-08
12.0,0.0,151.436910747262,8.239294e-08
12.0,0.0,151.43650101030994,8.365896e-08
12.0,0.0,151.43610047597406,8.568168e-08
12.0,0.0,151.43566529865308,8.70059e-08
12.0,0.0,151.43526668815414,8.4372e-08
12.0,0.0,151.43482034438276,8.000643e-08
12.0,0.0,151.43440682772604,8.195639e-08
12.0,0.0,151.43399305325713,8.157804e-08
12.0,0.0,151.4335869833418,8.106872e-08
12.0,0.0,151.43318199075082,8.427014e-08
12.0,0.0,151.43275934478785,8.466304e-08
12.0,0.0,151.4323463958961,8.08941e-08
12.0,0.0,151.43193403520317,8.026836e-08
12.0,0.0,151.43148732018489,8.087954e-08
12.0,0.0,151.4310878818931,7.792551e-08
12.0,0.0,151.43067668937312,7.286144e-08
12.0,0.0,151.43025552030127,7.495692e-08
12.0,0.0,151.4298444536019,8.294592e-08
12.0,0.0,151.42939941749674,7.67177e-08
12.0,0.0,151.42898720910208,7.907511e-08
12.0,0.0,151.42855733000633,7.763447e-08
12.0,0.0,151.42814606673426,7.644121e-08
12.0,0.0,151.42771983183553,8.313509e-08
12.0,0.0,151.42731376582842,8.195639e-08
12.0,0.0,151.42688752122814,7.331255e-08
12.0,0.0,151.42645779335672,6.791379e-08
12.0,0.0,151.42605059253754,7.660128e-08
12.0,0.0,151.42561352311344,7.772178e-08
12.0,0.0,151.42521752453382,7.501512e-08
12.0,0.0,151.42478108277228,7.456401e-08
12.0,0.0,151.4243641169934,7.836206e-08
12.0,0.0,151.42395137261377,7.911876e-08
12.0,0.0,151.42354568478683,6.446498e-08
12.0,0.0,151.42312857627553,5.894981e-08
12.0,0.0,151.42271364182872,6.5309e-08
12.0,0.0,151.42230878053417,7.091148e-08
12.0,0.0,151.4218981836871,6.717164e-08
12.0,0.0,151.42145435488712,7.392373e-08
12.0,0.0,151.42104619121358,7.337076e-08
12.0,0.0,151.4206372543522,7.446215e-08
12.0,0.0,151.42021224752952,7.21484e-08
12.0,0.0,151.41980841139335,7.310882e-08
12.0,0.0,151.41935962059998,7.222116e-08
12.0,0.0,151.41894983893465,7.185736e-08
12.0,0.0,151.41854089571476,6.938353e-08
12.0,0.0,151.41809143988303,6.702612e-08
12.0,0.0,151.41770712581283,7.18137e-08
12.0,0.0,151.41726928951852,6.896153e-08
12.0,0.0,151.41685381389615,6.663322e-08
12.0,0.0,151.4164405066029,6.949995e-08
12.0,0.0,151.41603602359334,7.587369e-08
12.0,0.0,151.41559925458182,7.243943e-08
12.0,0.0,151.4151981640637,6.589107e-08
12.0,0.0,151.41475901363313,6.284972e-08
12.0,0.0,151.41434796757991,6.856862e-08
12.0,0.0,151.41394448513836,6.983464e-08
12.0,0.0,151.41349870138322,6.493065e-08
12.0,0.0,151.41309776669567,6.776827e-08
12.0,0.0,151.41269748415988,6.771006e-08
12.0,0.0,151.4122944502165,6.967457e-08
12.0,0.0,151.4118608468968,7.159542e-08
12.0,0.0,151.41143655846182,6.399932e-08
12.0,0.0,151.41102720838896,5.910988e-08
12.0,0.0,151.41062609236022,6.976188e-08
12.0,0.0,151.4101904779903,7.315248e-08
12.0,0.0,151.40978655659927,7.044582e-08
12.0,0.0,151.409341259138,6.555638e-08
12.0,0.0,151.40893035511002,6.539631e-08
12.0,0.0,151.40848551109525,6.266055e-08
12.0,0.0,151.40808537570987,6.798655e-08
12.0,0.0,151.40767307459396,6.177288e-08
12.0,0.0,151.4072500638309,5.553011e-08
12.0,0.0,151.4068157846673,6.238406e-08
12.0,0.0,151.4063920311341,6.510527e-08
12.0,0.0,151.40595106471528,6.148184e-08
12.0,0.0,151.40554697399963,6.427581e-08
12.0,0.0,151.40515460681706,5.858601e-08
12.0,0.0,151.40472148744163,5.442416e-08
12.0,0.0,151.40431341247393,5.525362e-08
12.0,0.0,151.40390404459544,6.277696e-08
12.0,0.0,151.40349078417265,6.493065e-08
12.0,0.0,151.40305520676046,5.983748e-08
12.0,0.0,151.4026548438398,5.490438e-08
12.0,0.0,151.40225561779613,6.417395e-08
12.0,0.0,151.40181737200737,5.877519e-08
12.0,0.0,151.4014175581044,6.069604e-08
12.0,0.0,151.4009884777065,6.350456e-08
12.0,0.0,151.40055665543895,6.801565e-08
12.0,0.0,151.4001515586461,5.989568e-08
12.0,0.0,151.39975125913,6.442133e-08
12.0,0.0,151.39929265919713,5.509355e-08
12.0,0.0,151.3988942634587,5.318725e-08
12.0,0.0,151.3984774417059,5.309994e-08
12.0,0.0,151.39804022363728,6.60948e-08
12.0,0.0,151.3976411382827,5.951733e-08
12.0,0.0,151.39720771491122,5.724723e-08
12.0,0.0,151.3968034916319,6.236951e-08
12.0,0.0,151.396390431027,5.523907e-08
12.0,0.0,151.39594659665312,5.877519e-08
12.0,0.0,151.39554020534337,6.156915e-08
12.0,0.0,151.3950908373012,6.005575e-08
12.0,0.0,151.39470652196377,6.38247e-08
12.0,1.0,151.3943035600767,6.709888e-08
12.0,1.0,151.39387737653078,6.621121e-08
12.0,1.0,151.3934499301553,5.723268e-08
12.0,1.0,151.393036613768,5.736365e-08
12.0,1.0,151.3926220627136,5.269249e-08
12.0,1.0,151.39222584202602,5.970651e-08
12.0,1.0,151.39181688910367,5.977927e-08
12.0,1.0,151.39137661574892,5.602487e-08
12.0,1.0,151.3909666796189,5.055335e-08
12.0,1.0,151.3905243890108,4.876347e-08
12.0,1.0,151.3901214545193,4.455796e-08
12.0,1.0,151.38971962664206,3.91301e-08
12.0,1.0,151.38927949122137,3.632158e-08
12.0,1.0,151.3888638290756,3.381865e-08
12.0,1.0,151.38844356097297,3.230525e-08
12.0,1.0,151.38800671074762,3.461901e-08
12.0,1.0,151.3876097987285,3.023888e-08
12.0,1.0,151.3871662897298,2.629531e-08
12.0,1.0,151.3867692909676,2.259912e-08
