Y_dimension(mm),Button,True_depth(m),meas
88.348,0.0,167.07827968750001,2.519091e-05
88.348,0.0,167.07827968750001,-3.634399e-06
88.348,0.0,167.0782032110814,-2.641944e-06
88.348,0.0,167.07805746276958,-2.02794e-06
88.348,0.0,167.07787168270724,-1.564957e-06
88.348,0.0,167.07764840375995,-1.208929e-06
88.348,0.0,167.07738739987516,-9.337818e-07
88.348,0.0,167.07707915862264,-7.192284e-07
88.348,0.0,167.07673476019755,-5.481415e-07
88.348,0.0,167.07633106383528,-3.995665e-07
88.348,0.0,167.0759195522749,-3.121386e-07
88.348,0.0,167.07547299986896,-2.466404e-07
88.348,0.0,167.0750684452436,-1.901935e-07
88.348,0.0,167.07466305594988,-1.375738e-07
88.348,0.0,167.07423877441988,-9.407813e-08
88.348,0.0,167.073821056497,-5.982292e-08
88.348,0.0,167.0733902537102,-4.455796e-08
88.348,0.0,167.07297973815486,-2.99915e-08
88.348,0.0,167.07253529697,-1.353328e-08
88.348,0.0,167.07213769001493,-7.887138e-09
88.348,0.0,167.07170034095049,1.207809e-09
88.348,0.0,167.07130030822168,8.571078e-09
88.348,0.0,167.07089001624854,1.276203e-08
88.348,0.0,167.0704661035346,2.238085e-08
88.348,0.0,167.07006366219548,3.332389e-08
88.348,0.0,167.06963454065522,3.945024e-08
88.348,0.0,167.0692384260053,3.630703e-08
88.348,0.0,167.0687875253074,3.477908e-08
88.348,0.0,167.06839239823344,3.604509e-08
88.348,0.0,167.06798011414813,3.844616e-08
88.348,0.0,167.06757568317968,4.006142e-08
88.348,0.0,167.06715900199674,3.934838e-08
88.348,0.0,167.06673893437522,3.962487e-08
88.348,0.0,167.06633454024652,3.795139e-08
88.348,0.0,167.06589145511583,3.853347e-08
88.348,0.0,167.06547343966125,4.051253e-08
88.348,0.0,167.06503946201275,4.020694e-08
88.348,0.0,167.06464164261024,4.099275e-08
88.348,0.0,167.0642079300059,3.883906e-08
88.348,0.0,167.0638067423653,3.889727e-08
88.348,0.0,167.0633632858431,4.163303e-08
88.348,0.0,167.06295005880125,4.017784e-08
88.348,0.0,167.06250614291062,3.824243e-08
88.348,0.0,167.06210315258156,3.878085e-08
88.348,0.0,167.06170510098818,3.947935e-08
88.348,0.0,167.06126914676827,4.099275e-08
88.348,0.0,167.06086294752447,3.940659e-08
88.348,0.0,167.06045277513337,3.920286e-08
88.348,0.0,167.06001082026737,3.860623e-08
88.348,0.0,167.0596083623559,3.75876e-08
88.348,0.0,167.05921145701663,3.639434e-08
88.348,0.0,167.0588094619374,3.72238e-08
88.348,0.0,167.0583651131428,3.731111e-08
88.348,0.0,167.05795276695446,3.552123e-08
88.348,0.0,167.05754309313863,3.709283e-08
88.348,0.0,167.05711995048847,3.627792e-08
88.348,0.0,167.05670089159062,3.635068e-08
88.348,0.0,167.0563029127705,3.316381e-08
88.348,0.0,167.0558574093967,3.678724e-08
88.348,0.0,167.05544648628646,3.864989e-08
