Y_dimension(mm),Button,True_depth(m),meas
63.891,0.0,167.4075125,2.11124e-08
63.891,0.0,167.4072625,2.115765e-08
63.891,0.0,167.4070125,2.12066e-08
63.891,0.0,167.4067625,2.144425e-08
63.891,0.0,167.4065125,2.15511e-08
63.891,0.0,167.4062625,2.158795e-08
63.891,0.0,167.4060125,2.17919e-08
63.891,0.0,167.4057625,2.16866e-08
63.891,0.0,167.40551250000001,2.17038e-08
63.891,0.0,167.4052625,2.176465e-08
63.891,0.0,167.4050125,2.177125e-08
63.891,0.0,167.4047625,2.17324e-08
63.891,0.0,167.4045125,2.15988e-08
63.891,0.0,167.40426250000002,2.149945e-08
63.891,0.0,167.4040125,2.16419e-08
63.891,0.0,167.4037625,2.151715e-08
63.891,0.0,167.4035125,2.15621e-08
63.891,0.0,167.4032625,2.147115e-08
63.891,0.0,167.40301250000002,2.15469e-08
63.891,0.0,167.4027625,2.144175e-08
63.891,0.0,167.4025125,2.12754e-08
63.891,0.0,167.4022625,2.13053e-08
63.891,0.0,167.4020125,2.125475e-08
63.891,0.0,167.4017625,2.1180150000000003e-08
63.891,0.0,167.4015125,2.11223e-08
63.891,0.0,167.4012625,2.12849e-08
63.891,0.0,167.4010125,2.094375e-08
63.891,0.0,167.4007625,2.10615e-08
63.891,0.0,167.4005125,2.08368e-08
63.891,0.0,167.4002625,2.08611e-08
63.891,0.0,167.4000125,2.08417e-08
63.891,0.0,167.3997625,2.05261e-08
63.891,0.0,167.39951250000001,2.06802e-08
63.891,0.0,167.3992625,2.04249e-08
63.891,0.0,167.3990125,2.043885e-08
63.891,0.0,167.3987625,2.03155e-08
63.891,0.0,167.3985125,2.03622e-08
63.891,0.0,167.39826250000002,2.024325e-08
63.891,0.0,167.3980125,2.02863e-08
63.891,0.0,167.3977625,1.9949e-08
63.891,0.0,167.3975125,2.021165e-08
63.891,0.0,167.3972625,1.99035e-08
63.891,0.0,167.39701250000002,1.97636e-08
63.891,0.0,167.3967625,2.002065e-08
63.891,0.0,167.3965125,1.986745e-08
63.891,0.0,167.3962625,1.99882e-08
63.891,0.0,167.3960125,1.98734e-08
63.891,0.0,167.3957625,2.00956e-08
63.891,0.0,167.3955125,1.985615e-08
63.891,0.0,167.3952625,1.9895e-08
63.891,0.0,167.3950125,1.96468e-08
63.891,0.0,167.3947625,1.94407e-08
63.891,0.0,167.3945125,1.94829e-08
63.891,0.0,167.3942625,1.95395e-08
63.891,0.0,167.3940125,1.9538550000000006e-08
63.891,0.0,167.3937625,1.93867e-08
63.891,0.0,167.3935125,1.92669e-08
63.891,0.0,167.3932625,1.938295e-08
63.891,0.0,167.3930125,1.94446e-08
63.891,0.0,167.3927625,1.92084e-08
63.891,0.0,167.3925125,1.93068e-08
63.891,0.0,167.39226250000002,1.918355e-08
63.891,0.0,167.3920125,1.92076e-08
63.891,0.0,167.3917625,1.90812e-08
63.891,0.0,167.3915125,1.91599e-08
63.891,0.0,167.3912625,1.925355e-08
63.891,0.0,167.39101250000002,1.91901e-08
63.891,0.0,167.3907625,1.90873e-08
63.891,0.0,167.3905125,1.9056e-08
63.891,0.0,167.3902625,1.88558e-08
63.891,0.0,167.3900125,1.89065e-08
63.891,0.0,167.38976250000002,1.893305e-08
63.891,0.0,167.3895125,1.8794e-08
63.891,0.0,167.3892625,1.871145e-08
63.891,0.0,167.3890125,1.885265e-08
63.891,0.0,167.3887625,1.8645e-08
63.891,0.0,167.3885125,1.889635e-08
