Y_dimension(mm),Button,True_depth(m),meas,button_raw
49.608,0.0,22.079759375,3.222126666666667e-08,0.0
49.608,0.0,22.079509375,3.19408e-08,0.0
49.608,0.0,22.079259375,3.19974e-08,0.0
49.608,0.0,22.079009375,3.2003950000000004e-08,0.0
49.608,0.0,22.078759375,3.21466e-08,0.0
49.608,0.0,22.078509375,3.2094400000000004e-08,0.0
49.608,0.0,22.078259375,3.212745e-08,0.0
49.608,0.0,22.078009375,3.19066e-08,0.0
49.608,0.0,22.077759375,3.173715e-08,0.0
49.608,0.0,22.077509375,3.199095e-08,0.0
49.608,0.0,22.077259375,3.18916e-08,0.0
49.608,0.0,22.077009375,3.2057499999999994e-08,0.0
49.608,0.0,22.076759375,3.206e-08,0.0
49.608,0.0,22.076509375,3.184205e-08,0.0
49.608,0.0,22.076259375,3.17604e-08,0.0
49.608,0.0,22.076009375,3.196655e-08,0.0
49.608,0.0,22.075759375,3.17662e-08,0.0
49.608,0.0,22.075509375,3.175965e-08,0.0
49.608,0.0,22.075259375,3.182035e-08,0.0
49.608,0.0,22.075009375,3.17371e-08,0.0
49.608,0.0,22.074759375,3.146535e-08,0.0
49.608,0.0,22.074509375,3.151505e-08,0.0
49.608,0.0,22.074259375,3.15201e-08,0.0
49.608,0.0,22.074009375,3.14018e-08,0.0
49.608,0.0,22.073759375,3.16162e-08,0.0
49.608,0.0,22.073509375,3.155235e-08,0.0
49.608,0.0,22.073259375,3.19744e-08,0.0
49.608,0.0,22.073009375,3.14033e-08,0.0
49.608,0.0,22.072759375,3.16051e-08,0.0
49.608,0.0,22.072509375,3.190185e-08,0.0
49.608,0.0,22.072259375,3.11343e-08,0.0
49.608,0.0,22.072009375,3.129895e-08,0.0
49.608,0.0,22.071759375,3.1236099999999995e-08,0.0
49.608,0.0,22.071509375,3.15304e-08,0.0
49.608,0.0,22.071259375,3.13001e-08,0.0
49.608,0.0,22.071009375,3.1462e-08,0.0
49.608,0.0,22.070759375,3.1440050000000005e-08,0.0
49.608,0.0,22.070509375,3.152345e-08,0.0
49.608,0.0,22.070259375,3.13965e-08,0.0
49.608,0.0,22.070009375,3.11912e-08,0.0
49.608,0.0,22.069759375,3.130495e-08,0.0
49.608,0.0,22.069509375,3.17335e-08,0.0
49.608,0.0,22.069259375,3.08368e-08,0.0
49.608,0.0,22.069009375,3.1154099999999994e-08,0.0
49.608,0.0,22.068759375,3.15289e-08,0.0
49.608,0.0,22.068509375,3.11213e-08,0.0
49.608,0.0,22.068259375,3.12749e-08,0.0
49.608,0.0,22.068009375,3.140865e-08,0.0
49.608,0.0,22.067759375,3.12975e-08,0.0
49.608,0.0,22.067509375,3.16284e-08,0.0
49.608,0.0,22.067259375,3.1250350000000004e-08,0.0
49.608,0.0,22.067009375,3.12141e-08,0.0
49.608,0.0,22.066759375,3.142955e-08,0.0
49.608,0.0,22.066509375,3.12081e-08,0.0
49.608,0.0,22.066259375,3.131005e-08,0.0
49.608,0.0,22.066009375,3.16973e-08,0.0
49.608,0.0,22.065759375,3.146325e-08,0.0
49.608,0.0,22.065509375,3.16055e-08,0.0
49.608,0.0,22.065259375,3.1791250000000004e-08,0.0
49.608,0.0,22.065009375,3.1502e-08,0.0
49.608,0.0,22.064759375,3.135575e-08,0.0
49.608,0.0,22.064509375,3.14962e-08,0.0
49.608,0.0,22.064259375,3.164935e-08,0.0
