Y_dimension(mm),Button,True_depth(m),meas
84.036,1.0,183.76709999999997,8.20643e-09
84.036,1.0,183.76684999999998,8.26755e-09
84.036,1.0,183.76659999999998,7.99934e-09
84.036,1.0,183.76635,7.88145e-09
84.036,1.0,183.7661,7.88536e-09
84.036,1.0,183.76584999999997,7.805075e-09
84.036,1.0,183.76559999999998,7.8292e-09
84.036,1.0,183.76534999999998,7.79498e-09
84.036,1.0,183.7651,7.90809e-09
84.036,1.0,183.76485,7.841955e-09
84.036,1.0,183.76459999999997,7.89365e-09
84.036,1.0,183.76434999999998,7.87165e-09
84.036,1.0,183.76409999999998,7.920955e-09
84.036,1.0,183.76385,8.005435000000001e-09
84.036,1.0,183.7636,7.85333e-09
84.036,1.0,183.76334999999997,7.9787e-09
84.036,1.0,183.76309999999998,7.921155e-09
84.036,1.0,183.76285,7.99688e-09
84.036,1.0,183.7626,7.94846e-09
84.036,1.0,183.76234999999997,7.997565e-09
84.036,1.0,183.76209999999998,7.877225e-09
84.036,1.0,183.76184999999998,7.88123e-09
84.036,1.0,183.7616,7.91102e-09
84.036,1.0,183.76135,7.99013e-09
84.036,1.0,183.76109999999997,8.042345000000001e-09
84.036,1.0,183.76084999999998,7.907195e-09
84.036,1.0,183.76059999999998,7.87166e-09
84.036,1.0,183.76035,7.96879e-09
84.036,1.0,183.7601,7.91245e-09
84.036,1.0,183.75984999999997,7.95145e-09
84.036,1.0,183.75959999999998,7.83135e-09
84.036,1.0,183.75934999999998,7.99143e-09
84.036,1.0,183.7591,7.945569999999999e-09
84.036,1.0,183.75885,8.03813e-09
84.036,1.0,183.75859999999997,8.00167e-09
84.036,1.0,183.75834999999998,7.825355e-09
84.036,1.0,183.75809999999998,7.82415e-09
84.036,1.0,183.75785,7.9469e-09
84.036,1.0,183.7576,7.91936e-09
84.036,1.0,183.75734999999997,7.82689e-09
84.036,1.0,183.75709999999998,7.8762e-09
84.036,1.0,183.75685,7.85883e-09
84.036,1.0,183.7566,7.92974e-09
84.036,1.0,183.75634999999997,7.92958e-09
84.036,1.0,183.75609999999998,7.87494e-09
84.036,1.0,183.75584999999998,7.713545e-09
84.036,1.0,183.7556,7.94753e-09
84.036,1.0,183.75535,7.980565e-09
84.036,1.0,183.75509999999997,7.9476e-09
84.036,1.0,183.75484999999998,7.971245000000001e-09
84.036,1.0,183.75459999999998,8.07325e-09
84.036,1.0,183.75435,7.97037e-09
84.036,1.0,183.7541,8.010325e-09
84.036,1.0,183.75384999999997,8.0935e-09
84.036,1.0,183.75359999999998,8.14222e-09
84.036,1.0,183.75334999999998,8.071629999999999e-09
84.036,1.0,183.7531,8.063815e-09
84.036,1.0,183.75285,7.81372e-09
84.036,1.0,183.75259999999997,7.95178e-09
84.036,1.0,183.75234999999998,8.153210000000001e-09
84.036,1.0,183.75209999999998,8.0329e-09
84.036,1.0,183.75185,7.93258e-09
84.036,1.0,183.7516,7.88222e-09
84.036,1.0,183.75134999999997,7.89469e-09
84.036,1.0,183.75109999999998,7.88955e-09
84.036,1.0,183.75084999999999,8.04372e-09
84.036,1.0,183.7506,7.82516e-09
84.036,1.0,183.75034999999997,7.8576e-09
84.036,1.0,183.75009999999997,7.94708e-09
84.036,1.0,183.74984999999998,7.99381e-09
84.036,1.0,183.7496,7.981294999999999e-09
84.036,1.0,183.74935,7.90568e-09
84.036,1.0,183.74909999999997,7.94767e-09
84.036,1.0,183.74884999999998,7.97508e-09
84.036,1.0,183.74859999999998,7.88072e-09
84.036,1.0,183.74835,7.9867e-09
84.036,1.0,183.7481,7.990230000000001e-09
84.036,1.0,183.74784999999997,7.68151e-09
84.036,1.0,183.74759999999998,7.86952e-09
84.036,1.0,183.74734999999998,7.80731e-09
84.036,1.0,183.7471,7.907960000000001e-09
84.036,1.0,183.74685,7.97198e-09
84.036,1.0,183.74659999999997,8.04092e-09
84.036,1.0,183.74634999999998,7.987470000000002e-09
84.036,1.0,183.74609999999998,7.934385e-09
84.036,1.0,183.74585,7.98559e-09
84.036,1.0,183.7456,7.926874999999999e-09
84.036,1.0,183.74534999999997,8.05845e-09
84.036,1.0,183.74509999999998,8.002455e-09
84.036,1.0,183.74484999999999,7.87249e-09
84.036,1.0,183.7446,7.887135e-09
84.036,1.0,183.74434999999997,7.88423e-09
84.036,1.0,183.74409999999997,7.864740000000001e-09
84.036,1.0,183.74384999999998,7.90383e-09
84.036,1.0,183.7436,7.85184e-09
84.036,1.0,183.74335,7.92624e-09
84.036,1.0,183.74309999999997,7.802690000000001e-09
84.036,1.0,183.74284999999998,7.82817e-09
84.036,1.0,183.74259999999998,7.578794999999999e-09
84.036,1.0,183.74235,7.83435e-09
84.036,1.0,183.7421,7.802655e-09
84.036,1.0,183.74184999999997,7.74689e-09
84.036,1.0,183.74159999999998,7.626905e-09
84.036,1.0,183.74134999999998,7.77594e-09
84.036,1.0,183.7411,7.76471e-09
84.036,1.0,183.74085,7.8397e-09
84.036,1.0,183.74059999999997,7.81646e-09
84.036,1.0,183.74034999999998,7.85616e-09
84.036,1.0,183.74009999999998,7.914429999999999e-09
84.036,1.0,183.73985,7.92874e-09
84.036,1.0,183.7396,7.74641e-09
84.036,1.0,183.73934999999997,7.852545000000001e-09
84.036,1.0,183.73909999999998,7.7307e-09
84.036,1.0,183.73884999999999,7.72254e-09
84.036,1.0,183.7386,7.73386e-09
84.036,1.0,183.73835,7.842374999999999e-09
84.036,1.0,183.73809999999997,7.54187e-09
84.036,1.0,183.73784999999998,7.72299e-09
84.036,1.0,183.7376,7.47044e-09
84.036,1.0,183.73735,7.56073e-09
84.036,1.0,183.73709999999997,7.79122e-09
84.036,1.0,183.73684999999998,7.76217e-09
84.036,1.0,183.73659999999998,7.671745e-09
84.036,1.0,183.73635,8.11151e-09
84.036,1.0,183.7361,7.788335000000001e-09
84.036,1.0,183.73584999999997,7.72271e-09
84.036,1.0,183.73559999999998,7.659405e-09
84.036,1.0,183.73534999999998,7.49352e-09
84.036,1.0,183.7351,7.73413e-09
84.036,1.0,183.73485,7.71261e-09
84.036,1.0,183.73459999999997,7.735375e-09
84.036,1.0,183.73434999999998,7.84381e-09
84.036,1.0,183.73409999999998,7.664344999999999e-09
84.036,1.0,183.73385,7.7957e-09
84.036,1.0,183.7336,7.408915e-09
84.036,1.0,183.73334999999997,7.62953e-09
84.036,1.0,183.73309999999998,7.566885e-09
84.036,1.0,183.73284999999998,7.59319e-09
84.036,1.0,183.7326,7.693455000000001e-09
84.036,1.0,183.73235,7.5797e-09
84.036,1.0,183.73209999999997,7.488015e-09
84.036,1.0,183.73184999999998,7.54989e-09
84.036,1.0,183.7316,7.55837e-09
84.036,1.0,183.73135,7.599565e-09
84.036,1.0,183.73109999999997,7.84157e-09
84.036,1.0,183.73084999999998,7.69653e-09
84.036,1.0,183.73059999999998,7.81463e-09
84.036,1.0,183.73035,7.64261e-09
84.036,1.0,183.7301,7.66098e-09
84.036,1.0,183.72984999999997,7.85549e-09
84.036,1.0,183.72959999999998,7.708415e-09
84.036,1.0,183.72934999999998,7.74622e-09
84.036,1.0,183.7291,7.79789e-09
84.036,1.0,183.72885,7.721945e-09
84.036,1.0,183.72859999999997,7.64636e-09
84.036,1.0,183.72834999999998,7.6133e-09
84.036,1.0,183.72809999999998,7.56526e-09
84.036,1.0,183.72785,7.77189e-09
84.036,1.0,183.7276,7.521785e-09
84.036,1.0,183.72734999999997,7.73521e-09
84.036,1.0,183.72709999999998,7.6366e-09
84.036,1.0,183.72684999999998,7.608159999999999e-09
84.036,1.0,183.7266,7.67004e-09
84.036,1.0,183.72635,7.86207e-09
84.036,1.0,183.72609999999997,7.650815e-09
84.036,1.0,183.72584999999998,7.64823e-09
84.036,1.0,183.7256,7.575375e-09
84.036,1.0,183.72535,7.67592e-09
84.036,1.0,183.72509999999997,7.99202e-09
84.036,1.0,183.72484999999998,7.680855000000001e-09
84.036,1.0,183.72459999999998,7.83963e-09
84.036,1.0,183.72435,7.710595e-09
84.036,1.0,183.7241,7.5906e-09
84.036,1.0,183.72384999999997,7.778815e-09
84.036,1.0,183.72359999999998,7.7268e-09
84.036,1.0,183.72334999999998,7.682625e-09
84.036,1.0,183.7231,7.76995e-09
84.036,1.0,183.72285,7.706125e-09
84.036,1.0,183.72259999999997,7.6968e-09
84.036,1.0,183.72234999999998,7.791255e-09
84.036,1.0,183.72209999999998,7.78119e-09
84.036,1.0,183.72185,7.70435e-09
84.036,1.0,183.7216,7.75993e-09
84.036,1.0,183.72134999999997,7.80527e-09
84.036,1.0,183.72109999999998,7.575295e-09
84.036,1.0,183.72084999999998,7.87376e-09
84.036,1.0,183.7206,7.934045e-09
84.036,1.0,183.72035,7.786105e-09
84.036,1.0,183.72009999999997,7.85603e-09
84.036,1.0,183.71984999999998,7.86736e-09
84.036,1.0,183.71959999999999,7.875994999999999e-09
84.036,1.0,183.71935,8.12815e-09
84.036,1.0,183.71909999999997,7.71847e-09
84.036,1.0,183.71884999999997,7.77602e-09
84.036,1.0,183.71859999999998,8.003105e-09
84.036,1.0,183.71835,8.01216e-09
84.036,1.0,183.7181,7.853284999999999e-09
84.036,1.0,183.71784999999997,7.88318e-09
84.036,1.0,183.71759999999998,7.77142e-09
84.036,1.0,183.71734999999998,7.96786e-09
84.036,1.0,183.7171,7.79678e-09
84.036,1.0,183.71685,7.898144999999999e-09
84.036,1.0,183.71659999999997,7.896065e-09
84.036,1.0,183.71634999999998,7.840315e-09
84.036,1.0,183.71609999999998,8.00005e-09
84.036,1.0,183.71585,7.81975e-09
84.036,1.0,183.7156,7.794254999999999e-09
84.036,1.0,183.71534999999997,7.798385e-09
84.036,1.0,183.71509999999998,7.31472e-09
84.036,1.0,183.71484999999998,7.88545e-09
84.036,1.0,183.7146,7.866120000000001e-09
84.036,1.0,183.71435,7.923275e-09
84.036,1.0,183.71409999999997,7.7183e-09
84.036,1.0,183.71384999999998,7.89369e-09
84.036,1.0,183.71359999999999,7.99948e-09
84.036,1.0,183.71335,7.6177e-09
84.036,1.0,183.71309999999997,7.51616e-09
84.036,1.0,183.71284999999997,7.653839999999999e-09
84.036,1.0,183.71259999999998,7.59611e-09
84.036,1.0,183.71235,7.67044e-09
84.036,1.0,183.7121,7.7555e-09
84.036,1.0,183.71184999999997,7.54333e-09
84.036,1.0,183.71159999999998,7.555985e-09
84.036,1.0,183.71134999999998,7.81289e-09
84.036,1.0,183.7111,7.820899999999999e-09
84.036,1.0,183.71085,7.46513e-09
84.036,1.0,183.71059999999997,7.640725e-09
84.036,1.0,183.71034999999998,7.59456e-09
84.036,1.0,183.71009999999998,7.65079e-09
84.036,1.0,183.70985,7.90937e-09
84.036,1.0,183.7096,7.57079e-09
84.036,1.0,183.70934999999997,7.71716e-09
84.036,1.0,183.70909999999998,7.573185e-09
84.036,1.0,183.70884999999998,7.56995e-09
84.036,1.0,183.7086,7.578909999999999e-09
84.036,1.0,183.70835,7.93528e-09
84.036,1.0,183.70809999999997,7.64231e-09
84.036,1.0,183.70784999999998,8.05919e-09
84.036,1.0,183.70759999999999,7.635225e-09
84.036,1.0,183.70735,7.78681e-09
84.036,1.0,183.7071,7.594995e-09
84.036,1.0,183.70684999999997,7.571404999999999e-09
84.036,1.0,183.70659999999998,7.72789e-09
84.036,1.0,183.70635,7.40134e-09
84.036,1.0,183.7061,7.66526e-09
84.036,1.0,183.70584999999997,7.730075000000001e-09
84.036,1.0,183.70559999999998,7.71916e-09
84.036,1.0,183.70534999999998,7.86448e-09
84.036,1.0,183.7051,7.68041e-09
84.036,1.0,183.70485,7.81345e-09
84.036,1.0,183.70459999999997,7.6211e-09
84.036,1.0,183.70434999999998,7.81905e-09
84.036,1.0,183.70409999999998,7.64536e-09
84.036,1.0,183.70385,7.536279999999999e-09
84.036,1.0,183.7036,7.659955e-09
84.036,1.0,183.70334999999997,7.79833e-09
84.036,1.0,183.70309999999998,7.573055e-09
84.036,1.0,183.70284999999998,7.77054e-09
84.036,1.0,183.7026,7.799695e-09
84.036,1.0,183.70235,7.91051e-09
84.036,1.0,183.70209999999997,7.735039999999999e-09
84.036,1.0,183.70184999999998,7.823135e-09
84.036,1.0,183.70159999999998,7.552230000000001e-09
84.036,1.0,183.70135,8.09071e-09
84.036,1.0,183.7011,7.58507e-09
84.036,1.0,183.70084999999997,7.834120000000001e-09
84.036,1.0,183.70059999999998,7.611189999999999e-09
84.036,1.0,183.70035,7.83279e-09
84.036,1.0,183.7001,7.697815e-09
84.036,1.0,183.69984999999997,7.84514e-09
84.036,1.0,183.69959999999998,7.884565000000001e-09
84.036,1.0,183.69934999999998,7.66268e-09
84.036,1.0,183.6991,7.81825e-09
84.036,1.0,183.69885,7.72524e-09
84.036,1.0,183.69859999999997,7.737890000000001e-09
84.036,1.0,183.69834999999998,8.12038e-09
84.036,1.0,183.69809999999998,7.948373333333333e-09
84.036,1.0,183.69785,7.907305e-09
84.036,1.0,183.6976,7.648359999999999e-09
84.036,1.0,183.69734999999997,7.74694e-09
84.036,1.0,183.69709999999998,7.612835e-09
84.036,1.0,183.69684999999998,7.784394999999999e-09
84.036,1.0,183.6966,7.78954e-09
84.036,1.0,183.69635,7.9048e-09
84.036,1.0,183.69609999999997,7.887435e-09
84.036,1.0,183.69584999999998,7.757265e-09
84.036,1.0,183.69559999999998,7.629615e-09
84.036,1.0,183.69535,7.744055e-09
84.036,1.0,183.6951,7.60924e-09
84.036,1.0,183.69484999999997,7.773005000000001e-09
84.036,1.0,183.69459999999998,7.53135e-09
84.036,1.0,183.69435,7.858665e-09
84.036,1.0,183.6941,7.841554999999999e-09
84.036,1.0,183.69384999999997,8.06415e-09
84.036,1.0,183.69359999999998,7.772845e-09
84.036,1.0,183.69334999999998,7.73469e-09
84.036,1.0,183.6931,7.744625e-09
84.036,1.0,183.69285,7.767545000000001e-09
84.036,1.0,183.69259999999997,7.5977e-09
84.036,1.0,183.69234999999998,7.88194e-09
84.036,1.0,183.69209999999998,7.686365e-09
84.036,1.0,183.69185,7.74616e-09
84.036,1.0,183.6916,7.81822e-09
84.036,1.0,183.69134999999997,7.86298e-09
84.036,1.0,183.69109999999998,7.67066e-09
84.036,1.0,183.69084999999998,7.758589999999999e-09
84.036,1.0,183.6906,7.74073e-09
84.036,1.0,183.69035,7.773670000000001e-09
84.036,1.0,183.69009999999997,7.71168e-09
84.036,1.0,183.68984999999998,7.71354e-09
84.036,1.0,183.68959999999998,7.6148e-09
84.036,1.0,183.68935,7.678355e-09
84.036,1.0,183.6891,7.711505000000001e-09
84.036,1.0,183.68884999999997,7.713255e-09
84.036,1.0,183.68859999999998,7.61732e-09
84.036,1.0,183.68834999999999,7.60623e-09
84.036,1.0,183.6881,7.65053e-09
84.036,1.0,183.68784999999997,7.54465e-09
84.036,1.0,183.68759999999997,7.90476e-09
84.036,1.0,183.68734999999998,7.73273e-09
84.036,1.0,183.6871,7.765145e-09
84.036,1.0,183.68685,7.730554999999999e-09
84.036,1.0,183.68659999999997,7.30131e-09
84.036,1.0,183.68634999999998,7.48508e-09
84.036,1.0,183.68609999999998,7.8531e-09
84.036,1.0,183.68585,7.73654e-09
84.036,1.0,183.6856,7.88317e-09
84.036,1.0,183.68534999999997,7.910235e-09
84.036,1.0,183.68509999999998,7.92155e-09
84.036,1.0,183.68484999999998,7.579715000000001e-09
84.036,1.0,183.6846,7.72097e-09
84.036,1.0,183.68435,8.00098e-09
84.036,1.0,183.68409999999997,7.82196e-09
84.036,1.0,183.68384999999998,7.748985e-09
84.036,1.0,183.68359999999998,7.53527e-09
84.036,1.0,183.68335,7.151935e-09
84.036,1.0,183.6831,8.221465e-09
84.036,1.0,183.68284999999997,7.55987e-09
84.036,1.0,183.68259999999998,7.97224e-09
84.036,1.0,183.68234999999999,7.912985e-09
84.036,1.0,183.6821,7.900305e-09
84.036,1.0,183.68184999999997,7.58846e-09
84.036,1.0,183.68159999999997,7.3707e-09
84.036,1.0,183.68134999999998,7.61518e-09
84.036,1.0,183.6811,7.645455e-09
84.036,1.0,183.68085,7.772705000000001e-09
84.036,1.0,183.68059999999997,8.17638e-09
84.036,1.0,183.68034999999998,8.357e-09
84.036,1.0,183.68009999999998,7.53381e-09
84.036,1.0,183.67985,8.309585e-09
84.036,1.0,183.6796,7.56928e-09
84.036,1.0,183.67934999999997,7.80001e-09
84.036,1.0,183.67909999999998,7.772495e-09
84.036,1.0,183.67884999999998,8.151580000000001e-09
84.036,1.0,183.6786,6.98312e-09
84.036,1.0,183.67835,7.1422600000000005e-09
84.036,1.0,183.67809999999997,7.663745e-09
84.036,1.0,183.67784999999998,7.65199e-09
84.036,1.0,183.67759999999998,7.61565e-09
84.036,1.0,183.67735,7.575450000000001e-09
84.036,1.0,183.6771,9.00677e-09
84.036,1.0,183.67684999999997,7.8621e-09
84.036,1.0,183.67659999999998,7.647625e-09
84.036,1.0,183.67634999999999,9.53091e-09
84.036,1.0,183.6761,7.672790000000001e-09
84.036,1.0,183.67585,7.633845e-09
84.036,1.0,183.67559999999997,7.87861e-09
84.036,1.0,183.67534999999998,7.237275e-09
84.036,1.0,183.6751,7.63162e-09
84.036,1.0,183.67485,7.88343e-09
84.036,1.0,183.67459999999997,7.675135000000001e-09
84.036,1.0,183.67434999999998,7.47595e-09
84.036,1.0,183.67409999999998,8.043779999999998e-09
84.036,1.0,183.67385,7.23708e-09
84.036,1.0,183.6736,8.216165e-09
84.036,1.0,183.67334999999997,8.293575e-09
84.036,1.0,183.67309999999998,7.77322e-09
84.036,1.0,183.67284999999998,9.194545e-09
84.036,1.0,183.6726,8.49269e-09
84.036,1.0,183.67235,7.78584e-09
84.036,1.0,183.67209999999997,7.92271e-09
84.036,1.0,183.67184999999998,7.8975e-09
84.036,1.0,183.67159999999998,8.28446e-09
84.036,1.0,183.67135,8.09912e-09
84.036,1.0,183.6711,8.266065e-09
84.036,1.0,183.67084999999997,8.85668e-09
84.036,1.0,183.67059999999998,8.3276e-09
84.036,1.0,183.67034999999998,9.07564e-09
84.036,1.0,183.6701,8.323375e-09
84.036,1.0,183.66985,8.42142e-09
84.036,1.0,183.66959999999997,8.06007e-09
84.036,1.0,183.66934999999998,8.21346e-09
84.036,1.0,183.6691,8.278184999999999e-09
84.036,1.0,183.66885,8.00584e-09
84.036,1.0,183.66859999999997,8.127575e-09
84.036,1.0,183.66834999999998,7.88615e-09
84.036,1.0,183.66809999999998,8.207985e-09
84.036,1.0,183.66785,8.05115e-09
