Y_dimension(mm),Button,True_depth(m),meas
87.039,0.0,185.073746875,1.80639e-05
87.039,0.0,185.07367282547753,-3.541994e-06
87.039,0.0,185.07355766016732,-2.588073e-06
87.039,0.0,185.07341056392193,-1.987108e-06
87.039,0.0,185.07322535817772,-1.532506e-06
87.039,0.0,185.07302043501008,-1.18147e-06
87.039,0.0,185.07271721977085,-9.134965e-07
87.039,0.0,185.07243344707527,-7.019262e-07
87.039,0.0,185.07207423974415,-5.270267e-07
87.039,0.0,185.07169174401278,-3.987807e-07
87.039,0.0,185.07126943427923,-3.073656e-07
87.039,0.0,185.07084950524018,-2.35581e-07
87.039,0.0,185.0704231919076,-1.738372e-07
87.039,0.0,185.07000482826805,-1.256849e-07
87.039,0.0,185.06960803374832,-9.016367e-08
87.039,0.0,185.0691758717452,-6.388291e-08
87.039,0.0,185.06874450439167,-4.774483e-08
87.039,0.0,185.06833016312368,-3.106834e-08
87.039,0.0,185.06791530443635,-1.305307e-08
87.039,0.0,185.06753175126104,-1.018634e-08
87.039,0.0,185.06710282744,-9.749783e-10
87.039,0.0,185.06666563186104,7.130438e-09
87.039,0.0,185.0662679267742,1.143781e-08
87.039,0.0,185.0658521090707,1.344597e-08
87.039,0.0,185.06543664251072,1.650187e-08
87.039,0.0,185.06504233691047,2.217712e-08
87.039,0.0,185.06460970395685,2.160959e-08
87.039,0.0,185.0641751927481,2.1304e-08
87.039,0.0,185.06377990381898,2.248271e-08
87.039,0.0,185.06337067647127,2.387969e-08
87.039,0.0,185.06295386887157,2.655725e-08
87.039,0.0,185.0625282020047,2.588786e-08
87.039,0.0,185.0620917281627,2.540764e-08
87.039,0.0,185.06165428718907,2.610614e-08
87.039,0.0,185.06123125136773,2.598972e-08
87.039,0.0,185.06080777165735,2.741581e-08
87.039,0.0,185.06039816031608,2.577144e-08
87.039,0.0,185.0599815603224,2.677552e-08
87.039,0.0,185.0595836659167,2.680463e-08
87.039,0.0,185.05915566252767,2.821616e-08
87.039,0.0,185.0587291045969,2.753222e-08
87.039,0.0,185.05831050080423,2.6208e-08
87.039,0.0,185.05790610682928,2.77505e-08
87.039,0.0,185.05751336099698,2.690649e-08
87.039,0.0,185.0570772848106,2.783781e-08
87.039,0.0,185.05663527430494,2.722663e-08
87.039,0.0,185.05625662065026,2.534944e-08
87.039,0.0,185.05584081420193,2.601882e-08
87.039,0.0,185.05541156029685,2.527668e-08
87.039,0.0,185.05499959333366,2.651359e-08
87.039,0.0,185.0545682197039,2.486922e-08
87.039,0.0,185.05417283730077,2.312299e-08
87.039,0.0,185.05373845327,2.594606e-08
87.039,0.0,185.05331003165523,2.728484e-08
87.039,0.0,185.0529020647226,2.751767e-08
87.039,0.0,185.05251007996662,2.786692e-08
87.039,0.0,185.05207556545065,2.208981e-08
87.039,0.0,185.05163228992186,2.575689e-08
87.039,0.0,185.0512095679491,2.849265e-08
87.039,0.0,185.0507826259225,2.936576e-08
87.039,0.0,185.0503650097643,2.504385e-08
87.039,0.0,185.04995534868013,2.549496e-08
87.039,0.0,185.04953317818368,2.339948e-08
87.039,0.0,185.04910317039912,2.802699e-08
87.039,0.0,185.04868037734207,2.607703e-08
87.039,0.0,185.04825644047438,2.32103e-08
87.039,0.0,185.04785872975376,2.291927e-08
87.039,0.0,185.04744206517856,2.558227e-08
87.039,0.0,185.04705094248663,2.954039e-08
87.039,0.0,185.04662680284952,3.012246e-08
87.039,0.0,185.04620137858618,2.459274e-08
87.039,0.0,185.04579853997788,2.537854e-08
87.039,0.0,185.0453877801279,2.612069e-08
87.039,0.0,185.04496962168832,2.903107e-08
87.039,0.0,185.04455820262527,2.73285e-08
87.039,0.0,185.0441276088116,2.58442e-08
87.039,0.0,185.04370183390267,2.440356e-08
87.039,0.0,185.04327665961296,2.465094e-08
87.039,0.0,185.04287135099258,2.764864e-08
87.039,0.0,185.04245032736392,2.418528e-08
87.039,0.0,185.0420155151158,2.625166e-08
87.039,0.0,185.04160538659775,2.395245e-08
87.039,0.0,185.04118634166585,2.782326e-08
87.039,0.0,185.04075377867161,2.684828e-08
87.039,0.0,185.0403339823937,2.197339e-08
87.039,0.0,185.03992722063353,2.39379e-08
87.039,0.0,185.0395102513226,2.485467e-08
87.039,0.0,185.03909115794366,2.763409e-08
87.039,0.0,185.03867313051313,2.655725e-08
87.039,0.0,185.0382420276873,2.460729e-08
87.039,0.0,185.037844661424,2.291927e-08
87.039,0.0,185.03744567747378,2.27883e-08
87.039,0.0,185.03700882523253,2.50584e-08
87.039,0.0,185.03660240257537,2.644083e-08
87.039,0.0,185.03616524494623,2.574234e-08
87.039,0.0,185.0357628023167,2.385059e-08
87.039,0.0,185.03534438457328,2.719753e-08
87.039,0.0,185.0349327483236,2.683373e-08
87.039,0.0,185.03453198939866,2.517481e-08
87.039,0.0,185.0340885211799,2.337038e-08
87.039,0.0,185.03366802868373,2.747402e-08
87.039,0.0,185.03324188696442,2.644083e-08
87.039,0.0,185.0328451071639,2.575689e-08
87.039,0.0,185.0324117072496,2.427259e-08
87.039,0.0,185.03198795957562,2.395245e-08
87.039,0.0,185.03158070296973,2.574234e-08
87.039,0.0,185.03114176252583,2.607703e-08
87.039,0.0,185.03073071739422,2.533488e-08
87.039,0.0,185.0302871920625,2.147863e-08
87.039,0.0,185.02990138883314,2.160959e-08
87.039,0.0,185.0294510211798,2.339948e-08
87.039,0.0,185.02906024489462,2.417073e-08
87.039,0.0,185.02861876686873,2.411252e-08
87.039,0.0,185.02821239439783,2.112938e-08
87.039,0.0,185.02781168123005,2.265733e-08
87.039,0.0,185.0273754826248,2.105662e-08
87.039,0.0,185.0269795025254,2.636807e-08
87.039,0.0,185.02654945435114,2.344314e-08
87.039,0.0,185.0261358014727,2.197339e-08
87.039,0.0,185.02572640687805,2.262823e-08
87.039,0.0,185.02532917725156,2.291927e-08
87.039,0.0,185.02489579167022,2.431625e-08
87.039,0.0,185.02450266447485,2.1304e-08
87.039,0.0,185.02406772981385,2.086745e-08
87.039,0.0,185.02364964872163,2.029992e-08
87.039,0.0,185.02321776992372,2.262823e-08
87.039,0.0,185.02280296431937,2.502929e-08
87.039,0.0,185.02239152557152,2.101297e-08
87.039,0.0,185.02197609191631,2.121669e-08
87.039,0.0,185.0215398900717,2.035813e-08
87.039,0.0,185.02112497482221,2.20607e-08
87.039,0.0,185.02068159339,2.159504e-08
87.039,0.0,185.0202757720567,1.968874e-08
87.039,0.0,185.0198603438349,1.919398e-08
87.039,0.0,185.01943240473653,1.826265e-08
87.039,0.0,185.01904160831742,1.893204e-08
87.039,0.0,185.01859892955153,2.473826e-08
87.039,0.0,185.01818843771972,2.066372e-08
87.039,0.0,185.0177850166014,2.120214e-08
87.039,0.0,185.0173553128511,2.559682e-08
87.039,0.0,185.01696231548866,2.753222e-08
87.039,0.0,185.01652865554766,2.534944e-08
87.039,0.0,185.0161154885037,2.143497e-08
87.039,0.0,185.0157066877005,2.251181e-08
87.039,0.0,185.0152488958705,2.360321e-08
87.039,0.0,185.01487208115807,2.729939e-08
87.039,0.0,185.01447761422335,2.501474e-08
87.039,0.0,185.01404239259836,2.233719e-08
87.039,0.0,185.01361688691745,2.337038e-08
87.039,0.0,185.01319231624794,2.462184e-08
87.039,0.0,185.0127859008391,2.527668e-08
87.039,0.0,185.01234953051008,2.326851e-08
87.039,0.0,185.01192093897163,2.322486e-08
87.039,0.0,185.01152427515208,2.348679e-08
87.039,0.0,185.01108547369722,2.491288e-08
87.039,0.0,185.01066579025783,2.325396e-08
87.039,0.0,185.01023175364568,2.270099e-08
87.039,0.0,185.0098359259561,2.057641e-08
87.039,0.0,185.0093905578847,2.150773e-08
87.039,0.0,185.00900447382563,2.328306e-08
87.039,0.0,185.00856226175242,2.428715e-08
87.039,0.0,185.00814753886579,1.957233e-08
87.039,0.0,185.00774244812203,1.931039e-08
87.039,0.0,185.0073098906443,1.960143e-08
87.039,0.0,185.0069140154017,2.246816e-08
87.039,0.0,185.00651604264522,2.153683e-08
87.039,0.0,185.0060753624529,2.027082e-08
87.039,0.0,185.0056654658386,2.073648e-08
87.039,0.0,185.00525528761824,1.987792e-08
87.039,0.0,185.00485755005082,2.172601e-08
87.039,0.0,185.00442417006116,2.060551e-08
87.039,0.0,185.00399373219992,1.931039e-08
87.039,0.0,185.00358048889063,1.650187e-08
87.039,0.0,185.00317649108908,1.830631e-08
87.039,0.0,185.0027322185036,1.685112e-08
87.039,0.0,185.00232025716238,1.488661e-08
87.039,0.0,185.0019010482012,2.197339e-08
87.039,0.0,185.00150317094247,1.883018e-08
87.039,0.0,185.0010623700016,1.720036e-08
87.039,0.0,185.0006376882903,2.053275e-08
87.039,0.0,185.0002083183915,2.069282e-08
87.039,0.0,184.99980537571759,2.079469e-08
87.039,0.0,184.9993920349849,1.901935e-08
87.039,0.0,184.99897537394355,1.834997e-08
87.039,0.0,184.9985419114747,1.829176e-08
87.039,0.0,184.99812342639817,1.725857e-08
87.039,0.0,184.99771717804623,2.594606e-08
87.039,0.0,184.9972822918841,1.868466e-08
87.039,0.0,184.9968830228492,2.190063e-08
87.039,0.0,184.9964934730888,2.610614e-08
87.039,0.0,184.99605264445347,2.796878e-08
87.039,0.0,184.99564181201262,2.549496e-08
87.039,0.0,184.99522911392296,2.492743e-08
87.039,0.0,184.99479480494773,2.50584e-08
87.039,0.0,184.99440010376352,2.427259e-08
87.039,0.0,184.9939548547033,2.367597e-08
87.039,0.0,184.99356069602612,2.208981e-08
87.039,0.0,184.99313346412168,2.376328e-08
87.039,0.0,184.9927124833605,2.344314e-08
87.039,0.0,184.99227998098422,2.27883e-08
87.039,0.0,184.99187752872885,2.403976e-08
87.039,0.0,184.99144381802176,1.932494e-08
87.039,0.0,184.99104385357816,2.095476e-08
87.039,0.0,184.99061414621286,2.385059e-08
87.039,0.0,184.99017804572412,2.428715e-08
87.039,0.0,184.98975495661713,2.28174e-08
87.039,0.0,184.98932865288228,2.214801e-08
87.039,0.0,184.9889281320362,2.290471e-08
87.039,0.0,184.988530632405,2.561137e-08
87.039,0.0,184.98808899381652,2.211891e-08
87.039,0.0,184.98767989417843,2.184242e-08
87.039,0.0,184.987246419266,1.829176e-08
87.039,0.0,184.98684763166338,2.095476e-08
87.039,0.0,184.9864513911327,2.307934e-08
87.039,0.0,184.98601983191512,2.529123e-08
87.039,0.0,184.98560930764984,2.328306e-08
