Y_dimension(mm),Button,True_depth(m),meas
76.994,0.0,185.52647031249998,1.829708e-05
76.994,0.0,185.52647031249998,-3.550187e-06
76.994,0.0,185.52647031249998,-2.591565e-06
76.994,0.0,185.52636216911603,-1.987763e-06
76.994,0.0,185.52618045443535,-1.532622e-06
76.994,0.0,185.52594459485556,-1.181092e-06
76.994,0.0,185.5257046895075,-9.111391e-07
76.994,0.0,185.52537826165852,-7.008493e-07
76.994,0.0,185.5250228197162,-5.350157e-07
76.994,0.0,185.5246727848926,-3.997557e-07
76.994,0.0,185.52421814906342,-3.01181e-07
76.994,0.0,185.52382383584484,-2.188026e-07
76.994,0.0,185.5233795797004,-1.708104e-07
76.994,0.0,185.52296749924292,-1.284061e-07
76.994,0.0,185.52253394766322,-9.439827e-08
76.994,0.0,185.5221386138467,-6.99074e-08
76.994,0.0,185.52170418753664,-4.137109e-08
76.994,0.0,185.52128504440964,-2.09111e-08
76.994,0.0,185.52085321811018,-1.103035e-08
76.994,0.0,185.5204438554925,-5.893526e-09
76.994,0.0,185.52001078428466,4.889444e-09
76.994,0.0,185.5196097726942,1.222361e-08
76.994,0.0,185.51919228971298,2.302113e-08
76.994,0.0,185.51877405178024,2.460729e-08
76.994,0.0,185.51836435115044,2.58151e-08
76.994,0.0,185.5179520550967,2.424349e-08
76.994,0.0,185.517521399273,2.606248e-08
76.994,0.0,185.51712583298095,2.991874e-08
76.994,0.0,185.51672781772442,3.003515e-08
76.994,0.0,185.5162938424619,3.266905e-08
76.994,0.0,185.51587477074085,2.993329e-08
76.994,0.0,185.51546300415183,2.844899e-08
76.994,0.0,185.51502268917122,2.759043e-08
76.994,0.0,185.5146330207872,2.932211e-08
76.994,0.0,185.5141814351456,3.378955e-08
76.994,0.0,185.51378888122878,3.149034e-08
76.994,0.0,185.513354087095,3.172318e-08
76.994,0.0,185.51293678428257,3.118475e-08
76.994,0.0,185.51250437491393,2.914749e-08
76.994,0.0,185.5121033362984,2.993329e-08
76.994,0.0,185.51166824845436,2.917659e-08
76.994,0.0,185.51126471174734,2.978777e-08
76.994,0.0,185.5108371642484,3.197056e-08
76.994,0.0,185.5104138812173,2.932211e-08
76.994,0.0,185.50999263264455,2.96277e-08
76.994,0.0,185.50957669496614,3.070454e-08
76.994,0.0,185.50918721606658,3.140303e-08
76.994,0.0,185.50875322022617,2.828892e-08
76.994,0.0,185.5083364038622,2.844899e-08
76.994,0.0,185.50794382839885,2.859451e-08
76.994,0.0,185.50750768198643,2.92639e-08
76.994,0.0,185.50711212664373,3.023888e-08
76.994,0.0,185.5066978868978,2.859451e-08
76.994,0.0,185.50626675550333,2.908928e-08
76.994,0.0,185.50584043934276,2.792513e-08
76.994,0.0,185.50544179574516,2.920569e-08
76.994,0.0,185.50502097835846,2.764864e-08
76.994,0.0,185.5045998983641,2.773595e-08
76.994,0.0,185.50419065441415,3.099558e-08
76.994,0.0,185.5037592745237,2.935121e-08
76.994,0.0,185.50332578455192,2.619345e-08
76.994,0.0,185.5028865675321,2.46655e-08
76.994,0.0,185.5024967633241,2.597517e-08
76.994,0.0,185.50208172823497,2.639717e-08
76.994,0.0,185.50166095830767,2.885645e-08
76.994,0.0,185.50124048011725,3.048626e-08
76.994,0.0,185.5008080446612,2.700835e-08
76.994,0.0,185.50037659174964,2.326851e-08
76.994,0.0,185.49995138360495,2.572779e-08
76.994,0.0,185.49955802641293,2.43017e-08
76.994,0.0,185.49915292567565,2.232264e-08
76.994,0.0,185.49873450548748,2.156594e-08
76.994,0.0,185.4983009482079,2.302113e-08
76.994,0.0,185.4979053530872,2.594606e-08
76.994,0.0,185.49747282173837,2.967136e-08
76.994,0.0,185.49705400332044,3.15049e-08
76.994,0.0,185.49667642177266,2.639717e-08
76.994,0.0,185.49623609065847,2.600427e-08
76.994,0.0,185.49581894779564,2.510205e-08
76.994,0.0,185.49541684831433,2.874003e-08
76.994,0.0,185.4949964435307,2.913293e-08
76.994,0.0,185.49457256728275,2.524757e-08
76.994,0.0,185.49416896389076,2.175511e-08
76.994,0.0,185.4937422162995,2.302113e-08
76.994,0.0,185.49330808333073,2.555316e-08
76.994,0.0,185.49287592013795,2.632441e-08
76.994,0.0,185.4924451715939,2.649904e-08
76.994,0.0,185.4920188300075,2.626621e-08
76.994,0.0,185.49161987036058,2.482557e-08
76.994,0.0,185.49122521449343,2.585875e-08
76.994,0.0,185.49080064099704,2.651359e-08
76.994,0.0,185.49036880564083,2.248271e-08
76.994,0.0,185.48993473526247,2.31521e-08
76.994,0.0,185.48953877879225,2.338493e-08
76.994,0.0,185.48912849792222,2.342858e-08
76.994,0.0,185.4887111172191,2.411252e-08
