Y_dimension(mm),Button,True_depth(m),meas
49.162,0.0,26.939629687500002,2.584563e-05
49.162,0.0,26.939629687500002,2.96066e-06
49.162,0.0,26.93954407771565,3.827547e-06
49.162,0.0,26.93939842758401,4.37838e-06
49.162,0.0,26.93921073244813,4.803805e-06
49.162,0.0,26.938969999356033,5.133639e-06
49.162,0.0,26.938702300919807,5.092908e-06
49.162,0.0,26.938387893369246,4.213463e-06
49.162,0.0,26.93804609720064,3.54553e-06
49.162,0.0,26.937669777805684,2.840228e-06
49.162,0.0,26.937258271744312,3.579989e-06
49.162,0.0,26.936818059477062,4.448637e-06
49.162,0.0,26.93641225297659,4.934729e-06
49.162,0.0,26.93596618964297,5.281297e-06
49.162,0.0,26.935587383255335,5.485635e-06
49.162,0.0,26.9351837816947,5.653899e-06
49.162,0.0,26.934740410743373,5.757407e-06
49.162,0.0,26.934317377931016,5.854381e-06
49.162,0.0,26.93392347582481,5.855429e-06
49.162,0.0,26.933506431216628,5.629932e-06
49.162,0.0,26.93309544292694,5.592068e-06
49.162,0.0,26.932691360495323,5.732509e-06
49.162,0.0,26.932268054565238,5.558337e-06
49.162,0.0,26.931839388660702,5.794936e-06
49.162,0.0,26.931445700071837,5.691705e-06
49.162,0.0,26.931013431041038,5.685186e-06
49.162,0.0,26.930616917982775,5.625581e-06
49.162,0.0,26.930178987005476,5.522845e-06
49.162,0.0,26.929768139735433,5.473776e-06
49.162,0.0,26.929312697411156,5.232054e-06
49.162,0.0,26.928921825309416,4.608359e-06
49.162,0.0,26.928487970759686,4.946764e-06
49.162,0.0,26.928055584017745,5.272916e-06
49.162,0.0,26.92765631086599,5.224822e-06
49.162,0.0,26.927228351783853,5.348411e-06
49.162,0.0,26.926803761449325,5.558177e-06
49.162,0.0,26.926395497411733,5.612397e-06
49.162,0.0,26.92595909045864,5.798531e-06
49.162,0.0,26.92554929059466,5.798254e-06
49.162,0.0,26.925116057581786,5.856622e-06
49.162,0.0,26.924722124527896,5.73296e-06
49.162,0.0,26.92430848305788,5.654088e-06
49.162,0.0,26.923873545372302,5.834023e-06
49.162,0.0,26.923473701398525,5.925307e-06
49.162,0.0,26.923069613952162,5.692797e-06
49.162,0.0,26.922640410206206,5.961221e-06
49.162,0.0,26.922231173058663,5.804322e-06
49.162,0.0,26.92182234892583,5.711016e-06
49.162,0.0,26.921379864600798,5.46292e-06
49.162,0.0,26.92098277657882,5.668786e-06
49.162,0.0,26.920549946613594,5.716633e-06
49.162,0.0,26.92015460553075,5.745474e-06
49.162,0.0,26.919721158530773,5.565802e-06
49.162,0.0,26.9192882122787,5.517286e-06
49.162,0.0,26.918856879511214,5.598908e-06
49.162,0.0,26.9184567238153,5.768088e-06
49.162,0.0,26.918027210752506,5.742855e-06
49.162,0.0,26.917637152184447,5.711074e-06
49.162,0.0,26.91719708331987,5.764814e-06
49.162,0.0,26.916776318472863,5.789552e-06
49.162,0.0,26.916346096219026,5.693684e-06
49.162,0.0,26.915946011334814,5.701251e-06
49.162,0.0,26.915511748986763,5.771217e-06
49.162,0.0,26.915117933846698,5.883674e-06
49.162,0.0,26.914683571935193,5.863796e-06
49.162,0.0,26.91426659983759,5.926064e-06
49.162,0.0,26.913854601776098,6.034912e-06
49.162,0.0,26.913452098956153,5.666632e-06
49.162,0.0,26.913029664294815,5.61167e-06
49.162,0.0,26.912615301640287,5.55547e-06
49.162,0.0,26.91219252554352,5.798036e-06
49.162,0.0,26.91179414701785,5.962953e-06
49.162,0.0,26.91135040004122,6.028349e-06
49.162,0.0,26.9109502868052,6.018934e-06
49.162,0.0,26.91055253226187,5.833848e-06
49.162,0.0,26.910120133397605,5.75473e-06
49.162,0.0,26.909711447728217,5.81544e-06
49.162,0.0,26.90926901126315,5.985406e-06
49.162,0.0,26.908853594542148,6.148766e-06
49.162,0.0,26.908417735851195,6.063245e-06
49.162,0.0,26.90801565938137,5.975278e-06
49.162,0.0,26.90758784031111,6.116403e-06
49.162,0.0,26.907183018610677,6.012182e-06
49.162,0.0,26.906746670432764,5.998081e-06
49.162,0.0,26.90633196076157,5.951661e-06
49.162,0.0,26.90589714998791,5.975089e-06
49.162,0.0,26.905479728127894,6.058952e-06
49.162,0.0,26.90507117428397,5.944006e-06
49.162,0.0,26.90467019566196,5.875481e-06
49.162,0.0,26.90424254125831,5.981972e-06
49.162,0.0,26.903817219524953,6.016708e-06
49.162,0.0,26.903413082786873,6.01256e-06
49.162,0.0,26.90301479810125,6.035523e-06
49.162,0.0,26.902582839664145,6.080212e-06
49.162,0.0,26.902179934093592,5.981492e-06
49.162,0.0,26.90175424221531,5.859998e-06
49.162,0.0,26.901327539218258,5.841634e-06
49.162,0.0,26.900921263721383,6.231203e-06
49.162,0.0,26.90048359452657,6.153088e-06
49.162,0.0,26.900085044799987,6.15402e-06
49.162,0.0,26.89967862812951,5.972033e-06
49.162,0.0,26.899233860587902,5.065202e-06
49.162,0.0,26.89881366464386,4.758127e-06
49.162,0.0,26.89838221557457,4.818226e-06
49.162,0.0,26.897975230917915,4.62294e-06
49.162,0.0,26.897552862466135,4.836314e-06
49.162,0.0,26.89715225268783,5.790032e-06
49.162,0.0,26.89672295718656,5.538051e-06
49.162,0.0,26.89628845664873,5.385053e-06
49.162,0.0,26.895856071317912,5.791109e-06
49.162,0.0,26.895456846512662,5.814771e-06
49.162,0.0,26.895047008741905,6.041795e-06
49.162,0.0,26.89462617547929,6.01646e-06
49.162,0.0,26.894212063502863,6.174829e-06
49.162,0.0,26.893798747375133,6.010523e-06
49.162,0.0,26.89336682724076,5.891547e-06
49.162,0.0,26.89296654193067,5.937894e-06
49.162,0.0,26.892571062615822,5.97992e-06
49.162,0.0,26.892137286552206,5.75147e-06
49.162,0.0,26.891726040205164,5.96141e-06
49.162,0.0,26.891316660565135,5.842754e-06
49.162,0.0,26.890858782759356,5.89421e-06
49.162,0.0,26.890476814787828,6.132221e-06
49.162,0.0,26.89006240063232,5.840891e-06
49.162,0.0,26.889640658358374,5.917274e-06
49.162,0.0,26.889206203798896,5.964481e-06
49.162,0.0,26.88878441122173,6.154616e-06
49.162,0.0,26.88834360122075,6.167858e-06
49.162,0.0,26.88794340460676,6.191287e-06
49.162,0.0,26.887531063948078,6.269765e-06
49.162,0.0,26.887110576339573,6.109956e-06
49.162,0.0,26.886701824872837,5.981303e-06
49.162,0.0,26.886259820051244,5.85994e-06
49.162,0.0,26.88584617390932,5.96777e-06
49.162,0.0,26.88541225911327,5.943308e-06
49.162,0.0,26.88501526573684,6.038026e-06
49.162,0.0,26.884620055130558,6.212882e-06
49.162,0.0,26.884184533997015,6.046394e-06
49.162,0.0,26.883767612683304,5.904134e-06
49.162,0.0,26.883359024104415,5.925118e-06
49.162,0.0,26.88292887343608,5.982263e-06
49.162,0.0,26.882524140577672,6.041824e-06
49.162,0.0,26.88212823728406,6.102564e-06
49.162,0.0,26.881684921798346,6.20076e-06
49.162,0.0,26.881276689694392,5.905604e-06
49.162,0.0,26.880865733049777,5.857844e-06
49.162,0.0,26.880434507782542,5.864931e-06
49.162,0.0,26.880029655511965,5.990514e-06
49.162,0.0,26.879610659686506,6.116621e-06
49.162,0.0,26.879174491522825,6.004542e-06
49.162,0.0,26.87876034331648,5.83152e-06
49.162,0.0,26.87831616802637,5.738446e-06
49.162,0.0,26.8779088848825,5.667403e-06
49.162,0.0,26.877474834486865,5.70844e-06
49.162,0.0,26.877080636143685,5.878741e-06
49.162,0.0,26.87664597173071,5.648224e-06
49.162,0.0,26.87623480420918,5.3939e-06
49.162,0.0,26.875814841330158,5.778842e-06
49.162,0.0,26.87538464098271,6.044938e-06
49.162,0.0,26.874987301946263,6.027665e-06
