Y_dimension(mm),Button,True_depth(m),meas,button_raw
43.823,0.0,32.5460515625,2.261584e-05,0.0
43.823,0.0,32.5460515625,-5.596085e-07,0.0
43.823,0.0,32.54603476385935,2.913439e-07,0.0
43.823,0.0,32.54588080137466,8.413772e-07,0.0
43.823,0.0,32.54569939727269,1.253982e-06,0.0
43.823,0.0,32.545471800245764,1.569642e-06,0.0
43.823,0.0,32.54520295619484,1.782624e-06,0.0
43.823,0.0,32.54489679802904,1.466149e-06,0.0
43.823,0.0,32.544572644293346,1.459324e-06,0.0
43.823,0.0,32.544192381138046,1.327804e-06,0.0
43.823,0.0,32.54375686584546,1.396824e-06,0.0
43.823,0.0,32.54335147867408,1.462773e-06,0.0
43.823,0.0,32.54295400969212,1.384004e-06,0.0
43.823,0.0,32.54254311703116,1.368273e-06,0.0
43.823,0.0,32.54212882462286,1.301014e-06,0.0
43.823,0.0,32.54170818704547,1.566281e-06,0.0
43.823,0.0,32.54129493587037,1.815206e-06,0.0
43.823,0.0,32.54086039194616,1.908164e-06,0.0
43.823,0.0,32.540455804944465,1.874083e-06,0.0
43.823,0.0,32.540028886552506,2.069326e-06,0.0
43.823,0.0,32.53962226505869,2.411965e-06,0.0
43.823,0.0,32.539183120671986,2.503482e-06,0.0
43.823,0.0,32.53874049757232,2.176574e-06,0.0
43.823,0.0,32.53833443787881,2.200584e-06,0.0
43.823,0.0,32.53789882856932,2.485205e-06,0.0
43.823,0.0,32.53750610211947,2.809786e-06,0.0
43.823,0.0,32.53705677222871,2.811721e-06,0.0
43.823,0.0,32.53666364651104,2.547764e-06,0.0
43.823,0.0,32.53622230118272,2.191897e-06,0.0
43.823,0.0,32.53581988308083,2.22004e-06,0.0
43.823,0.0,32.53540149790628,2.23417e-06,0.0
43.823,0.0,32.53497656620852,2.508445e-06,0.0
43.823,0.0,32.534586281456605,2.694767e-06,0.0
43.823,0.0,32.53416360204113,2.737739e-06,0.0
43.823,0.0,32.53374376387454,3.118897e-06,0.0
43.823,0.0,32.53331853815546,3.088688e-06,0.0
43.823,0.0,32.532923036338,3.081412e-06,0.0
43.823,0.0,32.532524551293044,2.842629e-06,0.0
43.823,0.0,32.53209034162288,2.701912e-06,0.0
43.823,0.0,32.53168052137049,3.081412e-06,0.0
43.823,0.0,32.531239306647684,3.2034e-06,0.0
43.823,0.0,32.53083446254913,3.033216e-06,0.0
43.823,0.0,32.53039903561248,2.990317e-06,0.0
43.823,0.0,32.529995704681106,2.940375e-06,0.0
43.823,0.0,32.52956980733626,3.398847e-06,0.0
43.823,0.0,32.529145191734045,3.314664e-06,0.0
43.823,0.0,32.52872931950082,3.195149e-06,0.0
43.823,0.0,32.52828746132425,3.093795e-06,0.0
43.823,0.0,32.52789057476478,3.490117e-06,0.0
43.823,0.0,32.52746543016372,3.773413e-06,0.0
43.823,0.0,32.52704208363591,3.802983e-06,0.0
43.823,0.0,32.526633372271654,3.45135e-06,0.0
43.823,0.0,32.526187711296856,3.580179e-06,0.0
43.823,0.0,32.52575639344138,3.085137e-06,0.0
43.823,0.0,32.52534172348312,3.358393e-06,0.0
43.823,0.0,32.5249565295001,3.41238e-06,0.0
43.823,0.0,32.52453936279033,4.036701e-06,0.0
43.823,0.0,32.52413004258729,4.091504e-06,0.0
43.823,0.0,32.52372017057431,4.140325e-06,0.0
43.823,0.0,32.523278425593304,3.756883e-06,0.0
43.823,0.0,32.52288135757514,3.924302e-06,0.0
43.823,0.0,32.52248609460431,3.945373e-06,0.0
43.823,0.0,32.52205465593542,3.58824e-06,0.0
43.823,0.0,32.52164066518428,4.083267e-06,0.0
43.823,0.0,32.52122752897978,3.997862e-06,0.0
43.823,0.0,32.520796086725994,4.569622e-06,0.0
43.823,0.0,32.52039851703135,4.036454e-06,0.0
43.823,0.0,32.51996702472704,3.946421e-06,0.0
43.823,0.0,32.51953639044773,3.47507e-06,0.0
43.823,0.0,32.519127656185155,3.694629e-06,0.0
43.823,0.0,32.518703543488854,4.110159e-06,0.0
43.823,0.0,32.51826930221185,4.356829e-06,0.0
43.823,0.0,32.51783719231344,4.66338e-06,0.0
43.823,0.0,32.517443629767975,4.375688e-06,0.0
43.823,0.0,32.51701760677573,4.390138e-06,0.0
43.823,0.0,32.5166149421845,4.523841e-06,0.0
43.823,0.0,32.51617232533455,4.118454e-06,0.0
43.823,0.0,32.51575535811192,4.183734e-06,0.0
43.823,0.0,32.515319109142155,4.173664e-06,0.0
43.823,0.0,32.51492684317995,4.00054e-06,0.0
43.823,0.0,32.514531330284456,3.866982e-06,0.0
43.823,0.0,32.51409950817981,3.888345e-06,0.0
43.823,0.0,32.51368200118304,4.199639e-06,0.0
43.823,0.0,32.513267594790776,4.389804e-06,0.0
43.823,0.0,32.512840103013865,4.660149e-06,0.0
43.823,0.0,32.512443887396735,4.33487e-06,0.0
43.823,0.0,32.51204619122531,4.544709e-06,0.0
43.823,0.0,32.51160433292323,4.278016e-06,0.0
43.823,0.0,32.51119235225194,4.32141e-06,0.0
43.823,0.0,32.51074911218263,4.608024e-06,0.0
43.823,0.0,32.51034600983233,4.183268e-06,0.0
43.823,0.0,32.509913585885975,4.372981e-06,0.0
43.823,0.0,32.50950045828244,4.237227e-06,0.0
43.823,0.0,32.50908661630275,4.523681e-06,0.0
43.823,0.0,32.5086711908079,4.400994e-06,0.0
43.823,0.0,32.508227810884,4.340953e-06,0.0
43.823,0.0,32.507823093767946,4.400907e-06,0.0
43.823,0.0,32.507393411911714,4.253903e-06,0.0
43.823,0.0,32.506989322406746,3.967594e-06,0.0
43.823,0.0,32.506564464745736,4.263333e-06,0.0
43.823,0.0,32.50612166803747,4.122892e-06,0.0
43.823,0.0,32.50571321836682,3.675625e-06,0.0
43.823,0.0,32.50530391790786,3.145236e-06,0.0
43.823,0.0,32.504882956031686,3.673413e-06,0.0
43.823,0.0,32.50446404935504,4.011818e-06,0.0
43.823,0.0,32.50407957957075,4.09002e-06,0.0
43.823,0.0,32.503659581337644,4.271904e-06,0.0
43.823,0.0,32.50322587785592,4.157788e-06,0.0
43.823,0.0,32.50282354203033,4.178975e-06,0.0
43.823,0.0,32.50241557724035,4.12298e-06,0.0
43.823,0.0,32.5019908792617,3.551468e-06,0.0
43.823,0.0,32.50157779682136,3.654248e-06,0.0
43.823,0.0,32.50116419214853,3.88005e-06,0.0
43.823,0.0,32.5007387807558,3.615132e-06,0.0
43.823,0.0,32.50033041743948,3.727473e-06,0.0
43.823,0.0,32.499900526960246,3.734822e-06,0.0
43.823,0.0,32.49949486150498,3.655645e-06,0.0
43.823,0.0,32.49906949277842,3.529989e-06,0.0
43.823,0.0,32.49862793091582,3.314111e-06,0.0
43.823,0.0,32.49821899999947,3.628156e-06,0.0
43.823,0.0,32.49777894254453,3.896319e-06,0.0
43.823,0.0,32.49737220505572,3.592053e-06,0.0
43.823,0.0,32.4969492116294,3.550056e-06,0.0
43.823,0.0,32.49653397263648,3.621884e-06,0.0
43.823,0.0,32.496111936355106,3.172492e-06,0.0
43.823,0.0,32.49570425693202,2.945337e-06,0.0
43.823,0.0,32.49526210859309,2.968183e-06,0.0
43.823,0.0,32.49486526362143,3.613342e-06,0.0
43.823,0.0,32.494469591062014,3.964335e-06,0.0
43.823,0.0,32.49403490174847,3.749446e-06,0.0
43.823,0.0,32.493623145084044,3.885041e-06,0.0
43.823,0.0,32.493215895539,4.0054e-06,0.0
43.823,0.0,32.492808334514905,4.098983e-06,0.0
43.823,0.0,32.49236475953017,4.188318e-06,0.0
43.823,0.0,32.49197343914551,4.06224e-06,0.0
43.823,0.0,32.491552030465506,4.023139e-06,0.0
43.823,0.0,32.49112186311828,4.149915e-06,0.0
43.823,0.0,32.49070244216459,4.081041e-06,0.0
43.823,0.0,32.49029149226055,4.03414e-06,0.0
43.823,0.0,32.48985697816971,4.154805e-06,0.0
43.823,0.0,32.48943516493684,4.006404e-06,0.0
43.823,0.0,32.48902874588742,3.977781e-06,0.0
43.823,0.0,32.4885918901299,3.826586e-06,0.0
43.823,0.0,32.48818084862114,3.438618e-06,0.0
43.823,0.0,32.48773864793444,3.966023e-06,0.0
43.823,0.0,32.487330937503565,4.000045e-06,0.0
43.823,0.0,32.486915139742734,4.030953e-06,0.0
43.823,0.0,32.48648601550945,4.044035e-06,0.0
43.823,0.0,32.48607573981152,4.14261e-06,0.0
43.823,0.0,32.48566311732202,4.086221e-06,0.0
43.823,0.0,32.48524612924065,3.838722e-06,0.0
43.823,0.0,32.484796741272326,4.004556e-06,0.0
43.823,0.0,32.4844196981065,4.135669e-06,0.0
43.823,0.0,32.48402093174077,3.343448e-06,0.0
43.823,0.0,32.48357493418303,3.178997e-06,0.0
43.823,0.0,32.48318562099307,3.187844e-06,0.0
43.823,0.0,32.482768825328115,3.420733e-06,0.0
43.823,0.0,32.48233134908827,3.654728e-06,0.0
43.823,0.0,32.48193845722141,3.828623e-06,0.0
43.823,0.0,32.481542874697865,3.532827e-06,0.0
43.823,0.0,32.48110273136673,3.533394e-06,0.0
43.823,0.0,32.480692638557606,3.555368e-06,0.0
43.823,0.0,32.48024694653992,3.793975e-06,0.0
43.823,0.0,32.479838850431186,3.698282e-06,0.0
43.823,0.0,32.47940162669601,3.743189e-06,0.0
43.823,0.0,32.47900835680732,3.684385e-06,0.0
43.823,0.0,32.478577776850216,3.721434e-06,0.0
43.823,0.0,32.47812885971479,3.681387e-06,0.0
43.823,0.0,32.47771386508314,3.7055e-06,0.0
43.823,0.0,32.477291728440804,3.748384e-06,0.0
43.823,0.0,32.47687681500484,3.719295e-06,0.0
43.823,0.0,32.476480259483985,3.902314e-06,0.0
43.823,0.0,32.47604961096979,3.722453e-06,0.0
43.823,0.0,32.47564332029896,3.516878e-06,0.0
43.823,0.0,32.47522554744558,3.798865e-06,0.0
43.823,0.0,32.47479432761375,3.786132e-06,0.0
43.823,0.0,32.4743980689408,3.516092e-06,0.0
43.823,0.0,32.473994871360766,3.562265e-06,0.0
43.823,0.0,32.47356682305709,3.754991e-06,0.0
43.823,0.0,32.47314550106801,3.973226e-06,0.0
43.823,0.0,32.47273666991453,3.728215e-06,0.0
43.823,0.0,32.472307348011206,3.761408e-06,0.0
43.823,0.0,32.47189374753426,3.682944e-06,0.0
43.823,0.0,32.47149041242849,3.738794e-06,0.0
43.823,0.0,32.471059292708446,3.806301e-06,0.0
43.823,0.0,32.470643733526494,3.776862e-06,0.0
43.823,0.0,32.470230001373984,3.867739e-06,0.0
43.823,0.0,32.46979617541345,3.973983e-06,0.0
43.823,0.0,32.469374860062544,3.919326e-06,0.0
43.823,0.0,32.46896062950513,3.819892e-06,0.0
43.823,0.0,32.46854348469475,3.793e-06,0.0
43.823,0.0,32.4681167214309,3.857785e-06,0.0
43.823,0.0,32.46769930989839,3.866051e-06,0.0
