Y_dimension(mm),Button,True_depth(m),meas
50.932,1.0,45.192396875,2.441631e-05
50.932,1.0,45.192396875,-2.525514e-06
50.932,1.0,45.192361848394576,-1.489112e-06
50.932,1.0,45.192214652757045,-8.441857e-07
50.932,1.0,45.19202462479909,-3.694586e-07
50.932,1.0,45.19179286143286,-6.970367e-09
50.932,1.0,45.19152974913064,2.727902e-07
50.932,1.0,45.19121769738282,5.788752e-07
50.932,1.0,45.19089324691878,1.136767e-06
50.932,1.0,45.190495155259605,1.714841e-06
50.932,1.0,45.19009429024618,2.146189e-06
50.932,1.0,45.189659365516036,2.231769e-06
50.932,1.0,45.18923012284333,2.362242e-06
50.932,1.0,45.188810671998894,2.462897e-06
50.932,1.0,45.18838733907206,2.512184e-06
50.932,1.0,45.18799177102155,2.616813e-06
50.932,1.0,45.187562666631024,2.753019e-06
50.932,1.0,45.18714713019117,2.875648e-06
50.932,1.0,45.186753963134414,2.908157e-06
50.932,1.0,45.186331994765304,2.814137e-06
50.932,1.0,45.18590738702218,2.694447e-06
50.932,1.0,45.18548570448297,3.071211e-06
50.932,1.0,45.18507606750437,2.673871e-06
50.932,1.0,45.18468213635764,1.420238e-06
50.932,1.0,45.18425143435124,3.36091e-07
50.932,1.0,45.18381944392967,4.965113e-07
50.932,1.0,45.18338409488765,5.666225e-07
50.932,1.0,45.18296800520654,5.717156e-07
50.932,1.0,45.182563841815586,5.225156e-07
50.932,1.0,45.182167907696694,5.202019e-07
50.932,1.0,45.181737170123505,2.426095e-07
50.932,1.0,45.18131161746762,4.485919e-07
50.932,1.0,45.18088090232289,2.329471e-07
50.932,1.0,45.18045400819071,9.220093e-08
50.932,1.0,45.180030396051556,1.744338e-07
50.932,1.0,45.1796539193146,4.324247e-07
50.932,1.0,45.17919327761792,5.139154e-07
50.932,1.0,45.17879165939064,2.648158e-07
50.932,1.0,45.17835215092443,8.997449e-08
50.932,1.0,45.177951625829344,4.566391e-08
50.932,1.0,45.177543286932895,1.052686e-07
50.932,1.0,45.17712299784998,4.765898e-07
50.932,1.0,45.176690279905166,2.700544e-07
50.932,1.0,45.176285575421765,2.501038e-07
50.932,1.0,45.175855142065664,3.235909e-07
50.932,1.0,45.17545779066708,3.183814e-07
50.932,1.0,45.17504825546726,1.342996e-07
50.932,1.0,45.174625127290035,1.943699e-07
50.932,1.0,45.17422669523314,1.886947e-07
50.932,1.0,45.17378548796682,1.548324e-07
50.932,1.0,45.17336443851272,5.088805e-08
50.932,1.0,45.17296906460885,4.522735e-08
50.932,1.0,45.172556725284345,4.698813e-08
50.932,1.0,45.17213763061937,4.396134e-08
50.932,1.0,45.17170487989554,4.477624e-08
50.932,1.0,45.1712763135011,4.221511e-08
50.932,1.0,45.1708284934074,4.1764e-08
50.932,1.0,45.170406447849516,4.150206e-08
50.932,1.0,45.17003298846655,4.2186e-08
50.932,1.0,45.169615545685396,4.410686e-08
50.932,1.0,45.16919030183253,3.958121e-08
50.932,1.0,45.16875862645647,3.899913e-08
50.932,1.0,45.1683283843623,3.945024e-08
50.932,1.0,45.167930247800214,3.792229e-08
50.932,1.0,45.167517434785665,4.084723e-08
50.932,1.0,45.16708714954274,3.691821e-08
50.932,1.0,45.16666180594587,3.866444e-08
50.932,1.0,45.16628322073318,3.862078e-08
50.932,1.0,45.16585042605823,4.000321e-08
50.932,1.0,45.16542376529125,3.997411e-08
50.932,1.0,45.16500820468609,3.686e-08
50.932,1.0,45.16459819699094,3.939203e-08
50.932,1.0,45.164201230030585,3.905734e-08
50.932,1.0,45.16376895939157,3.872265e-08
50.932,1.0,45.163332497088824,3.998866e-08
50.932,1.0,45.16290569636942,1.430162e-07
50.932,1.0,45.162503598541946,1.018343e-07
50.932,1.0,45.162088414243435,1.038716e-07
50.932,1.0,45.161649300954586,9.425275e-08
50.932,1.0,45.161225586988834,8.093775e-08
50.932,1.0,45.1608035990445,9.07603e-08
50.932,1.0,45.16040736959809,1.683075e-07
50.932,1.0,45.15999010171102,2.12196e-07
50.932,1.0,45.159562388479124,4.729663e-07
50.932,1.0,45.15915096942055,4.785979e-07
50.932,1.0,45.15871224355651,6.518094e-07
50.932,1.0,45.158291898308924,5.157053e-07
50.932,1.0,45.157886151703345,4.806207e-07
50.932,1.0,45.157469198728904,3.830501e-07
50.932,1.0,45.15706019461004,2.538e-07
50.932,1.0,45.15666499745241,2.43439e-07
50.932,1.0,45.15624255296536,1.814042e-07
50.932,1.0,45.15581083544505,2.557499e-07
50.932,1.0,45.15541162424527,1.332228e-07
50.932,1.0,45.15499697561691,3.181049e-07
50.932,1.0,45.15457371110442,1.889857e-07
50.932,1.0,45.15417545254139,3.162277e-07
50.932,1.0,45.153742764069236,3.877067e-07
50.932,1.0,45.15329704243082,3.968744e-07
50.932,1.0,45.152903864408735,2.889137e-07
50.932,1.0,45.152483956951606,4.08123e-07
50.932,1.0,45.152060125695876,2.434099e-07
50.932,1.0,45.15164987747034,1.760345e-07
50.932,1.0,45.15120416518089,2.304732e-07
50.932,1.0,45.15078065900891,4.904141e-07
50.932,1.0,45.15034842519872,6.149203e-07
