Y_dimension(mm),Button,True_depth(m),meas,button_raw
20.048,0.0,48.429984375,1.74203e-08,0.0
20.048,0.0,48.429734375,1.742395e-08,0.0
20.048,0.0,48.429484375,1.74673e-08,0.0
20.048,0.0,48.429234375,1.73134e-08,0.0
20.048,0.0,48.428984375,1.7410649999999997e-08,0.0
20.048,0.0,48.428734375,1.72808e-08,0.0
20.048,0.0,48.428484375,1.73958e-08,0.0
20.048,0.0,48.428234375,1.73777e-08,0.0
20.048,0.0,48.427984375,1.74005e-08,0.0
20.048,0.0,48.427734375,1.72116e-08,0.0
20.048,0.0,48.427484375,1.734025e-08,0.0
20.048,0.0,48.427234375,1.73579e-08,0.0
20.048,0.0,48.426984375,1.74275e-08,0.0
20.048,0.0,48.426734375,1.7212000000000002e-08,0.0
20.048,0.0,48.426484375,1.74038e-08,0.0
20.048,0.0,48.426234375,1.73934e-08,0.0
20.048,0.0,48.425984375,1.7283850000000003e-08,0.0
20.048,0.0,48.425734375,1.72533e-08,0.0
20.048,0.0,48.425484375,1.72726e-08,0.0
20.048,0.0,48.425234375,1.74365e-08,0.0
20.048,0.0,48.424984375,1.7542349999999998e-08,0.0
20.048,0.0,48.424734375,1.733935e-08,0.0
20.048,0.0,48.424484375,1.728475e-08,0.0
20.048,0.0,48.424234375,1.73338e-08,0.0
20.048,0.0,48.423984375,1.73393e-08,0.0
20.048,0.0,48.423734375,1.731475e-08,0.0
20.048,0.0,48.423484375,1.70793e-08,0.0
20.048,0.0,48.423234375,1.71481e-08,0.0
20.048,0.0,48.422984375,1.718795e-08,0.0
20.048,0.0,48.422734375,1.7197949999999997e-08,0.0
20.048,0.0,48.422484375,1.71329e-08,0.0
20.048,0.0,48.422234375,1.713375e-08,0.0
20.048,0.0,48.421984375,1.7306e-08,0.0
20.048,0.0,48.421734375,1.731985e-08,0.0
20.048,0.0,48.421484375,1.72474e-08,0.0
20.048,0.0,48.421234375,1.714835e-08,0.0
20.048,0.0,48.420984375,1.71584e-08,0.0
20.048,0.0,48.420734375,1.7163e-08,0.0
20.048,0.0,48.420484375,1.7186949999999998e-08,0.0
20.048,0.0,48.420234375,1.73366e-08,0.0
20.048,0.0,48.419984375,1.702565e-08,0.0
20.048,0.0,48.419734375,1.70957e-08,0.0
20.048,0.0,48.419484375,1.7147500000000002e-08,0.0
20.048,0.0,48.419234375,1.71896e-08,0.0
20.048,0.0,48.418984375,1.7291449999999997e-08,0.0
20.048,0.0,48.418734375,1.735005e-08,0.0
20.048,0.0,48.418484375,1.73313e-08,0.0
20.048,0.0,48.418234375,1.723315e-08,0.0
20.048,0.0,48.417984375,1.72792e-08,0.0
20.048,0.0,48.417734375,1.730225e-08,0.0
20.048,0.0,48.417484375,1.72481e-08,0.0
20.048,0.0,48.417234375,1.7308099999999997e-08,0.0
20.048,0.0,48.416984375,1.7303050000000002e-08,0.0
20.048,0.0,48.416734375,1.72394e-08,0.0
20.048,0.0,48.416484375,1.72564e-08,0.0
20.048,0.0,48.416234375,1.73249e-08,0.0
20.048,0.0,48.415984375,1.7322799999999998e-08,0.0
20.048,0.0,48.415734375,1.73326e-08,0.0
20.048,0.0,48.415484375,1.73962e-08,0.0
20.048,0.0,48.415234375,1.713415e-08,0.0
20.048,0.0,48.414984375,1.72265e-08,0.0
20.048,0.0,48.414734375,1.73913e-08,0.0
20.048,0.0,48.414484375,1.72761e-08,0.0
20.048,0.0,48.414234375,1.721e-08,0.0
20.048,0.0,48.413984375,1.7221949999999998e-08,0.0
20.048,0.0,48.413734375,1.733265e-08,0.0
20.048,0.0,48.413484375,1.69853e-08,0.0
20.048,0.0,48.413234375,1.72805e-08,0.0
20.048,0.0,48.412984375,1.7328799999999998e-08,0.0
20.048,0.0,48.412734375,1.73543e-08,0.0
20.048,0.0,48.412484375,1.72783e-08,0.0
20.048,0.0,48.412234375,1.7166e-08,0.0
20.048,0.0,48.411984375,1.72055e-08,0.0
20.048,0.0,48.411734375,1.72894e-08,0.0
20.048,0.0,48.411484375,1.7222e-08,0.0
20.048,0.0,48.411234375,1.7160600000000002e-08,0.0
20.048,0.0,48.410984375,1.7242749999999997e-08,0.0
20.048,0.0,48.410734375,1.7217e-08,0.0
20.048,0.0,48.410484375,1.71749e-08,0.0
20.048,0.0,48.410234375,1.71032e-08,0.0
20.048,0.0,48.409984375,1.716275e-08,0.0
20.048,0.0,48.409734375,1.7259399999999998e-08,0.0
20.048,0.0,48.409484375,1.72678e-08,0.0
20.048,0.0,48.409234375,1.7106750000000002e-08,0.0
20.048,0.0,48.408984375,1.72166e-08,0.0
20.048,0.0,48.408734375,1.719105e-08,0.0
20.048,0.0,48.408484375,1.70488e-08,0.0
20.048,0.0,48.408234375,1.721695e-08,0.0
20.048,0.0,48.407984375,1.72169e-08,0.0
20.048,0.0,48.407734375,1.701075e-08,0.0
20.048,0.0,48.407484375,1.69804e-08,0.0
20.048,0.0,48.407234375,1.71798e-08,0.0
20.048,0.0,48.406984375,1.72274e-08,0.0
20.048,0.0,48.406734375,1.70699e-08,0.0
20.048,0.0,48.406484375,1.69821e-08,0.0
20.048,0.0,48.406234375,1.71538e-08,0.0
20.048,0.0,48.405984375,1.7139349999999998e-08,0.0
20.048,0.0,48.405734375,1.723695e-08,0.0
20.048,0.0,48.405484375,1.7119999999999997e-08,0.0
20.048,0.0,48.405234375,1.71481e-08,0.0
20.048,0.0,48.404984375,1.72079e-08,0.0
20.048,0.0,48.404734375,1.72226e-08,0.0
20.048,0.0,48.404484375,1.72218e-08,0.0
20.048,0.0,48.404234375,1.71005e-08,0.0
20.048,0.0,48.403984375,1.7163300000000006e-08,0.0
20.048,0.0,48.403734375,1.71126e-08,0.0
20.048,0.0,48.403484375,1.707355e-08,0.0
20.048,0.0,48.403234375,1.70912e-08,0.0
20.048,0.0,48.402984375,1.7095049999999998e-08,0.0
20.048,0.0,48.402734375,1.70125e-08,0.0
20.048,0.0,48.402484375,1.699235e-08,0.0
20.048,0.0,48.402234375,1.70874e-08,0.0
20.048,0.0,48.401984375,1.719255e-08,0.0
20.048,0.0,48.401734375,1.7016450000000003e-08,0.0
20.048,0.0,48.401484375,1.7118e-08,0.0
20.048,0.0,48.401234375,1.72079e-08,0.0
20.048,0.0,48.400984375,1.7031899999999998e-08,0.0
20.048,0.0,48.400734375,1.70334e-08,0.0
20.048,0.0,48.400484375,1.699125e-08,0.0
20.048,0.0,48.400234375,1.70031e-08,0.0
20.048,0.0,48.399984375,1.7007299999999998e-08,0.0
20.048,0.0,48.399734375,1.69465e-08,0.0
20.048,0.0,48.399484375,1.69164e-08,0.0
20.048,0.0,48.399234375,1.69489e-08,0.0
20.048,0.0,48.398984375,1.70199e-08,0.0
20.048,0.0,48.398734375,1.7116e-08,0.0
20.048,0.0,48.398484375,1.69549e-08,0.0
20.048,0.0,48.398234375,1.6925299999999997e-08,0.0
20.048,0.0,48.397984375,1.682745e-08,0.0
20.048,0.0,48.397734375,1.69021e-08,0.0
20.048,0.0,48.397484375,1.684005e-08,0.0
20.048,0.0,48.397234375,1.6804149999999998e-08,0.0
20.048,0.0,48.396984375,1.70293e-08,0.0
20.048,0.0,48.396734375,1.68706e-08,0.0
20.048,0.0,48.396484375,1.686255e-08,0.0
20.048,0.0,48.396234375,1.676e-08,0.0
20.048,0.0,48.395984375,1.6821e-08,0.0
20.048,0.0,48.395734375,1.68302e-08,0.0
20.048,0.0,48.395484375,1.67887e-08,0.0
20.048,0.0,48.395234375,1.669905e-08,0.0
20.048,0.0,48.394984375,1.6772949999999998e-08,0.0
20.048,0.0,48.394734375,1.68234e-08,0.0
20.048,0.0,48.394484375,1.66954e-08,0.0
20.048,0.0,48.394234375,1.67673e-08,0.0
20.048,0.0,48.393984375,1.670825e-08,0.0
20.048,0.0,48.393734375,1.67285e-08,0.0
20.048,0.0,48.393484375,1.6702650000000002e-08,0.0
20.048,0.0,48.393234375,1.65694e-08,0.0
20.048,0.0,48.392984375,1.6665700000000002e-08,0.0
20.048,0.0,48.392734375,1.66631e-08,0.0
20.048,0.0,48.392484375,1.669765e-08,0.0
20.048,0.0,48.392234375,1.6571149999999998e-08,0.0
20.048,0.0,48.391984375,1.63975e-08,0.0
20.048,0.0,48.391734375,1.68352e-08,0.0
20.048,0.0,48.391484375,1.6584849999999998e-08,0.0
20.048,0.0,48.391234375,1.663325e-08,0.0
20.048,0.0,48.390984375,1.64658e-08,0.0
20.048,0.0,48.390734375,1.66109e-08,0.0
20.048,0.0,48.390484375,1.647245e-08,0.0
20.048,0.0,48.390234375,1.65866e-08,0.0
20.048,0.0,48.389984375,1.657e-08,0.0
20.048,0.0,48.389734375,1.652035e-08,0.0
20.048,0.0,48.389484375,1.6659249999999997e-08,0.0
20.048,0.0,48.389234375,1.664405e-08,0.0
20.048,0.0,48.388984375,1.6476e-08,0.0
20.048,0.0,48.388734375,1.65084e-08,0.0
20.048,0.0,48.388484375,1.66108e-08,0.0
20.048,0.0,48.388234375,1.66407e-08,0.0
20.048,0.0,48.387984375,1.65329e-08,0.0
20.048,0.0,48.387734375,1.66636e-08,0.0
20.048,0.0,48.387484375,1.642695e-08,0.0
20.048,0.0,48.387234375,1.653225e-08,0.0
20.048,0.0,48.386984375,1.648035e-08,0.0
20.048,0.0,48.386734375,1.64427e-08,0.0
20.048,0.0,48.386484375,1.6516e-08,0.0
20.048,0.0,48.386234375,1.65303e-08,0.0
20.048,0.0,48.385984375,1.6512899999999998e-08,0.0
20.048,0.0,48.385734375,1.66901e-08,0.0
20.048,0.0,48.385484375,1.6508200000000002e-08,0.0
20.048,0.0,48.385234375,1.66058e-08,0.0
20.048,0.0,48.384984375,1.65435e-08,0.0
20.048,0.0,48.384734375,1.65664e-08,0.0
20.048,0.0,48.384484375,1.64974e-08,0.0
20.048,0.0,48.384234375,1.65732e-08,0.0
20.048,0.0,48.383984375,1.645565e-08,0.0
20.048,0.0,48.383734375,1.6363099999999998e-08,0.0
20.048,0.0,48.383484375,1.65297e-08,0.0
20.048,0.0,48.383234375,1.6525450000000002e-08,0.0
20.048,0.0,48.382984375,1.66188e-08,0.0
20.048,0.0,48.382734375,1.65877e-08,0.0
20.048,0.0,48.382484375,1.64024e-08,0.0
20.048,0.0,48.382234375,1.651495e-08,0.0
20.048,0.0,48.381984375,1.64698e-08,0.0
20.048,0.0,48.381734375,1.646925e-08,0.0
20.048,0.0,48.381484375,1.64695e-08,0.0
20.048,0.0,48.381234375,1.648085e-08,0.0
20.048,0.0,48.380984375,1.65475e-08,0.0
20.048,0.0,48.380734375,1.6540500000000002e-08,0.0
20.048,0.0,48.380484375,1.65563e-08,0.0
20.048,0.0,48.380234375,1.65566e-08,0.0
20.048,0.0,48.379984375,1.6601e-08,0.0
20.048,0.0,48.379734375,1.64383e-08,0.0
20.048,0.0,48.379484375,1.64728e-08,0.0
20.048,0.0,48.379234375,1.65444e-08,0.0
20.048,0.0,48.378984375,1.63955e-08,0.0
20.048,0.0,48.378734375,1.6605250000000002e-08,0.0
20.048,0.0,48.378484375,1.6416050000000002e-08,0.0
20.048,0.0,48.378234375,1.65089e-08,0.0
20.048,0.0,48.377984375,1.65079e-08,0.0
20.048,0.0,48.377734375,1.649655e-08,0.0
20.048,0.0,48.377484375,1.6397700000000003e-08,0.0
20.048,0.0,48.377234375,1.651745e-08,0.0
20.048,0.0,48.376984375,1.64074e-08,0.0
20.048,0.0,48.376734375,1.6380349999999998e-08,0.0
20.048,0.0,48.376484375,1.63738e-08,0.0
20.048,0.0,48.376234375,1.6451e-08,0.0
20.048,0.0,48.375984375,1.644235e-08,0.0
20.048,0.0,48.375734375,1.636405e-08,0.0
20.048,0.0,48.375484375,1.63695e-08,0.0
20.048,0.0,48.375234375,1.6235e-08,0.0
20.048,0.0,48.374984375,1.63963e-08,0.0
20.048,0.0,48.374734375,1.6285e-08,0.0
20.048,0.0,48.374484375,1.6211800000000002e-08,0.0
20.048,0.0,48.374234375,1.636125e-08,0.0
20.048,0.0,48.373984375,1.64897e-08,0.0
20.048,0.0,48.373734375,1.63678e-08,0.0
20.048,0.0,48.373484375,1.629525e-08,0.0
20.048,0.0,48.373234375,1.62916e-08,0.0
20.048,0.0,48.372984375,1.62621e-08,0.0
