True_depth(m),Y_dimension(mm),meas,Button,Button_raw
12.4578671875,99.015,1.6066900000000002e-08,0.0,0.0
12.4576171875,99.015,1.6086e-08,0.0,0.0
12.4573671875,99.015,1.6119650000000002e-08,0.0,0.0
12.4571171875,99.015,1.585075e-08,0.0,0.0
12.4568671875,99.015,1.643175e-08,0.0,0.0
12.4566171875,99.015,1.59484e-08,0.0,0.0
12.4563671875,99.015,1.689495e-08,0.0,0.0
12.4561171875,99.015,1.61568e-08,0.0,0.0
12.4558671875,99.015,1.676805e-08,0.0,0.0
12.4556171875,99.015,1.63424e-08,0.0,0.0
12.4553671875,99.015,1.911525e-08,0.0,0.0
12.4551171875,99.015,1.64711e-08,0.0,0.0
12.4548671875,99.015,1.68282e-08,0.0,0.0
12.4546171875,99.015,1.63234e-08,0.0,0.0
12.4543671875,99.015,1.59751e-08,0.0,0.0
12.4541171875,99.015,1.566275e-08,0.0,0.0
12.4538671875,99.015,1.70976e-08,0.0,0.0
12.4536171875,99.015,1.63508e-08,0.0,0.0
12.4533671875,99.015,1.64343e-08,0.0,0.0
12.4531171875,99.015,1.6329699999999998e-08,0.0,0.0
12.4528671875,99.015,1.63679e-08,0.0,0.0
12.4526171875,99.015,1.63027e-08,0.0,0.0
12.4523671875,99.015,1.73619e-08,0.0,0.0
12.4521171875,99.015,1.63563e-08,0.0,0.0
12.4518671875,99.015,1.6548499999999998e-08,0.0,0.0
12.4516171875,99.015,1.58002e-08,0.0,0.0
12.4513671875,99.015,1.587605e-08,0.0,0.0
12.4511171875,99.015,1.1484095e-08,0.0,0.0
12.4508671875,99.015,1.51062e-08,0.0,0.0
12.4506171875,99.015,1.63972e-08,0.0,0.0
12.4503671875,99.015,1.61136e-08,0.0,0.0
12.4501171875,99.015,1.5982499999999998e-08,0.0,0.0
12.4498671875,99.015,1.6931e-08,0.0,0.0
12.4496171875,99.015,1.5699150000000002e-08,0.0,0.0
12.4493671875,99.015,1.5643600000000006e-08,0.0,0.0
12.4491171875,99.015,1.5581e-08,0.0,0.0
12.4488671875,99.015,1.70205e-08,0.0,0.0
12.4486171875,99.015,1.58785e-08,0.0,0.0
12.4483671875,99.015,1.558855e-08,0.0,0.0
12.4481171875,99.015,1.60299e-08,0.0,0.0
12.4478671875,99.015,1.57128e-08,0.0,0.0
12.4476171875,99.015,1.520875e-08,0.0,0.0
12.4473671875,99.015,1.60551e-08,0.0,0.0
