Y_dimension(mm),Button,True_depth(m),meas
69.228,0.0,30.986093750000002,1.7608466666666666e-08
69.228,0.0,30.98584375,1.70237e-08
69.228,0.0,30.98559375,1.80538e-08
69.228,0.0,30.985343750000002,1.7735050000000002e-08
69.228,0.0,30.98509375,1.785715e-08
69.228,0.0,30.984843750000003,1.79774e-08
69.228,0.0,30.984593750000002,1.833825e-08
69.228,0.0,30.98434375,1.80501e-08
69.228,0.0,30.984093750000003,1.82428e-08
69.228,0.0,30.983843750000002,1.759e-08
69.228,0.0,30.98359375,1.80693e-08
69.228,0.0,30.983343750000003,1.75321e-08
69.228,0.0,30.983093750000002,1.8015300000000006e-08
69.228,0.0,30.98284375,1.73023e-08
69.228,0.0,30.982593750000003,1.785125e-08
69.228,0.0,30.982343750000002,1.78923e-08
69.228,0.0,30.98209375,1.7436349999999997e-08
69.228,0.0,30.981843750000003,1.7621e-08
69.228,0.0,30.981593750000002,1.7357150000000003e-08
69.228,0.0,30.98134375,1.7148649999999998e-08
69.228,0.0,30.981093750000003,1.70151e-08
69.228,0.0,30.980843750000002,1.71899e-08
69.228,0.0,30.98059375,1.684015e-08
69.228,0.0,30.980343750000003,1.72174e-08
69.228,0.0,30.98009375,1.73129e-08
69.228,0.0,30.97984375,1.69192e-08
69.228,0.0,30.979593750000003,1.69559e-08
69.228,0.0,30.97934375,1.72143e-08
69.228,0.0,30.97909375,1.71269e-08
69.228,0.0,30.978843750000003,1.68413e-08
69.228,0.0,30.97859375,1.689225e-08
69.228,0.0,30.97834375,1.669315e-08
69.228,0.0,30.978093750000003,1.64747e-08
69.228,0.0,30.97784375,1.65544e-08
69.228,0.0,30.97759375,1.63385e-08
69.228,0.0,30.977343750000003,1.6231549999999998e-08
69.228,0.0,30.97709375,1.59796e-08
69.228,0.0,30.97684375,1.60783e-08
69.228,0.0,30.976593750000003,1.60766e-08
69.228,0.0,30.97634375,1.58835e-08
69.228,0.0,30.97609375,1.60889e-08
69.228,0.0,30.975843750000003,1.613515e-08
69.228,0.0,30.97559375,1.61794e-08
69.228,0.0,30.97534375,1.609145e-08
