Y_dimension(mm),Button,True_depth(m),meas,button_raw
64.52,0.0,10.779528125,1.5266e-08,0.0
64.52,0.0,10.779278125,1.501605e-08,0.0
64.52,0.0,10.779028125,1.48489e-08,0.0
64.52,0.0,10.778778125,1.47668e-08,0.0
64.52,0.0,10.778528125,1.437665e-08,0.0
64.52,0.0,10.778278125,1.454755e-08,0.0
64.52,0.0,10.778028125,1.5004e-08,0.0
64.52,0.0,10.777778125,1.42987e-08,0.0
64.52,0.0,10.777528125,1.45691e-08,0.0
64.52,0.0,10.777278125,1.47413e-08,0.0
64.52,0.0,10.777028125,1.52287e-08,0.0
64.52,0.0,10.776778125,1.49364e-08,0.0
64.52,0.0,10.776528125,1.5724399999999998e-08,0.0
64.52,0.0,10.776278125,1.82302e-08,0.0
64.52,0.0,10.776028125,1.93056e-08,0.0
64.52,0.0,10.775778125,1.85699e-08,0.0
64.52,0.0,10.775528125,1.87511e-08,0.0
64.52,0.0,10.775278125,2.00273e-08,0.0
64.52,0.0,10.775028125,1.88443e-08,0.0
64.52,0.0,10.774778125,1.9195900000000003e-08,0.0
64.52,0.0,10.774528125,1.869635e-08,0.0
64.52,0.0,10.774278125,1.91629e-08,0.0
64.52,0.0,10.774028125,1.89744e-08,0.0
64.52,0.0,10.773778125,1.91939e-08,0.0
64.52,0.0,10.773528125,1.90184e-08,0.0
64.52,0.0,10.773278125,1.879645e-08,0.0
64.52,0.0,10.773028125,1.90967e-08,0.0
64.52,0.0,10.772778125,1.89801e-08,0.0
64.52,0.0,10.772528125,1.90818e-08,0.0
64.52,0.0,10.772278125,1.89808e-08,0.0
64.52,0.0,10.772028125,1.87733e-08,0.0
64.52,0.0,10.771778125,1.90132e-08,0.0
64.52,0.0,10.771528125,1.90666e-08,0.0
64.52,0.0,10.771278124999998,1.8977200000000003e-08,0.0
64.52,0.0,10.771028125,1.89411e-08,0.0
64.52,0.0,10.770778125,1.897285e-08,0.0
64.52,0.0,10.770528124999998,1.91209e-08,0.0
64.52,0.0,10.770278125,1.884855e-08,0.0
64.52,0.0,10.770028125,1.92262e-08,0.0
64.52,0.0,10.769778124999998,1.906385e-08,0.0
64.52,0.0,10.769528125,1.9042800000000003e-08,0.0
64.52,0.0,10.769278125,1.91072e-08,0.0
64.52,0.0,10.769028124999998,1.91875e-08,0.0
64.52,0.0,10.768778125,1.913905e-08,0.0
64.52,0.0,10.768528125,1.9173e-08,0.0
64.52,0.0,10.768278125,1.90317e-08,0.0
64.52,0.0,10.768028125,1.92647e-08,0.0
64.52,0.0,10.767778125,1.84925e-08,0.0
64.52,0.0,10.767528125,1.87645e-08,0.0
64.52,0.0,10.767278125,1.86508e-08,0.0
64.52,0.0,10.767028125,1.886145e-08,0.0
64.52,0.0,10.766778125,1.89196e-08,0.0
64.52,0.0,10.766528125,1.898485e-08,0.0
64.52,0.0,10.766278125,1.88745e-08,0.0
64.52,0.0,10.766028125,1.896385e-08,0.0
64.52,0.0,10.765778125,1.868045e-08,0.0
64.52,0.0,10.765528125,1.88872e-08,0.0
64.52,0.0,10.765278125,1.82628e-08,0.0
64.52,0.0,10.765028125,1.87814e-08,0.0
64.52,0.0,10.764778125,1.88757e-08,0.0
64.52,0.0,10.764528125,1.83815e-08,0.0
64.52,0.0,10.764278125,1.88458e-08,0.0
64.52,0.0,10.764028125,1.8470550000000012e-08,0.0
64.52,0.0,10.763778125,1.85193e-08,0.0
64.52,0.0,10.763528125,1.90184e-08,0.0
64.52,0.0,10.763278125,1.85917e-08,0.0
64.52,0.0,10.763028125,1.872815e-08,0.0
64.52,0.0,10.762778125,1.855255e-08,0.0
64.52,0.0,10.762528125,1.81324e-08,0.0
64.52,0.0,10.762278125,1.85454e-08,0.0
64.52,0.0,10.762028125,1.854795e-08,0.0
64.52,0.0,10.761778125,1.83154e-08,0.0
64.52,0.0,10.761528125,1.83176e-08,0.0
64.52,0.0,10.761278125,1.84438e-08,0.0
64.52,0.0,10.761028125,1.84273e-08,0.0
64.52,0.0,10.760778125,1.83743e-08,0.0
64.52,0.0,10.760528125,1.8356e-08,0.0
64.52,0.0,10.760278125,1.83754e-08,0.0
64.52,0.0,10.760028125,1.860135e-08,0.0
64.52,0.0,10.759778125,1.763485e-08,0.0
64.52,0.0,10.759528125,1.81955e-08,0.0
64.52,0.0,10.759278125,1.83583e-08,0.0
64.52,0.0,10.759028125,1.82265e-08,0.0
64.52,0.0,10.758778125,1.846065e-08,0.0
64.52,0.0,10.758528125,1.802565e-08,0.0
64.52,0.0,10.758278125,1.78379e-08,0.0
64.52,0.0,10.758028125,1.7879700000000002e-08,0.0
64.52,0.0,10.757778125,1.81054e-08,0.0
64.52,0.0,10.757528125,1.806905e-08,0.0
64.52,0.0,10.757278125,1.80367e-08,0.0
64.52,0.0,10.757028125,1.80346e-08,0.0
64.52,0.0,10.756778125,1.78591e-08,0.0
64.52,0.0,10.756528125,1.7203e-08,0.0
64.52,0.0,10.756278125,1.7760299999999998e-08,0.0
64.52,0.0,10.756028125,1.77875e-08,0.0
64.52,0.0,10.755778125,1.77815e-08,0.0
64.52,0.0,10.755528125,1.7522350000000002e-08,0.0
64.52,0.0,10.755278125,1.75284e-08,0.0
64.52,0.0,10.755028125,1.753795e-08,0.0
64.52,0.0,10.754778125,1.761505e-08,0.0
64.52,0.0,10.754528125,1.79506e-08,0.0
64.52,0.0,10.754278125,1.77019e-08,0.0
64.52,0.0,10.754028125,1.7705300000000002e-08,0.0
64.52,0.0,10.753778125,1.7813e-08,0.0
64.52,0.0,10.753528125,1.748805e-08,0.0
64.52,0.0,10.753278125,1.7818e-08,0.0
64.52,0.0,10.753028125,1.772145e-08,0.0
64.52,0.0,10.752778125,1.77169e-08,0.0
64.52,0.0,10.752528125,1.76299e-08,0.0
64.52,0.0,10.752278125,1.7714600000000002e-08,0.0
64.52,0.0,10.752028125,1.762395e-08,0.0
64.52,0.0,10.751778125,1.78453e-08,0.0
64.52,0.0,10.751528125,1.75195e-08,0.0
64.52,0.0,10.751278125,1.76585e-08,0.0
64.52,0.0,10.751028125,1.780465e-08,0.0
64.52,0.0,10.750778125,1.75777e-08,0.0
64.52,0.0,10.750528125,1.76474e-08,0.0
64.52,0.0,10.750278125,1.7381500000000002e-08,0.0
64.52,0.0,10.750028125,1.76257e-08,0.0
64.52,0.0,10.749778125,1.7447700000000002e-08,0.0
64.52,0.0,10.749528125,1.72922e-08,0.0
64.52,0.0,10.749278125,1.7615649999999998e-08,0.0
64.52,0.0,10.749028125,1.74445e-08,0.0
64.52,0.0,10.748778125,1.7369e-08,0.0
64.52,0.0,10.748528125,1.7342950000000002e-08,0.0
64.52,0.0,10.748278125,1.72836e-08,0.0
64.52,0.0,10.748028125,1.66701e-08,0.0
64.52,0.0,10.747778125,1.690305e-08,0.0
64.52,0.0,10.747528125,1.70728e-08,0.0
64.52,0.0,10.747278125,1.7037899999999998e-08,0.0
64.52,0.0,10.747028125,1.6815899999999998e-08,0.0
64.52,0.0,10.746778125,1.6985749999999997e-08,0.0
64.52,0.0,10.746528125,1.6974e-08,0.0
64.52,0.0,10.746278125,1.655735e-08,0.0
64.52,0.0,10.746028125,1.57276e-08,0.0
64.52,0.0,10.745778125,1.66878e-08,0.0
64.52,0.0,10.745528125,1.66858e-08,0.0
64.52,0.0,10.745278125,1.6321e-08,0.0
64.52,0.0,10.745028125,1.642965e-08,0.0
64.52,0.0,10.744778125,1.6456349999999998e-08,0.0
64.52,0.0,10.744528125,1.68409e-08,0.0
64.52,0.0,10.744278125,1.64679e-08,0.0
64.52,0.0,10.744028125,1.70742e-08,0.0
64.52,0.0,10.743778125,1.642245e-08,0.0
64.52,0.0,10.743528125,1.66288e-08,0.0
64.52,0.0,10.743278125,1.6585e-08,0.0
64.52,0.0,10.743028125,1.665245e-08,0.0
64.52,0.0,10.742778125,1.6223300000000002e-08,0.0
64.52,0.0,10.742528125,1.59667e-08,0.0
64.52,0.0,10.742278125,1.63794e-08,0.0
64.52,0.0,10.742028125,1.6238350000000002e-08,0.0
64.52,0.0,10.741778125,1.64523e-08,0.0
64.52,0.0,10.741528125,1.60835e-08,0.0
64.52,0.0,10.741278125,1.681585e-08,0.0
64.52,0.0,10.741028125,1.61499e-08,0.0
64.52,0.0,10.740778125,1.61554e-08,0.0
64.52,0.0,10.740528125,1.56218e-08,0.0
64.52,0.0,10.740278125,1.63069e-08,0.0
64.52,0.0,10.740028124999998,1.5275350000000002e-08,0.0
64.52,0.0,10.739778125,1.58308e-08,0.0
64.52,0.0,10.739528125,1.61471e-08,0.0
64.52,0.0,10.739278124999998,1.6038150000000006e-08,0.0
64.52,0.0,10.739028125,1.6178799999999998e-08,0.0
64.52,0.0,10.738778125,1.61689e-08,0.0
64.52,0.0,10.738528124999998,1.59641e-08,0.0
64.52,0.0,10.738278125,1.6469449999999998e-08,0.0
64.52,0.0,10.738028125,1.610575e-08,0.0
64.52,0.0,10.737778124999998,1.604735e-08,0.0
64.52,0.0,10.737528125,1.59365e-08,0.0
64.52,0.0,10.737278125,1.640125e-08,0.0
64.52,0.0,10.737028125,1.610485e-08,0.0
64.52,0.0,10.736778125,1.593495e-08,0.0
64.52,0.0,10.736528125,1.59228e-08,0.0
64.52,0.0,10.736278125,1.609915e-08,0.0
64.52,0.0,10.736028125,1.61705e-08,0.0
64.52,0.0,10.735778125,1.58175e-08,0.0
64.52,0.0,10.735528125,1.614985e-08,0.0
64.52,0.0,10.735278125,1.6514800000000002e-08,0.0
64.52,0.0,10.735028125,1.57065e-08,0.0
64.52,0.0,10.734778125,1.5805649999999997e-08,0.0
64.52,0.0,10.734528125,1.57857e-08,0.0
64.52,0.0,10.734278125,1.54341e-08,0.0
64.52,0.0,10.734028125,1.5949099999999998e-08,0.0
64.52,0.0,10.733778125,1.52942e-08,0.0
64.52,0.0,10.733528125,1.5809900000000002e-08,0.0
64.52,0.0,10.733278125,1.550015e-08,0.0
64.52,0.0,10.733028125,1.5558900000000002e-08,0.0
64.52,0.0,10.732778125,1.51479e-08,0.0
64.52,0.0,10.732528125,1.54044e-08,0.0
64.52,0.0,10.732278125,1.5345399999999998e-08,0.0
64.52,0.0,10.732028125,1.5504450000000002e-08,0.0
64.52,0.0,10.731778125,1.55342e-08,0.0
64.52,0.0,10.731528125,1.512445e-08,0.0
64.52,0.0,10.731278125,1.5369950000000002e-08,0.0
64.52,0.0,10.731028125,1.479995e-08,0.0
64.52,0.0,10.730778125,1.5283e-08,0.0
64.52,0.0,10.730528125,1.50453e-08,0.0
64.52,0.0,10.730278125,1.5354949999999998e-08,0.0
64.52,0.0,10.730028125,1.52749e-08,0.0
64.52,0.0,10.729778125,1.48074e-08,0.0
64.52,0.0,10.729528125,1.4825100000000001e-08,0.0
64.52,0.0,10.729278125,1.47649e-08,0.0
64.52,0.0,10.729028125,1.510495e-08,0.0
64.52,0.0,10.728778125,1.51301e-08,0.0
64.52,0.0,10.728528125,1.499435e-08,0.0
64.52,0.0,10.728278125,1.513685e-08,0.0
64.52,0.0,10.728028125,1.45227e-08,0.0
64.52,0.0,10.727778125,1.53014e-08,0.0
64.52,0.0,10.727528125,1.5585999999999998e-08,0.0
64.52,0.0,10.727278125,1.54969e-08,0.0
64.52,0.0,10.727028125,1.5170649999999998e-08,0.0
64.52,0.0,10.726778125,1.51936e-08,0.0
64.52,0.0,10.726528125,1.519765e-08,0.0
64.52,0.0,10.726278125,1.512865e-08,0.0
64.52,0.0,10.726028125,1.5532850000000003e-08,0.0
64.52,0.0,10.725778125,1.47539e-08,0.0
64.52,0.0,10.725528125,1.54841e-08,0.0
64.52,0.0,10.725278125,1.51626e-08,0.0
64.52,0.0,10.725028125,1.55308e-08,0.0
64.52,0.0,10.724778125,1.541165e-08,0.0
64.52,0.0,10.724528125,1.43887e-08,0.0
64.52,0.0,10.724278125,1.55355e-08,0.0
64.52,0.0,10.724028125,1.5317950000000006e-08,0.0
64.52,0.0,10.723778125,1.53915e-08,0.0
64.52,0.0,10.723528125,1.5198750000000002e-08,0.0
64.52,0.0,10.723278125,1.50365e-08,0.0
64.52,0.0,10.723028125,1.51552e-08,0.0
64.52,0.0,10.722778125,1.547125e-08,0.0
64.52,0.0,10.722528125,1.56591e-08,0.0
64.52,0.0,10.722278125,1.53286e-08,0.0
64.52,0.0,10.722028125,1.569835e-08,0.0
64.52,0.0,10.721778125,1.55721e-08,0.0
64.52,0.0,10.721528125,1.514355e-08,0.0
64.52,0.0,10.721278125,1.4774650000000001e-08,0.0
64.52,0.0,10.721028125,1.53086e-08,0.0
64.52,0.0,10.720778125,1.51354e-08,0.0
64.52,0.0,10.720528125,1.51804e-08,0.0
64.52,0.0,10.720278125,1.53016e-08,0.0
64.52,0.0,10.720028125,1.5428450000000002e-08,0.0
64.52,0.0,10.719778125,1.49054e-08,0.0
64.52,0.0,10.719528125,1.526465e-08,0.0
64.52,0.0,10.719278125,1.51034e-08,0.0
64.52,0.0,10.719028125,1.4832200000000001e-08,0.0
64.52,0.0,10.718778125,1.5518e-08,0.0
64.52,0.0,10.718528125,1.47234e-08,0.0
64.52,0.0,10.718278125,1.5283349999999998e-08,0.0
64.52,0.0,10.718028125,1.60509e-08,0.0
64.52,0.0,10.717778125,1.533265e-08,0.0
64.52,0.0,10.717528125,1.51494e-08,0.0
64.52,0.0,10.717278125,1.54136e-08,0.0
64.52,0.0,10.717028125,1.53788e-08,0.0
64.52,0.0,10.716778125,1.56016e-08,0.0
64.52,0.0,10.716528125,1.5234e-08,0.0
64.52,0.0,10.716278125,1.5152850000000002e-08,0.0
64.52,0.0,10.716028125,1.55328e-08,0.0
64.52,0.0,10.715778125,1.55326e-08,0.0
64.52,0.0,10.715528125,1.52193e-08,0.0
64.52,0.0,10.715278125,1.52815e-08,0.0
64.52,0.0,10.715028125,1.53663e-08,0.0
64.52,0.0,10.714778125,1.5005e-08,0.0
64.52,0.0,10.714528125,1.53451e-08,0.0
64.52,0.0,10.714278125,1.50338e-08,0.0
64.52,0.0,10.714028125,1.55028e-08,0.0
