Y_dimension(mm),Button,True_depth(m),meas,button_raw
60.52,0.0,10.779528125,2.529589e-05,0.0
60.52,0.0,10.779528125,-3.588677e-06,0.0
60.52,0.0,10.779425543035538,-2.604342e-06,0.0
60.52,0.0,10.779293716122387,-1.99319e-06,0.0
60.52,0.0,10.779105140877276,-1.533219e-06,0.0
60.52,0.0,10.778864494918215,-1.179113e-06,0.0
60.52,0.0,10.778595113498262,-9.056384e-07,0.0
60.52,0.0,10.778305566575952,-7.030903e-07,0.0
60.52,0.0,10.777969193580024,-5.277398e-07,0.0
60.52,0.0,10.77759259150912,-3.764289e-07,0.0
60.52,0.0,10.777147763244455,-2.880843e-07,0.0
60.52,0.0,10.776728227728434,-2.207671e-07,0.0
60.52,0.0,10.776298661097938,-1.577864e-07,0.0
60.52,0.0,10.775897012154902,-1.159933e-07,0.0
60.52,0.0,10.775495359959468,-7.935159e-08,0.0
60.52,0.0,10.775087280411327,-5.424954e-08,0.0
60.52,0.0,10.774642222742123,-2.773595e-08,0.0
60.52,0.0,10.77421639026695,-6.402843e-09,0.0
60.52,0.0,10.773825289941088,1.386798e-08,0.0
60.52,0.0,10.773407812009332,2.089655e-08,0.0
60.52,0.0,10.77298770991278,2.293382e-08,0.0
60.52,0.0,10.772581144971069,2.839079e-08,0.0
60.52,0.0,10.772163432891285,3.211608e-08,0.0
60.52,0.0,10.771717659460604,4.084723e-08,0.0
60.52,0.0,10.771308793982536,4.723552e-08,0.0
60.52,0.0,10.77090146425146,4.464528e-08,0.0
60.52,0.0,10.770470341701326,4.429603e-08,0.0
60.52,0.0,10.770052546299214,4.572212e-08,0.0
60.52,0.0,10.769654829989666,4.67553e-08,0.0
60.52,0.0,10.76921072322095,5.082984e-08,0.0
60.52,0.0,10.768808133250047,5.381298e-08,0.0
60.52,0.0,10.768374851480871,5.180482e-08,0.0
60.52,0.0,10.767974606852745,4.749745e-08,0.0
60.52,0.0,10.767538034538148,4.768663e-08,0.0
60.52,0.0,10.76712422288504,5.107722e-08,0.0
60.52,0.0,10.76669733706012,5.12955e-08,0.0
60.52,0.0,10.76627029340071,5.538459e-08,0.0
60.52,0.0,10.765855626843637,4.981121e-08,0.0
60.52,0.0,10.765429754719282,4.946196e-08,0.0
60.52,0.0,10.76503052421947,5.100446e-08,0.0
60.52,0.0,10.764621227038464,4.647882e-08,0.0
60.52,0.0,10.764200286550018,5.180482e-08,0.0
60.52,0.0,10.76376988498583,4.735193e-08,0.0
60.52,0.0,10.763369072539977,4.676986e-08,0.0
60.52,0.0,10.762968626818909,4.349567e-08,0.0
60.52,0.0,10.762531882953189,4.353933e-08,0.0
60.52,0.0,10.762117545640828,3.984314e-08,0.0
60.52,0.0,10.761707178561432,3.60742e-08,0.0
60.52,0.0,10.761301178756185,3.543391e-08,0.0
60.52,0.0,10.760863665173188,3.793684e-08,0.0
60.52,0.0,10.760461830395831,4.06144e-08,0.0
60.52,0.0,10.76005685439723,4.592584e-08,0.0
60.52,0.0,10.759623025721194,4.746835e-08,0.0
60.52,0.0,10.759198457022013,4.818139e-08,0.0
60.52,0.0,10.758755240480289,4.729372e-08,0.0
60.52,0.0,10.758350551859513,4.701724e-08,0.0
60.52,0.0,10.7579501927771,4.793401e-08,0.0
60.52,0.0,10.75752166273278,4.7512e-08,0.0
60.52,0.0,10.757109921999312,5.043694e-08,0.0
60.52,0.0,10.756671003247977,4.55766e-08,0.0
60.52,0.0,10.756258111018555,4.388858e-08,0.0
60.52,0.0,10.755819602046564,4.435424e-08,0.0
60.52,0.0,10.755423680394031,4.525646e-08,0.0
60.52,0.0,10.75502537374444,4.438334e-08,0.0
60.52,0.0,10.754588380823908,4.553294e-08,0.0
60.52,0.0,10.754167303272457,4.660978e-08,0.0
60.52,0.0,10.753758674291491,4.33065e-08,0.0
60.52,0.0,10.753357707968563,4.706089e-08,0.0
60.52,0.0,10.752920080989014,4.803587e-08,0.0
60.52,0.0,10.752522947162047,4.800677e-08,0.0
60.52,0.0,10.752110134342796,4.556205e-08,0.0
60.52,0.0,10.75168359534054,4.550384e-08,0.0
60.52,0.0,10.751249473670445,4.647882e-08,0.0
60.52,0.0,10.75081812673692,4.896719e-08,0.0
60.52,0.0,10.750415684289123,5.036418e-08,0.0
60.52,0.0,10.75001247144897,4.514004e-08,0.0
60.52,0.0,10.749577752666106,4.436879e-08,0.0
60.52,0.0,10.749153075721,4.394678e-08,0.0
60.52,0.0,10.748744780350716,4.407775e-08,0.0
