Y_dimension(mm),Button,True_depth(m),meas
67.608,0.0,24.154470312500003,2.407067e-05
67.608,0.0,24.154470312500003,-2.700501e-06
67.608,0.0,24.154470312500003,-1.820721e-06
67.608,0.0,24.15436320179198,-1.254273e-06
67.608,0.0,24.15418956983648,-8.216593e-07
67.608,0.0,24.15395420399395,-4.902686e-07
67.608,0.0,24.15369446466253,-3.162277e-07
67.608,0.0,24.153386115720785,-1.719454e-07
67.608,0.0,24.153018222766182,1.130247e-07
67.608,0.0,24.152656511588546,3.12677e-07
67.608,0.0,24.15226103384505,4.141039e-07
67.608,0.0,24.151822436023718,5.12402e-07
67.608,0.0,24.151394039325883,6.504997e-07
67.608,0.0,24.15100706520215,7.23172e-07
67.608,0.0,24.15060185213051,7.529597e-07
67.608,0.0,24.150179023769702,7.781782e-07
67.608,0.0,24.14975056465386,7.98158e-07
67.608,0.0,24.149342606820877,7.919589e-07
67.608,0.0,24.148931786247875,8.269126e-07
67.608,0.0,24.148507954345458,8.08257e-07
67.608,0.0,24.148084018361132,8.027855e-07
67.608,0.0,24.1476561909375,8.528878e-07
67.608,0.0,24.147275807422425,9.570504e-07
67.608,0.0,24.146841134192528,9.592768e-07
67.608,0.0,24.146408250698517,9.053474e-07
67.608,0.0,24.145986126886854,9.409705e-07
67.608,0.0,24.145554002121823,9.523646e-07
67.608,0.0,24.145145467018263,9.804498e-07
67.608,0.0,24.144723757031997,9.118812e-07
67.608,0.0,24.144312154361785,8.825009e-07
67.608,0.0,24.143868617546975,8.856005e-07
67.608,0.0,24.14344647965475,9.183568e-07
67.608,0.0,24.143038092885753,9.646319e-07
67.608,0.0,24.142633624967598,1.012013e-06
67.608,0.0,24.142203491343707,9.719515e-07
67.608,0.0,24.14179514640327,9.597425e-07
67.608,0.0,24.14137899683905,9.540527e-07
67.608,0.0,24.14097668387283,9.704381e-07
67.608,0.0,24.14054510753106,9.799696e-07
67.608,0.0,24.140149086770098,9.567302e-07
67.608,0.0,24.139714335713034,9.726791e-07
67.608,0.0,24.139306752509682,9.710493e-07
67.608,0.0,24.13887222017863,9.166979e-07
67.608,0.0,24.138450097892658,9.441574e-07
67.608,0.0,24.138043598903486,9.772484e-07
67.608,0.0,24.137636015703176,9.724317e-07
67.608,0.0,24.137203142349843,9.649666e-07
67.608,0.0,24.136797046323423,9.51055e-07
67.608,0.0,24.136376067410588,9.835203e-07
67.608,0.0,24.135945876006367,9.867945e-07
67.608,0.0,24.135508162706557,8.560601e-07
67.608,0.0,24.135087734200646,5.365e-07
67.608,0.0,24.13470365837518,6.232585e-07
67.608,0.0,24.13426318418848,4.541653e-07
67.608,0.0,24.133839379992445,4.500907e-07
67.608,0.0,24.13341545086128,6.415794e-07
67.608,0.0,24.13301165278916,9.30886e-07
67.608,0.0,24.132582840990864,1.022112e-06
67.608,0.0,24.13218708409873,1.047229e-06
67.608,0.0,24.131755813628786,1.09851e-06
67.608,0.0,24.131344107146308,1.08777e-06
67.608,0.0,24.130934631803665,1.062843e-06
67.608,0.0,24.130533191321874,1.079432e-06
67.608,0.0,24.130102968873153,1.061169e-06
67.608,0.0,24.129707946844583,9.780197e-07
67.608,0.0,24.129276356151077,9.063515e-07
67.608,0.0,24.128860001696783,8.020143e-07
67.608,0.0,24.12844846053918,7.401832e-07
67.608,0.0,24.128013097891646,8.428324e-07
67.608,0.0,24.127612733054644,9.728974e-07
67.608,0.0,24.12718989941122,9.751529e-07
67.608,0.0,24.126759056887963,1.013439e-06
67.608,0.0,24.126346665379245,9.961659e-07
67.608,0.0,24.125903221747578,1.021079e-06
67.608,0.0,24.125495972350198,9.816868e-07
67.608,0.0,24.125062638625828,9.871583e-07
67.608,0.0,24.124668188373935,1.056411e-06
67.608,0.0,24.12421844834506,1.056105e-06
67.608,0.0,24.123825164356305,1.043984e-06
67.608,0.0,24.12340741384529,1.083768e-06
67.608,0.0,24.12297470361799,1.081266e-06
67.608,0.0,24.122555449084878,1.071618e-06
67.608,0.0,24.12215100778047,1.068736e-06
67.608,0.0,24.12174864728328,1.071821e-06
67.608,0.0,24.121323075444575,1.077162e-06
67.608,0.0,24.12090161798335,1.036198e-06
67.608,0.0,24.1204945297742,1.031003e-06
67.608,0.0,24.120075693701132,1.023465e-06
67.608,0.0,24.11966430677482,1.062464e-06
67.608,0.0,24.11921527909986,1.054199e-06
67.608,0.0,24.118822860836158,1.057284e-06
67.608,0.0,24.11840249913984,9.888608e-07
67.608,0.0,24.117968700169957,9.490905e-07
67.608,0.0,24.117575066029982,1.001565e-06
67.608,0.0,24.117139336146625,1.027802e-06
67.608,0.0,24.116744288514987,1.042135e-06
67.608,0.0,24.116300772565054,1.067398e-06
67.608,0.0,24.115879769928913,1.080727e-06
67.608,0.0,24.115450115678144,1.066583e-06
67.608,0.0,24.115022572291235,1.104447e-06
67.608,0.0,24.114618134303477,1.094202e-06
67.608,0.0,24.114223301167403,1.058113e-06
67.608,0.0,24.11377839894834,1.09672e-06
67.608,0.0,24.11335291621639,1.089793e-06
67.608,0.0,24.112931350095153,1.092427e-06
67.608,0.0,24.11252714671532,1.076682e-06
67.608,0.0,24.112113669522817,1.027976e-06
67.608,0.0,24.11170023595447,1.094129e-06
67.608,0.0,24.111295987762094,1.048145e-06
67.608,0.0,24.110873133769495,1.097884e-06
67.608,0.0,24.110444694978394,1.104505e-06
67.608,0.0,24.11004774327277,1.063716e-06
67.608,0.0,24.109639341091942,1.078442e-06
67.608,0.0,24.10922258941871,1.064356e-06
67.608,0.0,24.10878973456294,1.042892e-06
67.608,0.0,24.10836077979524,1.077628e-06
67.608,0.0,24.107959819372173,1.03013e-06
67.608,0.0,24.107521490707654,9.435171e-07
67.608,0.0,24.1071278208767,8.17221e-07
67.608,0.0,24.10669519718384,7.830531e-07
67.608,0.0,24.106289067009357,8.290372e-07
67.608,0.0,24.10584581257262,8.255593e-07
67.608,0.0,24.105435762662164,9.030628e-07
67.608,0.0,24.104999770705675,9.389769e-07
67.608,0.0,24.104602972761736,9.226351e-07
67.608,0.0,24.10416962367571,9.569194e-07
67.608,0.0,24.103767027593918,9.187061e-07
67.608,0.0,24.103319870528946,9.089854e-07
67.608,0.0,24.1029170235476,9.046489e-07
67.608,0.0,24.102477532526603,9.006035e-07
67.608,0.0,24.102082811385806,9.031937e-07
67.608,0.0,24.10168687094628,8.845091e-07
67.608,0.0,24.101251759360522,8.606876e-07
67.608,0.0,24.100840550891267,8.471688e-07
67.608,0.0,24.100426175780015,8.901989e-07
67.608,0.0,24.099995217423366,8.956849e-07
67.608,0.0,24.09960158778414,8.022325e-07
67.608,0.0,24.099168075479206,8.071365e-07
67.608,0.0,24.098767396512176,7.723138e-07
67.608,0.0,24.09833321696512,8.571078e-07
67.608,0.0,24.097920215968028,8.514326e-07
67.608,0.0,24.097515009791305,9.073265e-07
67.608,0.0,24.097079674263238,9.330834e-07
67.608,0.0,24.09668092502604,9.371724e-07
67.608,0.0,24.096247258325004,9.507203e-07
67.608,0.0,24.095816045343145,9.504874e-07
67.608,0.0,24.095393686756996,9.250507e-07
67.608,0.0,24.09498452505039,9.326614e-07
67.608,0.0,24.094547250606198,9.300566e-07
67.608,0.0,24.094151225498784,9.669457e-07
67.608,0.0,24.093716438711617,9.745709e-07
67.608,0.0,24.093309670763254,9.572395e-07
67.608,0.0,24.09286314335486,9.061623e-07
67.608,0.0,24.092462358216938,8.803472e-07
67.608,0.0,24.09204084251999,8.136267e-07
67.608,0.0,24.09163539953909,8.397328e-07
67.608,0.0,24.091222633390036,8.300703e-07
67.608,0.0,24.09080817752165,8.438801e-07
67.608,0.0,24.090392253422383,8.152128e-07
67.608,0.0,24.08998624044215,8.247589e-07
67.608,0.0,24.08955459710737,7.245399e-07
67.608,0.0,24.08916229802579,7.456401e-07
67.608,0.0,24.088727116284023,8.680508e-07
67.608,0.0,24.08831501272537,8.686911e-07
67.608,0.0,24.08789901771983,9.072974e-07
67.608,0.0,24.08746748219683,8.530333e-07
67.608,0.0,24.087047445981725,9.139912e-07
67.608,0.0,24.08664205908984,8.998177e-07
67.608,0.0,24.08619146168949,8.037314e-07
67.608,0.0,24.085804733205826,6.256596e-07
67.608,0.0,24.08536527844355,6.05869e-07
67.608,0.0,24.08492633390481,7.706403e-07
67.608,0.0,24.08452649318429,8.910283e-07
67.608,0.0,24.084116522093616,8.937641e-07
67.608,0.0,24.083702468720233,8.623028e-07
67.608,0.0,24.08326812689424,8.321222e-07
67.608,0.0,24.08285049209097,8.271454e-07
67.608,0.0,24.08243560833316,8.763309e-07
67.608,0.0,24.0820040731366,9.271607e-07
67.608,0.0,24.081610140199544,1.010485e-06
67.608,0.0,24.081214047394113,1.034583e-06
67.608,0.0,24.080779695066557,1.009423e-06
67.608,0.0,24.08035654506801,1.017455e-06
67.608,0.0,24.079949228149697,1.00024e-06
67.608,0.0,24.0795152138842,1.012057e-06
67.608,0.0,24.07912184191876,1.032633e-06
67.608,0.0,24.078688215609148,9.966607e-07
67.608,0.0,24.078280298087048,9.6843e-07
67.608,0.0,24.077861383428118,8.860079e-07
67.608,0.0,24.07743413285213,9.03543e-07
67.608,0.0,24.07699873375233,9.040668e-07
67.608,0.0,24.07660382178917,1.024295e-06
67.608,0.0,24.07617111523037,1.040884e-06
67.608,0.0,24.07577130713312,1.059059e-06
67.608,0.0,24.07532935325211,9.864016e-07
67.608,0.0,24.074914981982918,9.487558e-07
67.608,0.0,24.074478953792802,9.579235e-07
67.608,0.0,24.074061578473042,9.737269e-07
67.608,0.0,24.073653270718296,9.750656e-07
67.608,0.0,24.073253069432678,9.735959e-07
67.608,0.0,24.072811523784686,9.840587e-07
67.608,0.0,24.072401689149668,9.639189e-07
67.608,0.0,24.071998499734757,9.983341e-07
67.608,0.0,24.071566744775517,9.504874e-07
67.608,0.0,24.071172544741213,8.879724e-07
67.608,0.0,24.07074184088168,7.92541e-07
67.608,0.0,24.07032804226832,7.333147e-07
67.608,0.0,24.069917289403815,5.91026e-07
67.608,0.0,24.069477684907415,4.977483e-07
67.608,0.0,24.06908189826726,5.158799e-07
67.608,0.0,24.068682097274845,6.398477e-07
67.608,0.0,24.06825419269015,6.640621e-07
67.608,0.0,24.0678414625301,7.206982e-07
67.608,0.0,24.067401104158336,6.722403e-07
67.608,0.0,24.06699820794923,6.715127e-07
67.608,0.0,24.066564146361994,6.9628e-07
67.608,0.0,24.066159773722372,7.172348e-07
67.608,0.0,24.065734241123092,7.273629e-07
67.608,0.0,24.06529503566226,6.941991e-07
67.608,0.0,24.064874298481772,6.321789e-07
67.608,0.0,24.06447081589336,5.94795e-07
67.608,0.0,24.064037016793012,6.69912e-07
67.608,0.0,24.06363346259179,7.560448e-07
67.608,0.0,24.063212685539824,7.884955e-07
67.608,0.0,24.062805387396438,7.561903e-07
67.608,0.0,24.062363986008123,7.131021e-07
67.608,0.0,24.061952517145706,6.604969e-07
67.608,0.0,24.061558066346215,7.039926e-07
67.608,0.0,24.061123192323635,7.141498e-07
67.608,0.0,24.060731942915645,7.346243e-07
67.608,0.0,24.060295941904855,7.927738e-07
67.608,0.0,24.059878527360855,7.740891e-07
67.608,0.0,24.0594736281803,8.130592e-07
67.608,0.0,24.05903991311317,7.947529e-07
67.608,0.0,24.058647253724992,7.837225e-07
67.608,0.0,24.05821476152204,7.607014e-07
67.608,0.0,24.05779552175844,7.528433e-07
67.608,0.0,24.057371748097996,7.681228e-07
67.608,0.0,24.05695119779475,7.38597e-07
67.608,0.0,24.05653574622119,7.228809e-07
67.608,0.0,24.056125360086405,7.024209e-07
67.608,0.0,24.055709348367827,6.62505e-07
67.608,0.0,24.055276809234474,5.679467e-07
67.608,0.0,24.054854823815006,5.904585e-07
67.608,0.0,24.05441733460121,5.650218e-07
67.608,0.0,24.054012381703323,5.38188e-07
67.608,0.0,24.053579339280265,6.289629e-07
67.608,0.0,24.05316884740467,7.203926e-07
67.608,0.0,24.052772789227834,6.788468e-07
67.608,0.0,24.052347502645638,7.22328e-07
67.608,0.0,24.05192056020503,7.111084e-07
67.608,0.0,24.051516222689703,6.499322e-07
67.608,0.0,24.05109964317144,6.891205e-07
67.608,0.0,24.050683392768477,6.837072e-07
67.608,0.0,24.050280427006644,7.560157e-07
67.608,0.0,24.04986240618314,8.176576e-07
67.608,0.0,24.04943615201356,8.727948e-07
67.608,0.0,24.049037753013195,8.421193e-07
67.608,0.0,24.04860395511876,8.454372e-07
67.608,0.0,24.048210805060403,8.20728e-07
67.608,0.0,24.0477798292307,7.666531e-07
67.608,0.0,24.047347765648905,6.947084e-07
67.608,0.0,24.046922398057127,7.357157e-07
67.608,0.0,24.046520606412344,7.546041e-07
67.608,0.0,24.04608597344945,7.321942e-07
67.608,0.0,24.045649998347137,6.577611e-07
67.608,0.0,24.045250497728425,7.068447e-07
67.608,0.0,24.04482509048325,7.002818e-07
67.608,0.0,24.044404890283385,6.742775e-07
67.608,0.0,24.043960433166195,7.459166e-07
67.608,0.0,24.043565194090654,7.428607e-07
67.608,0.0,24.04315715176742,6.944756e-07
67.608,0.0,24.042730879348166,6.66987e-07
67.608,0.0,24.0423232877017,6.845949e-07
67.608,0.0,24.041905211156184,7.438066e-07
67.608,0.0,24.041471076384486,8.037314e-07
67.608,0.0,24.041076729153584,7.518101e-07
67.608,0.0,24.04067548962584,7.669005e-07
67.608,0.0,24.040242992373702,7.144554e-07
67.608,0.0,24.039827936213282,6.534101e-07
67.608,0.0,24.039392786352444,6.538176e-07
67.608,0.0,24.03898742482123,6.698974e-07
67.608,0.0,24.038567540565836,6.731716e-07
67.608,0.0,24.038157455134805,6.90241e-07
67.608,0.0,24.037755378105043,6.676419e-07
67.608,0.0,24.037313406268503,6.262126e-07
67.608,0.0,24.036897422150027,6.756018e-07
67.608,0.0,24.03646533364587,6.756745e-07
67.608,0.0,24.036043255381202,6.882037e-07
67.608,0.0,24.03564009592173,7.099588e-07
67.608,0.0,24.035206259661898,6.760238e-07
67.608,0.0,24.03479947073322,6.752234e-07
67.608,0.0,24.034378826538873,7.271738e-07
67.608,0.0,24.033945097858023,7.528724e-07
67.608,0.0,24.033513066765845,7.172202e-07
67.608,0.0,24.033116123867476,7.002527e-07
67.608,0.0,24.032720864574845,6.625633e-07
67.608,0.0,24.0322779186499,6.784103e-07
67.608,0.0,24.031858786697743,6.962655e-07
67.608,0.0,24.031456933911393,7.341005e-07
67.608,0.0,24.03101969399153,7.635826e-07
67.608,0.0,24.03062940764306,7.182971e-07
67.608,0.0,24.030234002922892,6.989721e-07
67.608,0.0,24.029790851774326,7.284252e-07
67.608,0.0,24.02938262281663,7.051422e-07
67.608,0.0,24.028972208251492,6.240734e-07
67.608,0.0,24.02854016757899,6.394839e-07
67.608,0.0,24.028144991164464,6.304763e-07
67.608,0.0,24.02770990846733,7.298804e-07
67.608,0.0,24.02730330785406,6.953633e-07
67.608,0.0,24.026858722835538,7.240305e-07
67.608,0.0,24.026442759974547,6.979681e-07
67.608,0.0,24.026010683655596,7.498456e-07
67.608,0.0,24.02561547849432,7.289054e-07
67.608,0.0,24.025182697638137,6.915943e-07
67.608,0.0,24.024776817858115,5.601905e-07
67.608,0.0,24.024328758229004,4.742615e-07
67.608,0.0,24.023926071418067,4.804897e-07
67.608,0.0,24.023465216919792,5.280745e-07
67.608,0.0,24.023092183886437,6.061309e-07
67.608,0.0,24.02269468184247,5.938928e-07
67.608,0.0,24.022258065901212,6.436458e-07
67.608,0.0,24.021851087213797,7.077906e-07
67.608,0.0,24.02140872510171,7.14761e-07
67.608,0.0,24.02100232653643,6.781775e-07
67.608,0.0,24.020607378174077,6.256887e-07
67.608,0.0,24.0201762648666,6.547634e-07
67.608,0.0,24.019770917814817,6.750342e-07
67.608,0.0,24.01934481974931,6.223272e-07
67.608,0.0,24.018920768435684,5.472393e-07
67.608,0.0,24.01851767040885,6.054761e-07
67.608,0.0,24.018085854261553,6.409828e-07
67.608,0.0,24.01768877171455,6.489136e-07
67.608,0.0,24.01725586045674,6.435585e-07
67.608,0.0,24.01684098298435,6.362534e-07
67.608,0.0,24.016403584773386,7.072231e-07
67.608,0.0,24.015998306582297,6.368064e-07
67.608,0.0,24.015574572089665,5.313777e-07
67.608,0.0,24.015145280492042,3.313035e-07
67.608,0.0,24.01474666204986,3.072637e-07
67.608,0.0,24.014305595866386,3.105961e-07
67.608,0.0,24.013881836780303,2.313172e-07
67.608,0.0,24.013448604855267,2.818269e-07
67.608,0.0,24.01305396303635,4.104077e-07
67.608,0.0,24.012644485042077,4.685717e-07
67.608,0.0,24.012224781359482,4.818721e-07
67.608,0.0,24.01181770519425,5.341863e-07
67.608,0.0,24.01137735556984,5.257025e-07
67.608,0.0,24.01096902800663,4.791946e-07
67.608,0.0,24.01055465007032,4.624599e-07
67.608,0.0,24.010145203159013,4.858593e-07
67.608,0.0,24.009725204107703,5.207257e-07
67.608,0.0,24.00929314020251,5.417533e-07
67.608,0.0,24.008883913057772,4.941539e-07
67.608,0.0,24.00847612222623,4.996109e-07
67.608,0.0,24.0080431340128,5.156617e-07
67.608,0.0,24.00763598365143,5.259935e-07
67.608,0.0,24.007210473023996,5.350885e-07
67.608,0.0,24.006788716515594,5.243928e-07
67.608,0.0,24.006374086835734,5.256152e-07
67.608,0.0,24.005941869548128,5.295733e-07
67.608,0.0,24.005518437463056,5.530455e-07
67.608,0.0,24.005088554933895,5.783222e-07
67.608,0.0,24.004688471551578,4.801113e-07
67.608,0.0,24.004263372558853,5.871116e-07
67.608,0.0,24.00385012713153,5.902111e-07
67.608,0.0,24.003437530170746,6.072805e-07
67.608,0.0,24.003008150583586,6.589253e-07
67.608,0.0,24.00257981184157,5.956244e-07
67.608,0.0,24.002178712047087,5.552283e-07
67.608,0.0,24.00177262056156,5.524926e-07
67.608,0.0,24.001332922395214,5.958718e-07
67.608,0.0,24.000913662164233,6.519549e-07
67.608,0.0,24.000506348580032,6.060291e-07
67.608,0.0,24.0001088359283,5.591282e-07
67.608,0.0,23.999681073604584,5.070178e-07
67.608,0.0,23.999275763889255,5.61573e-07
67.608,0.0,23.998851195450687,6.140035e-07
67.608,0.0,23.99842492456965,6.669434e-07
67.608,0.0,23.998019606270937,6.836199e-07
67.608,0.0,23.997594581906444,6.335613e-07
67.608,0.0,23.997168348198066,6.619084e-07
67.608,0.0,23.996764592585166,6.978808e-07
67.608,0.0,23.99634392978395,6.886112e-07
67.608,0.0,23.99591490328172,6.811606e-07
67.608,0.0,23.995478026077247,6.81277e-07
67.608,0.0,23.995062104715604,5.668262e-07
67.608,0.0,23.994649892618632,6.195623e-07
67.608,0.0,23.99425607415941,6.66274e-07
67.608,0.0,23.99381727880143,7.42235e-07
67.608,0.0,23.993407308053083,7.482886e-07
67.608,0.0,23.99297161530105,7.040217e-07
67.608,0.0,23.99256909387029,7.331109e-07
67.608,0.0,23.99215740489691,7.232447e-07
67.608,0.0,23.991716787848922,7.25835e-07
67.608,0.0,23.991335339069018,7.430936e-07
67.608,0.0,23.99091859849588,7.278431e-07
67.608,0.0,23.990484300842905,7.313938e-07
67.608,0.0,23.990085993373715,7.578346e-07
67.608,0.0,23.98968965795029,7.146737e-07
67.608,0.0,23.98926098942414,7.136259e-07
67.608,0.0,23.988838574963754,7.065246e-07
67.608,0.0,23.98842347545675,6.343762e-07
67.608,0.0,23.987991019279804,6.390619e-07
67.608,0.0,23.987600836386076,6.223272e-07
67.608,0.0,23.98716583908401,6.920309e-07
67.608,0.0,23.98674027754141,7.250201e-07
67.608,0.0,23.98631339091069,7.268682e-07
67.608,0.0,23.985900601266344,7.388298e-07
67.608,0.0,23.985455205792377,7.366034e-07
67.608,0.0,23.985047278477843,7.833733e-07
67.608,0.0,23.984650507315482,7.769559e-07
