Y_dimension(mm),Button,True_depth(m),meas
70.097,0.0,25.414703125000003,1.243755e-08
70.097,0.0,25.414453125,1.25454e-08
70.097,0.0,25.414203125,1.289125e-08
70.097,0.0,25.413953125000003,1.28251e-08
70.097,0.0,25.413703125,1.28406e-08
70.097,0.0,25.413453125,1.31761e-08
70.097,0.0,25.413203125000003,1.32155e-08
70.097,0.0,25.412953125,1.33678e-08
70.097,0.0,25.412703125,1.33482e-08
70.097,0.0,25.412453125000003,1.35978e-08
70.097,0.0,25.412203125,1.332415e-08
70.097,0.0,25.411953125,1.34168e-08
70.097,0.0,25.411703125000003,1.33422e-08
70.097,0.0,25.411453125,1.32501e-08
70.097,0.0,25.411203125,1.331905e-08
70.097,0.0,25.410953125000002,1.370445e-08
70.097,0.0,25.410703125,1.33051e-08
70.097,0.0,25.410453125,1.35211e-08
70.097,0.0,25.410203125000002,1.35662e-08
70.097,0.0,25.409953125,1.36893e-08
70.097,0.0,25.409703125,1.39534e-08
70.097,0.0,25.409453125000002,1.38348e-08
70.097,0.0,25.409203125,1.38163e-08
70.097,0.0,25.408953125,1.36809e-08
70.097,0.0,25.408703125000002,1.36926e-08
70.097,0.0,25.408453125,1.3786e-08
70.097,0.0,25.408203125,1.391285e-08
70.097,0.0,25.407953125000002,1.383015e-08
70.097,0.0,25.407703125,1.36151e-08
70.097,0.0,25.407453125,1.366645e-08
70.097,0.0,25.407203125000002,1.3481e-08
70.097,0.0,25.406953125,1.365765e-08
70.097,0.0,25.406703125,1.36019e-08
70.097,0.0,25.406453125000002,1.3821e-08
70.097,0.0,25.406203125,1.3687e-08
70.097,0.0,25.405953125,1.352535e-08
70.097,0.0,25.405703125000002,1.34136e-08
70.097,0.0,25.405453125,1.364585e-08
70.097,0.0,25.405203125,1.35444e-08
70.097,0.0,25.404953125000002,1.351535e-08
70.097,0.0,25.404703125,1.3461e-08
70.097,0.0,25.404453125,1.3316e-08
70.097,0.0,25.404203125000002,1.33759e-08
70.097,0.0,25.403953125,1.33559e-08
70.097,0.0,25.403703125,1.37524e-08
70.097,0.0,25.403453125000002,1.3502250000000001e-08
70.097,0.0,25.403203125,1.34311e-08
70.097,0.0,25.402953125,1.34052e-08
70.097,0.0,25.402703125000002,1.32434e-08
70.097,0.0,25.402453125,1.337005e-08
70.097,0.0,25.402203125,1.324975e-08
70.097,0.0,25.401953125000002,1.3169699999999998e-08
70.097,0.0,25.401703125,1.32469e-08
70.097,0.0,25.401453125,1.30795e-08
70.097,0.0,25.401203125000002,1.34339e-08
70.097,0.0,25.400953125,1.313675e-08
70.097,0.0,25.400703125,1.29791e-08
70.097,0.0,25.400453125000002,1.306125e-08
70.097,0.0,25.400203125,1.298815e-08
70.097,0.0,25.399953125,1.30901e-08
70.097,0.0,25.399703125000002,1.30116e-08
70.097,0.0,25.399453125,1.29864e-08
70.097,0.0,25.399203125,1.2730050000000002e-08
70.097,0.0,25.398953125000002,1.279675e-08
70.097,0.0,25.398703125,1.27745e-08
70.097,0.0,25.398453125,1.29006e-08
70.097,0.0,25.398203125000002,1.284175e-08
70.097,0.0,25.397953125,1.26781e-08
70.097,0.0,25.397703125,1.26415e-08
70.097,0.0,25.397453125000002,1.2737e-08
70.097,0.0,25.397203125,1.27178e-08
70.097,0.0,25.396953125,1.264355e-08
70.097,0.0,25.396703125000002,1.26112e-08
70.097,0.0,25.396453125,1.2808850000000001e-08
70.097,0.0,25.396203125,1.29237e-08
70.097,0.0,25.395953125000002,1.27756e-08
70.097,0.0,25.395703125,1.24189e-08
70.097,0.0,25.395453125,1.26012e-08
70.097,0.0,25.395203125000002,1.25544e-08
70.097,0.0,25.394953125,1.25692e-08
70.097,0.0,25.394703125,1.26493e-08
70.097,0.0,25.394453125000002,1.2609e-08
70.097,0.0,25.394203125,1.23924e-08
70.097,0.0,25.393953125,1.24522e-08
70.097,0.0,25.393703125000002,1.24391e-08
70.097,0.0,25.393453125,1.24845e-08
70.097,0.0,25.393203125,1.23913e-08
70.097,0.0,25.392953125000002,1.226575e-08
70.097,0.0,25.392703125,1.21677e-08
70.097,0.0,25.392453125,1.237445e-08
70.097,0.0,25.392203125,1.2318e-08
70.097,0.0,25.391953125,1.2322e-08
70.097,0.0,25.391703125,1.25506e-08
70.097,0.0,25.391453125,1.2182700000000001e-08
70.097,0.0,25.391203125,1.22288e-08
