Y_dimension(mm),Button,True_depth(m),meas
79.555,1.0,10.205703125,2.75671e-05
79.555,1.0,10.205703125,5.694164e-07
79.555,1.0,10.205703125,1.608438e-06
79.555,1.0,10.205546355054349,2.25236e-06
79.555,1.0,10.205360422785516,2.723755e-06
79.555,1.0,10.20513071254601,3.082867e-06
79.555,1.0,10.20487087069144,3.330279e-06
79.555,1.0,10.204593349277914,3.137349e-06
79.555,1.0,10.204255458439363,3.189663e-06
79.555,1.0,10.203851598969415,3.307985e-06
79.555,1.0,10.203439510947966,3.96432e-06
79.555,1.0,10.203034630795965,4.594185e-06
79.555,1.0,10.20262758812847,4.449364e-06
79.555,1.0,10.202218718015073,4.599919e-06
79.555,1.0,10.201798035680492,4.958405e-06
79.555,1.0,10.201380317149644,4.663903e-06
79.555,1.0,10.20093348125293,4.313988e-06
79.555,1.0,10.200531396430879,4.033005e-06
79.555,1.0,10.20012995334582,4.287067e-06
79.555,1.0,10.199726773328557,4.004483e-06
79.555,1.0,10.19929085495275,3.142355e-06
79.555,1.0,10.198864101511713,2.015557e-06
79.555,1.0,10.198419092989871,2.878165e-06
79.555,1.0,10.198015891427525,2.942004e-06
79.555,1.0,10.197611928953307,3.171153e-06
79.555,1.0,10.197188920306145,3.867041e-06
79.555,1.0,10.196769603941513,4.621033e-06
79.555,1.0,10.196333918573597,4.44692e-06
79.555,1.0,10.195926819333268,4.278496e-06
79.555,1.0,10.195494413316391,4.240908e-06
79.555,1.0,10.195092036703702,4.239351e-06
79.555,1.0,10.194682352653933,4.157235e-06
79.555,1.0,10.194241245443695,4.04258e-06
79.555,1.0,10.193840228543927,3.614259e-06
79.555,1.0,10.193410094961969,3.238718e-06
79.555,1.0,10.193010345241504,4.141053e-06
79.555,1.0,10.192619329646561,4.400106e-06
79.555,1.0,10.192187416215955,3.8828e-06
79.555,1.0,10.19176916230377,3.510402e-06
79.555,1.0,10.191342816052284,2.821092e-06
79.555,1.0,10.190911802912279,2.635163e-06
79.555,1.0,10.190518455243614,3.206311e-06
79.555,1.0,10.19009223166127,3.035384e-06
79.555,1.0,10.18967072509312,3.135996e-06
79.555,1.0,10.18926527114359,3.590219e-06
79.555,1.0,10.18883311276691,3.704728e-06
79.555,1.0,10.18839575288414,3.741661e-06
79.555,1.0,10.187988485810724,3.692752e-06
79.555,1.0,10.187555356951478,3.439316e-06
79.555,1.0,10.187143556848797,2.960194e-06
79.555,1.0,10.1867439840164,3.144276e-06
79.555,1.0,10.18631259598898,3.698529e-06
79.555,1.0,10.18589686192385,4.584072e-06
79.555,1.0,10.185451652453787,4.928632e-06
79.555,1.0,10.185018216472672,4.325222e-06
79.555,1.0,10.184636988442106,3.483277e-06
79.555,1.0,10.184205188264581,3.033099e-06
79.555,1.0,10.183798966452397,2.50405e-06
79.555,1.0,10.183392066551034,2.058208e-06
79.555,1.0,10.182961333182377,3.19726e-06
79.555,1.0,10.182557188057249,2.56706e-06
79.555,1.0,10.182152232974293,2.649394e-06
79.555,1.0,10.181722695251416,3.388777e-06
79.555,1.0,10.181321257565914,3.713256e-06
79.555,1.0,10.180883699361837,3.776804e-06
79.555,1.0,10.180483935080447,3.167661e-06
79.555,1.0,10.180060293206186,2.198096e-06
79.555,1.0,10.179640504874358,1.576278e-06
79.555,1.0,10.179227473574684,2.403773e-06
79.555,1.0,10.178799926268303,3.114066e-06
79.555,1.0,10.178367344910534,3.760855e-06
79.555,1.0,10.177962232122164,3.897352e-06
79.555,1.0,10.17752748409034,3.988258e-06
79.555,1.0,10.177101902608495,3.417808e-06
79.555,1.0,10.176715125082218,2.076209e-06
79.555,1.0,10.176268078067185,1.682012e-06
79.555,1.0,10.175863827604003,2.546818e-06
