Y_dimension(mm),Button,True_depth(m),meas,button_raw
65.938,0.0,12.1444125,2.37137e-08,1.0
65.938,0.0,12.1441625,2.339875e-08,1.0
65.938,0.0,12.1439125,2.363530000000001e-08,1.0
65.938,0.0,12.1436625,2.37797e-08,1.0
65.938,0.0,12.1434125,2.353865e-08,1.0
65.938,0.0,12.1431625,2.332755e-08,1.0
65.938,0.0,12.1429125,2.49228e-08,1.0
65.938,0.0,12.1426625,2.34231e-08,1.0
65.938,0.0,12.1424125,2.26497e-08,1.0
65.938,0.0,12.1421625,2.280285e-08,1.0
65.938,0.0,12.1419125,2.23878e-08,1.0
65.938,0.0,12.1416625,2.23604e-08,1.0
65.938,0.0,12.1414125,2.21999e-08,1.0
65.938,0.0,12.1411625,2.264775e-08,1.0
65.938,0.0,12.1409125,2.27892e-08,1.0
65.938,0.0,12.1406625,2.260035e-08,1.0
65.938,0.0,12.1404125,2.31226e-08,1.0
65.938,0.0,12.1401625,2.292905e-08,1.0
65.938,0.0,12.1399125,2.32079e-08,1.0
65.938,0.0,12.1396625,2.370565e-08,1.0
65.938,0.0,12.1394125,2.3866e-08,1.0
65.938,0.0,12.1391625,2.386685e-08,1.0
65.938,0.0,12.1389125,2.42334e-08,1.0
65.938,0.0,12.1386625,2.44902e-08,1.0
65.938,0.0,12.1384125,2.47822e-08,1.0
65.938,0.0,12.1381625,2.417735e-08,1.0
65.938,0.0,12.1379125,2.39122e-08,1.0
65.938,0.0,12.1376625,2.48705e-08,1.0
65.938,0.0,12.1374125,2.50137e-08,1.0
65.938,0.0,12.1371625,2.484535e-08,1.0
65.938,0.0,12.1369125,2.56152e-08,1.0
65.938,0.0,12.1366625,2.47332e-08,1.0
65.938,0.0,12.1364125,2.382875e-08,1.0
65.938,0.0,12.1361625,2.42335e-08,1.0
65.938,0.0,12.1359125,2.38159e-08,1.0
65.938,0.0,12.1356625,2.36391e-08,1.0
65.938,0.0,12.1354125,2.37939e-08,1.0
65.938,0.0,12.1351625,2.393025e-08,1.0
65.938,0.0,12.1349125,2.35064e-08,1.0
65.938,0.0,12.1346625,2.2736e-08,1.0
65.938,0.0,12.1344125,2.2977e-08,1.0
65.938,0.0,12.1341625,2.254475e-08,1.0
65.938,0.0,12.1339125,2.36535e-08,1.0
65.938,0.0,12.1336625,2.35317e-08,1.0
65.938,0.0,12.1334125,2.434e-08,1.0
65.938,0.0,12.1331625,2.295985e-08,1.0
65.938,0.0,12.1329125,2.31303e-08,1.0
65.938,0.0,12.1326625,2.2993900000000002e-08,1.0
65.938,0.0,12.1324125,2.376955e-08,1.0
65.938,0.0,12.1321625,2.359875e-08,1.0
65.938,0.0,12.1319125,2.31607e-08,1.0
65.938,0.0,12.1316625,2.2696400000000002e-08,1.0
65.938,0.0,12.1314125,2.28044e-08,1.0
65.938,0.0,12.1311625,2.347505e-08,1.0
65.938,0.0,12.1309125,2.249665e-08,1.0
65.938,0.0,12.1306625,2.2118400000000002e-08,1.0
65.938,0.0,12.1304125,2.25542e-08,1.0
65.938,0.0,12.1301625,2.182615e-08,1.0
65.938,0.0,12.1299125,2.16979e-08,1.0
65.938,0.0,12.1296625,2.146195e-08,1.0
65.938,0.0,12.1294125,2.12184e-08,1.0
65.938,0.0,12.1291625,2.0796000000000003e-08,1.0
65.938,0.0,12.1289125,2.07401e-08,1.0
