Y_dimension(mm),Button,True_depth(m),meas
66.014,1.0,14.369128125,3.11293e-08
66.014,1.0,14.368878125,3.10774e-08
66.014,1.0,14.368628125,3.11018e-08
66.014,1.0,14.368378125,3.1073e-08
66.014,1.0,14.368128125,3.10216e-08
66.014,1.0,14.367878125,3.0817850000000004e-08
66.014,1.0,14.367628125,3.04114e-08
66.014,1.0,14.367378125,3.079465e-08
66.014,1.0,14.367128125,3.06982e-08
66.014,1.0,14.366878125,3.054625e-08
66.014,1.0,14.366628125,3.00987e-08
66.014,1.0,14.366378125,3.020715e-08
66.014,1.0,14.366128125,2.92435e-08
66.014,1.0,14.365878125,2.91076e-08
66.014,1.0,14.365628125,2.95077e-08
66.014,1.0,14.365378125,2.923335e-08
66.014,1.0,14.365128125,2.943285e-08
66.014,1.0,14.364878125,2.937615e-08
66.014,1.0,14.364628125,2.92982e-08
66.014,1.0,14.364378125,2.87388e-08
66.014,1.0,14.364128125,2.886765e-08
66.014,1.0,14.363878125,2.8455050000000002e-08
66.014,1.0,14.363628125,2.89388e-08
66.014,1.0,14.363378125,2.85383e-08
66.014,1.0,14.363128125,2.84449e-08
66.014,1.0,14.362878125,2.85465e-08
66.014,1.0,14.362628125,2.87219e-08
66.014,1.0,14.362378125,2.85925e-08
66.014,1.0,14.362128125,2.870585e-08
66.014,1.0,14.361878125,2.90236e-08
66.014,1.0,14.361628125,3.01044e-08
66.014,1.0,14.361378125,2.92628e-08
66.014,1.0,14.361128125,2.955735e-08
66.014,1.0,14.360878125,2.95261e-08
66.014,1.0,14.360628125,2.93338e-08
66.014,1.0,14.360378125,2.95994e-08
66.014,1.0,14.360128125,2.92918e-08
66.014,1.0,14.359878125,2.99454e-08
66.014,1.0,14.359628125,3.02966e-08
66.014,1.0,14.359378125,2.979865e-08
66.014,1.0,14.359128125,2.96942e-08
66.014,1.0,14.358878125,2.96196e-08
66.014,1.0,14.358628125,3.01544e-08
66.014,1.0,14.358378125,2.975715e-08
66.014,1.0,14.358128125,2.98964e-08
66.014,1.0,14.357878125,2.84751e-08
66.014,1.0,14.357628125,2.93628e-08
66.014,1.0,14.357378125,2.967705e-08
66.014,1.0,14.357128125,2.90171e-08
66.014,1.0,14.356878125,2.94187e-08
66.014,1.0,14.356628125,2.899575e-08
66.014,1.0,14.356378124999999,2.90855e-08
66.014,1.0,14.356128125,2.891815e-08
66.014,1.0,14.355878125,2.861415e-08
66.014,1.0,14.355628124999999,2.8712e-08
66.014,1.0,14.355378125,2.83434e-08
66.014,1.0,14.355128125,2.81336e-08
66.014,1.0,14.354878125,2.85966e-08
66.014,1.0,14.354628125,2.74963e-08
66.014,1.0,14.354378125,2.739385e-08
66.014,1.0,14.354128125,2.76351e-08
66.014,1.0,14.353878125,2.73436e-08
66.014,1.0,14.353628125,2.67171e-08
66.014,1.0,14.353378125,2.72559e-08
66.014,1.0,14.353128125,2.74512e-08
66.014,1.0,14.352878125,2.69281e-08
66.014,1.0,14.352628125,2.704675e-08
66.014,1.0,14.352378125,2.69924e-08
66.014,1.0,14.352128125,2.65297e-08
66.014,1.0,14.351878125,2.690475e-08
66.014,1.0,14.351628125,2.69472e-08
66.014,1.0,14.351378125,2.66421e-08
66.014,1.0,14.351128125,2.706075e-08
66.014,1.0,14.350878125,2.74246e-08
66.014,1.0,14.350628125,2.70784e-08
66.014,1.0,14.350378125,2.73658e-08
66.014,1.0,14.350128125,2.76852e-08
66.014,1.0,14.349878125,2.74975e-08
66.014,1.0,14.349628125,2.7609e-08
66.014,1.0,14.349378125,2.7704750000000002e-08
66.014,1.0,14.349128125,2.74001e-08
66.014,1.0,14.348878125,2.734305e-08
66.014,1.0,14.348628125,2.85161e-08
66.014,1.0,14.348378125,2.764325e-08
66.014,1.0,14.348128125,2.8158e-08
66.014,1.0,14.347878125,2.78827e-08
66.014,1.0,14.347628125,2.80259e-08
66.014,1.0,14.347378125,2.849975e-08
66.014,1.0,14.347128125,2.79134e-08
66.014,1.0,14.346878125,2.902555e-08
66.014,1.0,14.346628125,2.89256e-08
66.014,1.0,14.346378125,2.89599e-08
66.014,1.0,14.346128125,2.902295e-08
66.014,1.0,14.345878125,2.80981e-08
66.014,1.0,14.345628125,2.82153e-08
66.014,1.0,14.345378125,2.82998e-08
66.014,1.0,14.345128125,2.794495e-08
66.014,1.0,14.344878125,2.71539e-08
66.014,1.0,14.344628125,2.799525e-08
66.014,1.0,14.344378125,2.79804e-08
66.014,1.0,14.344128125,2.76226e-08
66.014,1.0,14.343878125,2.78737e-08
66.014,1.0,14.343628125,2.857015e-08
66.014,1.0,14.343378125,2.796855e-08
66.014,1.0,14.343128125,2.73505e-08
66.014,1.0,14.342878125,2.75737e-08
66.014,1.0,14.342628125,2.734675e-08
66.014,1.0,14.342378125,2.70067e-08
66.014,1.0,14.342128125,2.72904e-08
66.014,1.0,14.341878125000001,2.7736200000000002e-08
66.014,1.0,14.341628125,2.84159e-08
66.014,1.0,14.341378125,2.777245e-08
66.014,1.0,14.341128125000001,2.755805e-08
66.014,1.0,14.340878125,2.57351e-08
66.014,1.0,14.340628125,2.724575e-08
66.014,1.0,14.340378125,2.644715e-08
66.014,1.0,14.340128125,2.73596e-08
66.014,1.0,14.339878125,2.72645e-08
66.014,1.0,14.339628125,2.68586e-08
66.014,1.0,14.339378125,2.718085e-08
66.014,1.0,14.339128125,2.850885e-08
66.014,1.0,14.338878125,2.80902e-08
66.014,1.0,14.338628125,2.792115e-08
66.014,1.0,14.338378125,2.772235e-08
66.014,1.0,14.338128125,2.8633e-08
66.014,1.0,14.337878125,2.86279e-08
66.014,1.0,14.337628125,2.84049e-08
66.014,1.0,14.337378125,2.65257e-08
66.014,1.0,14.337128125,2.93787e-08
66.014,1.0,14.336878125,2.82102e-08
66.014,1.0,14.336628125,2.93244e-08
66.014,1.0,14.336378125,2.9161850000000002e-08
66.014,1.0,14.336128125,2.85667e-08
66.014,1.0,14.335878125,2.88614e-08
66.014,1.0,14.335628125,2.877835e-08
66.014,1.0,14.335378125,2.978945e-08
66.014,1.0,14.335128125,2.87048e-08
66.014,1.0,14.334878125,2.87503e-08
66.014,1.0,14.334628125,2.8365e-08
66.014,1.0,14.334378125,2.827835e-08
66.014,1.0,14.334128125,2.84278e-08
66.014,1.0,14.333878125,2.8204e-08
66.014,1.0,14.333628125,2.849275e-08
66.014,1.0,14.333378125,2.848805e-08
66.014,1.0,14.333128125,2.87137e-08
66.014,1.0,14.332878125,2.7534300000000003e-08
66.014,1.0,14.332628125,2.9163e-08
66.014,1.0,14.332378125,2.863655e-08
66.014,1.0,14.332128125,2.89653e-08
66.014,1.0,14.331878125,2.88238e-08
66.014,1.0,14.331628125,2.94843e-08
66.014,1.0,14.331378125,2.86327e-08
66.014,1.0,14.331128125,2.74951e-08
66.014,1.0,14.330878125,2.894145e-08
66.014,1.0,14.330628125,2.908875e-08
66.014,1.0,14.330378125,3.092595e-08
66.014,1.0,14.330128125,3.00516e-08
66.014,1.0,14.329878125,2.84187e-08
66.014,1.0,14.329628125,2.873655e-08
66.014,1.0,14.329378125,2.857785e-08
66.014,1.0,14.329128125,2.83162e-08
66.014,1.0,14.328878125,2.84726e-08
66.014,1.0,14.328628125,2.857845e-08
66.014,1.0,14.328378125,2.800375e-08
66.014,1.0,14.328128125,2.76256e-08
66.014,1.0,14.327878125,2.853565e-08
66.014,1.0,14.327628125,2.924165e-08
66.014,1.0,14.327378125,2.82725e-08
66.014,1.0,14.327128125,2.89219e-08
66.014,1.0,14.326878125,2.8989600000000002e-08
66.014,1.0,14.326628125,2.87018e-08
66.014,1.0,14.326378125,2.76937e-08
66.014,1.0,14.326128125,2.84523e-08
66.014,1.0,14.325878125,3.020675e-08
66.014,1.0,14.325628125,2.90869e-08
66.014,1.0,14.325378125,2.91122e-08
66.014,1.0,14.325128124999999,2.84812e-08
66.014,1.0,14.324878125,2.86515e-08
66.014,1.0,14.324628125,2.916355e-08
66.014,1.0,14.324378124999999,2.956055e-08
66.014,1.0,14.324128125,2.78315e-08
66.014,1.0,14.323878125,2.8454700000000006e-08
66.014,1.0,14.323628125,2.84951e-08
66.014,1.0,14.323378125,2.814925e-08
66.014,1.0,14.323128125,2.77029e-08
66.014,1.0,14.322878125,2.747495e-08
66.014,1.0,14.322628125,2.741945e-08
66.014,1.0,14.322378125,2.777345e-08
66.014,1.0,14.322128125,2.69504e-08
66.014,1.0,14.321878125,2.67106e-08
66.014,1.0,14.321628125,2.60779e-08
66.014,1.0,14.321378125,2.59543e-08
