Y_dimension(mm),Button,True_depth(m),meas
82.724,1.0,15.73093125,3.08374e-05
82.724,1.0,15.73093125,3.61228e-06
82.724,1.0,15.73093125,4.197776e-06
82.724,1.0,15.73078597040238,4.486472e-06
82.724,1.0,15.730607639848174,4.710761e-06
82.724,1.0,15.730364687811514,4.858026e-06
82.724,1.0,15.730107355276411,4.754707e-06
82.724,1.0,15.729802279355184,3.446083e-06
82.724,1.0,15.729449111583303,3.708832e-06
82.724,1.0,15.729063873286588,3.40378e-06
82.724,1.0,15.728632469960164,2.427812e-06
82.724,1.0,15.728238498526302,1.814929e-06
82.724,1.0,15.727795331914956,3.076566e-06
82.724,1.0,15.72737915533056,3.362293e-06
82.724,1.0,15.726947758366995,3.59847e-06
82.724,1.0,15.72655526563518,3.591718e-06
82.724,1.0,15.726123843578959,3.470574e-06
82.724,1.0,15.72572454673526,3.85099e-06
82.724,1.0,15.725289130494316,4.439222e-06
82.724,1.0,15.724882415136468,4.649919e-06
82.724,1.0,15.724479371865264,4.995978e-06
82.724,1.0,15.72404629883159,4.987625e-06
82.724,1.0,15.72365504838479,5.143331e-06
82.724,1.0,15.723223864059877,5.452646e-06
82.724,1.0,15.722808946771162,5.372058e-06
82.724,1.0,15.722372546148607,4.843445e-06
82.724,1.0,15.721974540316097,4.648638e-06
82.724,1.0,15.721543836717727,5.124239e-06
82.724,1.0,15.721151408252817,5.411915e-06
82.724,1.0,15.720721396856622,5.06865e-06
82.724,1.0,15.720314237002382,4.052461e-06
82.724,1.0,15.71987421062815,3.573499e-06
82.724,1.0,15.719422984460572,3.750698e-06
82.724,1.0,15.719044030773402,4.774105e-06
82.724,1.0,15.718603337036203,5.17859e-06
82.724,1.0,15.718218195920093,4.791524e-06
82.724,1.0,15.717769261814365,4.854403e-06
82.724,1.0,15.717358187209639,4.834423e-06
82.724,1.0,15.716928329723865,4.953108e-06
82.724,1.0,15.716507055641255,5.054346e-06
82.724,1.0,15.716101306227749,5.153342e-06
82.724,1.0,15.71567102424431,5.381036e-06
82.724,1.0,15.71526576084362,5.539274e-06
82.724,1.0,15.714848494004606,5.39147e-06
82.724,1.0,15.714419067125299,5.630063e-06
82.724,1.0,15.713998622631623,5.410169e-06
82.724,1.0,15.713593944971546,5.196067e-06
82.724,1.0,15.713197777600808,5.018694e-06
82.724,1.0,15.71276916753477,4.765272e-06
82.724,1.0,15.71234817026214,4.596412e-06
82.724,1.0,15.711945199089335,4.437796e-06
82.724,1.0,15.711511763229153,4.552567e-06
82.724,1.0,15.71111624409446,4.640038e-06
82.724,1.0,15.710705869382217,4.709786e-06
