Y_dimension(mm),Button,True_depth(m),meas
65.764,1.0,16.878534375,1.87596e-08
65.764,1.0,16.878284375,1.87018e-08
65.764,1.0,16.878034375,1.890095e-08
65.764,1.0,16.877784375,1.86484e-08
65.764,1.0,16.877534375,1.88244e-08
65.764,1.0,16.877284375,1.89416e-08
65.764,1.0,16.877034375,1.936455e-08
65.764,1.0,16.876784375,1.9547e-08
65.764,1.0,16.876534375,1.9562300000000003e-08
65.764,1.0,16.876284375,1.97217e-08
65.764,1.0,16.876034375,1.99867e-08
65.764,1.0,16.875784375,2.03156e-08
65.764,1.0,16.875534375,2.02612e-08
65.764,1.0,16.875284375,2.073365e-08
65.764,1.0,16.875034375,2.08121e-08
65.764,1.0,16.874784375,2.09851e-08
65.764,1.0,16.874534375,2.131845e-08
65.764,1.0,16.874284375,2.15026e-08
65.764,1.0,16.874034375,2.15079e-08
65.764,1.0,16.873784375,2.17572e-08
65.764,1.0,16.873534375,2.183025e-08
65.764,1.0,16.873284375,2.195855e-08
65.764,1.0,16.873034375,2.21003e-08
65.764,1.0,16.872784375,2.23356e-08
65.764,1.0,16.872534375,2.22653e-08
65.764,1.0,16.872284375,2.237045e-08
65.764,1.0,16.872034375000002,2.18558e-08
65.764,1.0,16.871784375,2.22067e-08
65.764,1.0,16.871534375,2.19676e-08
65.764,1.0,16.871284375000002,2.19462e-08
65.764,1.0,16.871034375,2.17027e-08
65.764,1.0,16.870784375,2.18039e-08
65.764,1.0,16.870534375000002,2.20592e-08
65.764,1.0,16.870284375,2.211255e-08
65.764,1.0,16.870034375,2.23971e-08
65.764,1.0,16.869784375000002,2.23318e-08
65.764,1.0,16.869534375,2.25646e-08
65.764,1.0,16.869284375,2.27992e-08
65.764,1.0,16.869034375000002,2.280085e-08
65.764,1.0,16.868784375,2.30274e-08
65.764,1.0,16.868534375,2.2756850000000002e-08
65.764,1.0,16.868284375,2.275255e-08
65.764,1.0,16.868034375,2.28082e-08
65.764,1.0,16.867784375,2.2738e-08
65.764,1.0,16.867534375,2.2783900000000002e-08
65.764,1.0,16.867284375,2.27188e-08
65.764,1.0,16.867034375,2.24504e-08
65.764,1.0,16.866784375,2.24955e-08
65.764,1.0,16.866534375,2.22767e-08
65.764,1.0,16.866284375,2.239765e-08
65.764,1.0,16.866034375,2.23495e-08
65.764,1.0,16.865784375,2.23812e-08
65.764,1.0,16.865534375,2.2273350000000006e-08
65.764,1.0,16.865284375,2.238085e-08
65.764,1.0,16.865034375,2.22205e-08
65.764,1.0,16.864784375,2.26107e-08
65.764,1.0,16.864534375,2.25998e-08
65.764,1.0,16.864284375,2.24664e-08
65.764,1.0,16.864034375,2.26748e-08
65.764,1.0,16.863784375,2.25845e-08
65.764,1.0,16.863534375,2.270425e-08
65.764,1.0,16.863284375,2.27744e-08
65.764,1.0,16.863034375,2.26307e-08
65.764,1.0,16.862784375,2.28123e-08
65.764,1.0,16.862534375,2.257305e-08
65.764,1.0,16.862284375,2.265795e-08
65.764,1.0,16.862034375,2.29139e-08
65.764,1.0,16.861784375,2.26184e-08
65.764,1.0,16.861534375,2.235835e-08
65.764,1.0,16.861284375,2.1993e-08
65.764,1.0,16.861034375,2.222995e-08
65.764,1.0,16.860784375,2.21618e-08
65.764,1.0,16.860534375,2.202995e-08
65.764,1.0,16.860284375,2.19961e-08
65.764,1.0,16.860034375,2.20367e-08
65.764,1.0,16.859784375,2.19849e-08
65.764,1.0,16.859534375,2.1906e-08
65.764,1.0,16.859284375,2.19971e-08
65.764,1.0,16.859034375,2.1986e-08
65.764,1.0,16.858784375,2.14388e-08
65.764,1.0,16.858534375,2.168565e-08
65.764,1.0,16.858284375,2.152055e-08
65.764,1.0,16.858034375,2.17201e-08
65.764,1.0,16.857784375,2.15269e-08
65.764,1.0,16.857534375,2.15106e-08
65.764,1.0,16.857284375,2.15071e-08
65.764,1.0,16.857034375,2.15981e-08
65.764,1.0,16.856784375,2.18327e-08
65.764,1.0,16.856534375,2.169695e-08
65.764,1.0,16.856284375,2.15024e-08
65.764,1.0,16.856034375,2.12627e-08
65.764,1.0,16.855784375,2.168575e-08
65.764,1.0,16.855534375,2.149725e-08
65.764,1.0,16.855284375,2.12215e-08
65.764,1.0,16.855034375,2.15162e-08
65.764,1.0,16.854784375,2.14196e-08
65.764,1.0,16.854534375,2.132205e-08
65.764,1.0,16.854284375,2.1346450000000006e-08
65.764,1.0,16.854034375,2.13455e-08
65.764,1.0,16.853784375,2.122765e-08
65.764,1.0,16.853534375,2.12429e-08
65.764,1.0,16.853284375,2.12106e-08
65.764,1.0,16.853034375,2.136335e-08
65.764,1.0,16.852784375,2.08011e-08
65.764,1.0,16.852534375,2.1779900000000002e-08
65.764,1.0,16.852284375,2.216805e-08
65.764,1.0,16.852034375,2.19834e-08
65.764,1.0,16.851784375,2.17384e-08
65.764,1.0,16.851534375,2.19548e-08
65.764,1.0,16.851284375,2.20742e-08
65.764,1.0,16.851034375,2.22952e-08
65.764,1.0,16.850784375,2.23102e-08
65.764,1.0,16.850534375,2.26475e-08
65.764,1.0,16.850284375,2.27711e-08
65.764,1.0,16.850034375,2.17858e-08
65.764,1.0,16.849784375,2.31146e-08
65.764,1.0,16.849534375,2.35854e-08
65.764,1.0,16.849284375,2.4199450000000002e-08
65.764,1.0,16.849034375,2.33455e-08
65.764,1.0,16.848784375,2.40732e-08
65.764,1.0,16.848534375,2.40196e-08
65.764,1.0,16.848284375,2.38286e-08
65.764,1.0,16.848034375,2.397255e-08
65.764,1.0,16.847784375,2.39866e-08
65.764,1.0,16.847534375,2.38561e-08
65.764,1.0,16.847284375,2.38461e-08
65.764,1.0,16.847034375,2.40339e-08
65.764,1.0,16.846784375,2.3582300000000002e-08
65.764,1.0,16.846534375,2.368565e-08
65.764,1.0,16.846284375,2.43117e-08
65.764,1.0,16.846034375,2.3146e-08
65.764,1.0,16.845784375,2.39801e-08
65.764,1.0,16.845534375,2.346825e-08
65.764,1.0,16.845284375,2.36328e-08
65.764,1.0,16.845034375,2.45586e-08
