Y_dimension(mm),Button,True_depth(m),meas
83.764,1.0,16.878534375,2.87166e-05
83.764,1.0,16.878534375,1.952532e-06
83.764,1.0,16.878534375,2.906221e-06
83.764,1.0,16.87840022067255,3.489055e-06
83.764,1.0,16.878207979000067,3.919209e-06
83.764,1.0,16.877987052765462,4.258851e-06
83.764,1.0,16.87771619018776,4.499438e-06
83.764,1.0,16.8774119799078,4.236921e-06
83.764,1.0,16.877064576599285,4.29443e-06
83.764,1.0,16.876677042161347,4.368485e-06
83.764,1.0,16.876246685380156,4.115354e-06
83.764,1.0,16.87580825596761,4.608228e-06
83.764,1.0,16.875406645329505,4.967122e-06
83.764,1.0,16.875010838371118,5.451613e-06
83.764,1.0,16.874557007205453,5.224254e-06
83.764,1.0,16.87415936481488,5.574242e-06
83.764,1.0,16.87371522579204,5.24387e-06
83.764,1.0,16.873310439187293,4.711008e-06
83.764,1.0,16.87290627448939,4.61303e-06
83.764,1.0,16.8724874674532,4.750298e-06
83.764,1.0,16.872088408955058,4.962931e-06
83.764,1.0,16.871667574882082,5.316309e-06
83.764,1.0,16.871239306684902,5.026057e-06
83.764,1.0,16.87083905239572,4.827496e-06
83.764,1.0,16.870431843518727,4.879417e-06
83.764,1.0,16.87001270676149,4.960646e-06
83.764,1.0,16.869606709187895,5.198526e-06
83.764,1.0,16.86918590774165,4.872374e-06
83.764,1.0,16.868742997749308,5.050053e-06
83.764,1.0,16.868328492337458,4.690737e-06
83.764,1.0,16.867931097649574,4.874004e-06
83.764,1.0,16.867495575329563,4.587724e-06
83.764,1.0,16.867062690357272,4.476926e-06
83.764,1.0,16.866648540404,4.727102e-06
83.764,1.0,16.866210367099143,5.413589e-06
83.764,1.0,16.86580225862944,5.796697e-06
83.764,1.0,16.865384191844015,5.749986e-06
83.764,1.0,16.864971636813483,5.571201e-06
83.764,1.0,16.86457044719156,5.805123e-06
83.764,1.0,16.864128797667938,5.709517e-06
83.764,1.0,16.863696920802518,5.67289e-06
83.764,1.0,16.86328015607728,5.611088e-06
83.764,1.0,16.8628816027627,5.633425e-06
