Y_dimension(mm),Button,True_depth(m),meas
66.428,1.0,17.2183765625,3.3131550000000004e-08
66.428,1.0,17.2181265625,3.29783e-08
66.428,1.0,17.217876562500003,3.317265e-08
66.428,1.0,17.2176265625,3.30285e-08
66.428,1.0,17.2173765625,3.3044300000000004e-08
66.428,1.0,17.217126562500003,3.31787e-08
66.428,1.0,17.2168765625,3.297145e-08
66.428,1.0,17.2166265625,3.27564e-08
66.428,1.0,17.216376562500002,3.34578e-08
66.428,1.0,17.2161265625,3.25362e-08
66.428,1.0,17.2158765625,3.36135e-08
66.428,1.0,17.215626562500002,3.35749e-08
66.428,1.0,17.2153765625,3.380595e-08
66.428,1.0,17.2151265625,3.39678e-08
66.428,1.0,17.214876562500002,3.37455e-08
66.428,1.0,17.2146265625,3.37505e-08
66.428,1.0,17.2143765625,3.373385e-08
66.428,1.0,17.214126562500002,3.41526e-08
66.428,1.0,17.2138765625,3.41573e-08
66.428,1.0,17.2136265625,3.42039e-08
66.428,1.0,17.213376562500002,3.4367e-08
66.428,1.0,17.2131265625,3.45779e-08
66.428,1.0,17.2128765625,3.467165e-08
66.428,1.0,17.212626562500002,3.4986e-08
66.428,1.0,17.2123765625,3.50239e-08
66.428,1.0,17.2121265625,3.512645e-08
66.428,1.0,17.211876562500002,3.57646e-08
66.428,1.0,17.2116265625,3.62623e-08
66.428,1.0,17.2113765625,3.5987650000000005e-08
66.428,1.0,17.211126562500002,3.639005e-08
66.428,1.0,17.2108765625,3.615775e-08
66.428,1.0,17.2106265625,3.59615e-08
66.428,1.0,17.210376562500002,3.606695e-08
66.428,1.0,17.2101265625,3.56256e-08
66.428,1.0,17.2098765625,3.572175e-08
66.428,1.0,17.209626562500002,3.605695e-08
66.428,1.0,17.2093765625,3.51658e-08
66.428,1.0,17.2091265625,3.4872750000000004e-08
66.428,1.0,17.208876562500002,3.46995e-08
66.428,1.0,17.2086265625,3.46006e-08
66.428,1.0,17.2083765625,3.4778550000000005e-08
66.428,1.0,17.208126562500002,3.433365e-08
66.428,1.0,17.2078765625,3.421055e-08
66.428,1.0,17.2076265625,3.43096e-08
66.428,1.0,17.207376562500002,3.444405e-08
66.428,1.0,17.2071265625,3.44683e-08
66.428,1.0,17.2068765625,3.43358e-08
66.428,1.0,17.206626562500002,3.41265e-08
66.428,1.0,17.2063765625,3.41261e-08
66.428,1.0,17.2061265625,3.381245e-08
66.428,1.0,17.205876562500002,3.35e-08
66.428,1.0,17.2056265625,3.30161e-08
66.428,1.0,17.2053765625,3.316155e-08
66.428,1.0,17.205126562500002,3.34779e-08
66.428,1.0,17.2048765625,3.28519e-08
66.428,1.0,17.2046265625,3.28618e-08
66.428,1.0,17.204376562500002,3.34215e-08
66.428,1.0,17.2041265625,3.284645e-08
66.428,1.0,17.2038765625,3.29035e-08
66.428,1.0,17.203626562500002,3.30453e-08
66.428,1.0,17.2033765625,3.3016e-08
66.428,1.0,17.2031265625,3.308375e-08
66.428,1.0,17.202876562500002,3.30657e-08
66.428,1.0,17.2026265625,3.3036e-08
66.428,1.0,17.2023765625,3.28574e-08
66.428,1.0,17.202126562500002,3.248185e-08
66.428,1.0,17.2018765625,3.24917e-08
66.428,1.0,17.2016265625,3.25399e-08
66.428,1.0,17.201376562500002,3.19444e-08
66.428,1.0,17.2011265625,3.240155e-08
66.428,1.0,17.2008765625,3.21528e-08
66.428,1.0,17.200626562500002,3.161855e-08
66.428,1.0,17.2003765625,3.1477199999999995e-08
66.428,1.0,17.2001265625,3.21479e-08
66.428,1.0,17.199876562500002,3.09825e-08
66.428,1.0,17.1996265625,3.079465e-08
66.428,1.0,17.1993765625,3.108245e-08
66.428,1.0,17.199126562500002,3.13078e-08
66.428,1.0,17.1988765625,3.04945e-08
66.428,1.0,17.1986265625,3.0651450000000005e-08
66.428,1.0,17.198376562500002,3.0584850000000004e-08
66.428,1.0,17.1981265625,3.01602e-08
66.428,1.0,17.1978765625,2.95008e-08
66.428,1.0,17.1976265625,3.03976e-08
66.428,1.0,17.1973765625,2.95743e-08
66.428,1.0,17.1971265625,2.98006e-08
66.428,1.0,17.1968765625,2.94809e-08
66.428,1.0,17.1966265625,3.015595e-08
66.428,1.0,17.1963765625,3.0327449999999995e-08
66.428,1.0,17.1961265625,2.992125e-08
66.428,1.0,17.1958765625,2.98444e-08
66.428,1.0,17.1956265625,3.00157e-08
66.428,1.0,17.1953765625,2.99954e-08
66.428,1.0,17.1951265625,2.959185e-08
66.428,1.0,17.1948765625,2.98372e-08
66.428,1.0,17.1946265625,3.003095e-08
66.428,1.0,17.1943765625,2.9717e-08
66.428,1.0,17.194126562500003,2.94947e-08
66.428,1.0,17.1938765625,2.96027e-08
66.428,1.0,17.1936265625,2.9853e-08
66.428,1.0,17.1933765625,3.00324e-08
66.428,1.0,17.1931265625,3.04033e-08
