Y_dimension(mm),Button,True_depth(m),meas
64.91,1.0,17.9144203125,2.85682e-08
64.91,1.0,17.9141703125,2.859545e-08
64.91,1.0,17.9139203125,2.86662e-08
64.91,1.0,17.9136703125,2.877525e-08
64.91,1.0,17.9134203125,2.853335e-08
64.91,1.0,17.9131703125,2.8685e-08
64.91,1.0,17.9129203125,2.79261e-08
64.91,1.0,17.9126703125,2.92644e-08
64.91,1.0,17.9124203125,2.9574450000000002e-08
64.91,1.0,17.9121703125,2.94781e-08
64.91,1.0,17.9119203125,2.9662e-08
64.91,1.0,17.9116703125,3.063945e-08
64.91,1.0,17.9114203125,3.05271e-08
64.91,1.0,17.9111703125,3.06947e-08
64.91,1.0,17.9109203125,3.08908e-08
64.91,1.0,17.9106703125,3.109145e-08
64.91,1.0,17.9104203125,3.1385450000000004e-08
64.91,1.0,17.9101703125,3.14325e-08
64.91,1.0,17.9099203125,3.17561e-08
64.91,1.0,17.9096703125,3.203845e-08
64.91,1.0,17.9094203125,3.190215e-08
64.91,1.0,17.9091703125,3.18209e-08
64.91,1.0,17.9089203125,3.10971e-08
64.91,1.0,17.9086703125,3.2026e-08
64.91,1.0,17.9084203125,3.1062e-08
64.91,1.0,17.9081703125,3.1389e-08
64.91,1.0,17.9079203125,3.155295e-08
64.91,1.0,17.9076703125,3.214245e-08
64.91,1.0,17.9074203125,3.26229e-08
64.91,1.0,17.9071703125,3.163e-08
64.91,1.0,17.9069203125,3.16046e-08
64.91,1.0,17.9066703125,3.181285e-08
64.91,1.0,17.9064203125,3.18628e-08
64.91,1.0,17.9061703125,3.14674e-08
64.91,1.0,17.9059203125,3.094855e-08
64.91,1.0,17.9056703125,3.08803e-08
64.91,1.0,17.9054203125,3.182085e-08
64.91,1.0,17.9051703125,3.11332e-08
64.91,1.0,17.9049203125,3.25406e-08
64.91,1.0,17.9046703125,3.0813950000000004e-08
64.91,1.0,17.9044203125,2.96833e-08
64.91,1.0,17.9041703125,2.99829e-08
64.91,1.0,17.9039203125,3.03524e-08
64.91,1.0,17.9036703125,3.02524e-08
64.91,1.0,17.9034203125,3.02999e-08
64.91,1.0,17.903170312500002,2.84621e-08
64.91,1.0,17.9029203125,2.98462e-08
64.91,1.0,17.9026703125,2.95833e-08
64.91,1.0,17.9024203125,2.943285e-08
64.91,1.0,17.9021703125,2.91974e-08
64.91,1.0,17.9019203125,2.95007e-08
64.91,1.0,17.901670312500002,2.889685e-08
64.91,1.0,17.9014203125,2.93952e-08
64.91,1.0,17.9011703125,3.027e-08
64.91,1.0,17.900920312500002,2.949055e-08
64.91,1.0,17.9006703125,2.947825e-08
64.91,1.0,17.9004203125,2.9276e-08
64.91,1.0,17.900170312500002,2.907e-08
64.91,1.0,17.8999203125,2.99193e-08
64.91,1.0,17.8996703125,2.95281e-08
64.91,1.0,17.899420312500002,2.92701e-08
64.91,1.0,17.8991703125,2.8547e-08
64.91,1.0,17.8989203125,2.94142e-08
64.91,1.0,17.898670312500002,2.871815e-08
64.91,1.0,17.8984203125,2.819655e-08
64.91,1.0,17.8981703125,2.90341e-08
64.91,1.0,17.897920312500002,2.869105e-08
64.91,1.0,17.8976703125,2.90801e-08
64.91,1.0,17.8974203125,2.82967e-08
64.91,1.0,17.897170312500002,2.85077e-08
64.91,1.0,17.8969203125,2.755175e-08
