Y_dimension(mm),Button,True_depth(m),meas
84.962,1.0,20.56555625,2.914463e-05
84.962,1.0,20.56555625,2.062079e-06
84.962,1.0,20.56555625,2.888177e-06
84.962,1.0,20.56539763519337,3.388312e-06
84.962,1.0,20.565217310012272,3.767826e-06
84.962,1.0,20.56499725318236,4.06208e-06
84.962,1.0,20.564732437074472,4.207759e-06
84.962,1.0,20.564447284543824,3.864334e-06
84.962,1.0,20.564119888018826,4.217698e-06
84.962,1.0,20.563722749647383,4.65347e-06
84.962,1.0,20.5632807884163,4.8488e-06
84.962,1.0,20.562881070946055,4.801856e-06
84.962,1.0,20.562483451742416,5.127804e-06
84.962,1.0,20.562061518796234,4.966234e-06
84.962,1.0,20.561634446007716,5.192167e-06
84.962,1.0,20.561220193411806,5.371825e-06
84.962,1.0,20.56077981295252,5.476832e-06
84.962,1.0,20.560382485222945,5.559283e-06
84.962,1.0,20.559949043011112,5.717447e-06
84.962,1.0,20.559556140018216,5.516587e-06
84.962,1.0,20.55911964508033,5.226975e-06
84.962,1.0,20.55867716814706,5.190886e-06
84.962,1.0,20.55826722054228,4.91504e-06
84.962,1.0,20.55783696887073,4.639835e-06
84.962,1.0,20.557433616684172,4.863352e-06
84.962,1.0,20.557004584783783,4.857095e-06
84.962,1.0,20.55660096147436,4.935398e-06
84.962,1.0,20.556196522453416,4.80267e-06
84.962,1.0,20.555755751430713,4.341942e-06
84.962,1.0,20.555356038797008,4.237663e-06
84.962,1.0,20.5549429655035,4.14747e-06
84.962,1.0,20.554531937060734,4.005677e-06
84.962,1.0,20.554128539547442,3.954119e-06
84.962,1.0,20.553696143980098,3.785317e-06
84.962,1.0,20.5532818898989,2.778179e-06
84.962,1.0,20.552851761467473,3.006484e-06
84.962,1.0,20.55246144578945,3.459645e-06
84.962,1.0,20.5520328245957,4.013826e-06
84.962,1.0,20.5516045591968,2.783796e-06
84.962,1.0,20.551190488983313,3.325258e-06
84.962,1.0,20.550738008464513,4.160058e-06
84.962,1.0,20.550353396312254,4.260117e-06
84.962,1.0,20.54992373837735,4.62131e-06
84.962,1.0,20.549496000103193,5.180031e-06
84.962,1.0,20.54909598520498,4.630696e-06
84.962,1.0,20.548658979394705,4.985763e-06
84.962,1.0,20.548244011126833,5.218244e-06
84.962,1.0,20.547818645745785,5.328329e-06
84.962,1.0,20.547387962432996,4.967413e-06
84.962,1.0,20.546980699447793,4.819827e-06
84.962,1.0,20.54656268718603,4.365633e-06
84.962,1.0,20.546154183547493,4.11064e-06
84.962,1.0,20.545706254675817,4.003392e-06
84.962,1.0,20.54531626991159,3.599969e-06
84.962,1.0,20.544879860539375,3.950961e-06
84.962,1.0,20.544486718055982,3.575347e-06
84.962,1.0,20.54408908169093,3.516863e-06
84.962,1.0,20.543666403987878,3.195542e-06
84.962,1.0,20.543244284142265,3.688852e-06
84.962,1.0,20.54280858472806,3.957102e-06
84.962,1.0,20.542420427218424,3.373003e-06
84.962,1.0,20.541992517070817,3.711553e-06
84.962,1.0,20.541598673805947,4.503279e-06
84.962,1.0,20.541155799349628,4.18695e-06
84.962,1.0,20.54073600811025,4.311849e-06
84.962,1.0,20.540309118167333,4.189016e-06
84.962,1.0,20.539883644666045,4.435147e-06
84.962,1.0,20.539478411600577,4.254602e-06
84.962,1.0,20.539061330599974,5.196824e-06
84.962,1.0,20.53863395115521,5.195165e-06
84.962,1.0,20.538217005922586,5.240348e-06
84.962,1.0,20.53777632366215,4.780581e-06
84.962,1.0,20.537382085180955,4.938018e-06
84.962,1.0,20.536950364364177,4.961097e-06
84.962,1.0,20.53656014378365,5.219481e-06
84.962,1.0,20.53612900516236,5.248075e-06
84.962,1.0,20.53570488511118,5.393478e-06
84.962,1.0,20.535275288142053,5.41161e-06
84.962,1.0,20.534877724093448,5.259528e-06
