ID,core,section,cut,sample_number,top_depth,bottom_depth,ave_depth,x_m,y_m,Ar_Age_kyr,top_depth,offset_mm,top_length_cm,bot_length_cm
alhic2302-155_2-1,alhic2302,155_2,Ar,1,126.4,126.48,126.44,-0.046684,0.041684,942.9789954,126.4,0,0,8
alhic2302-155_2-2,alhic2302,155_2,Ar,2,126.48,126.55,126.515,-0.046684,0.041684,826.6472324,126.4,0,8,15
alhic2302-155_2-3,alhic2302,155_2,Ar,3,126.84,126.92,126.88,-0.046684,0.041684,870.5,126.4,0,44,52
alhic2302-155_2-4,alhic2302,155_2,Ar,4,126.92,127,126.96,-0.046684,0.041684,1141.5,126.4,0,52,60
alhic2302-156_2-1,alhic2302,156_2,Ar,1,127.715,127.78,127.7475,-0.051684,0.046684,801.4745891,127.68,35,0,6.5
alhic2302-156_2-2,alhic2302,156_2,Ar,2,127.78,127.865,127.8225,-0.051684,0.046684,1390.769865,127.68,35,6.5,15
alhic2302-156_2-2,alhic2302,156_2,Ar,3,127.865,127.945,127.905,-0.051684,0.046684,907.8455916,127.68,35,15,23
alhic2302-156_2-2,alhic2302,156_2,Ar,4,127.945,128.025,127.985,-0.051684,0.046684,1022.5661,127.68,35,23,31
alhic2302-156_2-2,alhic2302,156_2,Ar,5,128.025,128.105,128.065,-0.051684,0.046684,867.0241162,127.68,35,31,39
alhic2302-156_2-2,alhic2302,156_2,Ar,6,128.105,128.185,128.145,-0.051684,0.046684,763.7562853,127.68,35,39,47
alhic2302-156_2-2,alhic2302,156_2,Ar,7,128.185,128.265,128.225,-0.051684,0.046684,758.0907094,127.68,35,47,55
alhic2302-156_2-2,alhic2302,156_2,Ar,8,128.265,128.345,128.305,-0.051684,0.046684,788.2933094,127.68,35,55,63
alhic2302-158-1,alhic2302,158,Ar,1,128.61,128.76,128.685,0.046684,0.041684,831.879018,128.61,0,0,15
alhic2302-159_3-1,alhic2302,159_3,Ar,1,129.82,129.91,129.865,-0.046684,0.041684,1015.5,129.82,0,0,9
alhic2302-159_3-1,alhic2302,159_3,Ar,2,129.91,129.98,129.945,-0.046684,0.041684,783.4742723,129.82,0,9,16
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
