Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
1.739978453,0.068355,4.9,1.87,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.787642124,0.019601427,1.1714,1.89,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.827284061,0.042142867,2.9402,1.9,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.912421791,0.032925713,2.3324,1.9,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.945385422,0.026397,2.2626,1.91,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.977332185,0.04341804,3.8086,1.93,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.050626503,0.02255295,1.9194,1.96,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.074252542,0.03661883,3.2842,1.96,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.150368275,0.0227264,1.608,1.96,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.190351148,0.01362536,1.1746,1.96,252.8679702,64.79696705,3.996538269,1.861787352,1.899154985,1.756078915,1.370812626,1.348831666,1.636982075,1.472624438,1.165390559,0.6853064,0.799307654,3.70119409,2.127756974,1.215647028,4.143610877,7.805738806,5.899789705,4.873578592,9.821892449,18.64624895,12.78892246,18.20922749,13.25361995,0,26.1917132,0,106.1962147,0,0,172.6504532
2.214527437,0.03516066,3.0708,1.96,181.7954136,57.32548159,3.639509064,2.370559382,1.003575265,1.020766138,1.487397662,2.221455665,2.220255402,1.902224259,2.258044347,2.124544057,2.477963618,2.868552633,2.885898378,2.826504688,3.74668099,3.629829518,4.572539802,8.498679564,5.074869489,10.83861286,9.911854471,7.056388584,20.54402199,7.170336192,10.14973898,0,20.57642911,0,38.71818153,0
2.260287886,0.0261117,1.8324,1.95,196.842195,50.94558158,4.640094543,2.42875061,2.25227061,1.832680937,2.145913386,1.055751848,1.494840345,3.073723751,2.432452258,2.503200666,2.08543575,4.345474607,0.555142997,2.537349677,2.162179785,8.146233397,4.104763186,5.08616925,18.79227863,4.864904517,20.0201832,28.5052999,20.74763532,9.655202569,13.66711173,0,27.7071515,0,0,0
2.284508884,0.01685702,1.4852,1.95,321.8812401,52.5110401,8.883494818,5.58949494,2.651480926,2.838841908,3.545645059,2.998179501,1.98473426,4.761230186,3.296907204,1.107852563,5.168578803,2.243728514,6.019456089,3.930381144,4.465652086,6.309300297,11.12706181,21.66595551,18.52418643,15.07157579,20.67431521,29.43667147,21.42553584,14.9560096,0,60.28630316,42.918667,0,0,0
