Depth (cm),FlowThrough (mL),FlowRate (mL/min),Conductivity (µS),Dust Concentration (<12 µm),x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
2.37951947002937,0.0628833999998632,5.492,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.42783726496414,0.0622479200001218,5.3662,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.47702322567138,0.0581019133332401,5.0818,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.51765476514944,0.0533669666667409,4.594,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.54777655409522,0.0518006666667975,4.472,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.58551506752009,0.0535034266665808,4.6796,1.8,43.1622976855503,1.11954885248237,1.08372328920294,1.05522568204884,0.726714426721571,0.209457412582611,0.0858744858438185,0.312659461347805,0.125007807096498,0.148391111538118,0.349044799053482,0,0.942558356621752,0.270930822300735,0,1.05522568204884,1.59026825636701,1.50246000432345,3.72336504043536,2.50127569078244,3.56138667691484,3.25686938903964,0,3.37521079160544,0,6.67006850875317,9.49703113843958,0,0,0,87.9354735040702
2.62493001994024,0.0531671600000739,4.5768,1.8,40.1907979293536,1.9459967028158,1.29506080572391,0.929162215154996,0.956329353335095,0.632346507536039,0.518505700421315,0.734152861357034,0.754790668494791,0.597318566885355,0.878131012145629,1.43389230733796,1.42277964195609,0.817933140457209,1.24615483595578,0.707933116308568,1.60032623586826,1.51196262242855,1.24897141013091,3.35612736620358,2.38927426754142,0,2.33327565189592,3.39655800822656,9.48381493117279,0,0,0,0,0,0
2.65587349631719,0.052084319999976,4.5688,1.8,79.6734905972786,1.80349134523361,2.29607972048395,1.62596506672888,0.689090519213609,1.00410034084775,0.970356756402869,0.856475426095871,1.15572430162601,1.52434225005833,0.896387473692563,1.88190401241769,0.242059903597225,0,1.90809384325716,0.722651140768391,0.816798616500731,3.08679305636811,4.46228192655534,4.28237713047935,3.65842140013998,3.345607133187,4.76356953143226,6.93434580975606,4.84049235793984,6.85180340876697,0,0,19.0542781257291,0,45.1656962980245
2.69392861267971,0.049577056666624,4.2434,1.79,129.319084036758,2.36150941777464,1.6446814718327,1.61329536410576,0.723939933607101,0.527440382518783,1.4828082390678,0.899790006995808,1.48398899377669,0.960859738915933,0.565032317320335,1.31805176806027,1.78011129100089,0.292387817214702,0.668197327582885,1.13879672760407,2.14526654957725,2.16193441256085,0,7.19832005596646,3.84343895566373,3.51480471482737,2.50223890342691,10.9275553178101,0,14.3966401119329,10.2491705484366,0,0,54.9188236691777,0
2.72447960980796,0.0600836333332712,5.2628,1.77,44.8720980643875,1.72198504515091,1.23645323551224,0.743897539505194,0.647126511507305,0.683899955300462,0.76469730623478,0.464029654272246,0.556586350449107,0.79283816710422,0.621636601299479,0.362523167400192,1.46883058581577,0.723777503714484,0.551352422219767,1.25288006653506,1.77013265332125,0.891942937992247,1.65779578682312,2.22734234050678,1.05711755613896,11.6007413568061,4.12936545366781,3.00556629242518,0,5.93957957468475,0,0,0,0,39.1525020792207
