Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,"CPP (≥4.5 µm, ≤10 µm)",x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb),ABK1 (ppb)
3.483217587,0.100251823,3.1118,1.94,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.515962056,0.020952313,1.2484,1.94,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.585603414,0.045395667,3.2044,1.94,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.61472604,0.018500487,1.2998,1.94,271.6973764,76.21553737,3.237736445,1.567064439,1.525856885,1.29332854,1.413419128,2.235141921,2.411230632,1.084568124,0.858294498,3.028313765,1.766038061,2.725879747,1.567064439,1.790615424,4.068951692,2.299528725,8.690231788,5.383987783,4.822461265,3.43317799,9.418869658,20.11627729,0,13.62741194,38.57969012,27.46542392,0,107.2868122,0,0
3.674717271,0.039260723,1.3138,1.94,238.556708,65.32909079,3.710201112,2.169150009,0.898770213,1.447429206,1.522361398,2.106492687,1.27825097,2.214643316,1.820009682,3.091845818,2.219185712,1.605615537,2.953736183,1.687552035,1.917376455,3.792553707,4.777525415,5.074098781,2.272446169,16.17786384,19.97267141,9.479217094,4.59964381,19.26457779,27.26935403,25.88458214,0,0,69.3495535,59.91801422
3.704183575,0.04344867,3.1146,1.94,114.9397882,73.27881343,1.378631381,0.708961188,0.433140914,0.275350286,0.859764661,1.163220228,1.155042437,0.615746907,0.548193969,0.859639331,0.501320502,0.580341146,0.667257588,0.762445819,0.433140914,0.979141606,4.317027507,3.82084554,7.18693072,1.461850584,2.005282009,5.710353846,4.156291621,0,0,11.69480468,0,0,62.66506278,0
3.729333469,0.02576574,1.8252,1.96,78.99193339,54.69023613,3.170155757,1.054869328,1.186906315,0.812563756,0.86989074,1.069927568,0.865663865,1.297914603,0.616278279,0,1.268062303,0,1.687790925,1.285709503,0,1.65112279,4.159878384,1.288615479,5.193983192,4.930226233,3.381499474,9.629348112,0,0,13.85062185,19.72090493,0,0,0,0
3.756648261,0.026425703,1.8898,1.98,211.5995502,75.33131487,3.03946696,1.371366279,1.068243845,0.905452056,1.130887775,0.695471254,1.89910017,1.771700139,0.901330745,2.120105479,1.648524453,1.43127984,1.645639535,0.626799907,1.424325127,2.414830742,9.125973789,2.51286643,5.064267119,4.807097305,6.594097812,23.47215481,13.66740107,0,0,19.22838922,0,0,103.0327783,0
3.779091348,0.02899974,2.5108,1.99,83.19232205,45.81033422,3.192175638,1.249642875,1.054544611,0.515677197,1.159323082,0.316870376,0.576844915,0.922538759,2.190208037,1.287948982,1.126650225,2.608476934,0.9997143,2.855823602,0.64895053,1.466992481,0,3.434734042,3.076506215,4.380416075,12.0176024,17.11100029,0,8.69365563,12.30602486,0,0,0,0,0
3.80659016,0.021506973,1.5128,1.99,105.6826145,50.26305796,2.65853244,1.853503498,1.203175824,0.417199698,1.042144717,0.854528284,1.037080845,0.310984997,0.738312438,0.434163667,0.506387131,1.172412806,2.696005088,1.540303057,0.875036963,4.945186831,3.737706716,9.262706812,6.222485071,2.953249751,8.102194103,11.53613184,8.396594922,0,33.18658705,0,0,0,0,0
3.855229637,0.02675765,1.891,2,91.83977295,75.91648879,1.170177754,0.541741423,0.351663854,0.335332242,0.418821881,0.343421732,1.875540553,0,0.593432753,1.395869429,0.407018349,1.41352385,0.541741423,1.857072096,0.703327707,3.179830853,1.001417771,1.240846315,0,4.747462025,0,0,0,18.84423729,0,0,0,0,50.87729365,87.91596344
3.90632829,0.028721033,1.7062,2.01,75.74336714,34.7624039,1.658975428,0.757061587,0.327623947,0.520681288,0.650318368,0.639890522,0.582442573,1.397236505,1.93502894,0,1.895971918,0.877929797,1.514123174,0.576707258,0.655247895,3.703070153,3.731841527,6.936128867,3.106360391,8.845846582,9.100665207,8.638522052,0,0,0,17.69169316,0,0,0,0
3.939736536,0.022816133,1.622,2.01,76.39144455,34.95656127,2.744654962,0.714743952,1.134139163,0.786522646,1.146072446,1.61099313,0.488787249,1.172564333,1.73987258,1.227755764,0.477331298,1.65771193,1.905983872,1.451922475,2.474485447,2.796863072,1.174413992,5.82081651,9.775744977,5.567592256,3.818650382,10.87420363,15.82961849,0,0,0,0,0,0,0
3.956667243,0.038633467,3.2648,2.01,67.90858965,60.24573023,1.585699189,0.750423332,0.426235942,0.387086791,0.290077238,0.475709757,0.866003184,1.038738682,0.822026459,1.20847897,0.563804156,1.958021358,0.750423332,0.857475646,0,2.75294998,2.080754475,1.718827445,2.309341823,1.644052919,4.510433248,6.422081714,0,6.525786441,9.237367291,0,18.72679028,0,0,0
3.98935517,0.024415833,1.765,2.01,66.45296563,31.07710922,2.286042369,1.484254826,0.578089934,1.224984167,0.458992702,1.505442536,1.598668459,1.369673922,1.300702351,1.529752645,0.446057048,2.065467159,1.781105791,1.356794025,3.853932892,3.484820685,5.487338043,4.079582001,7.308198669,2.601404702,0,0,0,20.65166071,0,0,0,0,0,96.34832229
4.006064839,0.02443452,2.1186,2.01,181.4909535,59.87960773,4.067157759,1.408963734,2.214316685,1.346452076,1.375925041,0.376072806,2.053858954,1.642351732,1.299707619,1.146437058,1.337147756,2.579859453,1.779743664,0.677878198,4.621182646,7.834850135,4.386513215,4.076462079,9.128262017,5.198830477,14.2629094,10.15396578,22.17174838,20.63586704,0,0,0,0,55.71448985,96.27463846
4.033123192,0.01838022,1.5732,2.01,202.1407731,53.87568368,3.18485541,2.464559623,2.431748205,0.976343349,2.642096795,0.999896466,3.640511933,0.727776494,1.727821093,4.064171769,1.777593717,2.743715903,2.365977238,2.703497845,0,4.629150306,1.457849048,3.612811098,9.708031822,3.455642187,37.92199931,20.24790344,19.64996535,13.71657972,0,55.29027499,0,0,0,383.960243
4.052353738,0.02663268,2.3362,2.03,114.7649904,64.01901669,3.06696168,0.612318899,1.059941957,0.673811481,0.841574285,0.517549783,1.674970005,0.251133046,0.894326026,1.402419344,0.817856448,0,1.632850398,1.243857425,0.706627971,2.396063812,5.030583895,1.246668807,5.024910016,2.384869402,9.814277376,13.97384415,0,18.93266115,13.39976004,0,27.16515304,0,0,88.32849638
4.072852263,0.022004427,1.9024,2.03,174.2557999,43.16873423,4.330718478,2.305674518,2.886485733,2.038840392,1.527877479,1.461617486,2.280680085,1.519772849,1.804053583,1.27304563,3.464574782,2.864770273,1.317528296,3.763703694,0.855255032,7.733425853,3.653208506,10.5621893,14.19089831,17.3189144,11.87854211,11.27533489,41.03386691,22.91482134,0,0,0,0,0,0
