Depth (cm),FlowThrough (mL),FlowRate (mL/min),Liquid Conductivity,Dust Concentration,x1_m (ppb),x1_1_m (ppb),x1_2_m (ppb),x1_3_m (ppb),x1_4_m (ppb),x1_5_m (ppb),x1_6_m (ppb),x1_7_m (ppb),x1_8_m (ppb),x1_9_m (ppb),x2_0_m (ppb),x2_1_m (ppb),x2_2_m (ppb),x2_3_m (ppb),x2_4_m (ppb),x2_5_m (ppb),x2_7_m (ppb),x2_9_m (ppb),x3_2_m (ppb),x3_6_m (ppb),x4_0_m (ppb),x4_5_m (ppb),x5_1_m (ppb),x5_7_m (ppb),x6_4_m (ppb),x7_2_m (ppb),x8_1_m (ppb),x9_0_m (ppb),x10_0_m (ppb),x12_0_m (ppb)
1.050000266,0.064075,5.5,1.87,0.331973473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331973473,0,0,0,0,0,0,0,0,0,0,0,0,0,146.8544411
1.098885361,0.04592366,4.0108,1.85,29.6439094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6439094,51.22467545
1.16713743,0.058767223,4.1434,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0886027
1.210477343,0.03772964,3.2856,1.81,229.6427361,1.659767057,1.584824967,1.246990207,0.951263015,1.089095845,0.487105549,0.443374296,0.354540676,0.210429597,1.237428505,2.309241123,2.673235255,2.689399943,0.878016773,1.995184331,3.946456998,1.420399782,0.880001277,8.276320186,1.683436779,4.618482247,6.575924918,4.786299129,26.72845571,0,40.40248269,38.35079412,0,72.16378511,623.4951033
1.250307891,0.05393388,4.6696,1.81,448.0546627,2.423156917,1.948571538,1.613822507,1.275463981,1.315976136,0.937080214,1.240656342,0.992080828,1.913688175,1.038777081,2.019297431,1.870071351,1.881379416,1.53554949,1.395738384,3.549546265,7.949166267,6.771688693,9.925250733,3.532962785,14.5389415,6.90031794,23.43790956,37.39597491,19.85050147,0,26.82843615,36.80169568,227.170961,567.0187186
1.283060192,0.062626887,5.3834,1.81,320.8796666,2.065069884,2.314617276,1.765439112,1.241693915,1.133310352,1.687379471,2.047853722,1.067967194,0.887414873,1.341882411,1.91290684,2.013117073,2.083155549,1.851367757,1.202001098,5.774044083,2.139303712,4.241262265,6.410672522,5.070942132,13.91204974,19.8083677,17.30106854,12.07694169,34.19025345,32.45402964,57.76120022,63.38677664,21.73757772,563.4380146
1.29,0.062448867,5.462,1.79,345.2442396,2.201753944,3.046595272,2.22250711,0.670510374,1.076723077,0.956454993,1.160782119,0.856809277,1.017079525,1.046661506,1.918359872,2.01885577,2.0890939,2.387115466,3.314925859,2.384325125,4.290804245,10.10171249,10.71491187,9.153715723,13.95170816,17.87835102,14.45865655,36.33410657,34.28771797,16.2732724,46.34068585,15.89186757,87.19817599,489.7049564
1.29,0.06400602,5.4706,1.77,242.3915834,2.105650763,2.462909509,1.984671555,1.121482358,1.225616359,0.430701292,0.958305058,0.9404602,0.744251833,1.458854402,1.191075179,1.575792462,0.90589775,2.329041166,0.588050831,3.323312441,5.442341531,7.262283135,6.2725422,7.938686221,6.80614388,7.752623263,5.642761199,15.75562754,44.60474453,23.81605866,45.21329887,0,42.53839925,477.7913004
1.305818927,0.049485627,3.5516,1.77,371.0933558,2.91607548,2.34342428,2.994864539,1.813193726,0.905854089,1.2998544,1.126815582,1.62188817,1.604391717,1.698228825,1.980730515,2.802486087,0.878784105,1.338863788,3.042402071,5.587998415,3.248893227,8.051339422,5.408714793,11.55162036,10.56389608,17.54803441,21.8954903,45.85217828,36.05809862,30.80432097,58.48007809,60.16468939,27.51014604,522.912856
1.332865601,0.051048507,4.3384,1.77,316.8521208,2.320107889,2.307173954,1.658957144,1.523324171,1.53671146,1.440066966,1.201549207,3.013446797,0.777636161,1.097491035,1.066716271,1.975771877,1.419799356,1.622342108,2.211942859,2.916802303,3.674330863,6.504035782,6.116977783,12.44217858,6.826984133,21.87101704,14.150098,34.57096761,27.96332701,19.90748573,42.51725713,38.88180807,53.33581354,599.0678577
