core,section,ave_depth,ave_depth_adj,y_m,x_m,ID,cut,Li,Rb,Sr,Zr,Mo,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Tb,Gd,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Be,W,Na,Mg,Al,P,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,S,Si,K,As,top_depth,bot_depth,top_depth_adj,bot_depth_adj
alhic2302,159_3,129.83337665,129.80829499307208,0.016,0.045,1,stick2,28.738,39.025,547.947,7.975,3.033,1.367,2.926,319.658,15.866,31.067,3.325,12.888,2.623,0.928,0.369,2.214,1.822,0.376,0.998,0.143,0.856,0.132,32.091,3.113,1.757,1.746,13.22,72.949,28.627,98.585,5.39,69.044,781.748,30.585,35.286,435.012,15.411,7.922,60.508,255.825,487.715,62.997,164.468,9.286,5.109,129.8272,129.8395533,129.8021183430721,129.8144716430721
alhic2302,159_3,129.84638752499998,129.82130586807207,0.016,0.045,2,stick2,19.214,26.729,147.899,9.633,1.503,0.634,1.939,122.889,10.002,17.729,3.1,6.981,1.189,0.336,0.174,1.121,1.0,0.191,0.564,0.089,0.523,0.082,12.486,3.986,1.007,0.852,8.812,61.728,19.863,21.956,9.476,23.535,463.68,18.89,17.263,319.055,9.281,4.919,37.735,75.589,289.857,57.467,32.294,6.488,3.649,129.8395533,129.85322175,129.8144716430721,129.82814009307208
alhic2302,159_3,129.860055975,129.83497431807208,0.016,0.045,3,stick2,18.68,24.074,106.958,6.205,0.99,0.796,1.632,102.79,12.344,22.753,2.494,8.791,1.576,0.317,0.247,1.601,1.387,0.301,0.801,0.118,0.675,0.096,12.596,3.3,0.921,0.559,25.647,64.314,23.904,15.271,0.372,23.747,316.143,18.807,11.958,438.066,10.096,7.589,44.413,66.835,311.71,93.721,13.514,6.215,4.848,129.85322175,129.8668902,129.82814009307208,129.8418085430721
alhic2302,159_3,129.87389159999998,129.84880994307207,0.016,0.045,4,stick2,17.966,24.392,100.603,7.484,1.252,0.768,1.531,94.445,8.966,16.261,1.706,5.667,1.109,0.263,0.167,0.903,0.9,0.204,0.529,0.07,0.495,0.067,7.005,2.74,0.829,0.279,15.248,60.582,21.837,11.686,0.358,22.871,343.898,18.644,11.136,334.036,8.077,5.781,34.08,38.984,231.132,63.569,15.291,5.643,1.825,129.8668902,129.880893,129.8418085430721,129.85581134307208
alhic2302,159_3,129.88799749999998,129.86291584307207,0.016,0.045,5,stick2,19.511,27.454,100.85,11.964,1.08,0.648,1.656,83.926,11.225,20.415,2.282,8.055,1.562,0.286,0.224,1.319,1.155,0.237,0.653,0.097,0.587,0.078,6.877,3.592,0.992,0.671,11.252,65.095,20.934,12.479,0.356,21.272,429.342,20.52,14.444,431.649,8.892,7.954,48.399,37.559,191.068,61.02,26.043,6.718,3.076,129.880893,129.89510199999998,129.85581134307208,129.87002034307207
alhic2302,159_3,129.90245505,129.87737339307208,0.016,0.045,6,stick2,19.379,25.122,105.683,8.696,1.216,0.93,1.835,84.877,10.944,19.389,2.038,7.531,1.339,0.293,0.209,1.269,1.056,0.244,0.686,0.093,0.516,0.103,7.877,3.452,0.922,0.545,11.868,62.594,20.805,11.786,0.364,23.734,332.327,17.232,15.472,394.603,8.569,7.274,44.262,41.933,230.882,68.339,11.92,6.167,2.242,129.89510199999998,129.9098081,129.87002034307207,129.88472644307208
alhic2302,159_3,129.91749554999998,129.89241389307207,0.016,0.045,7,stick2,21.82,44.448,113.737,43.502,1.447,1.156,2.594,101.821,23.473,44.589,4.648,16.005,3.045,0.466,0.48,2.808,2.698,0.521,1.495,0.214,1.355,0.22,18.693,7.483,1.695,1.676,76.731,69.096,21.799,19.496,0.8,25.506,537.991,22.25,19.225,525.983,12.799,10.506,176.577,998.748,534.247,69.635,24.125,10.566,4.952,129.9098081,129.925183,129.88472644307208,129.9001013430721
alhic2302,159_3,129.932389,129.9073073430721,0.016,0.045,8,stick2,27.932,74.815,212.282,34.372,3.874,1.05,3.515,163.185,52.018,103.182,10.892,39.484,6.681,1.055,0.937,5.429,4.83,0.966,2.613,0.423,2.53,0.385,13.545,10.157,3.261,2.836,14.355,87.331,27.543,42.93,0.736,34.189,1165.093,27.225,15.592,721.501,17.579,9.048,41.836,42.502,179.541,69.798,96.314,15.034,5.109,129.925183,129.939595,129.9001013430721,129.9145133430721
alhic2302,159_3,129.946606,129.9215243430721,0.016,0.045,9,stick2,19.863,44.811,128.842,45.099,2.331,0.853,2.194,120.173,22.242,42.891,4.598,16.631,2.84,0.485,0.458,2.663,2.536,0.489,1.399,0.199,1.311,0.206,9.458,7.225,1.679,1.104,10.396,70.619,25.268,21.202,0.382,25.842,1905.601,20.967,18.016,559.562,11.293,9.066,43.425,40.762,192.193,77.467,34.653,8.933,3.805,129.939595,129.95361699999998,129.9145133430721,129.92853534307207
alhic2302,159_3,129.96103549999998,129.93595384307207,0.016,0.045,10,stick2,18.051,36.873,111.975,40.055,1.645,0.775,1.86,91.235,16.913,30.367,3.26,11.573,2.225,0.332,0.313,1.901,1.675,0.337,0.907,0.13,0.852,0.121,9.296,5.414,1.254,1.034,10.93,64.489,20.361,14.762,0.373,24.122,497.664,24.915,14.912,441.644,13.497,6.379,31.94,37.737,184.998,61.791,23.902,7.651,18.297,129.95361699999998,129.96845399999998,129.92853534307207,129.94337234307207
