ID,core,section,cut,sample_number,sampleID,top_depth,bottom_depth,ave_depth,top_depth_adj,bottom_depth_adj,ave_depth_adj,x_m,y_m,dD,d18O,dxs,dln
alhic1901-230_4-l-1,alhic1901,230_4,l,1,alhic1901-230_4-l-1,156.81,156.825,156.8175,156.7568838,156.7718838,156.7643838,0.108,0.016,-279.4,-35.34,3.35,13.96998079
alhic1901-230_4-l-2,alhic1901,230_4,l,2,alhic1901-230_4-l-2,156.825,156.837,156.831,156.7718838,156.7838838,156.7778838,0.108,0.016,-278.6,-35.3,3.81,14.64335847
alhic1901-230_4-l-3,alhic1901,230_4,l,3,alhic1901-230_4-l-3,156.837,156.849,156.843,156.7838838,156.7958838,156.7898838,0.108,0.016,-278.79,-35.38,4.26,15.25244805
alhic1901-230_4-l-4,alhic1901,230_4,l,4,alhic1901-230_4-l-4,156.849,156.862,156.8555,156.7958838,156.8088838,156.8023838,0.108,0.016,-279,-35.36,3.84,14.74305953
alhic1901-230_4-l-5,alhic1901,230_4,l,5,alhic1901-230_4-l-5,156.862,156.874,156.868,156.8088838,156.8208838,156.8148838,0.108,0.016,-281.37,-35.54,2.98,13.41510816
alhic1901-230_4-l-6,alhic1901,230_4,l,6,alhic1901-230_4-l-6,156.874,156.886,156.88,156.8208838,156.8328838,156.8268838,0.108,0.016,-286.61,-36.15,2.62,12.7719327
alhic1901-230_4-l-7,alhic1901,230_4,l,7,alhic1901-230_4-l-7,156.886,156.898,156.892,156.8328838,156.8448838,156.8388838,0.108,0.016,-287.91,-36.21,1.81,11.60602244
alhic1901-230_4-l-8,alhic1901,230_4,l,8,alhic1901-230_4-l-8,156.898,156.91,156.904,156.8448838,156.8568838,156.8508838,0.108,0.016,-287.46,-36.22,2.33,12.34746377
alhic1901-230_4-l-9,alhic1901,230_4,l,9,alhic1901-230_4-l-9,156.91,156.922,156.916,156.8568838,156.8688838,156.8628838,0.108,0.016,-286.59,-36.17,2.78,13.01928412
alhic1901-230_4-l-10,alhic1901,230_4,l,10,alhic1901-230_4-l-10,156.922,156.935,156.9285,156.8688838,156.8818838,156.8753838,0.108,0.016,-289.89,-36.48,1.98,11.78601129
alhic1901-230_4-l-11,alhic1901,230_4,l,11,alhic1901-230_4-l-11,156.935,156.947,156.941,156.8818838,156.8938838,156.8878838,0.108,0.016,-293.14,-36.72,0.61,9.838235941
alhic1901-230_4-l-12,alhic1901,230_4,l,12,alhic1901-230_4-l-12,156.947,156.959,156.953,156.8938838,156.9058838,156.8998838,0.108,0.016,-294.25,-36.85,0.53,9.698150017
