ID,z_hi,z_lo,y_hi,y_lo,x_hi,x_lo
alhic2302-159_3-l-1,,,,,,
alhic2302-159_3-l-2,,,,,,
alhic2302-159_3-l-3,,,,,,
alhic2302-159_3-l-4,,,,,,
alhic2302-159_3-l-5,,,,,,
alhic2302-159_3-l-6,,,,,,
alhic2302-159_3-l-7,,,,,,
alhic2302-159_3-l-8,,,,,,
alhic2302-159_3-l-9,,,,,,
alhic2302-159_3-l-10,,,,,,
alhic2302-159_3-l-11,,,,,,
alhic2302-159_3-l-12,,,,,,
alhic2302-159_3-l-13,,,,,,
alhic2302-159_3-l-14,,,,,,
alhic2302-159_3-l-15,,,,,,
alhic2302-159_3-l-16,,,,,,
alhic2302-159_3-l-17,,,,,,
alhic2302-159_3-l-18,,,,,,
alhic2302-159_3-l-19,,,,,,
alhic2302-159_3-l-20,,,,,,
alhic2302-159_3-l-21,,,,,,
alhic2302-159_3-l-22,,,,,,
alhic2302-159_3-l-23,,,,,,
alhic2302-159_3-l-24,,,,,,
alhic2302-159_3-l-25,,,,,,
alhic2302-159_3-l-26,,,,,,
alhic2302-159_3-l-27,,,,,,
alhic2302-159_3-l-28,,,,,,
alhic2302-159_3-l-29,,,,,,
alhic2302-159_3-l-30,,,,,,
alhic2302-159_3-l-31,,,,,,
alhic2302-159_3-l-32,,,,,,
alhic2302-159_3-l-33,,,,,,
alhic1901-230_4-l-1,,,32,0,113,103
alhic1901-230_4-l-2,,,32,0,113,103
alhic1901-230_4-l-3,,,32,0,113,103
alhic1901-230_4-l-4,,,32,0,113,103
alhic1901-230_4-l-5,,,32,0,113,103
alhic1901-230_4-l-6,,,32,0,113,103
alhic1901-230_4-l-7,,,32,0,113,103
alhic1901-230_4-l-8,,,32,0,113,103
alhic1901-230_4-l-9,,,32,0,113,103
alhic1901-230_4-l-10,,,32,0,113,103
alhic1901-230_4-l-11,,,32,0,113,103
alhic1901-230_4-l-12,,,32,0,113,103
alhic1901-230_4-l-13,,,32,0,113,103
alhic1901-230_4-l-14,,,32,0,113,103
alhic1901-230_4-l-15,,,32,0,113,103
alhic1901-230_4-l-16,,,32,0,113,103
alhic1901-230_4-l-17,,,32,0,113,103
alhic1901-230_4-l-18,,,32,0,113,103
alhic1901-230_4-r-1,,,82,61,93.5,74
alhic1901-230_4-r-2,,,82,61,93.5,74
alhic1901-230_4-r-3,,,82,61,93.5,74
alhic1901-230_4-r-4,,,82,61,93.5,74
alhic1901-230_4-r-5,,,82,61,93.5,74
alhic1901-230_4-r-6,,,82,61,93.5,74
alhic1901-230_4-r-7,,,82,61,93.5,74
alhic1901-230_4-r-8,,,82,61,93.5,74
alhic1901-230_4-r-9,,,82,61,93.5,74
alhic1901-230_4-r-10,,,82,61,93.5,74
alhic1901-230_4-r-11,,,82,61,93.5,74
alhic1901-230_4-r-12,,,82,61,93.5,74
alhic1901-230_4-r-13,,,82,61,93.5,74
alhic1901-230_4-r-14,,,82,61,93.5,74
alhic1901-230_4-r-15,,,82,61,93.5,74
alhic1901-230_4-r-16,,,82,61,93.5,74
alhic1901-230_4-r-17,,,82,61,93.5,74
alhic1901-230_4-r-18,,,82,61,93.5,74
alhic1901-230_4-r-19,,,82,61,93.5,74
