ID,dD,d18O,dxs
alhic1901-230_4-l-1,-278.66,-35.31,3.81
alhic1901-230_4-l-2,-277.86,-35.27,4.27
alhic1901-230_4-l-3,-278.05,-35.35,4.72
alhic1901-230_4-l-4,-278.26,-35.32,4.3
alhic1901-230_4-l-5,-280.62,-35.51,3.44
alhic1901-230_4-l-6,-285.85,-36.12,3.09
alhic1901-230_4-l-7,-287.14,-36.18,2.28
alhic1901-230_4-l-8,-286.69,-36.19,2.79
alhic1901-230_4-l-9,-285.83,-36.13,3.24
alhic1901-230_4-l-10,-289.12,-36.44,2.44
alhic1901-230_4-l-11,-292.35,-36.68,1.08
alhic1901-230_4-l-12,-293.46,-36.81,0.99
alhic1901-230_4-l-13,-293.36,-36.9,1.85
alhic1901-230_4-l-14,-292.47,-36.74,1.48
alhic1901-230_4-l-15,-291.97,-36.73,1.83
alhic1901-230_4-l-16,-291.16,-36.62,1.78
alhic1901-230_4-l-17,-290.68,-36.56,1.79
alhic1901-230_4-l-18,-290.8,-36.61,2.09
alhic1901-230_4-r-1,-279.64,-35.42,3.71
alhic1901-230_4-r-2,-277.32,-35.17,4.02
alhic1901-230_4-r-3,-277.22,-35.17,4.15
alhic1901-230_4-r-4,-278.59,-35.3,3.77
alhic1901-230_4-r-5,-282.42,-35.7,3.22
alhic1901-230_4-r-6,-286.19,-36.07,2.36
alhic1901-230_4-r-7,-288.23,-36.34,2.51
alhic1901-230_4-r-8,-286.42,-36.11,2.48
alhic1901-230_4-r-9,-285.36,-35.98,2.45
alhic1901-230_4-r-10,-287.66,-36.28,2.56
alhic1901-230_4-r-11,-291.26,-36.61,1.65
alhic1901-230_4-r-12,-293.42,-36.85,1.39
alhic1901-230_4-r-13,-293.72,-36.89,1.37
alhic1901-230_4-r-14,-292.83,-36.81,1.65
alhic1901-230_4-r-15,-291.46,-36.65,1.77
alhic1901-230_4-r-16,-290.88,-36.61,2.01
alhic1901-230_4-r-17,-290.19,-36.55,2.22
alhic1901-230_4-r-18,-290.2,-36.53,2.04
alhic1901-230_4-r-19,-289.97,-36.45,1.67
alhic2302-159_3-l-1,-294.8,-36.97,0.95
alhic2302-159_3-l-2,-295.17,-37.1,1.6
alhic2302-159_3-l-3,-295.45,-37.17,1.94
alhic2302-159_3-l-4,-294.97,-37.12,1.98
alhic2302-159_3-l-5,-294.88,-37.12,2.11
alhic2302-159_3-l-6,-294.43,-37.04,1.87
alhic2302-159_3-l-7,-294.41,-37.01,1.7
alhic2302-159_3-l-8,-294.65,-37.09,2.05
alhic2302-159_3-l-9,-294.4,-37.07,2.13
alhic2302-159_3-l-10,-294.54,-37.1,2.25
alhic2302-159_3-l-11,-294.37,-37.07,2.23
alhic2302-159_3-l-12,-294.57,-37.07,2
alhic2302-159_3-l-13,-294.37,-37,1.64
alhic2302-159_3-l-14,-294.38,-37.06,2.08
alhic2302-159_3-l-15,-294.72,-37.1,2.07
alhic2302-159_3-l-16,-294.9,-37.13,2.12
alhic2302-159_3-l-17,-294.84,-37.09,1.89
alhic2302-159_3-l-18,-295.04,-37.16,2.24
alhic2302-159_3-l-19,-294.95,-37.15,2.23
alhic2302-159_3-l-20,-295.22,-37.18,2.22
alhic2302-159_3-l-21,-295.92,-37.23,1.92
alhic2302-159_3-l-22,-296.51,-37.32,2.07
alhic2302-159_3-l-23,-296.67,-37.33,2.01
alhic2302-159_3-l-24,-297.31,-37.41,1.97
alhic2302-159_3-l-25,-297.38,-37.45,2.24
alhic2302-159_3-l-26,-297.41,-37.42,1.99
alhic2302-159_3-l-27,-297.44,-37.45,2.19
alhic2302-159_3-l-28,-297.59,-37.46,2.11
alhic2302-159_3-l-29,-297.63,-37.5,2.35
alhic2302-159_3-l-30,-297.63,-37.47,2.09
alhic2302-159_3-l-31,-297.14,-37.46,2.5
alhic2302-159_3-l-32,-297.37,-37.45,2.25
alhic2302-159_3-l-33,-297.43,-37.44,2.06
alhic2302-159_3-r-1,-294.89,-37.08,1.79
alhic2302-159_3-r-2,-295.61,-37.2,1.97
alhic2302-159_3-r-3,-295.22,-37.12,1.71
alhic2302-159_3-r-4,-294.99,-37.07,1.61
alhic2302-159_3-r-5,-295.39,-37.17,1.97
alhic2302-159_3-r-6,-295.13,-37.12,1.79
alhic2302-159_3-r-7,-294.82,-37.05,1.6
alhic2302-159_3-r-8,-294.45,-36.98,1.41
alhic2302-159_3-r-9,-295.35,-37.14,1.78
alhic2302-159_3-r-10,-294.64,-37.06,1.85
alhic2302-159_3-r-11,-294.26,-36.95,1.38
alhic2302-159_3-r-12,-295.4,-37.18,2.05
alhic2302-159_3-r-13,-294.53,-37.06,1.93
alhic2302-159_3-r-14,-295.04,-37.03,1.24
alhic2302-159_3-r-15,-294.97,-37.06,1.54
alhic2302-159_3-r-16,-294.99,-37.1,1.82
alhic2302-159_3-r-17,-294.63,-37.08,1.98
alhic2302-159_3-r-18,-294.43,-37.04,1.86
alhic2302-159_3-r-19,-294.34,-37.02,1.79
alhic2302-159_3-r-20,-294.16,-36.98,1.67
alhic2302-159_3-r-21,-294.37,-37.03,1.87
alhic2302-159_3-r-22,-293.86,-36.95,1.74
alhic2302-159_3-r-23,-294.08,-37.01,1.98
alhic2302-159_3-r-24,-294.09,-37,1.95
alhic2302-159_3-r-25,-293.72,-36.93,1.7
alhic2302-159_3-r-26,-293.11,-36.83,1.49
alhic2302-159_3-r-27,-294.27,-37,1.71
alhic2302-159_3-r-28,-294.69,-37.06,1.8
alhic2302-159_3-r-29,-294.27,-37.04,2.07
alhic2302-159_3-r-30,-294.16,-37.01,1.93
alhic2302-159_3-r-31,-294.2,-37.03,2.04
alhic2302-159_3-r-32,-293.85,-36.96,1.8
alhic2302-159_3-r-33,-294.44,-37.06,2.06
alhic2302-159_3-r-34,-295.25,-37.16,2.04
alhic2302-156_2-l-51,-294.33,-36.99,1.56
alhic2302-156_2-l-52,-295.05,-37.09,1.71
alhic2302-156_2-l-53,-295.22,-37.14,1.94
alhic2302-156_2-l-54,-295.28,-37.14,1.8
alhic2302-156_2-l-55,-295.56,-37.18,1.91
alhic2302-156_2-l-56,-295.37,-37.15,1.86
alhic2302-156_2-l-57,-295.24,-37.14,1.87
alhic2302-158-l-51,-293.19,-36.85,1.64
alhic2302-158-l-52,-292.69,-36.76,1.36
alhic2302-158-l-54,-291.6,-36.66,1.65
alhic2302-158-l-55,-290.56,-36.57,1.99
alhic2302-158-l-56,-290.33,-36.54,1.97
alhic2302-158-l-57,-289.71,-36.43,1.69
alhic2302-158-l-58,-289.51,-36.38,1.56
alhic2302-158-l-59,-289.59,-36.43,1.86
alhic2302-158-l-60,-289.05,-36.39,2.06
alhic2302-156_2-l-1,-298.67,-37.64,2.47
alhic2302-156_2-l-2,-298.46,-37.64,2.65
alhic2302-156_2-l-3,-298.65,-37.66,2.59
alhic2302-156_2-l-4,-298.84,-37.7,2.77
alhic2302-156_2-l-5,-298.99,-37.74,2.95
alhic2302-156_2-l-6,-298.74,-37.67,2.65
alhic2302-156_2-l-7,-298.65,-37.63,2.41
alhic2302-156_2-l-8,-299.41,-37.79,2.93
alhic2302-156_2-l-9,-299.03,-37.73,2.77
alhic2302-156_2-l-10,-298.99,-37.72,2.79
alhic2302-156_2-l-11,-299.19,-37.74,2.73
alhic2302-156_2-l-12,-299.19,-37.75,2.83
alhic2302-156_2-l-13,-299.11,-37.76,2.96
alhic2302-156_2-l-14,-298.87,-37.66,2.38
alhic2302-156_2-l-15,-299.22,-37.72,2.55
alhic2302-156_2-l-16,-298.94,-37.7,2.62
alhic2302-156_2-l-17,-299.08,-37.74,2.85
alhic2302-156_2-l-18,-298.76,-37.67,2.62
alhic2302-156_2-l-19,-299.4,-37.78,2.8
alhic2302-156_2-l-20,-298.8,-37.69,2.7
alhic2302-156_2-l-21,-298.13,-37.57,2.44
alhic2302-156_2-l-22,-298.93,-37.7,2.65
alhic2302-156_2-l-23,-299.1,-37.73,2.71
alhic2302-156_2-l-24,-298.79,-37.66,2.49
alhic2302-156_2-l-25,-298.59,-37.63,2.43
alhic2302-156_2-l-26,-298.5,-37.64,2.62
alhic2302-156_2-l-27,-298.59,-37.57,1.96
alhic2302-156_2-l-28,-297.98,-37.51,2.14
alhic2302-156_2-l-29,-296.92,-37.39,2.16
alhic2302-156_2-l-30,-295.65,-37.17,1.75
alhic2302-156_2-l-31,-295.47,-37.14,1.69
alhic2302-156_2-l-32,-294.13,-36.95,1.47
