Top Depth,Bottom Depth,dD_vsmow,d18O_vsmow,dxs_vsmow,Sample ID,Mid Depth
1.55,2.33,-257.68,-32.74,4.2,ALHIC2401_1,1.94
2.33,3.25,-258.45,-32.91,4.79,ALHIC2401_2,2.79
3.25,4.05,-260.75,-33.13,4.27,ALHIC2401_3,3.65
4.05,4.65,-260.34,-33.06,4.15,ALHIC2401_4,4.35
4.65,5.179999999999999,-283.85,-35.8,2.51,ALHIC2401_5,4.914999999999999
5.179999999999999,5.669999999999999,-290.86,-36.78,3.35,ALHIC2401_6,5.424999999999999
5.669999999999999,6.279999999999999,-288.98,-36.49,2.93,ALHIC2401_7,5.975
6.279999999999999,7.14,-289.95,-36.44,1.59,ALHIC2401_8,6.709999999999999
7.14,7.479999999999999,-289.98,-36.55,2.46,ALHIC2401_9,7.309999999999999
7.479999999999999,7.68,-290.09,-36.56,2.38,ALHIC2401_10,7.579999999999999
7.68,8.379999999999999,-293.48,-37.05,2.89,ALHIC2401_11,8.03
8.379999999999999,9.03,-293.56,-37.01,2.52,ALHIC2401_12,8.704999999999998
9.03,9.64,-293.24,-36.96,2.47,ALHIC2401_13,9.335
9.64,10.43,-289.64,-36.45,1.98,ALHIC2401_14,10.035
10.43,10.98,-283.07,-35.71,2.58,ALHIC2401_15,10.705
10.98,11.69,-284.71,-35.87,2.24,ALHIC2401_16,11.335
11.69,12.46,-292.51,-36.95,3.06,ALHIC2401_17,12.075
12.46,12.74,-293.71,-36.95,1.91,ALHIC2401_18,12.600000000000001
12.74,13.44,-292.98,-37.04,3.36,ALHIC2401_19,13.09
13.44,14.16,-291.63,-36.86,3.27,ALHIC2401_20,13.8
14.16,14.89,-289.6,-36.65,3.61,ALHIC2401_21,14.525
14.89,15.51,-291.83,-36.87,3.1,ALHIC2401_22,15.2
15.51,16.24,-284.46,-35.98,3.35,ALHIC2401_23,15.875
16.24,16.89,-275.33,-34.9,3.84,ALHIC2401_24,16.564999999999998
16.89,17.55,-270.6,-34.45,5.0,ALHIC2401_25,17.22
17.55,18.35,-270.02,-34.34,4.69,ALHIC2401_26,17.950000000000003
18.35,19.1,-282.12,-35.77,4.01,ALHIC2401_27,18.725
19.1,19.48,-270.92,-34.48,4.91,ALHIC2401_28,19.29
19.48,20.25,-269.11,-34.28,5.1,ALHIC2401_29,19.865000000000002
20.25,21.25,-268.81,-34.25,5.2,ALHIC2401_30,20.75
21.25,21.93,-267.26,-34.04,5.05,ALHIC2401_31,21.59
21.93,22.74,-269.96,-34.36,4.94,ALHIC2401_32,22.335
22.74,23.12,-270.96,-34.46,4.69,ALHIC2401_33,22.93
23.12,23.61,-271.95,-34.61,4.95,ALHIC2401_34,23.365000000000002
23.61,24.41,-263.78,-33.6,5.06,ALHIC2401_35,24.009999999999998
24.41,25.28,-262.9,-33.5,5.1,ALHIC2401_36,24.845
25.28,26.12,-266.64,-34.03,5.58,ALHIC2401_37,25.700000000000003
26.12,26.93,-265.4,-33.84,5.33,ALHIC2401_38,26.525
26.93,27.64,-284.72,-36.37,6.27,ALHIC2401_39,27.285
27.64,28.47,-296.33,-37.98,7.52,ALHIC2401_40,28.055
28.47,29.24,-303.67,-38.91,7.59,ALHIC2401_41,28.854999999999997
29.24,29.43,-303.12,-38.98,8.69,ALHIC2401_42,29.335
29.43,30.0,-297.81,-38.48,9.99,ALHIC2401_43,29.715
30.99,31.1,-304.5,-39.24,9.4,ALHIC2401_45,31.045
31.1,31.42,-300.65,-38.88,10.41,ALHIC2401_46,31.26
31.42,32.33,-303.16,-39.04,9.19,ALHIC2401_47,31.875
32.33,33.42,-303.03,-39.0,8.96,ALHIC2401_48,32.875
33.42,34.11,-305.95,-39.38,9.11,ALHIC2401_49,33.765
34.11,34.93,-307.0,-39.47,8.73,ALHIC2401_50,34.519999999999996
34.93,35.7,-304.78,-39.23,9.04,ALHIC2401_51,35.315
35.7,36.220000000000006,-304.59,-39.14,8.56,ALHIC2401_52,35.96000000000001
36.220000000000006,36.64000000000001,-305.67,-39.21,8.04,ALHIC2401_53,36.43000000000001
36.64000000000001,37.620000000000005,-295.9,-38.26,10.18,ALHIC2401_54,37.13000000000001
37.620000000000005,38.68000000000001,-302.57,-38.97,9.15,ALHIC2401_55,38.150000000000006
38.68000000000001,39.13,-302.76,-39.0,9.23,ALHIC2401_56,38.905
39.13,39.56,-304.75,-39.19,8.8,ALHIC2401_57,39.345
39.56,40.330000000000005,-309.57,-39.73,8.26,ALHIC2401_58,39.94500000000001
40.330000000000005,41.09,-306.01,-39.31,8.48,ALHIC2401_59,40.71000000000001
41.09,41.68000000000001,-305.51,-39.11,7.36,ALHIC2401_60,41.385000000000005
41.68000000000001,42.20000000000001,-308.35,-39.28,5.87,ALHIC2401_61,41.94000000000001
42.20000000000001,43.00000000000001,-301.72,-38.25,4.26,ALHIC2401_62,42.60000000000001
43.00000000000001,43.84000000000001,-297.2,-37.23,0.67,ALHIC2401_63,43.42000000000001
43.84000000000001,44.64000000000001,-315.94,-39.53,0.27,ALHIC2401_64,44.24000000000001
44.64000000000001,45.53000000000001,-314.68,-39.32,-0.1,ALHIC2401_65,45.08500000000001
45.53000000000001,46.31000000000001,-323.88,-40.34,-1.15,ALHIC2401_66,45.92000000000001
46.31000000000001,46.85000000000001,-321.81,-39.98,-1.95,ALHIC2401_67,46.58000000000001
46.85000000000001,47.63000000000001,-297.17,-37.4,2.04,ALHIC2401_68,47.24000000000001
47.63000000000001,48.17000000000001,-310.8,-39.04,1.53,ALHIC2401_69,47.900000000000006
